"subjIds" "activities" "means"
1 "Lying" 0.22159824394
1 "Sitting" 0.278917629056604
1 "Standing" 0.261237565425532
1 "Walking" 0.277330758736842
1 "Walking Down Stairs" 0.289188320408163
1 "Walking Up Stairs" 0.255461689622641
2 "Lying" 0.281373403958333
2 "Sitting" 0.277911472222222
2 "Standing" 0.27708735173913
2 "Walking" 0.276426586440678
2 "Walking Down Stairs" 0.27761534806383
2 "Walking Up Stairs" 0.247164790395833
3 "Lying" 0.275516852741935
3 "Sitting" 0.280046513278689
3 "Standing" 0.257197599134615
3 "Walking" 0.275567462068966
3 "Walking Down Stairs" 0.292423484693878
3 "Walking Up Stairs" 0.260819873067797
4 "Lying" 0.263559214981481
4 "Sitting" 0.280499745892857
4 "Standing" 0.27153827992
4 "Walking" 0.278582015166667
4 "Walking Down Stairs" 0.279965329555556
4 "Walking Up Stairs" 0.270876696730769
5 "Lying" 0.278334325576923
5 "Sitting" 0.282544390892857
5 "Standing" 0.273694139545455
5 "Walking" 0.27784234625
5 "Walking Down Stairs" 0.29354392712766
5 "Walking Up Stairs" 0.268459469914894
6 "Lying" 0.248656520140351
6 "Sitting" 0.280346248596491
6 "Standing" 0.276778487454545
6 "Walking" 0.283658868070175
6 "Walking Down Stairs" 0.277045258145833
6 "Walking Up Stairs" 0.268229355098039
7 "Lying" 0.250176694038462
7 "Sitting" 0.282723539433962
7 "Standing" 0.284674637291667
7 "Walking" 0.275592961754386
7 "Walking Down Stairs" 0.28030708
7 "Walking Up Stairs" 0.248706923078431
8 "Lying" 0.261254282907407
8 "Sitting" 0.279620986111111
8 "Standing" 0.267491472934783
8 "Walking" 0.27468631
8 "Walking Down Stairs" 0.283484089210526
8 "Walking Up Stairs" 0.258880152048781
9 "Lying" 0.2591955368
9 "Sitting" 0.282310057333333
9 "Standing" 0.24832674354
9 "Walking" 0.278502842115385
9 "Walking Down Stairs" 0.295923445
9 "Walking Up Stairs" 0.262436475714286
10 "Lying" 0.280230574137931
10 "Sitting" 0.276650300681818
10 "Standing" 0.270612056481481
10 "Walking" 0.278574076603774
10 "Walking Down Stairs" 0.290401594315789
10 "Walking Up Stairs" 0.267121853404255
11 "Lying" 0.280592970877193
11 "Sitting" 0.277715562765957
11 "Standing" 0.276590197358491
11 "Walking" 0.271821892881356
11 "Walking Down Stairs" 0.291605631956522
11 "Walking Up Stairs" 0.263775859277778
12 "Lying" 0.260113433
12 "Sitting" 0.277405834918033
12 "Standing" 0.275007224901961
12 "Walking" 0.2771286656
12 "Walking Down Stairs" 0.281521097391304
12 "Walking Up Stairs" 0.272970338653846
13 "Lying" 0.276716360483871
13 "Sitting" 0.277758431052632
13 "Standing" 0.274328499591837
13 "Walking" 0.275883130350877
13 "Walking Down Stairs" 0.294907553404255
13 "Walking Up Stairs" 0.258203939581818
14 "Lying" 0.233275439803922
14 "Sitting" 0.280545613833333
14 "Standing" 0.279990577037037
14 "Walking" 0.271959598644068
14 "Walking Down Stairs" 0.293422115555556
14 "Walking Up Stairs" 0.26242106612963
15 "Lying" 0.2894756525
15 "Sitting" 0.278915803962264
15 "Standing" 0.27290337979661
15 "Walking" 0.273899207962963
15 "Walking Down Stairs" 0.280198851190476
15 "Walking Up Stairs" 0.270187595833333
16 "Lying" 0.274227162571429
