"subjIds" "activities" "means"
1 "Lying" -0.0405139534294
1 "Sitting" -0.0161375901037736
1 "Standing" -0.00130828765170213
1 "Walking" -0.0173838185273684
1 "Walking Down Stairs" -0.00991850461020408
1 "Walking Up Stairs" -0.0239531492643396
2 "Lying" -0.0181587397583333
2 "Sitting" -0.0184208270166667
2 "Standing" -0.0156879937282609
2 "Walking" -0.0185949199145763
2 "Walking Down Stairs" -0.0226614158361702
2 "Walking Up Stairs" -0.0214121132045833
3 "Lying" -0.0189556785048387
3 "Sitting" -0.0143376555065574
3 "Standing" -0.00350299841730769
3 "Walking" -0.0171767844203448
3 "Walking Down Stairs" -0.0193554079328571
3 "Walking Up Stairs" -0.0324109410555932
4 "Lying" -0.0150031841055556
4 "Sitting" -0.00948911098553571
4 "Standing" -0.007163065158
4 "Walking" -0.0148399475341667
4 "Walking Down Stairs" -0.00980200850666667
4 "Walking Up Stairs" -0.0319804295729615
5 "Lying" -0.0183042123269231
5 "Sitting" -0.00700418554517857
5 "Standing" -0.00990083527045455
5 "Walking" -0.0172850317482679
5 "Walking Down Stairs" -0.00850107533191489
5 "Walking Up Stairs" -0.0325269755153191
6 "Lying" -0.0102529170561404
6 "Sitting" -0.0181236327175439
6 "Standing" -0.0145911615290909
6 "Walking" -0.0168954189082456
6 "Walking Down Stairs" -0.019536840063125
6 "Walking Up Stairs" -0.0272425385070588
7 "Lying" -0.0204411516884615
7 "Sitting" -0.0145740341037736
7 "Standing" -0.01461097580375
7 "Walking" -0.018653665345614
7 "Walking Down Stairs" -0.0166332372978723
7 "Walking Up Stairs" -0.0275639005607843
8 "Lying" -0.0212281733881481
8 "Sitting" -0.0148113067148148
8 "Standing" -0.00672550621304348
8 "Walking" -0.0186628865310417
8 "Walking Down Stairs" -0.0211058674973684
8 "Walking Up Stairs" -0.0282415136341463
9 "Lying" -0.020526821662
9 "Sitting" -0.0200454954022222
9 "Standing" -0.02701677698
9 "Walking" -0.0180891971284423
9 "Walking Down Stairs" -0.0203994269075476
9 "Walking Up Stairs" -0.0195101099975714
10 "Lying" -0.024294484137931
10 "Sitting" -0.0155418603409091
10 "Standing" -0.015042681852037
10 "Walking" -0.017022351190566
10 "Walking Down Stairs" -0.0200050770710526
10 "Walking Up Stairs" -0.0143854920340426
11 "Lying" -0.0176598052315789
11 "Sitting" -0.0171990886595745
11 "Standing" -0.0149195616754717
11 "Walking" -0.0166475833623729
11 "Walking Down Stairs" -0.0178097721219565
11 "Walking Up Stairs" -0.0303157822055556
12 "Lying" -0.0175203917146667
12 "Sitting" -0.0169002543196721
12 "Standing" -0.0157892988523529
12 "Walking" -0.015560927606
12 "Walking Down Stairs" -0.018084266865793
12 "Walking Up Stairs" -0.0263574903403846
13 "Lying" -0.020440454366129
13 "Sitting" -0.0167891993964912
13 "Standing" -0.00587732936326531
13 "Walking" -0.0185660651947368
13 "Walking Down Stairs" -0.0143723839108511
13 "Walking Up Stairs" -0.0277392253910909
14 "Lying" -0.0113424652490196
14 "Sitting" -0.01520781344
14 "Standing" -0.00870565463888889
14 "Walking" -0.0217785380966102
14 "Walking Down Stairs" -0.0200141413657778
14 "Walking Up Stairs" -0.0204388180024074
15 "Lying" -0.0166296542054167
15 "Sitting" -0.0183516360396226
15 "Standing" -0.0117188472271186
15 "Walking" -0.0170809740090741
15 "Walking Down Stairs" -0.00563047804309524
15 "Walking Up Stairs" -0.0287523860708333
16 "Lying" -0.0166103510562857
16 "Sitting" -0.0165999672935897
16 "Standing" -0.0102497939956522
16 "Walking" -0.0204286929452941
16 "Walking Down Stairs" -0.0183898583787234
16 "Walking Up Stairs" -0.0143654945011765
17 "Lying" -0.0168462006729577
17 "Sitting" -0.0174120064169231
17 "Standing" -0.014156274084375
17 "Walking" -0.0184875403339344
17 "Walking Down Stairs" -0.0167359404347826
17 "Walking Up Stairs" -0.0228645614308333
18 "Lying" -0.0173937684615385
18 "Sitting" -0.0166353518150685
18 "Standing" -0.0128691279736842
18 "Walking" -0.0178023631866071
18 "Walking Down Stairs" -0.0168666920221818
18 "Walking Up Stairs" -0.0222060684378914
19 "Lying" -0.0171426864421687
19 "Sitting" -0.0154244056945205
19 "Standing" -0.016739260030137
19 "Walking" -0.0191773587903846
19 "Walking Down Stairs" -0.0145942275069487
19 "Walking Up Stairs" -0.0303986615775
20 "Lying" -0.0144406281132353
20 "Sitting" -0.0180695049161644
20 "Standing" -0.0147229305131818
20 "Walking" -0.021199992245098
20 "Walking Down Stairs" -0.00964120773155556
20 "Walking Up Stairs" -0.0282258047588235
21 "Lying" -0.0184233048415556
21 "Sitting" -0.0167084730205618
21 "Standing" -0.0144009705494118
21 "Walking" -0.0181610317526923
21 "Walking Down Stairs" -0.0173195390157778
21 "Walking Up Stairs" -0.0237218695148936
22 "Lying" -0.0142629864502778
22 "Sitting" -0.0158563207496825
22 "Standing" -0.0123468446419355
22 "Walking" -0.0167213607957174
22 "Walking Down Stairs" -0.0197999371686389
22 "Walking Up Stairs" -0.0268622561133333
23 "Lying" -0.0216553835833333
23 "Sitting" -0.0177475547867647
23 "Standing" -0.0133945015676471
23 "Walking" -0.0183618711932203
23 "Walking Down Stairs" -0.0162111457238889
23 "Walking Up Stairs" -0.0323844029237255
24 "Lying" -0.0173555210111111
24 "Sitting" -0.0144785340348986
24 "Standing" -0.0131255097938235
24 "Walking" -0.0225446400534483
24 "Walking Down Stairs" -0.0145730348310909
24 "Walking Up Stairs" -0.0251979434569492
25 "Lying" -0.0188943663671233
25 "Sitting" -0.0163569730274324
25 "Standing" -0.0147696808030769
25 "Walking" -0.0186477624716216
25 "Walking Down Stairs" -0.0210170522987931
25 "Walking Up Stairs" -0.0269863524264615
26 "Lying" -0.0191895728026316
26 "Sitting" -0.0166608306652703
26 "Standing" -0.00713364541358974
26 "Walking" -0.0154259586949153
26 "Walking Down Stairs" -0.01262580966778
26 "Walking Up Stairs" -0.0281633797398182
27 "Lying" -0.0179867611216216
27 "Sitting" -0.016593236445
27 "Standing" -0.0155269799285714
27 "Walking" -0.0166478783221912
27 "Walking Down Stairs" -0.0135564467159091
27 "Walking Up Stairs" -0.0200953324078431
28 "Lying" -0.0167537858225
28 "Sitting" -0.0172635124672152
28 "Standing" -0.0185404441258333
28 "Walking" -0.0156759722981481
28 "Walking Down Stairs" -0.0220230465913043
28 "Walking Up Stairs" -0.0279443943478431
29 "Lying" -0.0171965484202899
29 "Sitting" -0.0172605869061538
29 "Standing" -0.016630680375
29 "Walking" -0.0162915600588679
29 "Walking Down Stairs" -0.01494121505625
29 "Walking Up Stairs" -0.0299465312326531
30 "Lying" -0.0194494098614286
30 "Sitting" -0.0170163887813559
30 "Standing" -0.00804731295322581
30 "Walking" -0.0175880385730769
30 "Walking Down Stairs" -0.0174383900204839
30 "Walking Up Stairs" -0.0253311698786154
