"subjIds" "activities" "means"
1 "Lying" -0.11320355358
1 "Sitting" -0.110601817735849
1 "Standing" -0.104544182255319
1 "Walking" -0.111148103547368
1 "Walking Down Stairs" -0.107566190908163
1 "Walking Up Stairs" -0.0973020020943396
2 "Lying" -0.107245610416667
2 "Sitting" -0.105908536055556
2 "Standing" -0.109218272456522
2 "Walking" -0.105500357966102
2 "Walking Down Stairs" -0.116812942382979
2 "Walking Up Stairs" -0.152513899520833
3 "Lying" -0.101300477506452
3 "Sitting" -0.101621722633148
3 "Standing" -0.0983579203269231
3 "Walking" -0.112674859827586
3 "Walking Down Stairs" -0.116139842908163
3 "Walking Up Stairs" -0.110064863437288
4 "Lying" -0.110688150314815
4 "Sitting" -0.0961574905535714
4 "Standing" -0.10587459588
4 "Walking" -0.11140306485
4 "Walking Down Stairs" -0.1067775246
4 "Walking Up Stairs" -0.114219455519231
5 "Lying" -0.107937603673077
5 "Sitting" -0.102171095696429
5 "Standing" -0.108540300265909
5 "Walking" -0.107741776464286
5 "Walking Down Stairs" -0.100319930659574
5 "Walking Up Stairs" -0.107471453914894
6 "Lying" -0.133119570368421
6 "Sitting" -0.112172831947368
6 "Standing" -0.110127728709091
6 "Walking" -0.110303165877193
6 "Walking Down Stairs" -0.107209356208333
6 "Walking Up Stairs" -0.122082438784314
7 "Lying" -0.101361036576923
7 "Sitting" -0.0997778303207547
7 "Standing" -0.122464597625
7 "Walking" -0.110912234947368
7 "Walking Down Stairs" -0.096938308587234
7 "Walking Up Stairs" -0.143769688803922
8 "Lying" -0.102245365611111
8 "Sitting" -0.106114996837037
8 "Standing" -0.104461049130435
8 "Walking" -0.107252090833333
8 "Walking Down Stairs" -0.107598135394737
8 "Walking Up Stairs" -0.11512211995122
9 "Lying" -0.10754972144
9 "Sitting" -0.0952747481333333
9 "Standing" -0.07537846886
9 "Walking" -0.110820512307692
9 "Walking Down Stairs" -0.0910278793952381
9 "Walking Up Stairs" -0.125219003959184
10 "Lying" -0.117168642362069
10 "Sitting" -0.107964083931818
10 "Standing" -0.104253238796296
10 "Walking" -0.109057512132075
10 "Walking Down Stairs" -0.110848597247368
10 "Walking Up Stairs" -0.118180420834043
11 "Lying" -0.108786578070175
11 "Sitting" -0.108686630425532
11 "Standing" -0.112840218339623
11 "Walking" -0.106096304033898
11 "Walking Down Stairs" -0.111070149978261
11 "Walking Up Stairs" -0.106797216481481
12 "Lying" -0.108160125666667
12 "Sitting" -0.105526999754098
12 "Standing" -0.106307228960784
12 "Walking" -0.10316110632
12 "Walking Down Stairs" -0.10955593226087
12 "Walking Up Stairs" -0.107339730115385
13 "Lying" -0.104331864532258
