"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.11816739
1 "Lying" -0.096824565
1 "Lying" -0.10762126
1 "Lying" -0.10948053
1 "Lying" -0.10798311
1 "Lying" -0.10801374
1 "Lying" -0.10896485
1 "Lying" -0.10748863
1 "Lying" -0.10527824
1 "Lying" -0.10563797
1 "Lying" -0.10882921
1 "Lying" -0.1057035
1 "Lying" -0.10818111
1 "Lying" -0.028333356
1 "Lying" -0.10625819
1 "Lying" 0.13303497
1 "Lying" 0.14803461
1 "Lying" -0.20082552
1 "Lying" -0.24533103
1 "Lying" 0.17689637
1 "Lying" 0.34665772
1 "Lying" 0.017374188
1 "Lying" -0.1231748
1 "Lying" -0.10372571
1 "Lying" -0.10374518
1 "Lying" -0.10928717
1 "Lying" -0.11115339
1 "Lying" -0.12592376
1 "Lying" -0.099798821
1 "Lying" -0.10935435
1 "Lying" -0.11073427
1 "Lying" -0.11041766
1 "Lying" -0.10698796
1 "Lying" -0.1073364
1 "Lying" -0.10897656
1 "Lying" -0.10840311
1 "Lying" -0.10562315
1 "Lying" -0.10901088
1 "Lying" -0.10793379
1 "Lying" -1
1 "Lying" -0.51608391
1 "Lying" -0.12024506
1 "Lying" -0.029339182
1 "Lying" 0.016658077
1 "Lying" -0.10818389
1 "Lying" -0.13505802
1 "Lying" -0.12013176
1 "Lying" -0.18227212
1 "Lying" -0.28056106
1 "Lying" -0.16644945
1 "Sitting" -0.13290514
1 "Sitting" -0.12352019
1 "Sitting" -0.11346169
1 "Sitting" -0.12328257
1 "Sitting" -0.11536185
1 "Sitting" -0.10513725
1 "Sitting" -0.11002215
1 "Sitting" -0.12536043
1 "Sitting" -0.12075082
1 "Sitting" -0.10606516
1 "Sitting" -0.10343832
1 "Sitting" -0.10820234
1 "Sitting" -0.11273172
1 "Sitting" -0.10675647
1 "Sitting" -0.061668123
1 "Sitting" -0.12208028
1 "Sitting" -0.11684896
1 "Sitting" -0.10637048
1 "Sitting" -0.10918803
1 "Sitting" -0.11142918
1 "Sitting" -0.10787724
1 "Sitting" -0.10660117
1 "Sitting" -0.11080122
1 "Sitting" -0.10916135
1 "Sitting" -0.10287513
1 "Sitting" -0.10659617
1 "Sitting" -0.10677578
1 "Sitting" -0.13730782
1 "Sitting" -0.11994169
1 "Sitting" -0.089976474
1 "Sitting" -0.1137861
1 "Sitting" -0.11324183
1 "Sitting" -0.11731189
1 "Sitting" -0.12529627
1 "Sitting" -0.1101951
1 "Sitting" -0.10343073
1 "Sitting" -0.112972
1 "Sitting" -0.11394039
1 "Sitting" -0.10701234
1 "Sitting" -0.10754792
1 "Sitting" -0.11743596
1 "Sitting" -0.05735073
1 "Sitting" -0.12251223
1 "Sitting" -0.11988703
1 "Sitting" -0.099381423
1 "Sitting" -0.11033551
1 "Sitting" -0.12120311
1 "Sitting" -0.11530914
1 "Sitting" -0.11126972
1 "Sitting" -0.10844766
1 "Sitting" -0.10639918
1 "Sitting" -0.10621291
1 "Sitting" -0.10892197
1 "Standing" 0.062769317
1 "Standing" -0.14597431
1 "Standing" -0.10572355
1 "Standing" -0.12361242
1 "Standing" 0.025551778
1 "Standing" 0.016242945
1 "Standing" -0.15085028
1 "Standing" -0.11673889
1 "Standing" -0.10652245
1 "Standing" -0.11051668
1 "Standing" -0.10803259
1 "Standing" -0.12283791
1 "Standing" -0.10947182
1 "Standing" -0.11139287
1 "Standing" -0.10797029
1 "Standing" -0.10839283
1 "Standing" -0.11281565
1 "Standing" -0.1111806
1 "Standing" -0.10634926
1 "Standing" -0.10970656
1 "Standing" -0.10635945
1 "Standing" -0.10543517
1 "Standing" -0.11323643
1 "Standing" -0.10588882
1 "Standing" -0.17609097
1 "Standing" -0.11592994
1 "Standing" -0.10258892
1 "Standing" -0.11006327
1 "Standing" -0.10781649
1 "Standing" -0.10788811
1 "Standing" -0.10987181
1 "Standing" -0.1116638
1 "Standing" -0.10989482
1 "Standing" -0.10694863
1 "Standing" -0.10820759
1 "Standing" -0.20554844
1 "Standing" -0.071903067
1 "Standing" -0.089394709
1 "Standing" -0.10852663
1 "Standing" -0.11023355
1 "Standing" -0.10596005
1 "Standing" -0.10953993
1 "Standing" -0.10985922
1 "Standing" -0.10899857
1 "Standing" -0.11050438
1 "Standing" -0.11220537
1 "Standing" -0.10949351
1 "Walking" -0.1348973
1 "Walking" -0.095186339
1 "Walking" -0.12365809
1 "Walking" -0.16737697
1 "Walking" -0.14261631
1 "Walking" -0.048949431
1 "Walking" -0.043553705
1 "Walking" -0.11175723
1 "Walking" -0.13095121
1 "Walking" -0.080569176
1 "Walking" -0.11964696
1 "Walking" -0.18016197
1 "Walking" -0.13467496
1 "Walking" -0.038613087
1 "Walking" -0.058680943
1 "Walking" -0.11718642
1 "Walking" -0.123073
1 "Walking" -0.1491439
1 "Walking" -0.15005217
1 "Walking" -0.10297373
1 "Walking" -0.21230304
1 "Walking" -0.075076407
1 "Walking" -0.042982545
1 "Walking" -0.10258842
1 "Walking" -0.12518006
1 "Walking" -0.15477656
1 "Walking" -0.10544192
1 "Walking" -0.040695674
1 "Walking" -0.07970154
1 "Walking" -0.13709513
1 "Walking" -0.15619795
1 "Walking" -0.15926922
1 "Walking" -0.11750002
1 "Walking" -0.081513949
1 "Walking" -0.11188336
1 "Walking" -0.14034852
1 "Walking" -0.13173868
1 "Walking" -0.079095855
1 "Walking" -0.042613832
1 "Walking" -0.07234686
1 "Walking" -0.12726298
1 "Walking" -0.12197022
1 "Walking" -0.11667518
1 "Walking" -0.16044667
1 "Walking" -0.18182373
1 "Walking" -0.11255181
1 "Walking" -0.039347036
1 "Walking" -0.064799659
1 "Walking" -0.088320786
1 "Walking" -0.071284752
