"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90224092
1 "Lying" -0.99320151
1 "Lying" -0.9946894
1 "Lying" -0.99564924
1 "Lying" -0.99587063
1 "Lying" -0.99318822
1 "Lying" -0.99338638
1 "Lying" -0.99453129
1 "Lying" -0.99438856
1 "Lying" -0.99567961
1 "Lying" -0.99613653
1 "Lying" -0.99660017
1 "Lying" -0.99440637
1 "Lying" -0.86582785
1 "Lying" -0.98006107
1 "Lying" -0.66085342
1 "Lying" -0.68634475
1 "Lying" -0.94913627
1 "Lying" -0.79163541
1 "Lying" -0.33962197
1 "Lying" -0.29310124
1 "Lying" -0.85134447
1 "Lying" -0.98009774
1 "Lying" -0.98054207
1 "Lying" -0.99676198
1 "Lying" -0.99639147
1 "Lying" -0.99459061
1 "Lying" -0.9648811
1 "Lying" -0.99674518
1 "Lying" -0.99591223
1 "Lying" -0.99499599
1 "Lying" -0.99563683
1 "Lying" -0.99734536
1 "Lying" -0.99408222
1 "Lying" -0.99074619
1 "Lying" -0.99372195
1 "Lying" -0.99765669
1 "Lying" -0.99605598
1 "Lying" -0.99627413
1 "Lying" -0.67203974
1 "Lying" -0.75125642
1 "Lying" -0.96807307
1 "Lying" -0.96867652
1 "Lying" -0.98267438
1 "Lying" -0.991641
1 "Lying" -0.9935855
1 "Lying" -0.99387767
1 "Lying" -0.98949112
1 "Lying" -0.98985234
1 "Lying" -0.99078066
1 "Sitting" -0.99433641
1 "Sitting" -0.99169441
1 "Sitting" -0.9903969
1 "Sitting" -0.9933808
1 "Sitting" -0.99585371
1 "Sitting" -0.99542431
1 "Sitting" -0.98944783
1 "Sitting" -0.99038832
1 "Sitting" -0.99288747
1 "Sitting" -0.98364308
1 "Sitting" -0.98602515
1 "Sitting" -0.99527144
1 "Sitting" -0.9971272
1 "Sitting" -0.99600058
1 "Sitting" -0.98912684
1 "Sitting" -0.99754046
1 "Sitting" -0.99892631
1 "Sitting" -0.9967385
1 "Sitting" -0.99731242
1 "Sitting" -0.99991721
1 "Sitting" -0.99763356
1 "Sitting" -0.99440487
1 "Sitting" -0.99284139
1 "Sitting" -0.99435793
1 "Sitting" -0.9952337
1 "Sitting" -0.99485866
1 "Sitting" -0.99456104
1 "Sitting" -0.98738536
1 "Sitting" -0.99342602
1 "Sitting" -0.99181063
1 "Sitting" -0.97981934
1 "Sitting" -0.97943854
1 "Sitting" -0.98497571
1 "Sitting" -0.98775153
1 "Sitting" -0.99813533
1 "Sitting" -0.98295405
1 "Sitting" -0.98295091
1 "Sitting" -0.99132196
1 "Sitting" -0.99244915
1 "Sitting" -0.99469193
1 "Sitting" -0.99056254
1 "Sitting" -0.99093056
1 "Sitting" -0.99544812
1 "Sitting" -0.997677
1 "Sitting" -0.99766864
1 "Sitting" -0.99657353
1 "Sitting" -0.99743605
1 "Sitting" -0.99764652
1 "Sitting" -0.99902172
1 "Sitting" -0.99924163
1 "Sitting" -0.99728281
1 "Sitting" -0.99622141
1 "Sitting" -0.99594761
1 "Standing" -0.97133698
1 "Standing" -0.99458511
1 "Standing" -0.99452938
1 "Standing" -0.81597791
1 "Standing" -0.83897844
1 "Standing" -0.91068062
1 "Standing" -0.98994373
1 "Standing" -0.99590981
1 "Standing" -0.99785691
1 "Standing" -0.99756977
1 "Standing" -0.99763017
1 "Standing" -0.97954382
1 "Standing" -0.99272934
1 "Standing" -0.99521943
1 "Standing" -0.99322502
