"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.054980692
1 "Lying" 0.15257604
1 "Lying" 0.24963245
1 "Lying" 0.25481615
1 "Lying" 0.16807125
1 "Lying" 0.1877201
1 "Lying" 0.14953216
1 "Lying" 0.12626874
1 "Lying" 0.16004874
1 "Lying" 0.18098251
1 "Lying" 0.26514377
1 "Lying" 0.2391065
1 "Lying" 0.26298173
1 "Lying" 0.015272279
1 "Lying" 0.084542057
1 "Lying" -0.34633774
1 "Lying" -0.40218761
1 "Lying" 0.018574341
1 "Lying" 0.12818532
1 "Lying" -0.08993761
1 "Lying" -0.068720793
1 "Lying" -0.28316786
1 "Lying" 0.25591129
1 "Lying" 0.27928825
1 "Lying" 0.23098237
1 "Lying" 0.14004241
1 "Lying" 0.21105162
1 "Lying" 0.054945904
1 "Lying" 0.1668436
1 "Lying" 0.35550526
1 "Lying" 0.30441523
1 "Lying" 0.27398736
1 "Lying" 0.20267339
1 "Lying" 0.22973249
1 "Lying" 0.43980909
1 "Lying" 0.18242196
1 "Lying" 0.24645785
1 "Lying" 0.10017487
1 "Lying" 0.21695907
1 "Lying" -0.083075208
1 "Lying" 0.3681313
1 "Lying" 0.17125734
1 "Lying" 0.1701612
1 "Lying" 0.0011695654
1 "Lying" 0.11398878
1 "Lying" 0.34307574
1 "Lying" 0.21697372
1 "Lying" -0.0074790285
1 "Lying" -0.075838415
1 "Lying" 0.11326578
1 "Sitting" 0.87038451
1 "Sitting" 0.60851352
1 "Sitting" 0.115434
1 "Sitting" 0.035798053
1 "Sitting" 0.2733502
1 "Sitting" 0.32883589
1 "Sitting" 0.35640411
1 "Sitting" 0.29494348
1 "Sitting" 0.28644948
1 "Sitting" 0.21177858
1 "Sitting" 0.29814706
1 "Sitting" 0.36242301
1 "Sitting" 0.27214463
1 "Sitting" 0.27096385
1 "Sitting" 0.43167873
1 "Sitting" 0.29352135
1 "Sitting" 0.29810065
1 "Sitting" 0.23929622
1 "Sitting" 0.32829076
1 "Sitting" 0.15322251
1 "Sitting" 0.30277895
1 "Sitting" 0.32105115
1 "Sitting" 0.31547212
1 "Sitting" 0.30707408
1 "Sitting" 0.47884333
1 "Sitting" 0.22387222
1 "Sitting" 0.46784619
1 "Sitting" 0.48912501
1 "Sitting" 0.15872087
1 "Sitting" 0.22357258
1 "Sitting" 0.15938034
1 "Sitting" 0.041288845
1 "Sitting" 0.29798947
1 "Sitting" 0.2276809
1 "Sitting" 0.33733067
1 "Sitting" 0.161961
1 "Sitting" 0.30095666
1 "Sitting" 0.38027665
1 "Sitting" 0.42503497
1 "Sitting" 0.27761507
1 "Sitting" 0.30404082
1 "Sitting" 0.10141875
1 "Sitting" 0.33699236
1 "Sitting" 0.50701245
1 "Sitting" 0.30973755
1 "Sitting" 0.39958138
1 "Sitting" 0.56947462
1 "Sitting" 0.2779303
1 "Sitting" 0.34943612
1 "Sitting" 0.29720054
1 "Sitting" 0.28823469
1 "Sitting" 0.42274026
1 "Sitting" 0.26034432
1 "Standing" 0.25988055
1 "Standing" 0.18773056
1 "Standing" 0.46011421
1 "Standing" -0.0064065533
1 "Standing" -0.24581491
1 "Standing" 0.26304766
1 "Standing" 0.24003213
1 "Standing" 0.41077455
1 "Standing" 0.2340979
1 "Standing" 0.24908144
1 "Standing" 0.15700775
1 "Standing" 0.27396304
1 "Standing" 0.37870975
1 "Standing" 0.014616459
1 "Standing" 0.031498302
1 "Standing" 0.28363361
1 "Standing" 0.32685755
1 "Standing" 0.25664023
1 "Standing" 0.21532858
1 "Standing" 0.22729442
1 "Standing" 0.28092337
1 "Standing" 0.24546665
1 "Standing" 0.30047784
1 "Standing" 0.3925354
1 "Standing" 0.52007402
1 "Standing" 0.20006566
1 "Standing" 0.18790197
1 "Standing" 0.22269573
1 "Standing" 0.29484428
1 "Standing" 0.29444118
1 "Standing" 0.31624897
1 "Standing" 0.27998326
1 "Standing" 0.1693505
1 "Standing" 0.28954433
