"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.12840717
1 "Lying" 0.16369105
1 "Lying" 0.2550511
1 "Lying" 0.43735373
1 "Lying" 0.33697381
1 "Lying" 0.18979962
1 "Lying" 0.44449049
1 "Lying" 0.18853112
1 "Lying" 0.10515966
1 "Lying" 0.43300776
1 "Lying" 0.31662248
1 "Lying" 0.26689833
1 "Lying" 0.28121312
1 "Lying" -0.021357176
1 "Lying" 0.11757263
1 "Lying" -0.55169544
1 "Lying" -0.58193048
1 "Lying" -0.18934396
1 "Lying" -0.41708085
1 "Lying" -0.29874883
1 "Lying" -0.26722372
1 "Lying" 0.075588089
1 "Lying" 0.14471338
1 "Lying" -0.021002482
1 "Lying" 0.087364709
1 "Lying" 0.31428141
1 "Lying" 0.24773636
1 "Lying" -0.17764357
1 "Lying" -0.08326383
1 "Lying" 0.2320654
1 "Lying" 0.14816798
1 "Lying" 0.064367392
1 "Lying" 0.022946196
1 "Lying" 0.12831602
1 "Lying" 0.13547875
1 "Lying" 0.37648924
1 "Lying" 0.068068392
1 "Lying" 0.1592164
1 "Lying" 0.096404531
1 "Lying" -0.42205069
1 "Lying" 0.057899372
1 "Lying" -0.19213194
1 "Lying" -0.41673063
1 "Lying" -0.36784088
1 "Lying" 0.11631885
1 "Lying" 0.071753051
1 "Lying" 0.13188497
1 "Lying" -0.27687124
1 "Lying" -0.33571495
1 "Lying" -0.24699029
1 "Sitting" 0.26370789
1 "Sitting" 0.063148268
1 "Sitting" 0.038254326
1 "Sitting" 0.16809523
1 "Sitting" 0.29238418
1 "Sitting" 0.32094497
1 "Sitting" 0.20893077
1 "Sitting" 0.02694164
1 "Sitting" 0.25011504
1 "Sitting" 0.029956934
1 "Sitting" 0.075871412
1 "Sitting" 0.23596642
1 "Sitting" 0.14741231
1 "Sitting" -0.022550317
1 "Sitting" -0.067300167
1 "Sitting" 0.31368835
1 "Sitting" 0.21892784
1 "Sitting" 0.13728835
1 "Sitting" 0.066680889
1 "Sitting" 0.23363094
1 "Sitting" 0.087776392
1 "Sitting" 0.40567757
1 "Sitting" 0.27388505
1 "Sitting" 0.19355673
1 "Sitting" 0.3207876
1 "Sitting" 0.29543031
1 "Sitting" 0.29315673
1 "Sitting" 0.27919699
1 "Sitting" -0.19963983
1 "Sitting" 0.0005505361
1 "Sitting" -0.18532932
1 "Sitting" -0.16753134
1 "Sitting" 0.047651779
1 "Sitting" -0.011769724
1 "Sitting" 0.15420968
1 "Sitting" 0.042609703
1 "Sitting" -0.0066095534
1 "Sitting" -0.15751433
1 "Sitting" -0.20172672
1 "Sitting" 0.068518937
1 "Sitting" 0.30276071
1 "Sitting" -0.39321297
1 "Sitting" 0.10255988
1 "Sitting" 0.30456647
1 "Sitting" 0.20539334
1 "Sitting" 0.3617738
1 "Sitting" 0.3674995
1 "Sitting" 0.38396221
1 "Sitting" 0.10074911
1 "Sitting" 0.48951291
1 "Sitting" 0.24905851
1 "Sitting" 0.25798861
1 "Sitting" 0.077223829
1 "Standing" -0.2711709
1 "Standing" 0.22072527
1 "Standing" 0.16349957
1 "Standing" -1
1 "Standing" -0.94151016
1 "Standing" -0.58818391
1 "Standing" -0.12355492
1 "Standing" -0.089948182
