"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92631396
1 "Lying" -0.98687443
1 "Lying" -0.99361477
1 "Lying" -0.99574989
1 "Lying" -0.99651117
1 "Lying" -0.99470159
1 "Lying" -0.99403729
1 "Lying" -0.99569054
1 "Lying" -0.99529395
1 "Lying" -0.99307421
1 "Lying" -0.99480416
1 "Lying" -0.9951802
1 "Lying" -0.99354586
1 "Lying" -0.66860442
1 "Lying" -0.97498679
1 "Lying" -0.74175973
1 "Lying" -0.78254802
1 "Lying" -0.82682765
1 "Lying" -0.77764042
1 "Lying" -0.62167946
1 "Lying" -0.60838922
1 "Lying" -0.90611827
1 "Lying" -0.97590839
1 "Lying" -0.98176325
1 "Lying" -0.99356756
1 "Lying" -0.99230658
1 "Lying" -0.99141608
1 "Lying" -0.96977197
1 "Lying" -0.97369917
1 "Lying" -0.99409283
1 "Lying" -0.99279872
1 "Lying" -0.99287173
1 "Lying" -0.9959341
1 "Lying" -0.99474435
1 "Lying" -0.99556574
1 "Lying" -0.99437732
1 "Lying" -0.99372416
1 "Lying" -0.99345848
1 "Lying" -0.99430003
1 "Lying" -0.7624721
1 "Lying" -0.82134259
1 "Lying" -0.95855139
1 "Lying" -0.96565209
1 "Lying" -0.98568688
1 "Lying" -0.98488729
1 "Lying" -0.98864986
1 "Lying" -0.99033154
1 "Lying" -0.96946302
1 "Lying" -0.97906703
1 "Lying" -0.96460237
1 "Sitting" -0.99478319
1 "Sitting" -0.99745072
1 "Sitting" -0.99359409
1 "Sitting" -0.99549062
1 "Sitting" -0.99728592
1 "Sitting" -0.99665675
1 "Sitting" -0.99584913
1 "Sitting" -0.99519276
1 "Sitting" -0.99709991
1 "Sitting" -0.99351933
1 "Sitting" -0.99288633
1 "Sitting" -0.99823935
1 "Sitting" -0.99937732
1 "Sitting" -0.99881956
1 "Sitting" -0.98933967
1 "Sitting" -0.9956289
1 "Sitting" -0.99619504
1 "Sitting" -0.99683409
1 "Sitting" -0.99680119
1 "Sitting" -0.99720497
1 "Sitting" -0.99719829
1 "Sitting" -0.99657474
1 "Sitting" -0.9975464
1 "Sitting" -0.99750264
1 "Sitting" -0.99865677
1 "Sitting" -0.99747202
1 "Sitting" -0.99898187
1 "Sitting" -0.98072219
1 "Sitting" -0.99302227
1 "Sitting" -0.99287155
1 "Sitting" -0.99279184
1 "Sitting" -0.99106322
1 "Sitting" -0.99019493
1 "Sitting" -0.99230808
1 "Sitting" -0.99629535
1 "Sitting" -0.99436641
1 "Sitting" -0.99386249
1 "Sitting" -0.99768182
1 "Sitting" -0.9978675
1 "Sitting" -0.99686728
1 "Sitting" -0.99459682
1 "Sitting" -0.97619145
1 "Sitting" -0.99281566
1 "Sitting" -0.99799161
1 "Sitting" -0.99624071
1 "Sitting" -0.99540859
1 "Sitting" -0.99767391
1 "Sitting" -0.99717491
1 "Sitting" -0.997001
1 "Sitting" -0.9974627
1 "Sitting" -0.99697205
1 "Sitting" -0.99804397
1 "Sitting" -0.99857655
