"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.91037489
1 "Lying" -0.98389409
1 "Lying" -0.99436299
1 "Lying" -0.99623496
1 "Lying" -0.99682163
1 "Lying" -0.99492265
1 "Lying" -0.99449739
1 "Lying" -0.99681573
1 "Lying" -0.99674939
1 "Lying" -0.99564117
1 "Lying" -0.99577676
1 "Lying" -0.99658088
1 "Lying" -0.99609844
1 "Lying" -0.65825324
1 "Lying" -0.95311651
1 "Lying" -0.59792408
1 "Lying" -0.59362341
1 "Lying" -0.79528766
1 "Lying" -0.74773772
1 "Lying" -0.59077718
1 "Lying" -0.59163789
1 "Lying" -0.92560766
1 "Lying" -0.97788126
1 "Lying" -0.98756086
1 "Lying" -0.99653259
1 "Lying" -0.99579669
1 "Lying" -0.99390879
1 "Lying" -0.95935691
1 "Lying" -0.96438272
1 "Lying" -0.99558987
1 "Lying" -0.99524162
1 "Lying" -0.99618044
1 "Lying" -0.99570341
1 "Lying" -0.99490512
1 "Lying" -0.99681723
1 "Lying" -0.99628919
1 "Lying" -0.99554005
1 "Lying" -0.99519542
1 "Lying" -0.99562945
1 "Lying" -0.65734653
1 "Lying" -0.71150698
1 "Lying" -0.95628404
1 "Lying" -0.95769803
1 "Lying" -0.98093901
1 "Lying" -0.98060055
1 "Lying" -0.98533315
1 "Lying" -0.99119937
1 "Lying" -0.96596848
1 "Lying" -0.94991554
1 "Lying" -0.94983211
1 "Sitting" -0.99542175
1 "Sitting" -0.99868026
1 "Sitting" -0.99631281
1 "Sitting" -0.99631211
1 "Sitting" -0.99860647
1 "Sitting" -0.9976438
1 "Sitting" -0.99746125
1 "Sitting" -0.99727933
1 "Sitting" -0.99736759
1 "Sitting" -0.99538845
1 "Sitting" -0.99581075
1 "Sitting" -0.99818143
1 "Sitting" -0.99895036
1 "Sitting" -0.99938998
1 "Sitting" -0.98817595
1 "Sitting" -0.99746986
1 "Sitting" -0.99727628
1 "Sitting" -0.9981406
1 "Sitting" -0.99781366
1 "Sitting" -0.99809595
1 "Sitting" -0.99825827
1 "Sitting" -0.99844386
1 "Sitting" -0.99796805
1 "Sitting" -0.9989003
1 "Sitting" -0.99840255
1 "Sitting" -0.99834409
1 "Sitting" -0.99939524
1 "Sitting" -0.97100568
1 "Sitting" -0.99537265
1 "Sitting" -0.99519719
1 "Sitting" -0.99478793
1 "Sitting" -0.98979632
1 "Sitting" -0.99392423
1 "Sitting" -0.99506704
1 "Sitting" -0.99728376
1 "Sitting" -0.99648673
1 "Sitting" -0.9963946
1 "Sitting" -0.9985909
1 "Sitting" -0.99859673
1 "Sitting" -0.99682428
1 "Sitting" -0.99642133
1 "Sitting" -0.96698413
1 "Sitting" -0.99438887
1 "Sitting" -0.99863881
1 "Sitting" -0.99834824
1 "Sitting" -0.99807926
1 "Sitting" -0.99889551
1 "Sitting" -0.9985067
1 "Sitting" -0.99837948
1 "Sitting" -0.99802291
1 "Sitting" -0.99728246
1 "Sitting" -0.99793026
1 "Sitting" -0.99880529
1 "Standing" -0.89802907
1 "Standing" -0.9814758
1 "Standing" -0.9926239
1 "Standing" -0.81740855
1 "Standing" -0.73954717
1 "Standing" -0.79420134
1 "Standing" -0.95235854
1 "Standing" -0.974984
1 "Standing" -0.99282051
1 "Standing" -0.99594084
1 "Standing" -0.99560896
1 "Standing" -0.97845261
1 "Standing" -0.99110846
1 "Standing" -0.9959233
1 "Standing" -0.99525185
1 "Standing" -0.99613117
1 "Standing" -0.99491636
1 "Standing" -0.9949904
1 "Standing" -0.99649281
1 "Standing" -0.99716899
1 "Standing" -0.99723615
1 "Standing" -0.99641687
1 "Standing" -0.9960453
1 "Standing" -0.99743328
1 "Standing" -0.94822045
1 "Standing" -0.98846347
1 "Standing" -0.99710607
1 "Standing" -0.99755795
1 "Standing" -0.99787694
1 "Standing" -0.99825588
1 "Standing" -0.99760291
1 "Standing" -0.99734383
1 "Standing" -0.99773968
1 "Standing" -0.99643708
1 "Standing" -0.99721585
1 "Standing" -0.94865733
1 "Standing" -0.99468348
1 "Standing" -0.99753903
1 "Standing" -0.99781942
1 "Standing" -0.99795595
1 "Standing" -0.99673915
1 "Standing" -0.99635802
1 "Standing" -0.99739641
1 "Standing" -0.99775838
1 "Standing" -0.99720166
1 "Standing" -0.99806372
1 "Standing" -0.99481983
1 "Walking" -0.35670701
1 "Walking" -0.26219727
1 "Walking" -0.29352234
1 "Walking" -0.26312557
1 "Walking" -0.22680227
1 "Walking" -0.19997071
1 "Walking" -0.26347693
1 "Walking" -0.27172376
1 "Walking" -0.38657078
1 "Walking" -0.27364908
1 "Walking" -0.28372378
1 "Walking" -0.2675901
1 "Walking" -0.20242093
1 "Walking" -0.14326479
1 "Walking" -0.20627066
1 "Walking" -0.25456565
1 "Walking" -0.22392465
1 "Walking" -0.29312949
1 "Walking" -0.33997374
1 "Walking" -0.44057116
1 "Walking" -0.2015629
1 "Walking" -0.14057312
1 "Walking" -0.15468407
1 "Walking" -0.20036871
1 "Walking" -0.24188591
1 "Walking" -0.27228351
1 "Walking" -0.25356882
1 "Walking" -0.2089881
1 "Walking" -0.20945091
1 "Walking" -0.28363584
1 "Walking" -0.28844704
1 "Walking" -0.3520274
1 "Walking" -0.34397247
1 "Walking" -0.19535064
1 "Walking" -0.25631243
1 "Walking" -0.2786188
1 "Walking" -0.26192826
1 "Walking" -0.2363313
1 "Walking" -0.24092268
1 "Walking" -0.29354955
1 "Walking" -0.42491561
1 "Walking" -0.40984011
1 "Walking" -0.40805666
1 "Walking" -0.49007925
1 "Walking" -0.42800114
1 "Walking" -0.36589162
1 "Walking" -0.41870823
1 "Walking" -0.44047046
1 "Walking" -0.43245942
1 "Walking" -0.39744575
1 "Walking" -0.38010115
1 "Walking" -0.40639907
1 "Walking" -0.41005976
1 "Walking" -0.38982812
1 "Walking" -0.41501217
1 "Walking" -0.33764259
1 "Walking" -0.30911473
1 "Walking" -0.34595553
1 "Walking" -0.38325631
1 "Walking" -0.36429489
1 "Walking" -0.33322517
1 "Walking" -0.36581424
1 "Walking" -0.36342229
1 "Walking" -0.33156171
1 "Walking" -0.36318892
1 "Walking" -0.35947352
1 "Walking" -0.29370586
1 "Walking" -0.2906697
1 "Walking" -0.36360846
1 "Walking" -0.39175312
1 "Walking" -0.33335529
1 "Walking" -0.31483079
1 "Walking" -0.34004211
1 "Walking" -0.33759397
1 "Walking" -0.37606467
1 "Walking" -0.38141467
1 "Walking" -0.34947325
1 "Walking" -0.36503316
1 "Walking" -0.37491533
1 "Walking" -0.34580334
1 "Walking" -0.41032672
1 "Walking" -0.38290101
1 "Walking" -0.32960393
1 "Walking" -0.39221963
1 "Walking" -0.43623968
1 "Walking" -0.35320378
1 "Walking" -0.33007383
1 "Walking" -0.29057432
1 "Walking" -0.2543366
1 "Walking" -0.26433257
1 "Walking" -0.30899953
1 "Walking" -0.23432381
1 "Walking" -0.27751075
1 "Walking" -0.38223969
1 "Walking" -0.37078724
1 "Walking Down Stairs" -0.1436021
1 "Walking Down Stairs" 0.007006763
1 "Walking Down Stairs" -0.074232455
1 "Walking Down Stairs" -0.1259977
1 "Walking Down Stairs" 0.088544939
1 "Walking Down Stairs" 0.13349257
1 "Walking Down Stairs" -0.0089426054
1 "Walking Down Stairs" -0.020483967
1 "Walking Down Stairs" -0.049114098
1 "Walking Down Stairs" 0.083777484
1 "Walking Down Stairs" 0.10249047
1 "Walking Down Stairs" 0.060062722
1 "Walking Down Stairs" -0.042123898
1 "Walking Down Stairs" 0.14099583
1 "Walking Down Stairs" 0.0059573866
1 "Walking Down Stairs" 0.1440673
1 "Walking Down Stairs" 0.32729159
1 "Walking Down Stairs" 0.10693996
1 "Walking Down Stairs" 0.099496176
1 "Walking Down Stairs" -0.14716133
1 "Walking Down Stairs" 0.02787915
1 "Walking Down Stairs" 0.065090081
1 "Walking Down Stairs" -0.0064958074
1 "Walking Down Stairs" -0.021517836
1 "Walking Down Stairs" 0.020096585
1 "Walking Down Stairs" -0.017670316
1 "Walking Down Stairs" -0.010692365
1 "Walking Down Stairs" -0.12722622
1 "Walking Down Stairs" 0.0080798768
1 "Walking Down Stairs" -0.075139513
1 "Walking Down Stairs" 0.0029380933
1 "Walking Down Stairs" 0.1073328
1 "Walking Down Stairs" 0.25661766
1 "Walking Down Stairs" 0.180173
1 "Walking Down Stairs" 0.015768064
1 "Walking Down Stairs" -0.16941227
1 "Walking Down Stairs" 0.014785348
1 "Walking Down Stairs" -0.17395309
1 "Walking Down Stairs" 0.05986441
1 "Walking Down Stairs" 0.25104704
1 "Walking Down Stairs" 0.0902298
1 "Walking Down Stairs" 0.10779267
1 "Walking Down Stairs" 0.064143533
1 "Walking Down Stairs" -0.036345389
1 "Walking Down Stairs" 0.0083422084
