"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.88104465
1 "Lying" -0.98179749
1 "Lying" -0.99536475
1 "Lying" -0.99902371
1 "Lying" -0.995386
1 "Lying" -0.9920588
1 "Lying" -0.99556989
1 "Lying" -0.99148221
1 "Lying" -0.98948484
1 "Lying" -0.99341508
1 "Lying" -0.99471737
1 "Lying" -0.99535591
1 "Lying" -0.99408934
1 "Lying" -0.70531714
1 "Lying" -0.99104596
1 "Lying" -0.26673644
1 "Lying" -0.17499567
1 "Lying" -0.58065442
1 "Lying" -0.69274327
1 "Lying" 0.054977589
1 "Lying" -0.14414422
1 "Lying" -0.6104376
1 "Lying" -0.96595169
1 "Lying" -0.98742986
1 "Lying" -0.9964054
1 "Lying" -0.99721457
1 "Lying" -0.99647208
1 "Lying" -0.89024943
1 "Lying" -0.97220531
1 "Lying" -0.99497877
1 "Lying" -0.9941836
1 "Lying" -0.99237529
1 "Lying" -0.99418576
1 "Lying" -0.99399969
1 "Lying" -0.99311765
1 "Lying" -0.99590539
1 "Lying" -0.99867915
1 "Lying" -0.99652628
1 "Lying" -0.99455146
1 "Lying" -0.010608281
1 "Lying" 0.14621084
1 "Lying" -0.80187989
1 "Lying" -0.59382422
1 "Lying" -0.70096628
1 "Lying" -0.92879056
1 "Lying" -0.98081955
1 "Lying" -0.94515348
1 "Lying" -0.74446701
1 "Lying" -0.71974136
1 "Lying" -0.70021963
1 "Sitting" -0.90616498
1 "Sitting" -0.95543811
1 "Sitting" -0.97704932
1 "Sitting" -0.99022911
1 "Sitting" -0.99191496
1 "Sitting" -0.99704592
1 "Sitting" -0.98288731
1 "Sitting" -0.97807586
1 "Sitting" -0.98005989
1 "Sitting" -0.98653557
1 "Sitting" -0.98683043
1 "Sitting" -0.99319699
1 "Sitting" -0.9960017
1 "Sitting" -0.9941392
1 "Sitting" -0.88547351
1 "Sitting" -0.98329938
1 "Sitting" -0.97998327
1 "Sitting" -0.99059032
1 "Sitting" -0.99565162
1 "Sitting" -0.9976144
1 "Sitting" -0.99675387
1 "Sitting" -0.99683996
1 "Sitting" -0.99452293
1 "Sitting" -0.99125809
1 "Sitting" -0.9932395
1 "Sitting" -0.9938875
1 "Sitting" -0.99502186
1 "Sitting" -0.86256037
1 "Sitting" -0.90623173
1 "Sitting" -0.97489304
1 "Sitting" -0.97787498
1 "Sitting" -0.9759822
1 "Sitting" -0.9727735
1 "Sitting" -0.98024468
1 "Sitting" -0.98018563
1 "Sitting" -0.99189342
1 "Sitting" -0.9860899
1 "Sitting" -0.98537185
1 "Sitting" -0.99239935
1 "Sitting" -0.99357422
1 "Sitting" -0.98966864
1 "Sitting" -0.8755487
1 "Sitting" -0.95652516
1 "Sitting" -0.97741529
1 "Sitting" -0.9951919
1 "Sitting" -0.97612036
1 "Sitting" -0.99513266
1 "Sitting" -0.99837758
1 "Sitting" -0.99809426
1 "Sitting" -1
1 "Sitting" -0.99275763
1 "Sitting" -0.99355769
1 "Sitting" -0.99250446
1 "Standing" -0.40381329
1 "Standing" -0.9286557
1 "Standing" -0.98084231
1 "Standing" -0.55205838
1 "Standing" -0.3690514
1 "Standing" -0.6046235
1 "Standing" -0.93038551
1 "Standing" -0.95783963
1 "Standing" -0.99211813
1 "Standing" -0.99748962
1 "Standing" -0.99296166
1 "Standing" -0.96490936
1 "Standing" -0.99012132
1 "Standing" -0.99145955
1 "Standing" -0.99200955
1 "Standing" -0.9935939
1 "Standing" -0.98830912
1 "Standing" -0.98631197
1 "Standing" -0.99166211
1 "Standing" -0.99425455
1 "Standing" -0.98965545
1 "Standing" -0.98662695
1 "Standing" -0.99189005
1 "Standing" -0.98873898
1 "Standing" -0.87975475
1 "Standing" -0.94341542
1 "Standing" -0.98482391
1 "Standing" -0.99151447
1 "Standing" -0.99372219
1 "Standing" -0.99467752
1 "Standing" -0.99681448
1 "Standing" -0.99979133
1 "Standing" -0.99753067
1 "Standing" -0.99503215
1 "Standing" -0.99696797
1 "Standing" -0.69073726
1 "Standing" -0.9638435
1 "Standing" -0.98577162
1 "Standing" -0.98903792
1 "Standing" -0.98914256
1 "Standing" -0.9943008
1 "Standing" -0.99655181
1 "Standing" -0.99592105
1 "Standing" -0.99383362
1 "Standing" -0.99728006
1 "Standing" -0.99732435
1 "Standing" -0.99289783
1 "Walking" -0.17778017
1 "Walking" -0.32216393
1 "Walking" -0.29008541
1 "Walking" -0.21697496
1 "Walking" -0.14635155
1 "Walking" -0.11065828
1 "Walking" -0.17781648
1 "Walking" -0.23757804
1 "Walking" -0.098385402
1 "Walking" -0.24038519
1 "Walking" -0.22692835
1 "Walking" -0.24801824
1 "Walking" -0.26403888
1 "Walking" -0.19593143
1 "Walking" -0.18672309
1 "Walking" -0.22484644
1 "Walking" -0.22930848
1 "Walking" -0.19942678
1 "Walking" -0.17422927
1 "Walking" -0.25777483
1 "Walking" -0.26160658
1 "Walking" -0.25071543
1 "Walking" -0.26816235
1 "Walking" -0.31082511
1 "Walking" -0.26139909
1 "Walking" -0.18961124
1 "Walking" -0.19645951
1 "Walking" -0.15953272
1 "Walking" -0.18944016
1 "Walking" -0.22806095
1 "Walking" -0.23268177
1 "Walking" -0.23099462
1 "Walking" -0.26727924
1 "Walking" -0.19280265
1 "Walking" -0.31231139
1 "Walking" -0.30195312
1 "Walking" -0.24938456
1 "Walking" -0.26515003
1 "Walking" -0.20958754
1 "Walking" -0.26763004
1 "Walking" -0.25230298
1 "Walking" -0.29328463
1 "Walking" -0.27552207
1 "Walking" -0.18207358
1 "Walking" -0.17769431
1 "Walking" -0.20622641
1 "Walking" -0.25333667
1 "Walking" -0.28298406
1 "Walking" -0.28193295
1 "Walking" -0.33320517
1 "Walking" -0.36672322
1 "Walking" -0.34624414
1 "Walking" -0.31479846
1 "Walking" -0.32205248
1 "Walking" -0.34201481
1 "Walking" -0.30994449
1 "Walking" -0.3107268
1 "Walking" -0.35791393
1 "Walking" -0.3656306
1 "Walking" -0.33454967
1 "Walking" -0.35170149
1 "Walking" -0.37437819
1 "Walking" -0.3420964
1 "Walking" -0.33492936
1 "Walking" -0.34292801
1 "Walking" -0.32909677
1 "Walking" -0.30110369
1 "Walking" -0.30124428
1 "Walking" -0.31174785
1 "Walking" -0.27910603
1 "Walking" -0.23521243
1 "Walking" -0.27128458
1 "Walking" -0.31329721
1 "Walking" -0.32048618
1 "Walking" -0.33541728
1 "Walking" -0.37347568
1 "Walking" -0.35413339
1 "Walking" -0.34281536
1 "Walking" -0.39986702
1 "Walking" -0.36180874
1 "Walking" -0.34618577
1 "Walking" -0.29098425
1 "Walking" -0.3298762
1 "Walking" -0.33121236
1 "Walking" -0.3265638
1 "Walking" -0.35624609
1 "Walking" -0.3286106
1 "Walking" -0.28267657
1 "Walking" -0.34267685
1 "Walking" -0.35908068
1 "Walking" -0.30293686
1 "Walking" -0.30490443
1 "Walking" -0.33488811
1 "Walking" -0.38040694
1 "Walking" -0.39670721
1 "Walking Down Stairs" -0.39879402
1 "Walking Down Stairs" -0.32700223
1 "Walking Down Stairs" -0.42136077
1 "Walking Down Stairs" -0.40832893
1 "Walking Down Stairs" -0.3102978
1 "Walking Down Stairs" -0.29273894
1 "Walking Down Stairs" -0.25926601
1 "Walking Down Stairs" -0.33269824
1 "Walking Down Stairs" -0.4272464
1 "Walking Down Stairs" -0.11448536
1 "Walking Down Stairs" -0.11878204
1 "Walking Down Stairs" -0.33131323
1 "Walking Down Stairs" -0.27920997
1 "Walking Down Stairs" -0.20518896
1 "Walking Down Stairs" -0.28995509
1 "Walking Down Stairs" -0.36649601
1 "Walking Down Stairs" -0.2857891
1 "Walking Down Stairs" -0.30054223
1 "Walking Down Stairs" -0.33142076
1 "Walking Down Stairs" -0.31673904
1 "Walking Down Stairs" -0.24555945
1 "Walking Down Stairs" -0.31207382
1 "Walking Down Stairs" -0.36697981
1 "Walking Down Stairs" -0.35889557
1 "Walking Down Stairs" -0.3664631
1 "Walking Down Stairs" -0.32364427
1 "Walking Down Stairs" -0.27711397
1 "Walking Down Stairs" -0.40411398
1 "Walking Down Stairs" -0.28088686
1 "Walking Down Stairs" -0.29671161
1 "Walking Down Stairs" -0.36121156
1 "Walking Down Stairs" -0.3058672
1 "Walking Down Stairs" -0.30679667
1 "Walking Down Stairs" -0.18957526
1 "Walking Down Stairs" -0.10226747
1 "Walking Down Stairs" -0.32199313
1 "Walking Down Stairs" -0.27494576
1 "Walking Down Stairs" -0.31824515
1 "Walking Down Stairs" -0.36752367
1 "Walking Down Stairs" -0.29296453
1 "Walking Down Stairs" -0.25445787
1 "Walking Down Stairs" -0.26595974
1 "Walking Down Stairs" -0.19465195
1 "Walking Down Stairs" -0.31036374
1 "Walking Down Stairs" -0.2851101
1 "Walking Down Stairs" -0.22419857
1 "Walking Down Stairs" -0.27903609
1 "Walking Down Stairs" -0.26570193
1 "Walking Down Stairs" -0.32749888
1 "Walking Up Stairs" 0.11530193
1 "Walking Up Stairs" -0.019915788
1 "Walking Up Stairs" -0.017145055
1 "Walking Up Stairs" 0.058855639
1 "Walking Up Stairs" 0.13694523
1 "Walking Up Stairs" 0.089081577
1 "Walking Up Stairs" 0.11753318
1 "Walking Up Stairs" 0.12167556
1 "Walking Up Stairs" 0.065190688
1 "Walking Up Stairs" 0.024391156
1 "Walking Up Stairs" -0.0034897729
1 "Walking Up Stairs" -0.012332467
1 "Walking Up Stairs" 0.0078786527
1 "Walking Up Stairs" 0.077195419
1 "Walking Up Stairs" 0.084188969
1 "Walking Up Stairs" 0.043421386
1 "Walking Up Stairs" 0.13533572
1 "Walking Up Stairs" 0.13205096
1 "Walking Up Stairs" 0.025706838
1 "Walking Up Stairs" 0.042299867
1 "Walking Up Stairs" 0.16054867
1 "Walking Up Stairs" 0.070334892
1 "Walking Up Stairs" 0.032263558
1 "Walking Up Stairs" 0.15271566
1 "Walking Up Stairs" 0.10359547
1 "Walking Up Stairs" 0.050974006
1 "Walking Up Stairs" 0.01137931
1 "Walking Up Stairs" 0.040042343
1 "Walking Up Stairs" 0.076529692
1 "Walking Up Stairs" 0.037292954
1 "Walking Up Stairs" 0.0058203686
1 "Walking Up Stairs" 0.080909122
1 "Walking Up Stairs" 0.10049166
1 "Walking Up Stairs" 0.095521643
1 "Walking Up Stairs" 0.16464082
1 "Walking Up Stairs" 0.21059848
1 "Walking Up Stairs" 0.096233543
1 "Walking Up Stairs" -0.023140837
1 "Walking Up Stairs" 0.060800238
1 "Walking Up Stairs" 0.11971429
1 "Walking Up Stairs" 0.087953471
1 "Walking Up Stairs" 0.16367967
1 "Walking Up Stairs" 0.19286343
1 "Walking Up Stairs" 0.13770182
1 "Walking Up Stairs" 0.15851689
1 "Walking Up Stairs" 0.13583093
1 "Walking Up Stairs" 0.13574502
1 "Walking Up Stairs" 0.10126714
1 "Walking Up Stairs" 0.098850045
1 "Walking Up Stairs" 0.066696363
1 "Walking Up Stairs" 0.082137532
1 "Walking Up Stairs" 0.13589766
1 "Walking Up Stairs" 0.18712184
2 "Lying" -0.96494459
2 "Lying" -0.98780159
2 "Lying" -0.99868059
2 "Lying" -0.99642938
2 "Lying" -0.99444851
2 "Lying" -0.99450325
2 "Lying" -0.99262589
2 "Lying" -0.99181766
