"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.91028972
1 "Lying" -0.99251304
1 "Lying" -0.99450594
1 "Lying" -0.99620832
1 "Lying" -0.99699634
1 "Lying" -0.99297665
1 "Lying" -0.99315112
1 "Lying" -0.99399846
1 "Lying" -0.99422415
1 "Lying" -0.99574837
1 "Lying" -0.99630902
1 "Lying" -0.9958311
1 "Lying" -0.99276118
1 "Lying" -0.86488401
1 "Lying" -0.98214074
1 "Lying" -0.72619041
1 "Lying" -0.72546081
1 "Lying" -0.9445135
1 "Lying" -0.83435446
1 "Lying" -0.35848249
1 "Lying" -0.33175609
1 "Lying" -0.87188606
1 "Lying" -0.97823155
1 "Lying" -0.98065971
1 "Lying" -0.99656785
1 "Lying" -0.99527734
1 "Lying" -0.99391936
1 "Lying" -0.96578938
1 "Lying" -0.99684008
1 "Lying" -0.99533712
1 "Lying" -0.99431334
1 "Lying" -0.99467829
1 "Lying" -0.99697107
1 "Lying" -0.99340751
1 "Lying" -0.98999993
1 "Lying" -0.99365839
1 "Lying" -0.99690556
1 "Lying" -0.99509202
1 "Lying" -0.99559478
1 "Lying" -0.68207355
1 "Lying" -0.78447317
1 "Lying" -0.96587353
1 "Lying" -0.96884903
1 "Lying" -0.98270918
1 "Lying" -0.99068172
1 "Lying" -0.99198771
1 "Lying" -0.99359075
1 "Lying" -0.98880082
1 "Lying" -0.98817717
1 "Lying" -0.98937615
1 "Sitting" -0.99372565
1 "Sitting" -0.99033549
1 "Sitting" -0.98928007
1 "Sitting" -0.99276892
1 "Sitting" -0.99552281
1 "Sitting" -0.99473292
1 "Sitting" -0.9878858
1 "Sitting" -0.98985144
1 "Sitting" -0.99207263
1 "Sitting" -0.98231683
1 "Sitting" -0.98476304
1 "Sitting" -0.99472936
1 "Sitting" -0.99681887
1 "Sitting" -0.99553335
1 "Sitting" -0.98902608
1 "Sitting" -0.99681501
1 "Sitting" -0.99885264
1 "Sitting" -0.99635004
1 "Sitting" -0.99674065
1 "Sitting" -0.99947946
1 "Sitting" -0.99832359
1 "Sitting" -0.99449599
1 "Sitting" -0.99258499
1 "Sitting" -0.99429146
1 "Sitting" -0.99444815
1 "Sitting" -0.99439824
1 "Sitting" -0.99322754
1 "Sitting" -0.98569092
1 "Sitting" -0.99231099
1 "Sitting" -0.99120854
1 "Sitting" -0.97948344
1 "Sitting" -0.97801148
1 "Sitting" -0.98366551
1 "Sitting" -0.9873888
1 "Sitting" -0.9981571
1 "Sitting" -0.98235982
1 "Sitting" -0.98156578
1 "Sitting" -0.991858
1 "Sitting" -0.99190493
1 "Sitting" -0.99417821
1 "Sitting" -0.98937273
1 "Sitting" -0.98985326
1 "Sitting" -0.99447541
1 "Sitting" -0.99824654
1 "Sitting" -0.9981143
1 "Sitting" -0.99628773
1 "Sitting" -0.99714266
1 "Sitting" -0.9978692
1 "Sitting" -0.99921286
1 "Sitting" -0.99974244
1 "Sitting" -0.99666249
1 "Sitting" -0.99544711
1 "Sitting" -0.99517004
1 "Standing" -0.97565857
1 "Standing" -0.99476974
