"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9524838
1 "Lying" -0.99853716
1 "Lying" -0.9983322
1 "Lying" -0.99854484
1 "Lying" -0.99885063
1 "Lying" -0.99911686
1 "Lying" -0.99859072
1 "Lying" -0.99871186
1 "Lying" -0.99929934
1 "Lying" -0.99902758
1 "Lying" -0.99859962
1 "Lying" -0.99848869
1 "Lying" -0.99870411
1 "Lying" -0.93188247
1 "Lying" -0.98755082
1 "Lying" -0.76672615
1 "Lying" -0.76196065
1 "Lying" -0.93403494
1 "Lying" -0.73301366
1 "Lying" -0.60822781
1 "Lying" -0.61261081
1 "Lying" -0.91304149
1 "Lying" -0.98525063
1 "Lying" -0.98690955
1 "Lying" -0.99691603
1 "Lying" -0.99644444
1 "Lying" -0.99665054
1 "Lying" -0.97572715
1 "Lying" -0.99229294
1 "Lying" -0.99706633
1 "Lying" -0.99732972
1 "Lying" -0.99815767
1 "Lying" -0.99827046
1 "Lying" -0.9976719
1 "Lying" -0.99824912
1 "Lying" -0.99760071
1 "Lying" -0.99712161
1 "Lying" -0.9984656
1 "Lying" -0.99774489
1 "Lying" -0.54765693
1 "Lying" -0.61014116
1 "Lying" -0.96960276
1 "Lying" -0.96938828
1 "Lying" -0.97780829
1 "Lying" -0.9908718
1 "Lying" -0.9923517
1 "Lying" -0.99627425
1 "Lying" -0.99061669
1 "Lying" -0.98878954
1 "Lying" -0.99064043
1 "Sitting" -0.99199044
1 "Sitting" -0.99585386
1 "Sitting" -0.9950305
1 "Sitting" -0.99522071
1 "Sitting" -0.99509278
1 "Sitting" -0.99514331
1 "Sitting" -0.99564148
1 "Sitting" -0.99562912
1 "Sitting" -0.99526037
1 "Sitting" -0.99098121
1 "Sitting" -0.99131428
1 "Sitting" -0.99765225
1 "Sitting" -0.99904671
1 "Sitting" -0.999028
1 "Sitting" -0.99024194
1 "Sitting" -0.997604
1 "Sitting" -0.99733245
1 "Sitting" -0.99759265
1 "Sitting" -0.99850483
1 "Sitting" -0.99957244
1 "Sitting" -0.99904676
1 "Sitting" -0.99842415
1 "Sitting" -0.99896566
1 "Sitting" -0.99872646
1 "Sitting" -0.99873615
1 "Sitting" -0.99838463
1 "Sitting" -0.99796927
1 "Sitting" -0.98466514
1 "Sitting" -0.99177517
1 "Sitting" -0.99256263
1 "Sitting" -0.98153963
1 "Sitting" -0.98038417
1 "Sitting" -0.98651037
1 "Sitting" -0.98965701
1 "Sitting" -0.99862657
1 "Sitting" -0.99228154
1 "Sitting" -0.99239011
1 "Sitting" -0.99821108
1 "Sitting" -0.99843552
1 "Sitting" -0.9971196
1 "Sitting" -0.98636082
1 "Sitting" -0.98108656
1 "Sitting" -0.99563608
1 "Sitting" -0.9975589
1 "Sitting" -0.99606119
1 "Sitting" -0.9960449
1 "Sitting" -0.99730997
1 "Sitting" -0.99735195
1 "Sitting" -0.99866594
1 "Sitting" -0.99804972
1 "Sitting" -0.99718192
1 "Sitting" -0.99728528
1 "Sitting" -0.9984768
1 "Standing" -0.98331724
1 "Standing" -0.99858976
1 "Standing" -0.99897315
1 "Standing" -0.87086437
1 "Standing" -0.87238357
1 "Standing" -0.94761761
1 "Standing" -0.98956557
1 "Standing" -0.9958058
1 "Standing" -0.99608502
1 "Standing" -0.99603174
1 "Standing" -0.99596914
1 "Standing" -0.9936382
1 "Standing" -0.99561812
1 "Standing" -0.99665915
1 "Standing" -0.99589482
1 "Standing" -0.99675725
1 "Standing" -0.99840125
1 "Standing" -0.99764281
1 "Standing" -0.99707467
1 "Standing" -0.99811099
1 "Standing" -0.99823529
1 "Standing" -0.99796048
1 "Standing" -0.99765287
1 "Standing" -0.99730213
1 "Standing" -0.99048133
1 "Standing" -0.99598042
1 "Standing" -0.99656067
1 "Standing" -0.99754745
1 "Standing" -0.99824916
1 "Standing" -0.9977988
1 "Standing" -0.9978181
1 "Standing" -0.99686801
1 "Standing" -0.99685025
1 "Standing" -0.99786922
1 "Standing" -0.99831799
1 "Standing" -0.98279706
1 "Standing" -0.99684937
1 "Standing" -0.99798348
1 "Standing" -0.99817294
1 "Standing" -0.99781519
1 "Standing" -0.9975159
1 "Standing" -0.99734832
1 "Standing" -0.99834477
1 "Standing" -0.99801491
1 "Standing" -0.99789053
