"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.87599774
1 "Lying" -0.93249135
1 "Lying" -0.98466623
1 "Lying" -0.99602715
1 "Lying" -0.99633125
1 "Lying" -0.99698871
1 "Lying" -0.99599918
1 "Lying" -0.99789256
1 "Lying" -0.99828512
1 "Lying" -0.99861154
1 "Lying" -0.99914259
1 "Lying" -0.99820311
1 "Lying" -0.99768722
1 "Lying" -0.87785926
1 "Lying" -0.90194398
1 "Lying" -0.44981321
1 "Lying" -0.45857638
1 "Lying" -0.80248618
1 "Lying" -0.41740016
1 "Lying" -0.10202009
1 "Lying" 0.10504627
1 "Lying" -0.76682956
1 "Lying" -0.95044369
1 "Lying" -0.9424823
1 "Lying" -0.96361471
1 "Lying" -0.98660836
1 "Lying" -0.9952448
1 "Lying" -0.89150944
1 "Lying" -0.91236404
1 "Lying" -0.97455817
1 "Lying" -0.99481262
1 "Lying" -0.99582442
1 "Lying" -0.99700662
1 "Lying" -0.99560529
1 "Lying" -0.99626225
1 "Lying" -0.99585453
1 "Lying" -0.99585406
1 "Lying" -0.99687288
1 "Lying" -0.99671137
1 "Lying" -0.18250374
1 "Lying" -0.49524998
1 "Lying" -0.86001455
1 "Lying" -0.87700538
1 "Lying" -0.84213436
1 "Lying" -0.96908901
1 "Lying" -0.98337085
1 "Lying" -0.98885366
1 "Lying" -0.95524758
1 "Lying" -0.95903046
1 "Lying" -0.97517385
1 "Sitting" -0.98013485
1 "Sitting" -0.98829555
1 "Sitting" -0.98925477
1 "Sitting" -0.9894128
1 "Sitting" -0.99143303
1 "Sitting" -0.99050002
1 "Sitting" -0.9882692
1 "Sitting" -0.98943061
1 "Sitting" -0.99162928
1 "Sitting" -0.98478793
1 "Sitting" -0.98345836
1 "Sitting" -0.99650333
1 "Sitting" -0.99790693
1 "Sitting" -0.99856385
1 "Sitting" -0.91104074
1 "Sitting" -0.95640227
1 "Sitting" -0.98656987
1 "Sitting" -0.99244181
1 "Sitting" -0.9956098
1 "Sitting" -0.99720378
1 "Sitting" -0.9988685
1 "Sitting" -0.99852538
1 "Sitting" -0.99824461
1 "Sitting" -0.99803662
1 "Sitting" -0.99721689
1 "Sitting" -0.99674532
1 "Sitting" -0.99660807
1 "Sitting" -0.92364973
1 "Sitting" -0.97311178
1 "Sitting" -0.98244828
1 "Sitting" -0.96089873
1 "Sitting" -0.96337904
1 "Sitting" -0.96432702
1 "Sitting" -0.9884064
1 "Sitting" -0.9953489
1 "Sitting" -0.99141078
1 "Sitting" -0.99228902
1 "Sitting" -0.99635349
1 "Sitting" -0.99334443
1 "Sitting" -0.98581307
1 "Sitting" -0.97380289
1 "Sitting" -0.91500203
1 "Sitting" -0.9661274
1 "Sitting" -0.98279146
1 "Sitting" -0.99229195
1 "Sitting" -0.99312726
1 "Sitting" -0.99445538
1 "Sitting" -0.99545036
1 "Sitting" -0.99612769
1 "Sitting" -0.99715967
1 "Sitting" -0.99583433
1 "Sitting" -0.99563837
1 "Sitting" -0.99305041
1 "Standing" -0.97506987
1 "Standing" -0.96970623
1 "Standing" -0.96972021
1 "Standing" -0.60433533
1 "Standing" -0.65163072
1 "Standing" -0.85722556
1 "Standing" -0.96910523
1 "Standing" -0.98475673
1 "Standing" -0.991537
1 "Standing" -0.99410838
1 "Standing" -0.99582391
1 "Standing" -0.88993038
1 "Standing" -0.87774284
1 "Standing" -0.93017017
1 "Standing" -0.98615395
1 "Standing" -0.99192262
1 "Standing" -0.99468302
1 "Standing" -0.99263043
1 "Standing" -0.99594138
1 "Standing" -0.99603154
1 "Standing" -0.99702378
1 "Standing" -0.99644924
1 "Standing" -0.99572813
1 "Standing" -0.99442502
1 "Standing" -0.95985282
1 "Standing" -0.94350929
1 "Standing" -0.96240551
1 "Standing" -0.9887457
1 "Standing" -0.99701001
1 "Standing" -0.99725679
1 "Standing" -0.99782543
1 "Standing" -0.99708259
1 "Standing" -0.99710728
1 "Standing" -0.99782289
1 "Standing" -0.99761304
1 "Standing" -0.90023392
1 "Standing" -0.89074664
1 "Standing" -0.92607724
1 "Standing" -0.98287105
1 "Standing" -0.99216261
1 "Standing" -0.99419889
1 "Standing" -0.99531208
1 "Standing" -0.99373983
1 "Standing" -0.99771439
1 "Standing" -0.99712185
1 "Standing" -0.99694572
1 "Standing" -0.94126546
1 "Walking" -0.22217604
1 "Walking" -0.26827982
1 "Walking" -0.30867072
1 "Walking" -0.06013149
1 "Walking" -0.0038214657
1 "Walking" -0.17453126
1 "Walking" -0.26831853
1 "Walking" -0.24418375
1 "Walking" -0.30917911
1 "Walking" -0.33790803
1 "Walking" -0.33261203
1 "Walking" -0.30220288
1 "Walking" -0.24978553
1 "Walking" -0.21108422
1 "Walking" -0.27479762
1 "Walking" -0.22141963
1 "Walking" -0.16225687
1 "Walking" -0.096642888
1 "Walking" -0.064486452
1 "Walking" -0.12906777
1 "Walking" -0.24314196
1 "Walking" -0.28576637
1 "Walking" -0.2332989
1 "Walking" -0.12431494
1 "Walking" -0.076998524
1 "Walking" -0.085531348
1 "Walking" -0.15697818
1 "Walking" -0.27229264
1 "Walking" -0.19874266
1 "Walking" -0.26829738
1 "Walking" -0.25351284
1 "Walking" -0.12484853
1 "Walking" -0.1436749
1 "Walking" -0.11222826
1 "Walking" -0.22060826
1 "Walking" -0.26882567
1 "Walking" -0.18818307
1 "Walking" -0.15471152
1 "Walking" -0.23629253
1 "Walking" -0.31980387
1 "Walking" -0.29799466
1 "Walking" -0.22394787
1 "Walking" -0.25991394
1 "Walking" -0.24519074
1 "Walking" -0.29212917
1 "Walking" -0.21110035
1 "Walking" -0.11751914
1 "Walking" -0.33185305
1 "Walking" -0.2920416
1 "Walking" -0.30796697
1 "Walking" -0.27978256
1 "Walking" -0.23902183
1 "Walking" -0.24127734
1 "Walking" -0.22101937
1 "Walking" -0.20953641
1 "Walking" -0.23839641
1 "Walking" -0.18438962
1 "Walking" -0.25730132
1 "Walking" -0.23529919
1 "Walking" -0.19408882
1 "Walking" -0.19468996
1 "Walking" -0.29641283
1 "Walking" -0.21246656
1 "Walking" -0.11450055
1 "Walking" -0.23470349
1 "Walking" -0.29904174
1 "Walking" -0.07202247
1 "Walking" 0.046798998
1 "Walking" -0.073534531
1 "Walking" -0.13473034
1 "Walking" -0.093357398
1 "Walking" -0.065838486
1 "Walking" -0.15145023
1 "Walking" -0.13527354
1 "Walking" -0.24500769
1 "Walking" -0.29942361
1 "Walking" -0.16569429
1 "Walking" -0.097588576
1 "Walking" -0.29995633
1 "Walking" -0.27762322
1 "Walking" -0.25827833
1 "Walking" -0.20210567
1 "Walking" -0.16232185
1 "Walking" -0.18235411
1 "Walking" -0.26190131
1 "Walking" -0.24688154
1 "Walking" -0.21629882
1 "Walking" -0.076566863
1 "Walking" -0.11010243
1 "Walking" -0.13517042
1 "Walking" -0.13735048
1 "Walking" -0.049970549
1 "Walking" -0.042453151
1 "Walking" -0.1510693
1 "Walking" -0.19027357
1 "Walking Down Stairs" -0.40003775
1 "Walking Down Stairs" -0.18574668
1 "Walking Down Stairs" -0.016616702
1 "Walking Down Stairs" -0.21859904
1 "Walking Down Stairs" -0.39392654
1 "Walking Down Stairs" -0.14205179
1 "Walking Down Stairs" -0.18616832
1 "Walking Down Stairs" -0.3709736
1 "Walking Down Stairs" -0.354428
1 "Walking Down Stairs" -0.0011116165
1 "Walking Down Stairs" -0.12501278
1 "Walking Down Stairs" 0.10655089
1 "Walking Down Stairs" 0.060879191
1 "Walking Down Stairs" 0.063267395
1 "Walking Down Stairs" 0.031010355
1 "Walking Down Stairs" -0.12082814
1 "Walking Down Stairs" -0.35478316
1 "Walking Down Stairs" -0.2925549
1 "Walking Down Stairs" -0.19535163
1 "Walking Down Stairs" -0.07690455
1 "Walking Down Stairs" 0.05462082
1 "Walking Down Stairs" -0.14894601
1 "Walking Down Stairs" -0.23130318
1 "Walking Down Stairs" -0.35124526
1 "Walking Down Stairs" -0.38846376
1 "Walking Down Stairs" -0.4552681
1 "Walking Down Stairs" -0.37725178
1 "Walking Down Stairs" 0.031695949
1 "Walking Down Stairs" 0.10275057
1 "Walking Down Stairs" -0.13336067
1 "Walking Down Stairs" -0.35693516
1 "Walking Down Stairs" -0.37479638
1 "Walking Down Stairs" -0.41381111
1 "Walking Down Stairs" -0.37428442
1 "Walking Down Stairs" -0.11856905
1 "Walking Down Stairs" -0.088297455
1 "Walking Down Stairs" -0.21469325
1 "Walking Down Stairs" -0.28744763
1 "Walking Down Stairs" -0.2368687
1 "Walking Down Stairs" -0.24524873
1 "Walking Down Stairs" -0.31858096
1 "Walking Down Stairs" -0.10533761
1 "Walking Down Stairs" 0.025645008
1 "Walking Down Stairs" -0.1738316
1 "Walking Down Stairs" -0.17282522
1 "Walking Down Stairs" -0.032452263
1 "Walking Down Stairs" -0.072778533
1 "Walking Down Stairs" -0.2610374
1 "Walking Down Stairs" -0.20798475
1 "Walking Up Stairs" -0.2970371
1 "Walking Up Stairs" -0.33024104
1 "Walking Up Stairs" -0.22320431
1 "Walking Up Stairs" -0.17947438
1 "Walking Up Stairs" -0.35349524
1 "Walking Up Stairs" -0.21088529
1 "Walking Up Stairs" -0.27724782
1 "Walking Up Stairs" -0.32987725
1 "Walking Up Stairs" -0.36221134
1 "Walking Up Stairs" -0.33236299
1 "Walking Up Stairs" -0.21760316
1 "Walking Up Stairs" -0.31868009
1 "Walking Up Stairs" -0.46470037
1 "Walking Up Stairs" -0.40064208
1 "Walking Up Stairs" -0.47473315
1 "Walking Up Stairs" -0.45461895
1 "Walking Up Stairs" -0.42781459
1 "Walking Up Stairs" -0.46129468
1 "Walking Up Stairs" -0.39380769
1 "Walking Up Stairs" -0.18173074
1 "Walking Up Stairs" -0.26530029
1 "Walking Up Stairs" -0.45370534
1 "Walking Up Stairs" -0.35774683
1 "Walking Up Stairs" -0.36192518
1 "Walking Up Stairs" -0.49823933
1 "Walking Up Stairs" -0.49718455
1 "Walking Up Stairs" -0.39238367
1 "Walking Up Stairs" -0.33628166
1 "Walking Up Stairs" -0.017687111
1 "Walking Up Stairs" -0.078921231
1 "Walking Up Stairs" -0.27235173
1 "Walking Up Stairs" -0.33132959
1 "Walking Up Stairs" -0.31083757
1 "Walking Up Stairs" -0.28608353
1 "Walking Up Stairs" -0.34293845
1 "Walking Up Stairs" -0.35175852
1 "Walking Up Stairs" -0.39878678
1 "Walking Up Stairs" -0.13489376
1 "Walking Up Stairs" -0.16306659
1 "Walking Up Stairs" -0.41183175
1 "Walking Up Stairs" -0.36318983
1 "Walking Up Stairs" -0.30281518
1 "Walking Up Stairs" -0.28499187
1 "Walking Up Stairs" -0.36990334
1 "Walking Up Stairs" -0.437878
1 "Walking Up Stairs" -0.47502272
1 "Walking Up Stairs" -0.16555139
1 "Walking Up Stairs" -0.1686576
1 "Walking Up Stairs" -0.3765722
1 "Walking Up Stairs" -0.3398615
1 "Walking Up Stairs" -0.31720868
1 "Walking Up Stairs" -0.35368817
1 "Walking Up Stairs" -0.36570104
2 "Lying" -0.89283142
2 "Lying" -0.9398944
2 "Lying" -0.97713959
2 "Lying" -0.99449861
2 "Lying" -0.99524502
2 "Lying" -0.99511318
2 "Lying" -0.99657987
2 "Lying" -0.99729607
2 "Lying" -0.99503331
2 "Lying" -0.99456117
2 "Lying" -0.99352195
2 "Lying" -0.82829165
