"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.11906637
1 "Lying" -0.11001902
1 "Lying" -0.10579546
1 "Lying" -0.10094779
1 "Lying" -0.099619225
1 "Lying" -0.098206257
1 "Lying" -0.098012593
1 "Lying" -0.097892616
1 "Lying" -0.097968616
1 "Lying" -0.097854591
1 "Lying" -0.098663635
1 "Lying" -0.098786707
1 "Lying" -0.097773433
1 "Lying" -0.11950341
1 "Lying" -0.11843114
1 "Lying" -0.04233134
1 "Lying" -0.096588812
1 "Lying" -0.19508446
1 "Lying" -0.79429092
1 "Lying" -0.26163473
1 "Lying" 0.60049262
1 "Lying" 0.11264077
1 "Lying" -0.11341681
1 "Lying" -0.13014634
1 "Lying" -0.12062556
1 "Lying" -0.11018738
1 "Lying" -0.10087654
1 "Lying" -0.094325753
1 "Lying" -0.11950542
1 "Lying" -0.11185795
1 "Lying" -0.10416896
1 "Lying" -0.099165346
1 "Lying" -0.097980207
1 "Lying" -0.095267111
1 "Lying" -0.096617612
1 "Lying" -0.098858401
1 "Lying" -0.098306436
1 "Lying" -0.097070197
1 "Lying" -0.098884325
1 "Lying" -0.040634044
1 "Lying" -0.36091469
1 "Lying" -0.23395072
1 "Lying" -0.10959249
1 "Lying" -0.0015141946
1 "Lying" -0.064280841
1 "Lying" -0.094406598
1 "Lying" -0.094378814
1 "Lying" -0.093045155
1 "Lying" -0.12705469
1 "Lying" -0.12117714
1 "Sitting" -0.0991674
1 "Sitting" -0.11050283
1 "Sitting" -0.10848567
1 "Sitting" -0.091169889
1 "Sitting" -0.090770099
1 "Sitting" -0.094247582
1 "Sitting" -0.097088606
1 "Sitting" -0.10316236
1 "Sitting" -0.1006944
1 "Sitting" -0.098429383
1 "Sitting" -0.099442952
1 "Sitting" -0.094207555
1 "Sitting" -0.098994495
1 "Sitting" -0.10048744
1 "Sitting" -0.084175874
1 "Sitting" -0.099860486
1 "Sitting" -0.094790394
1 "Sitting" -0.10533471
1 "Sitting" -0.10413693
1 "Sitting" -0.097122835
1 "Sitting" -0.096999665
1 "Sitting" -0.097217687
1 "Sitting" -0.097980589
1 "Sitting" -0.097053649
1 "Sitting" -0.096984078
1 "Sitting" -0.097154466
1 "Sitting" -0.10226052
1 "Sitting" -0.11031752
1 "Sitting" -0.097871206
1 "Sitting" -0.1141284
1 "Sitting" -0.080727415
1 "Sitting" -0.099377535
1 "Sitting" -0.11905174
1 "Sitting" -0.097907853
1 "Sitting" -0.096746006
1 "Sitting" -0.095218016
1 "Sitting" -0.097777886
1 "Sitting" -0.093656843
1 "Sitting" -0.091051647
1 "Sitting" -0.10824922
1 "Sitting" -0.11396188
1 "Sitting" -0.11158598
1 "Sitting" -0.10371205
1 "Sitting" -0.094540612
1 "Sitting" -0.10210142
1 "Sitting" -0.1003337
1 "Sitting" -0.095545904
1 "Sitting" -0.097303407
1 "Sitting" -0.099193338
1 "Sitting" -0.097424091
1 "Sitting" -0.097685823
1 "Sitting" -0.099777758
1 "Sitting" -0.10611849
1 "Standing" -0.11571413
1 "Standing" -0.094242126
1 "Standing" -0.095291208
1 "Standing" -0.016521407
1 "Standing" -0.095521677
1 "Standing" -0.18174043
1 "Standing" -0.10305335
1 "Standing" -0.095537878
1 "Standing" -0.095751535
1 "Standing" -0.096390151
1 "Standing" -0.09732419
1 "Standing" -0.076136273
1 "Standing" -0.060468253
1 "Standing" -0.074240872
1 "Standing" -0.086175374
1 "Standing" -0.093413419
1 "Standing" -0.098402276
1 "Standing" -0.099644305
1 "Standing" -0.099876097
1 "Standing" -0.10051458
1 "Standing" -0.099510909
1 "Standing" -0.096399772
1 "Standing" -0.097373481
1 "Standing" -0.10231372
1 "Standing" -0.10815789
1 "Standing" -0.093101296
1 "Standing" -0.092365192
1 "Standing" -0.095593477
1 "Standing" -0.097585544
1 "Standing" -0.098229525
1 "Standing" -0.098488069
1 "Standing" -0.098332068
1 "Standing" -0.098701277
1 "Standing" -0.098593844
1 "Standing" -0.098930627
1 "Standing" -0.030010785
1 "Standing" -0.063913351
1 "Standing" -0.074955865
1 "Standing" -0.084539645
1 "Standing" -0.093608803
1 "Standing" -0.099814564
1 "Standing" -0.098866684
1 "Standing" -0.10026137
1 "Standing" -0.098373537
1 "Standing" -0.098032769
1 "Standing" -0.097636389
1 "Standing" -0.11328091
1 "Walking" 0.094248032
1 "Walking" 0.16674262
1 "Walking" -0.1632255
1 "Walking" -0.054628854
1 "Walking" -0.075668238
1 "Walking" -0.33244254
1 "Walking" -0.25613684
1 "Walking" 0.064369619
1 "Walking" 0.034467284
1 "Walking" 0.18603411
1 "Walking" 0.045082723
1 "Walking" -0.14267476
1 "Walking" -0.13278403
1 "Walking" -0.087034968
1 "Walking" -0.093964269
1 "Walking" -0.18520624
1 "Walking" -0.29718539
1 "Walking" 0.014000955
1 "Walking" -0.15539915
1 "Walking" -0.25653499
1 "Walking" -0.32034437
1 "Walking" -0.1352012
1 "Walking" 0.036718467
1 "Walking" 0.055079886
1 "Walking" -0.44250138
1 "Walking" -0.33879212
1 "Walking" 0.14784692
1 "Walking" 0.18695314
1 "Walking" 0.02969876
1 "Walking" -0.16067999
1 "Walking" -0.56239894
1 "Walking" -0.1433122
1 "Walking" 0.16863397
1 "Walking" 0.11746285
1 "Walking" -0.12692638
1 "Walking" -0.047529219
1 "Walking" -0.24627691
1 "Walking" -0.19267678
1 "Walking" 0.20131231
1 "Walking" 0.017307892
1 "Walking" -0.27274669
1 "Walking" -0.15055604
1 "Walking" -0.26728072
1 "Walking" 0.055328681
1 "Walking" -0.13690997
1 "Walking" -0.31473251
1 "Walking" 0.064371481
1 "Walking" -0.095171388
1 "Walking" -0.1581844
1 "Walking" 0.014208749
1 "Walking" -0.21928679
1 "Walking" -0.19509226
1 "Walking" 0.12611488
1 "Walking" -0.069988395
1 "Walking" -0.11483618
1 "Walking" -0.36325249
1 "Walking" -0.12380035
1 "Walking" 0.18460893
1 "Walking" -0.13233807
1 "Walking" -0.19613656
1 "Walking" 0.0086611048
1 "Walking" 0.021598446
1 "Walking" -0.12016788
1 "Walking" -0.053992067
1 "Walking" -0.057271523
1 "Walking" -0.092701481
1 "Walking" -0.28702081
1 "Walking" -0.15645793
1 "Walking" 0.056913925
1 "Walking" -0.13306058
1 "Walking" 0.041974648
1 "Walking" -0.18462585
1 "Walking" -0.13831405
1 "Walking" 0.11574974
1 "Walking" -0.1320539
1 "Walking" -0.38411141
1 "Walking" -0.083660425
1 "Walking" -0.041441848
1 "Walking" -0.20906872
1 "Walking" 0.11646271
1 "Walking" -0.064162697
1 "Walking" -0.071124557
1 "Walking" 0.075054605
1 "Walking" 0.081756228
1 "Walking" -0.16689626
1 "Walking" -0.1064301
1 "Walking" -0.39595523
1 "Walking" -0.054049434
1 "Walking" 0.13967859
1 "Walking" -0.15105989
1 "Walking" -0.11986239
1 "Walking" -0.063644054
1 "Walking" -0.015699369
1 "Walking" -0.095098173
1 "Walking" -0.080440082
1 "Walking Down Stairs" -0.068313628
1 "Walking Down Stairs" -0.079846005
1 "Walking Down Stairs" -0.3488186
1 "Walking Down Stairs" 0.061554017
1 "Walking Down Stairs" -0.094600569
1 "Walking Down Stairs" -0.1828356
1 "Walking Down Stairs" 0.16404521
1 "Walking Down Stairs" -0.060712847
1 "Walking Down Stairs" -0.27003834
1 "Walking Down Stairs" 0.19139611
1 "Walking Down Stairs" -0.23734906
1 "Walking Down Stairs" -0.14145873
1 "Walking Down Stairs" 0.25543693
1 "Walking Down Stairs" -0.76314989
1 "Walking Down Stairs" 0.026194408
1 "Walking Down Stairs" 0.58267592
1 "Walking Down Stairs" -0.25697403
1 "Walking Down Stairs" 0.032361401
1 "Walking Down Stairs" -0.39119353
1 "Walking Down Stairs" 0.030443073
1 "Walking Down Stairs" 0.18555062
1 "Walking Down Stairs" -0.24074731
1 "Walking Down Stairs" 0.014319454
1 "Walking Down Stairs" 0.18108171
1 "Walking Down Stairs" -0.14231865
1 "Walking Down Stairs" 0.12743114
1 "Walking Down Stairs" 0.00038691027
