"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.15544951
1 "Lying" -0.12362339
1 "Lying" -0.090942119
1 "Lying" -0.060445163
1 "Lying" -0.047750664
1 "Lying" -0.046094169
1 "Lying" -0.048297637
1 "Lying" -0.057581924
1 "Lying" -0.0556776
1 "Lying" -0.051773459
1 "Lying" -0.054970621
1 "Lying" -0.055590732
1 "Lying" -0.054167484
1 "Lying" -0.081185235
1 "Lying" -0.13626567
1 "Lying" -0.056678688
1 "Lying" -0.056614254
1 "Lying" -0.12899286
1 "Lying" -0.21966787
1 "Lying" -0.012435592
1 "Lying" 0.10627918
1 "Lying" -0.064159118
1 "Lying" -0.066985016
1 "Lying" -0.069935123
1 "Lying" -0.064724956
1 "Lying" -0.060758143
1 "Lying" -0.050117834
1 "Lying" -0.15991264
1 "Lying" -0.13280273
1 "Lying" -0.086828001
1 "Lying" -0.070202061
1 "Lying" -0.050929454
1 "Lying" -0.047110126
1 "Lying" -0.050581591
1 "Lying" -0.054093616
1 "Lying" -0.055805203
1 "Lying" -0.052677652
1 "Lying" -0.051092771
1 "Lying" -0.055245263
1 "Lying" -0.31226655
1 "Lying" -0.11898592
1 "Lying" -0.06989635
1 "Lying" -0.085147414
1 "Lying" -0.076834055
1 "Lying" -0.068946083
1 "Lying" -0.053776534
1 "Lying" -0.050983366
1 "Lying" -0.05903851
1 "Lying" -0.050174035
1 "Lying" -0.024570479
1 "Sitting" -0.061985797
1 "Sitting" -0.059242822
1 "Sitting" -0.055828829
1 "Sitting" -0.06046466
1 "Sitting" -0.058289319
1 "Sitting" -0.041935999
1 "Sitting" -0.044704559
1 "Sitting" -0.063208931
1 "Sitting" -0.067720045
1 "Sitting" -0.048562914
1 "Sitting" -0.045512651
1 "Sitting" -0.057682038
1 "Sitting" -0.054137882
1 "Sitting" -0.053738021
1 "Sitting" 0.0075315612
1 "Sitting" -0.022366509
1 "Sitting" -0.034809761
1 "Sitting" -0.046398495
1 "Sitting" -0.054341093
1 "Sitting" -0.054821896
1 "Sitting" -0.055209671
1 "Sitting" -0.054870288
1 "Sitting" -0.055537897
1 "Sitting" -0.059039117
1 "Sitting" -0.056018736
1 "Sitting" -0.051857918
1 "Sitting" -0.052669203
1 "Sitting" -0.0010726147
1 "Sitting" -0.035039151
1 "Sitting" -0.046642628
1 "Sitting" -0.038392225
1 "Sitting" -0.062084648
1 "Sitting" -0.079492236
1 "Sitting" -0.057669268
1 "Sitting" -0.055285114
1 "Sitting" -0.052541641
1 "Sitting" -0.052385297
1 "Sitting" -0.054671517
1 "Sitting" -0.054908096
1 "Sitting" -0.052212132
1 "Sitting" -0.050415902
1 "Sitting" 0.0049910349
1 "Sitting" -0.025122139
1 "Sitting" -0.033524213
1 "Sitting" -0.045060447
1 "Sitting" -0.05619208
1 "Sitting" -0.057825687
1 "Sitting" -0.057529948
1 "Sitting" -0.05504985
1 "Sitting" -0.05441185
1 "Sitting" -0.054650326
1 "Sitting" -0.054255108
1 "Sitting" -0.049512401
1 "Standing" 0.01633599
1 "Standing" -0.06697056
1 "Standing" -0.078193929
1 "Standing" -0.15063907
1 "Standing" -0.040522627
1 "Standing" 0.047204388
1 "Standing" -0.062791658
1 "Standing" -0.068364914
1 "Standing" -0.065751415
1 "Standing" -0.061621011
1 "Standing" -0.056653466
1 "Standing" 0.048746095
1 "Standing" 0.053835275
1 "Standing" 0.0044609208
1 "Standing" -0.041286479
1 "Standing" -0.043482017
1 "Standing" -0.052670226
1 "Standing" -0.064887957
1 "Standing" -0.055598998
1 "Standing" -0.057589453
1 "Standing" -0.058039297
1 "Standing" -0.046565566
1 "Standing" -0.056344653
1 "Standing" -0.05642873
1 "Standing" -0.073316312
1 "Standing" -0.10039897
1 "Standing" -0.090060083
1 "Standing" -0.070567586
1 "Standing" -0.062850791
1 "Standing" -0.054173655
1 "Standing" -0.053579795
1 "Standing" -0.053229772
1 "Standing" -0.050463582
1 "Standing" -0.054792243
1 "Standing" -0.053558282
1 "Standing" -0.023821491
1 "Standing" 0.04407307
1 "Standing" 0.0071832172
1 "Standing" -0.02190317
1 "Standing" -0.04717877
1 "Standing" -0.060418212
1 "Standing" -0.0561853
1 "Standing" -0.059785654
1 "Standing" -0.054584686
1 "Standing" -0.055327731
1 "Standing" -0.050778223
1 "Standing" -0.085486091
1 "Walking" -0.14213364
1 "Walking" -0.089260236
1 "Walking" -0.23155479
1 "Walking" -0.26967159
1 "Walking" 0.13645072
1 "Walking" 0.23877062
1 "Walking" -0.010926571
1 "Walking" -0.20808194
1 "Walking" 0.19077019
1 "Walking" -0.02649704
1 "Walking" -0.25061744
1 "Walking" -0.21212991
1 "Walking" -0.065283761
1 "Walking" 0.29803128
1 "Walking" -0.067837338
1 "Walking" -0.14767475
1 "Walking" -0.1300572
1 "Walking" -0.47304526
1 "Walking" 0.19241669
1 "Walking" 0.31307491
1 "Walking" 0.020468126
1 "Walking" 0.22243
1 "Walking" -0.16054515
1 "Walking" 0.013602134
1 "Walking" -0.091127344
1 "Walking" -0.04485294
1 "Walking" 0.14934834
1 "Walking" -0.030516287
1 "Walking" -0.12474305
1 "Walking" -0.080900177
1 "Walking" -0.14439587
1 "Walking" -0.25183324
1 "Walking" 0.15398222
1 "Walking" 0.12492173
1 "Walking" -0.17812907
1 "Walking" -0.22808993
1 "Walking" -0.019403398
1 "Walking" 0.039482138
1 "Walking" -0.14596898
1 "Walking" -0.075808703
1 "Walking" 0.15793873
1 "Walking" 0.044084842
1 "Walking" -0.44360193
1 "Walking" -0.31102445
1 "Walking" 0.31377465
1 "Walking" 0.18508409
1 "Walking" -0.22909773
1 "Walking" -0.076998866
1 "Walking" -0.059599967
1 "Walking" 0.15447811
1 "Walking" 0.0031425849
1 "Walking" -0.24770848
1 "Walking" -0.091395218
1 "Walking" 0.055682728
1 "Walking" 0.032901989
1 "Walking" -0.31954235
1 "Walking" -0.15892294
1 "Walking" 0.092746086
1 "Walking" 0.029370122
1 "Walking" 0.075395331
1 "Walking" -0.078883967
1 "Walking" -0.14512633
1 "Walking" 0.032378402
1 "Walking" 0.035574074
1 "Walking" -0.23151279
1 "Walking" -0.46290997
1 "Walking" 0.18934607
1 "Walking" 0.30245182
1 "Walking" -0.033646526
1 "Walking" -0.051375205
1 "Walking" 0.12858767
1 "Walking" 0.0084187002
1 "Walking" -0.23539983
1 "Walking" -0.11284338
1 "Walking" -0.13662326
1 "Walking" -0.13492616
1 "Walking" -0.24718466
1 "Walking" 0.016291485
1 "Walking" 0.24674805
1 "Walking" -0.010007718
1 "Walking" -0.10275219
1 "Walking" -0.11795148
1 "Walking" -0.0012118868
1 "Walking" 0.052834862
1 "Walking" 0.091602628
1 "Walking" -0.31847394
1 "Walking" -0.29021524
1 "Walking" -0.10028642
1 "Walking" 0.04802688
1 "Walking" 0.19684737
1 "Walking" -0.012613281
1 "Walking" -0.11618914
1 "Walking" -0.16163971
1 "Walking" -0.12455447
1 "Walking" 0.095410415
1 "Walking Down Stairs" 0.025862246
1 "Walking Down Stairs" -0.12244491
1 "Walking Down Stairs" 0.016560915
1 "Walking Down Stairs" -0.017391151
1 "Walking Down Stairs" -0.019976938
1 "Walking Down Stairs" -0.11314593
1 "Walking Down Stairs" -0.039105794
1 "Walking Down Stairs" -0.093312803
1 "Walking Down Stairs" -0.13186724
1 "Walking Down Stairs" -0.14280977
1 "Walking Down Stairs" 0.17886128
1 "Walking Down Stairs" 0.032110404
1 "Walking Down Stairs" -0.36807338
1 "Walking Down Stairs" 0.24601853
1 "Walking Down Stairs" -0.067965243
1 "Walking Down Stairs" -0.11344376
1 "Walking Down Stairs" 0.1239022
1 "Walking Down Stairs" 0.27962952
1 "Walking Down Stairs" 0.20865147
1 "Walking Down Stairs" -0.53663364
1 "Walking Down Stairs" 0.0027923122
1 "Walking Down Stairs" 0.10370404
1 "Walking Down Stairs" -0.32079196
1 "Walking Down Stairs" 0.064717759
1 "Walking Down Stairs" -0.04411623
1 "Walking Down Stairs" 0.10248013
1 "Walking Down Stairs" -0.096437061
1 "Walking Down Stairs" -0.16084817
1 "Walking Down Stairs" -0.038267605
