"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96974195
1 "Lying" -0.99705918
1 "Lying" -0.99773859
1 "Lying" -0.99862786
1 "Lying" -0.99885537
1 "Lying" -0.99865891
1 "Lying" -0.9982894
1 "Lying" -0.99885506
1 "Lying" -0.99972792
1 "Lying" -0.99981405
1 "Lying" -0.99770712
1 "Lying" -0.99739987
1 "Lying" -0.99930533
1 "Lying" -0.93524056
1 "Lying" -0.98745773
1 "Lying" -0.60586863
1 "Lying" -0.5884292
1 "Lying" -0.88165198
1 "Lying" -0.67295977
1 "Lying" -0.36262562
1 "Lying" -0.45691937
1 "Lying" -0.92143767
1 "Lying" -0.97892309
1 "Lying" -0.98451196
1 "Lying" -0.99395962
1 "Lying" -0.99353321
1 "Lying" -0.99492425
1 "Lying" -0.98027578
1 "Lying" -0.99832947
1 "Lying" -0.99836192
1 "Lying" -0.99875007
1 "Lying" -0.99908903
1 "Lying" -0.99861905
1 "Lying" -0.99853999
1 "Lying" -0.99874095
1 "Lying" -0.99851339
1 "Lying" -0.99837391
1 "Lying" -0.99847645
1 "Lying" -0.99848437
1 "Lying" -0.36228324
1 "Lying" -0.53690886
1 "Lying" -0.9480528
1 "Lying" -0.93892043
1 "Lying" -0.95702027
1 "Lying" -0.98397843
1 "Lying" -0.98849875
1 "Lying" -0.99317687
1 "Lying" -0.98132062
1 "Lying" -0.97886311
1 "Lying" -0.98662501
1 "Sitting" -0.99211067
1 "Sitting" -0.98987256
1 "Sitting" -0.98846185
1 "Sitting" -0.9911194
1 "Sitting" -0.99135446
1 "Sitting" -0.99162156
1 "Sitting" -0.99041853
1 "Sitting" -0.9911036
1 "Sitting" -0.99241954
1 "Sitting" -0.98391251
1 "Sitting" -0.98591085
1 "Sitting" -0.99571697
1 "Sitting" -0.99602372
1 "Sitting" -0.99751236
1 "Sitting" -0.98467008
1 "Sitting" -0.99476086
1 "Sitting" -0.99563871
1 "Sitting" -0.99646489
1 "Sitting" -0.99617306
1 "Sitting" -0.99662474
1 "Sitting" -0.99721308
1 "Sitting" -0.99666843
1 "Sitting" -0.99731648
1 "Sitting" -0.99779214
1 "Sitting" -0.99692766
1 "Sitting" -0.99574247
1 "Sitting" -0.99543855
1 "Sitting" -0.98663456
1 "Sitting" -0.9892353
1 "Sitting" -0.98966234
1 "Sitting" -0.98858331
1 "Sitting" -0.98376829
1 "Sitting" -0.98591387
1 "Sitting" -0.99254806
1 "Sitting" -0.99533688
