"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.77756178
1 "Lying" -0.91521896
1 "Lying" -0.97340095
1 "Lying" -0.98209908
1 "Lying" -0.98441252
1 "Lying" -0.98814549
1 "Lying" -0.99251294
1 "Lying" -0.9959893
1 "Lying" -0.99683171
1 "Lying" -0.99705625
1 "Lying" -0.99661933
1 "Lying" -0.99624004
1 "Lying" -0.99595283
1 "Lying" -0.6073844
1 "Lying" -0.75196917
1 "Lying" -0.59910183
1 "Lying" -0.54709337
1 "Lying" -0.80157467
1 "Lying" -0.71573909
1 "Lying" -0.40112981
1 "Lying" -0.48420622
1 "Lying" -0.73358055
1 "Lying" -0.79201016
1 "Lying" -0.87634272
1 "Lying" -0.95121536
1 "Lying" -0.98737097
1 "Lying" -0.99204765
1 "Lying" -0.74008217
1 "Lying" -0.88895775
1 "Lying" -0.96921163
1 "Lying" -0.98337626
1 "Lying" -0.98188004
1 "Lying" -0.98638745
1 "Lying" -0.99008358
1 "Lying" -0.99478454
1 "Lying" -0.9946664
1 "Lying" -0.99503015
1 "Lying" -0.9957328
1 "Lying" -0.99571593
1 "Lying" -0.38195459
1 "Lying" -0.71786906
1 "Lying" -0.82800989
1 "Lying" -0.83672107
1 "Lying" -0.91034309
1 "Lying" -0.96911972
1 "Lying" -0.973355
1 "Lying" -0.98063855
1 "Lying" -0.93141727
1 "Lying" -0.91085919
1 "Lying" -0.94897412
1 "Sitting" -0.96895908
1 "Sitting" -0.98068314
1 "Sitting" -0.97631707
1 "Sitting" -0.98205988
1 "Sitting" -0.98520373
1 "Sitting" -0.9858944
1 "Sitting" -0.98550069
1 "Sitting" -0.98450563
1 "Sitting" -0.98936978
1 "Sitting" -0.98452436
1 "Sitting" -0.9852507
1 "Sitting" -0.99428671
1 "Sitting" -0.99630809
1 "Sitting" -0.99767246
1 "Sitting" -0.84050608
1 "Sitting" -0.93127833
1 "Sitting" -0.97236443
1 "Sitting" -0.9804895
1 "Sitting" -0.98856897
1 "Sitting" -0.993472
1 "Sitting" -0.99698274
1 "Sitting" -0.99707363
1 "Sitting" -0.99762227
1 "Sitting" -0.99736198
1 "Sitting" -0.99569879
1 "Sitting" -0.99526631
1 "Sitting" -0.99582615
1 "Sitting" -0.88342499
1 "Sitting" -0.94810622
1 "Sitting" -0.964018
1 "Sitting" -0.95344151
1 "Sitting" -0.95091631
1 "Sitting" -0.97508334
1 "Sitting" -0.98850476
1 "Sitting" -0.99241647
1 "Sitting" -0.99209286
1 "Sitting" -0.9923017
1 "Sitting" -0.99509982
1 "Sitting" -0.99347724
1 "Sitting" -0.9823054
1 "Sitting" -0.97782322
1 "Sitting" -0.85045354
1 "Sitting" -0.93031348
1 "Sitting" -0.97350862
1 "Sitting" -0.98739895
1 "Sitting" -0.9882832
1 "Sitting" -0.99232079
1 "Sitting" -0.99330726
1 "Sitting" -0.9945678
1 "Sitting" -0.99592751
