"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.30965551
1 "Lying" -0.088881882
1 "Lying" 0.12661959
1 "Lying" -0.22976395
1 "Lying" -0.2305108
1 "Lying" -0.18285949
1 "Lying" -0.065534723
1 "Lying" -0.18585085
1 "Lying" -0.24458824
1 "Lying" -0.063420823
1 "Lying" -0.21729452
1 "Lying" -0.12400623
1 "Lying" -0.21471274
1 "Lying" -0.0083893961
1 "Lying" -0.1899565
1 "Lying" -0.46446244
1 "Lying" -0.54345589
1 "Lying" -0.14278765
1 "Lying" -0.1516836
1 "Lying" -0.051106787
1 "Lying" 0.010096269
1 "Lying" -0.28328349
1 "Lying" 0.27514854
1 "Lying" 0.31906184
1 "Lying" 0.031022827
1 "Lying" 0.1601512
1 "Lying" 0.44459077
1 "Lying" -0.053494637
1 "Lying" 0.002479401
1 "Lying" -0.10039986
1 "Lying" -0.068002286
1 "Lying" -0.090285163
1 "Lying" 0.062783992
1 "Lying" -0.12822413
1 "Lying" -0.30089058
1 "Lying" -0.2231769
1 "Lying" -0.15601073
1 "Lying" -0.091602334
1 "Lying" -0.029012912
1 "Lying" 0.09549298
1 "Lying" 0.66378501
1 "Lying" -0.38738167
1 "Lying" -0.58410024
1 "Lying" -0.19589065
1 "Lying" 0.30711011
1 "Lying" 0.24864173
1 "Lying" 0.16115332
1 "Lying" -0.41652742
1 "Lying" -0.41390998
1 "Lying" -0.25347912
1 "Sitting" 0.097947109
1 "Sitting" -0.40160791
1 "Sitting" -0.017264171
1 "Sitting" -0.13524536
1 "Sitting" -0.088402726
1 "Sitting" -0.13323831
1 "Sitting" -0.34567235
1 "Sitting" -0.20811515
1 "Sitting" 0.17672726
1 "Sitting" -0.2490848
1 "Sitting" -0.051035768
1 "Sitting" -0.10682122
1 "Sitting" -0.10457271
1 "Sitting" 0.15387378
1 "Sitting" -0.18081037
1 "Sitting" -0.30192144
1 "Sitting" -0.21375383
1 "Sitting" -0.27067927
1 "Sitting" -0.032916715
1 "Sitting" -0.19412723
1 "Sitting" 0.040963158
1 "Sitting" 0.17626505
1 "Sitting" 0.12748859
1 "Sitting" 0.14995588
1 "Sitting" 0.043613052
1 "Sitting" 0.13231293
1 "Sitting" 0.24039051
1 "Sitting" -0.25379628
1 "Sitting" -0.28642067
1 "Sitting" -0.28628682
1 "Sitting" -0.17462166
1 "Sitting" -0.09878839
1 "Sitting" 0.097696961
1 "Sitting" 0.22073626
1 "Sitting" -0.076093302
1 "Sitting" 0.32971786
1 "Sitting" 0.31723605
1 "Sitting" 0.13329151
1 "Sitting" 0.043850808
1 "Sitting" -0.19242317
1 "Sitting" 0.53100749
1 "Sitting" -0.047682414
1 "Sitting" 0.0089104417
1 "Sitting" -0.24463669
1 "Sitting" -0.19337489
1 "Sitting" -0.34955354
1 "Sitting" -0.12448351
1 "Sitting" -0.088784833
1 "Sitting" 0.1116586
1 "Sitting" 0.13113305
1 "Sitting" -0.061734764
1 "Sitting" -0.066446932
1 "Sitting" -0.054496639
1 "Standing" 0.17024687
1 "Standing" -0.14922323
1 "Standing" -0.1816702
1 "Standing" -0.94397478
1 "Standing" -0.92929818
1 "Standing" -0.27548492
1 "Standing" 0.39012234
1 "Standing" 0.011722064
1 "Standing" 0.38783759
1 "Standing" 0.078256408
1 "Standing" 0.1179848
1 "Standing" -0.034240203
1 "Standing" 0.10573534
1 "Standing" -0.34182688
1 "Standing" 0.054628796
1 "Standing" 0.11509315
1 "Standing" 0.2976174
1 "Standing" 0.041432036
1 "Standing" 0.07556007
1 "Standing" 0.012158485
1 "Standing" -0.029123489
1 "Standing" 0.15068032
1 "Standing" 0.24036801
1 "Standing" 0.19800319
1 "Standing" -0.073225705
1 "Standing" -0.066597214
1 "Standing" -0.10501779
1 "Standing" 0.23773098
1 "Standing" 0.11933487
1 "Standing" 0.43176993
1 "Standing" 0.66216441
1 "Standing" 0.5383357
1 "Standing" 0.32331888
1 "Standing" 0.50907492
1 "Standing" 0.23538274
1 "Standing" -0.30559443
1 "Standing" -0.018610036
1 "Standing" -0.22976476
1 "Standing" 0.015055264
1 "Standing" 0.39483716
1 "Standing" 0.26308348
1 "Standing" 0.11563637
1 "Standing" 0.012554173
1 "Standing" 0.026283204
1 "Standing" -0.018857989
1 "Standing" -0.033849356
1 "Standing" 0.37132236
1 "Walking" -0.23315776
1 "Walking" -0.30652056
1 "Walking" -0.24182798
1 "Walking" 0.063447474
1 "Walking" -0.1440376
1 "Walking" 0.012079807
1 "Walking" -0.10810804
1 "Walking" -0.067297563
1 "Walking" -0.11308313
1 "Walking" -0.069224902
1 "Walking" -0.031424588
1 "Walking" 0.12476665
1 "Walking" -0.2232473
1 "Walking" -0.057402259
1 "Walking" -0.062564688
1 "Walking" -0.16113559
1 "Walking" -0.17219332
1 "Walking" 0.15709547
1 "Walking" 0.11494002
1 "Walking" -0.060304675
1 "Walking" -0.11275979
1 "Walking" -0.17937565
1 "Walking" 0.0084611331
1 "Walking" 0.13052361
1 "Walking" 0.022161469
1 "Walking" -0.049550401
1 "Walking" 0.023011309
