"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93427842
1 "Lying" -0.99192883
1 "Lying" -0.9956296
1 "Lying" -0.99382148
1 "Lying" -0.99460984
1 "Lying" -0.99391749
1 "Lying" -0.99363811
1 "Lying" -0.99287884
1 "Lying" -0.99483362
1 "Lying" -0.9950006
1 "Lying" -0.99443908
1 "Lying" -0.99428525
1 "Lying" -0.99337948
1 "Lying" -0.91605302
1 "Lying" -0.97892589
1 "Lying" -0.77061732
1 "Lying" -0.71526611
1 "Lying" -0.92203477
1 "Lying" -0.77656454
1 "Lying" -0.67722657
1 "Lying" -0.72334622
1 "Lying" -0.85780101
1 "Lying" -0.98526998
1 "Lying" -0.98945513
1 "Lying" -0.99262076
1 "Lying" -0.99560924
1 "Lying" -0.99718389
1 "Lying" -0.97499833
1 "Lying" -0.98371396
1 "Lying" -0.99227153
1 "Lying" -0.99160069
1 "Lying" -0.99142236
1 "Lying" -0.99226578
1 "Lying" -0.98886952
1 "Lying" -0.98984891
1 "Lying" -0.98956366
1 "Lying" -0.99042603
1 "Lying" -0.99108105
1 "Lying" -0.99145496
1 "Lying" -0.72739818
1 "Lying" -0.91589099
1 "Lying" -0.96678571
1 "Lying" -0.96739234
1 "Lying" -0.97810628
1 "Lying" -0.99816863
1 "Lying" -0.99865705
1 "Lying" -0.99815102
1 "Lying" -0.99416239
1 "Lying" -0.99241707
1 "Lying" -0.99634094
1 "Sitting" -0.97388607
1 "Sitting" -0.98716807
1 "Sitting" -0.99339895
1 "Sitting" -0.99164605
1 "Sitting" -0.99195582
1 "Sitting" -0.99165953
1 "Sitting" -0.98840583
1 "Sitting" -0.9859172
1 "Sitting" -0.99351595
1 "Sitting" -0.9868624
1 "Sitting" -0.98846395
1 "Sitting" -0.99509504
1 "Sitting" -0.99646211
1 "Sitting" -0.99764892
1 "Sitting" -0.93741192
1 "Sitting" -0.96247444
1 "Sitting" -0.98002865
1 "Sitting" -0.9887699
1 "Sitting" -0.99749133
1 "Sitting" -0.99703422
1 "Sitting" -0.99799488
1 "Sitting" -0.99874253
1 "Sitting" -0.9973201
1 "Sitting" -0.99830862
1 "Sitting" -0.9976868
1 "Sitting" -0.9974327
1 "Sitting" -0.99752732
1 "Sitting" -0.93248591
1 "Sitting" -0.95930454
1 "Sitting" -0.97189224
1 "Sitting" -0.97767642
1 "Sitting" -0.97736339
1 "Sitting" -0.98494645
1 "Sitting" -0.98803013
1 "Sitting" -0.99520722
1 "Sitting" -0.99498923
1 "Sitting" -0.99568844
1 "Sitting" -0.99756366
1 "Sitting" -0.99622442
1 "Sitting" -0.99331871
1 "Sitting" -0.98406876
1 "Sitting" -0.95253211
1 "Sitting" -0.97710619
1 "Sitting" -0.9808971
1 "Sitting" -0.98654993
1 "Sitting" -0.98792856
1 "Sitting" -0.99382606
1 "Sitting" -0.99521272
1 "Sitting" -0.99735629
1 "Sitting" -0.99779756
1 "Sitting" -0.99679546
1 "Sitting" -0.99582875
1 "Sitting" -0.99581002
1 "Standing" -0.97447678
1 "Standing" -0.97297426
1 "Standing" -0.97548568
1 "Standing" -0.41291791
1 "Standing" -0.40157813
1 "Standing" -0.88702317
1 "Standing" -0.98157382
1 "Standing" -0.99006757
1 "Standing" -0.99485993
1 "Standing" -0.9928408
1 "Standing" -0.99402078
1 "Standing" -0.96989231
1 "Standing" -0.98838593
1 "Standing" -0.98722279
1 "Standing" -0.9934553
1 "Standing" -0.99460844
1 "Standing" -0.99558145
1 "Standing" -0.99445597
1 "Standing" -0.99446261
1 "Standing" -0.99509502
1 "Standing" -0.99448807
1 "Standing" -0.99564221
1 "Standing" -0.99512495
1 "Standing" -0.99274758
1 "Standing" -0.95764609
1 "Standing" -0.96620917
1 "Standing" -0.98151022
1 "Standing" -0.99244204
1 "Standing" -0.9949952
1 "Standing" -0.99687812
1 "Standing" -0.99827154
1 "Standing" -0.99736521
1 "Standing" -0.99684404
1 "Standing" -0.99775418
1 "Standing" -0.9975364
1 "Standing" -0.96471188
1 "Standing" -0.99468178
1 "Standing" -0.98621383
1 "Standing" -0.99406402
1 "Standing" -0.99688891
1 "Standing" -0.9962145
1 "Standing" -0.99584964
1 "Standing" -0.99606462
1 "Standing" -0.99558026
1 "Standing" -0.99458808
1 "Standing" -0.99528362
1 "Standing" -0.97364219
1 "Walking" -0.11504726
1 "Walking" -0.0098376617
1 "Walking" 0.0097268728
1 "Walking" 0.044652222
1 "Walking" 0.17601624
1 "Walking" 0.055512057
1 "Walking" -0.082039892
1 "Walking" -0.04115117
1 "Walking" -0.12194059
1 "Walking" -0.039331806
1 "Walking" -0.024582546
1 "Walking" -0.08680965
1 "Walking" 0.083256156
1 "Walking" 0.064627021
1 "Walking" -0.01597055
1 "Walking" 0.035207478
1 "Walking" 0.032708055
1 "Walking" -0.024013313
1 "Walking" 0.036567426
1 "Walking" 0.045752512
1 "Walking" 0.054090936
1 "Walking" 0.03598613
1 "Walking" -0.094185659
1 "Walking" -0.0098015489
1 "Walking" 0.053384941
1 "Walking" 0.10426562
1 "Walking" 0.036521428
1 "Walking" -0.028177781
1 "Walking" 0.048823244
1 "Walking" 0.06912718
1 "Walking" 0.068541157
1 "Walking" 0.069468459
1 "Walking" 0.055081144
1 "Walking" 0.016132458
1 "Walking" -0.0013658214
1 "Walking" -0.047302696
1 "Walking" 0.032170681
1 "Walking" 0.0031712299
1 "Walking" -0.06158194
1 "Walking" -0.080903578
1 "Walking" -0.087482007
1 "Walking" -0.06132522
1 "Walking" -0.087816812
1 "Walking" -0.11586822
1 "Walking" -0.038552002
1 "Walking" 0.013899831
1 "Walking" -0.061857929
1 "Walking" -0.15157752
1 "Walking" -0.1075236
1 "Walking" -0.13415259
1 "Walking" -0.15970917
1 "Walking" -0.12991531
1 "Walking" -0.070286697
1 "Walking" -0.065193343
1 "Walking" -0.088954093
1 "Walking" -0.12596791
1 "Walking" -0.052804221
1 "Walking" -0.043427199
1 "Walking" -0.08509343
1 "Walking" -0.14768833
1 "Walking" -0.14640247
1 "Walking" -0.14783161
1 "Walking" -0.080508105
1 "Walking" -0.045277349
1 "Walking" -0.13212561
1 "Walking" -0.10802672
1 "Walking" -0.026290522
1 "Walking" 0.16449771
1 "Walking" 0.030753004
1 "Walking" 0.027653484
1 "Walking" -0.017122092
1 "Walking" -0.037589829
1 "Walking" 0.00831117
1 "Walking" -0.0064901506
1 "Walking" -0.080623312
1 "Walking" -0.11970148
1 "Walking" -0.066585814
1 "Walking" -0.060965206
1 "Walking" -0.10118774
1 "Walking" -0.11670665
1 "Walking" -0.12575376
1 "Walking" -0.083093453
1 "Walking" -0.001628179
1 "Walking" -0.030153836
1 "Walking" -0.12565874
1 "Walking" -0.15602144
1 "Walking" -0.11114632
1 "Walking" -0.021461236
1 "Walking" 0.020138663
1 "Walking" 0.028597325
1 "Walking" -0.040773973
1 "Walking" 0.016583852
1 "Walking" 0.020422169
1 "Walking" 0.018858791
1 "Walking" -0.075417164
1 "Walking Down Stairs" -0.32579163
1 "Walking Down Stairs" -0.22115409
1 "Walking Down Stairs" -0.23062557
1 "Walking Down Stairs" -0.23525598
1 "Walking Down Stairs" -0.22065935
1 "Walking Down Stairs" -0.098203389
1 "Walking Down Stairs" -0.1101921
1 "Walking Down Stairs" -0.26915072
1 "Walking Down Stairs" -0.3439854
1 "Walking Down Stairs" -0.15108915
1 "Walking Down Stairs" -0.13619042
1 "Walking Down Stairs" -0.077970601
1 "Walking Down Stairs" -0.0078247012
1 "Walking Down Stairs" -0.016945189
1 "Walking Down Stairs" -0.030541483
1 "Walking Down Stairs" -0.22568356
1 "Walking Down Stairs" -0.17622615
1 "Walking Down Stairs" -0.18017406
1 "Walking Down Stairs" -0.16935701
1 "Walking Down Stairs" -0.11493502
1 "Walking Down Stairs" -0.066297718
1 "Walking Down Stairs" -0.14595124
1 "Walking Down Stairs" -0.12769939
1 "Walking Down Stairs" -0.16880894
1 "Walking Down Stairs" -0.22059521
1 "Walking Down Stairs" -0.35553347
1 "Walking Down Stairs" -0.30258369
1 "Walking Down Stairs" -0.17068819
1 "Walking Down Stairs" -0.12017226
1 "Walking Down Stairs" -0.20940723
1 "Walking Down Stairs" -0.27592245
1 "Walking Down Stairs" -0.23356835
1 "Walking Down Stairs" -0.16305097
1 "Walking Down Stairs" -0.12736954
1 "Walking Down Stairs" -0.070023196
1 "Walking Down Stairs" -0.066079156
1 "Walking Down Stairs" -0.20790961
1 "Walking Down Stairs" -0.21274009
1 "Walking Down Stairs" -0.29837858
1 "Walking Down Stairs" -0.27289408
1 "Walking Down Stairs" -0.22464807
1 "Walking Down Stairs" -0.17328127
1 "Walking Down Stairs" -0.10375676
1 "Walking Down Stairs" -0.28999125
1 "Walking Down Stairs" -0.35167374
1 "Walking Down Stairs" -0.11560371
1 "Walking Down Stairs" -0.086058481
1 "Walking Down Stairs" -0.18683794
1 "Walking Down Stairs" -0.19984155
1 "Walking Up Stairs" 0.12715588
1 "Walking Up Stairs" 0.10845533
1 "Walking Up Stairs" 0.1020097
1 "Walking Up Stairs" 0.10464793
1 "Walking Up Stairs" 0.1158341
1 "Walking Up Stairs" 0.037708293
1 "Walking Up Stairs" 0.082867268
1 "Walking Up Stairs" 0.15848513
1 "Walking Up Stairs" 0.12717306
1 "Walking Up Stairs" 0.11865544
1 "Walking Up Stairs" 0.23326411
1 "Walking Up Stairs" 0.24169133
1 "Walking Up Stairs" 0.0096541821
1 "Walking Up Stairs" -0.075789258
1 "Walking Up Stairs" 0.023381992
1 "Walking Up Stairs" 0.073515128
1 "Walking Up Stairs" 0.070169081
1 "Walking Up Stairs" 0.14376054
1 "Walking Up Stairs" 0.14223352
1 "Walking Up Stairs" 0.18652856
1 "Walking Up Stairs" 0.14504201
1 "Walking Up Stairs" -0.022809809
1 "Walking Up Stairs" -0.17274192
1 "Walking Up Stairs" -0.0089936221
1 "Walking Up Stairs" 0.12910862
1 "Walking Up Stairs" 0.10955176
1 "Walking Up Stairs" 0.18051065
1 "Walking Up Stairs" 0.15378782
1 "Walking Up Stairs" 0.39640669
1 "Walking Up Stairs" 0.33962105
1 "Walking Up Stairs" 0.14930033
1 "Walking Up Stairs" 0.18980704
1 "Walking Up Stairs" 0.16618814
1 "Walking Up Stairs" 0.23284009
1 "Walking Up Stairs" 0.27730803
1 "Walking Up Stairs" 0.24756218
1 "Walking Up Stairs" 0.10711177
1 "Walking Up Stairs" 0.27580214
1 "Walking Up Stairs" 0.28231403
1 "Walking Up Stairs" 0.17835366
1 "Walking Up Stairs" 0.17880414
1 "Walking Up Stairs" 0.16554253
1 "Walking Up Stairs" 0.254418
1 "Walking Up Stairs" 0.21469226
1 "Walking Up Stairs" 0.15264457
1 "Walking Up Stairs" 0.13037734
1 "Walking Up Stairs" 0.29977306
1 "Walking Up Stairs" 0.31196525
1 "Walking Up Stairs" 0.1412352
1 "Walking Up Stairs" 0.08493803
1 "Walking Up Stairs" 0.106592
1 "Walking Up Stairs" 0.24645618
1 "Walking Up Stairs" 0.25665146
2 "Lying" -0.93346553
2 "Lying" -0.94804454
2 "Lying" -0.96801689
2 "Lying" -0.98825233
2 "Lying" -0.99681742
2 "Lying" -0.99758304
2 "Lying" -0.99691129
2 "Lying" -0.99835506
2 "Lying" -0.99837145
2 "Lying" -0.99762499
2 "Lying" -0.99634447
2 "Lying" -0.9553934
2 "Lying" -0.94443409
2 "Lying" -0.96937978
2 "Lying" -0.96851446
2 "Lying" -0.99208786
2 "Lying" -0.98746751
2 "Lying" -0.99224016
2 "Lying" -0.99056491
2 "Lying" -0.98923163
2 "Lying" -0.98916115
2 "Lying" -0.99083169
2 "Lying" -0.98839853
2 "Lying" -0.98990554
2 "Lying" -0.94206172
2 "Lying" -0.97047161
2 "Lying" -0.99008462
2 "Lying" -0.98356329
2 "Lying" -0.98406331
2 "Lying" -0.9839857
2 "Lying" -0.98863073
2 "Lying" -0.98758437
2 "Lying" -0.99162153
2 "Lying" -0.99429421
2 "Lying" -0.98867888
2 "Lying" -0.95224513
2 "Lying" -0.9654739
2 "Lying" -0.97520996
2 "Lying" -0.98738846
2 "Lying" -0.98856751
2 "Lying" -0.9887281
2 "Lying" -0.99004352
2 "Lying" -0.99030084
2 "Lying" -0.98947517
2 "Lying" -0.98848775
2 "Lying" -0.9876707
2 "Lying" -0.99072262
2 "Lying" -0.96495824
2 "Sitting" -0.822677
2 "Sitting" -0.93201069
2 "Sitting" -0.97719446
2 "Sitting" -0.97190942
2 "Sitting" -0.9765654
2 "Sitting" -0.97424691
2 "Sitting" -0.98233966
2 "Sitting" -0.99190954
2 "Sitting" -0.99496121
2 "Sitting" -0.99315328
2 "Sitting" -0.99268503
2 "Sitting" -0.9939159
2 "Sitting" -0.99479355
2 "Sitting" -0.98717522
2 "Sitting" -0.98754431
2 "Sitting" -0.90235584
2 "Sitting" -0.9760463
2 "Sitting" -0.9888398
2 "Sitting" -0.99064283
2 "Sitting" -0.97015055
2 "Sitting" -0.95803225
2 "Sitting" -0.91917057
2 "Sitting" -0.86407104
2 "Sitting" -0.86844779
2 "Sitting" -0.97094493
2 "Sitting" -0.98515793
2 "Sitting" -0.98317441
2 "Sitting" -0.98544675
2 "Sitting" -0.99102057
2 "Sitting" -0.99201558
2 "Sitting" -0.98489038
2 "Sitting" -0.92290806
2 "Sitting" -0.96906452
2 "Sitting" -0.97396106
2 "Sitting" -0.97396204
2 "Sitting" -0.97333862
2 "Sitting" -0.97948565
2 "Sitting" -0.98554438
2 "Sitting" -0.99288442
