"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.43287564
1 "Lying" -0.42759273
1 "Lying" -0.43124421
1 "Lying" -0.43164599
1 "Lying" -0.43120727
1 "Lying" -0.43105379
1 "Lying" -0.43119994
1 "Lying" -0.43166802
1 "Lying" -0.43219711
1 "Lying" -0.43287147
1 "Lying" -0.43343266
1 "Lying" -0.43330166
1 "Lying" -0.43379089
1 "Lying" -0.36073577
1 "Lying" -0.38929322
1 "Lying" -0.39742768
1 "Lying" -0.48705651
1 "Lying" -0.57287374
1 "Lying" -0.53580206
1 "Lying" -0.50619728
1 "Lying" -0.67268482
1 "Lying" -0.92814826
1 "Lying" -0.97719373
1 "Lying" -0.97526294
1 "Lying" -0.97723061
1 "Lying" -0.97914858
1 "Lying" -0.98014271
1 "Lying" -0.35850989
1 "Lying" -0.3488254
1 "Lying" -0.35110356
1 "Lying" -0.35056627
1 "Lying" -0.34996235
1 "Lying" -0.34973662
1 "Lying" -0.35011159
1 "Lying" -0.35019265
1 "Lying" -0.35010314
1 "Lying" -0.35019491
1 "Lying" -0.35060889
1 "Lying" -0.35042803
1 "Lying" -0.097477218
1 "Lying" 0.14403351
1 "Lying" 0.23656311
1 "Lying" 0.2327786
1 "Lying" 0.20589471
1 "Lying" 0.17855129
1 "Lying" 0.17958361
1 "Lying" 0.18765472
1 "Lying" 0.19219988
1 "Lying" 0.21739001
1 "Lying" 0.26579492
1 "Sitting" -0.058626924
1 "Sitting" -0.054316717
1 "Sitting" -0.049117815
1 "Sitting" -0.047663183
1 "Sitting" -0.043892254
1 "Sitting" -0.042126383
1 "Sitting" -0.043009987
1 "Sitting" -0.041975833
1 "Sitting" -0.037363927
1 "Sitting" -0.034417291
1 "Sitting" -0.034681168
1 "Sitting" -0.035852089
1 "Sitting" -0.035997955
1 "Sitting" -0.035063399
1 "Sitting" 0.036443909
1 "Sitting" 0.02417211
1 "Sitting" 0.027014344
1 "Sitting" 0.029664019
1 "Sitting" 0.029345734
1 "Sitting" 0.029573033
1 "Sitting" 0.030288454
1 "Sitting" 0.029986987
1 "Sitting" 0.02963917
1 "Sitting" 0.030456029
1 "Sitting" 0.030743151
1 "Sitting" 0.029403668
1 "Sitting" 0.028562963
1 "Sitting" 0.01011299
1 "Sitting" 0.014515193
1 "Sitting" 0.017799085
1 "Sitting" 0.013691468
1 "Sitting" 0.014964118
1 "Sitting" 0.01680354
1 "Sitting" 0.01961812
1 "Sitting" 0.023479353
1 "Sitting" 0.023753058
1 "Sitting" 0.022789621
1 "Sitting" 0.023873965
1 "Sitting" 0.025274454
1 "Sitting" 0.025098201
1 "Sitting" 0.025221043
1 "Sitting" 0.052067472
1 "Sitting" 0.041623348
1 "Sitting" 0.043941874
1 "Sitting" 0.046814074
1 "Sitting" 0.045039815
1 "Sitting" 0.045940993
1 "Sitting" 0.049120769
1 "Sitting" 0.050938882
1 "Sitting" 0.051842136
1 "Sitting" 0.051877598
1 "Sitting" 0.051146057
1 "Sitting" 0.050865197
1 "Standing" -0.21887457
1 "Standing" -0.26605456
1 "Standing" -0.2575301
1 "Standing" -0.25526977
1 "Standing" -0.26042439
1 "Standing" -0.30588383
1 "Standing" -0.33700092
1 "Standing" -0.32645795
1 "Standing" -0.32332877
1 "Standing" -0.32398842
1 "Standing" -0.32348431
1 "Standing" -0.21275283
1 "Standing" -0.21119617
1 "Standing" -0.21042962
1 "Standing" -0.20965049
1 "Standing" -0.20955912
1 "Standing" -0.20966409
1 "Standing" -0.20853819
1 "Standing" -0.20755542
1 "Standing" -0.20766551
1 "Standing" -0.20754128
1 "Standing" -0.20844898
1 "Standing" -0.20900476
1 "Standing" -0.20796204
1 "Standing" -0.24711421
1 "Standing" -0.23258583
1 "Standing" -0.22913879
1 "Standing" -0.23053226
1 "Standing" -0.23007489
1 "Standing" -0.23007427
1 "Standing" -0.23024794
1 "Standing" -0.22975252
1 "Standing" -0.22883996
1 "Standing" -0.22849892
1 "Standing" -0.22880441
1 "Standing" -0.16400404
1 "Standing" -0.1347856
1 "Standing" -0.14409832
1 "Standing" -0.14953969
1 "Standing" -0.14958441
1 "Standing" -0.14924849
1 "Standing" -0.14970865
1 "Standing" -0.1491778
1 "Standing" -0.14871851
1 "Standing" -0.14877367
1 "Standing" -0.14807169
1 "Standing" -0.14716862
1 "Walking" 0.044098743
1 "Walking" 0.044637597
1 "Walking" 0.039416823
1 "Walking" 0.03973498
1 "Walking" 0.041412489
1 "Walking" 0.040128173
1 "Walking" 0.038105042
1 "Walking" 0.037162294
1 "Walking" 0.035725938
1 "Walking" 0.046412684
1 "Walking" 0.043972437
1 "Walking" 0.040396555
1 "Walking" 0.04604602
1 "Walking" 0.045691901
1 "Walking" 0.042851381
1 "Walking" 0.042765051
1 "Walking" 0.040754297
1 "Walking" 0.038575391
1 "Walking" 0.036180384
1 "Walking" 0.034676619
1 "Walking" 0.031442044
1 "Walking" 0.048844258
1 "Walking" 0.046982881
1 "Walking" 0.04310044
1 "Walking" 0.042116144
1 "Walking" 0.040347067
1 "Walking" 0.037684434
1 "Walking" 0.034528797
1 "Walking" 0.035313655
1 "Walking" 0.037651666
1 "Walking" 0.040457219
1 "Walking" 0.046294293
1 "Walking" 0.047822052
1 "Walking" 0.048003415
1 "Walking" 0.051664332
1 "Walking" 0.045597275
1 "Walking" 0.041470049
1 "Walking" 0.037375875
1 "Walking" 0.03447432
1 "Walking" 0.033260354
1 "Walking" 0.032785826
1 "Walking" 0.033888562
1 "Walking" 0.031546631
1 "Walking" 0.031598306
1 "Walking" 0.037846728
1 "Walking" 0.045255654
1 "Walking" 0.048346543
1 "Walking" 0.10723582
1 "Walking" 0.10084302
1 "Walking" 0.10094458
1 "Walking" 0.097085004
1 "Walking" 0.090308611
1 "Walking" 0.090365284
1 "Walking" 0.095092656
1 "Walking" 0.096077859
1 "Walking" 0.075838924
1 "Walking" 0.097394985
1 "Walking" 0.095548635
1 "Walking" 0.095200917
1 "Walking" 0.10068126
1 "Walking" 0.096039994
1 "Walking" 0.088662201
1 "Walking" 0.086692123
1 "Walking" 0.088706845
1 "Walking" 0.094190456
1 "Walking" 0.095626185
1 "Walking" 0.096995131
1 "Walking" 0.099864376
1 "Walking" 0.12172669
1 "Walking" 0.12900605
1 "Walking" 0.1100954
1 "Walking" 0.10793844
1 "Walking" 0.10482437
1 "Walking" 0.097766573
1 "Walking" 0.097192155
1 "Walking" 0.095159817
1 "Walking" 0.089193684
1 "Walking" 0.087985486
1 "Walking" 0.08863768
1 "Walking" 0.090791941
1 "Walking" 0.094145351
1 "Walking" 0.073314688
1 "Walking" 0.1007373
1 "Walking" 0.10081377
1 "Walking" 0.092871573
1 "Walking" 0.092717237
1 "Walking" 0.098310467
1 "Walking" 0.097360584
1 "Walking" 0.089228959
1 "Walking" 0.086438045
1 "Walking" 0.091996964
1 "Walking" 0.10002005
1 "Walking" 0.10399146
1 "Walking" 0.10414549
1 "Walking" 0.10134793
1 "Walking Down Stairs" 0.04047408
1 "Walking Down Stairs" 0.032582417
1 "Walking Down Stairs" 0.03181717
1 "Walking Down Stairs" 0.0432366
1 "Walking Down Stairs" 0.046864574
1 "Walking Down Stairs" 0.040876867
1 "Walking Down Stairs" 0.047016364
1 "Walking Down Stairs" 0.04364982
1 "Walking Down Stairs" 0.031154035
1 "Walking Down Stairs" 0.058288331
1 "Walking Down Stairs" 0.029717335
1 "Walking Down Stairs" 0.032871071
1 "Walking Down Stairs" 0.04607592
1 "Walking Down Stairs" 0.041975445
1 "Walking Down Stairs" 0.051523193
1 "Walking Down Stairs" 0.051741178
1 "Walking Down Stairs" 0.0347066
1 "Walking Down Stairs" 0.050583388
1 "Walking Down Stairs" 0.035488357
1 "Walking Down Stairs" 0.038349993
1 "Walking Down Stairs" 0.0404382
1 "Walking Down Stairs" 0.02665056
1 "Walking Down Stairs" 0.040068354
1 "Walking Down Stairs" 0.056051285
1 "Walking Down Stairs" 0.039774255
1 "Walking Down Stairs" 0.074652363
1 "Walking Down Stairs" 0.090251249
1 "Walking Down Stairs" 0.084022249
1 "Walking Down Stairs" 0.083506299
1 "Walking Down Stairs" 0.096975044
1 "Walking Down Stairs" 0.091632527
1 "Walking Down Stairs" 0.090627843
1 "Walking Down Stairs" 0.11301633
1 "Walking Down Stairs" 0.091860314
1 "Walking Down Stairs" 0.085931191
1 "Walking Down Stairs" 0.089055776
1 "Walking Down Stairs" 0.088406808
1 "Walking Down Stairs" 0.10097199
1 "Walking Down Stairs" 0.103141
1 "Walking Down Stairs" 0.089754161
1 "Walking Down Stairs" 0.084942685
1 "Walking Down Stairs" 0.076225792
1 "Walking Down Stairs" 0.072277048
1 "Walking Down Stairs" 0.090081207
1 "Walking Down Stairs" 0.10070092
1 "Walking Down Stairs" 0.10366234
1 "Walking Down Stairs" 0.099655998
1 "Walking Down Stairs" 0.080207407
1 "Walking Down Stairs" 0.071696721
1 "Walking Up Stairs" 0.07579027
1 "Walking Up Stairs" 0.06548249
1 "Walking Up Stairs" 0.070519284
1 "Walking Up Stairs" 0.07046834
1 "Walking Up Stairs" 0.058967406
1 "Walking Up Stairs" 0.04432452
