"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.48750525
1 "Lying" 0.35903715
1 "Lying" 0.45392312
1 "Lying" 0.38671913
1 "Lying" -0.35414624
1 "Lying" -0.31091061
1 "Lying" -0.64622507
1 "Lying" -0.096104861
1 "Lying" 0.72789465
1 "Lying" -0.10864223
1 "Lying" -0.0394232
1 "Lying" 0.77533358
1 "Lying" 0.33782105
1 "Lying" 0.24094286
1 "Lying" 0.38887011
1 "Lying" 0.082695923
1 "Lying" 0.5432066
1 "Lying" 0.09802774
1 "Lying" 0.051019612
1 "Lying" 0.19285207
1 "Lying" 0.025647796
1 "Lying" 0.098098759
1 "Lying" 0.15633378
1 "Lying" 0.058185081
1 "Lying" 0.046694737
1 "Lying" 0.071105431
1 "Lying" -0.41201595
1 "Lying" 0.39495665
1 "Lying" 0.24647806
1 "Lying" 0.35300313
1 "Lying" 0.3085614
1 "Lying" -0.54269962
1 "Lying" 0.12382634
1 "Lying" -0.67549796
1 "Lying" -0.49851324
1 "Lying" 0.84413854
1 "Lying" 0.041104913
1 "Lying" -0.62740669
1 "Lying" 0.8252901
1 "Lying" -0.37168328
1 "Lying" 0.44403169
1 "Lying" 0.1078819
1 "Lying" 0.041773622
1 "Lying" -0.014726119
1 "Lying" -0.16356653
1 "Lying" -0.14660577
1 "Lying" -0.18362081
1 "Lying" -0.2308957
1 "Lying" 0.14641377
1 "Lying" 0.18516757
1 "Sitting" -0.018445884
1 "Sitting" 0.70351059
1 "Sitting" 0.80852908
1 "Sitting" -0.48536645
1 "Sitting" -0.61597061
1 "Sitting" -0.36822404
1 "Sitting" -0.18951153
1 "Sitting" 0.46738333
1 "Sitting" 0.11779701
1 "Sitting" -0.070670135
1 "Sitting" 0.11593062
1 "Sitting" -0.65194513
1 "Sitting" 0.76548488
1 "Sitting" 0.49881419
1 "Sitting" -0.26879133
1 "Sitting" -0.056927156
1 "Sitting" -0.22915457
1 "Sitting" 0.36755744
1 "Sitting" 0.78819291
1 "Sitting" -0.41172948
1 "Sitting" -0.38110213
1 "Sitting" -0.85371129
1 "Sitting" -0.022379316
1 "Sitting" -0.23519954
1 "Sitting" -0.62292202
1 "Sitting" -0.22535799
1 "Sitting" 0.81522562
1 "Sitting" 0.022322308
1 "Sitting" -0.19425844
1 "Sitting" 0.42853895
1 "Sitting" -0.6322433
1 "Sitting" -0.0047164604
1 "Sitting" 0.5906994
1 "Sitting" 0.17775453
1 "Sitting" -0.55360477
1 "Sitting" -0.65092773
1 "Sitting" -0.30283138
1 "Sitting" -0.66521826
1 "Sitting" -0.96593516
1 "Sitting" 0.75697667
1 "Sitting" 0.6978666
1 "Sitting" 0.018213871
1 "Sitting" 0.034849186
1 "Sitting" -0.22481975
1 "Sitting" 0.12042845
1 "Sitting" 0.24058735
1 "Sitting" -0.29510741
1 "Sitting" -0.14071625
1 "Sitting" 0.51854371
1 "Sitting" -0.73318011
1 "Sitting" -0.92404508
1 "Sitting" 0.6678405
1 "Sitting" 0.7920501
1 "Standing" 0.046689153
1 "Standing" -0.12702787
1 "Standing" 0.0063291237
1 "Standing" -0.31672663
1 "Standing" -0.0014609828
1 "Standing" 0.20511256
1 "Standing" -0.13424521
1 "Standing" -0.037327157
1 "Standing" -0.046454587
1 "Standing" -0.016025225
1 "Standing" 0.19214051
1 "Standing" -0.42619826
1 "Standing" -0.51240546
1 "Standing" -0.57356057
1 "Standing" -0.79404589
1 "Standing" -0.58307176
1 "Standing" -0.1345512
1 "Standing" 0.34144511
1 "Standing" 0.39525282
1 "Standing" 0.45499243
1 "Standing" 0.35513802
1 "Standing" -0.30085729
1 "Standing" -0.18724907
1 "Standing" 0.46516674
1 "Standing" 0.087709768
1 "Standing" -0.030513329
1 "Standing" -0.033570089
1 "Standing" -0.08213084
1 "Standing" 0.11226365
1 "Standing" 0.18634987
1 "Standing" -0.20643432
1 "Standing" -0.27824649
1 "Standing" 0.021056765
1 "Standing" 0.32891426
1 "Standing" 0.36596223
1 "Standing" -0.83238198
1 "Standing" -0.45994301
1 "Standing" -0.47786294
1 "Standing" -0.51251886
1 "Standing" -0.47795958
1 "Standing" 0.37314808
1 "Standing" 0.2272144
1 "Standing" 0.445952
1 "Standing" 0.015448073
1 "Standing" -0.11137439
1 "Standing" -0.28831806
1 "Standing" 0.30673939
1 "Walking" -0.41283607
1 "Walking" -0.84094295
1 "Walking" 0.34445919
1 "Walking" 0.063337412
1 "Walking" 0.077922024
1 "Walking" 0.20734525
1 "Walking" 0.37750041
1 "Walking" -0.68819132
1 "Walking" -0.36722405
1 "Walking" -0.64330959
1 "Walking" -0.17031316
1 "Walking" 0.20183852
1 "Walking" 0.82213587
1 "Walking" -0.12342479
1 "Walking" -0.16908718
1 "Walking" 0.29156957
1 "Walking" 0.83663794
1 "Walking" -0.023407756
1 "Walking" 0.21152652
1 "Walking" 0.16746267
1 "Walking" 0.58162436
1 "Walking" 0.20717511
1 "Walking" -0.40839732
1 "Walking" -0.59363242
1 "Walking" 0.81016875
1 "Walking" 0.69713795
1 "Walking" -0.3181535
1 "Walking" -0.95704997
1 "Walking" -0.45447474
1 "Walking" 0.38929078
1 "Walking" 0.81051739
1 "Walking" 0.23720933
1 "Walking" -0.25718761
1 "Walking" -0.60320895
1 "Walking" -0.029271039
1 "Walking" 0.090854819
1 "Walking" 0.68168783
1 "Walking" -0.02191848
1 "Walking" -0.88840398
1 "Walking" -0.57907084
1 "Walking" 0.30934178
1 "Walking" 0.29281557
1 "Walking" 0.34694004
1 "Walking" -0.14003014
1 "Walking" 0.17593404
1 "Walking" 0.24049455
1 "Walking" -0.4359208
1 "Walking" -0.21669282
1 "Walking" 0.52911209
1 "Walking" -0.023529806
1 "Walking" 0.091259576
1 "Walking" 0.0022984612
1 "Walking" -0.46297239
1 "Walking" 0.0059416959
1 "Walking" 0.31226036
1 "Walking" 0.31576071
1 "Walking" 0.22126272
1 "Walking" -0.31849855
1 "Walking" -0.099448472
1 "Walking" 0.30052814
1 "Walking" -0.30485946
1 "Walking" -0.58920469
1 "Walking" 0.063735636
1 "Walking" 0.053898458
1 "Walking" -0.32149213
1 "Walking" -0.089834517
1 "Walking" 0.39790664
1 "Walking" 0.19055545
1 "Walking" -0.44588532
1 "Walking" 0.44648449
1 "Walking" -0.10535792
1 "Walking" 0.08576268
1 "Walking" -0.11636118
1 "Walking" -0.28394539
1 "Walking" 0.17875034
1 "Walking" 0.50065592
1 "Walking" 0.072863063
1 "Walking" 0.0094632906
1 "Walking" 0.43594365
1 "Walking" -0.74020836
1 "Walking" -0.27171379
1 "Walking" 0.011023007
1 "Walking" -0.81435969
1 "Walking" -0.66375904
1 "Walking" 0.35166452
1 "Walking" -0.11039642
1 "Walking" 0.29491376
1 "Walking" 0.062773932
1 "Walking" -0.078885402
1 "Walking" -0.033152002
1 "Walking" -0.11959313
1 "Walking" -0.35832701
1 "Walking" -0.42034178
1 "Walking" -0.17706008
1 "Walking" 0.10298659
1 "Walking Down Stairs" -0.11267281
1 "Walking Down Stairs" -0.28801006
1 "Walking Down Stairs" 0.53088187
1 "Walking Down Stairs" -0.61674812
1 "Walking Down Stairs" 0.10783032
1 "Walking Down Stairs" 0.59427029
1 "Walking Down Stairs" -0.57629736
1 "Walking Down Stairs" -0.081783026
1 "Walking Down Stairs" 0.6780769
1 "Walking Down Stairs" -0.17469092
1 "Walking Down Stairs" 0.34340883
1 "Walking Down Stairs" -0.10169421
1 "Walking Down Stairs" -0.48699185
1 "Walking Down Stairs" 0.777159
1 "Walking Down Stairs" -0.42418728
1 "Walking Down Stairs" -0.69890601
1 "Walking Down Stairs" 0.43406952
1 "Walking Down Stairs" -0.25487954
1 "Walking Down Stairs" 0.70163071
1 "Walking Down Stairs" -0.31500941
1 "Walking Down Stairs" -0.56106925
1 "Walking Down Stairs" 0.43428316
1 "Walking Down Stairs" -0.3718553
1 "Walking Down Stairs" -0.75581112
1 "Walking Down Stairs" 0.29352932
1 "Walking Down Stairs" -0.68557092
1 "Walking Down Stairs" -0.13092194
1 "Walking Down Stairs" -0.83084877
1 "Walking Down Stairs" 0.30789685
1 "Walking Down Stairs" -0.21199886
1 "Walking Down Stairs" -0.60358803
1 "Walking Down Stairs" -0.049298866
1 "Walking Down Stairs" 0.66456218
1 "Walking Down Stairs" 0.40962166
1 "Walking Down Stairs" 0.30922977
1 "Walking Down Stairs" -0.031539356
1 "Walking Down Stairs" 0.26630578
1 "Walking Down Stairs" -0.31533365
1 "Walking Down Stairs" -0.39276427
1 "Walking Down Stairs" 0.1400342
1 "Walking Down Stairs" 0.34849196
1 "Walking Down Stairs" 0.35172098
1 "Walking Down Stairs" 0.52646611
1 "Walking Down Stairs" 0.10686969
1 "Walking Down Stairs" -0.92762382
1 "Walking Down Stairs" 0.11827526
1 "Walking Down Stairs" 0.027720809
1 "Walking Down Stairs" -0.3766493
1 "Walking Down Stairs" -0.054456566
1 "Walking Up Stairs" 0.7985946
1 "Walking Up Stairs" 0.25738996
1 "Walking Up Stairs" -0.52482434
1 "Walking Up Stairs" -0.13238444
1 "Walking Up Stairs" -0.057846298
1 "Walking Up Stairs" -0.056916321
1 "Walking Up Stairs" 0.7619962
1 "Walking Up Stairs" 0.60052315
1 "Walking Up Stairs" -0.90429865
1 "Walking Up Stairs" -0.76743671
1 "Walking Up Stairs" 0.71558502
1 "Walking Up Stairs" 0.70074975
1 "Walking Up Stairs" -0.70088839
1 "Walking Up Stairs" 0.14181552
1 "Walking Up Stairs" 0.8452506
1 "Walking Up Stairs" -0.3648809
1 "Walking Up Stairs" -0.66297018
1 "Walking Up Stairs" 0.6745563
1 "Walking Up Stairs" -0.11666241
1 "Walking Up Stairs" 0.134304
1 "Walking Up Stairs" 0.52815428
1 "Walking Up Stairs" -0.3301331
1 "Walking Up Stairs" -0.10787926
1 "Walking Up Stairs" 0.83639545
1 "Walking Up Stairs" -0.48819893
1 "Walking Up Stairs" -0.83677329
1 "Walking Up Stairs" 0.88551703
1 "Walking Up Stairs" 0.86434345
1 "Walking Up Stairs" -0.69195061
1 "Walking Up Stairs" 0.5528056
1 "Walking Up Stairs" 0.89009359
1 "Walking Up Stairs" -0.15016327
1 "Walking Up Stairs" 0.74120794
1 "Walking Up Stairs" 0.43645657
1 "Walking Up Stairs" -0.7446468
1 "Walking Up Stairs" -0.30647498
1 "Walking Up Stairs" -0.3657686
1 "Walking Up Stairs" 0.37916866
1 "Walking Up Stairs" 0.77547452
1 "Walking Up Stairs" -0.41881793
1 "Walking Up Stairs" -0.71744615
1 "Walking Up Stairs" 0.88689492
1 "Walking Up Stairs" -0.10408596
1 "Walking Up Stairs" -0.75575126
1 "Walking Up Stairs" 0.34313268
