"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90512291
1 "Lying" -0.98744609
1 "Lying" -0.99798763
1 "Lying" -0.99950449
1 "Lying" -0.99905773
1 "Lying" -0.99742945
1 "Lying" -0.99741966
1 "Lying" -0.99728212
1 "Lying" -0.9957705
1 "Lying" -0.9958683
1 "Lying" -0.99758819
1 "Lying" -0.99786725
1 "Lying" -0.9973188
1 "Lying" -0.72162699
1 "Lying" -0.94290262
1 "Lying" -0.51842779
1 "Lying" -0.36210824
1 "Lying" -0.67636425
1 "Lying" -0.63496006
1 "Lying" -0.062945893
1 "Lying" 0.29483896
1 "Lying" -0.33101576
1 "Lying" -0.84935162
1 "Lying" -0.95078066
1 "Lying" -0.98981335
1 "Lying" -0.99056014
1 "Lying" -0.9923007
1 "Lying" -0.91435757
1 "Lying" -0.97177708
1 "Lying" -0.99803183
1 "Lying" -0.99702358
1 "Lying" -0.99655566
1 "Lying" -0.99781183
1 "Lying" -0.99762628
1 "Lying" -0.99708723
1 "Lying" -0.99737407
1 "Lying" -0.99798029
1 "Lying" -0.99806665
1 "Lying" -0.99790544
1 "Lying" -0.027508362
1 "Lying" -0.47948386
1 "Lying" -0.90848825
1 "Lying" -0.83461265
1 "Lying" -0.86715221
1 "Lying" -0.96875933
1 "Lying" -0.97634025
1 "Lying" -0.97497252
1 "Lying" -0.90892854
1 "Lying" -0.82300481
1 "Lying" -0.8716271
1 "Sitting" -0.95943388
1 "Sitting" -0.97928915
1 "Sitting" -0.98370313
1 "Sitting" -0.98654176
1 "Sitting" -0.99282715
1 "Sitting" -0.99429499
1 "Sitting" -0.9874657
1 "Sitting" -0.97745766
1 "Sitting" -0.98363087
1 "Sitting" -0.98677197
1 "Sitting" -0.98804033
1 "Sitting" -0.99477563
1 "Sitting" -0.99532501
1 "Sitting" -0.99670013
1 "Sitting" -0.90458778
1 "Sitting" -0.98446381
1 "Sitting" -0.98904307
1 "Sitting" -0.99507155
1 "Sitting" -0.99872681
1 "Sitting" -0.99797237
1 "Sitting" -0.99844133
1 "Sitting" -0.997891
1 "Sitting" -0.99589346
1 "Sitting" -0.99521534
1 "Sitting" -0.99419344
1 "Sitting" -0.9957494
1 "Sitting" -0.9985525
1 "Sitting" -0.92460685
1 "Sitting" -0.96107654
1 "Sitting" -0.97955082
1 "Sitting" -0.97696384
1 "Sitting" -0.96276865
1 "Sitting" -0.97114685
1 "Sitting" -0.98707568
1 "Sitting" -0.99407761
1 "Sitting" -0.9926817
1 "Sitting" -0.99028866
1 "Sitting" -0.99416937
1 "Sitting" -0.99491692
1 "Sitting" -0.99161808
1 "Sitting" -0.98993607
1 "Sitting" -0.88409577
1 "Sitting" -0.97351585
1 "Sitting" -0.98803599
1 "Sitting" -0.99461972
1 "Sitting" -0.98900897
1 "Sitting" -0.99036319
1 "Sitting" -0.99552431
1 "Sitting" -0.99902593
1 "Sitting" -0.99950128
1 "Sitting" -0.99577375
1 "Sitting" -0.99666705
1 "Sitting" -0.99767632
1 "Standing" -0.5543692
1 "Standing" -0.93459377
1 "Standing" -0.97699498
1 "Standing" -0.81575864
1 "Standing" -0.50739668
1 "Standing" -0.62102725
1 "Standing" -0.91595384
1 "Standing" -0.97480504
1 "Standing" -0.99523836
1 "Standing" -0.99906744
1 "Standing" -0.9980118
1 "Standing" -0.92623334
1 "Standing" -0.96816289
1 "Standing" -0.99295106
1 "Standing" -0.9934379
1 "Standing" -0.99091407
1 "Standing" -0.98754731
1 "Standing" -0.99012264
1 "Standing" -0.99302412
1 "Standing" -0.99414636
1 "Standing" -0.99354892
1 "Standing" -0.99264098
1 "Standing" -0.99205145
1 "Standing" -0.99147471
1 "Standing" -0.8395095
1 "Standing" -0.95555884
1 "Standing" -0.9898885
1 "Standing" -0.99587748
1 "Standing" -0.99663697
1 "Standing" -0.99731978
1 "Standing" -0.9971095
1 "Standing" -0.99824894
1 "Standing" -0.99916669
1 "Standing" -0.99779387
1 "Standing" -0.99723393
1 "Standing" -0.84176045
1 "Standing" -0.96131281
1 "Standing" -0.97865782
1 "Standing" -0.98813158
1 "Standing" -0.99434832
1 "Standing" -0.99223301
