"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.25504375
1 "Lying" -0.21014776
1 "Lying" -0.20876483
1 "Lying" -0.20956406
1 "Lying" -0.20874807
1 "Lying" -0.20871697
1 "Lying" -0.20863346
1 "Lying" -0.20856027
1 "Lying" -0.20760682
1 "Lying" -0.20636268
1 "Lying" -0.20649916
1 "Lying" -0.20702615
1 "Lying" -0.20699211
1 "Lying" 0.044743889
1 "Lying" -0.047727828
1 "Lying" -0.041699844
1 "Lying" -0.18770377
1 "Lying" -0.35145953
1 "Lying" -0.33939193
1 "Lying" -0.36048
1 "Lying" -0.57349604
1 "Lying" -0.74182101
1 "Lying" -0.75672502
1 "Lying" -0.75607738
1 "Lying" -0.75875146
1 "Lying" -0.75643925
1 "Lying" -0.75507694
1 "Lying" -0.10308768
1 "Lying" -0.06299006
1 "Lying" -0.048389323
1 "Lying" -0.047927566
1 "Lying" -0.046712688
1 "Lying" -0.04661734
1 "Lying" -0.046186846
1 "Lying" -0.045756393
1 "Lying" -0.046239328
1 "Lying" -0.046220173
1 "Lying" -0.046505809
1 "Lying" -0.045825016
1 "Lying" -0.055034629
1 "Lying" -0.16876892
1 "Lying" -0.27793837
1 "Lying" -0.28781038
1 "Lying" -0.27981806
1 "Lying" -0.26612231
1 "Lying" -0.25863635
1 "Lying" -0.25465591
1 "Lying" -0.25494683
1 "Lying" -0.26976596
1 "Lying" -0.30336177
1 "Sitting" 0.96339614
1 "Sitting" 0.96656113
1 "Sitting" 0.9668781
1 "Sitting" 0.96761519
1 "Sitting" 0.9682244
1 "Sitting" 0.9679482
1 "Sitting" 0.9679295
1 "Sitting" 0.96849148
1 "Sitting" 0.96848115
1 "Sitting" 0.96841804
1 "Sitting" 0.96920266
1 "Sitting" 0.96925328
1 "Sitting" 0.9689963
1 "Sitting" 0.96904398
1 "Sitting" 0.94489486
1 "Sitting" 0.95201342
1 "Sitting" 0.95272437
1 "Sitting" 0.95306401
1 "Sitting" 0.95360569
1 "Sitting" 0.95359464
1 "Sitting" 0.95313551
1 "Sitting" 0.95318325
1 "Sitting" 0.95309294
1 "Sitting" 0.95273161
1 "Sitting" 0.9532188
1 "Sitting" 0.95419361
1 "Sitting" 0.95458893
1 "Sitting" 0.92902391
1 "Sitting" 0.9218254
1 "Sitting" 0.92579791
1 "Sitting" 0.92797881
1 "Sitting" 0.92999424
1 "Sitting" 0.92836922
1 "Sitting" 0.92493645
1 "Sitting" 0.92487803
1 "Sitting" 0.92555134
1 "Sitting" 0.92511537
1 "Sitting" 0.9250657
1 "Sitting" 0.92569508
1 "Sitting" 0.92578891
1 "Sitting" 0.92431613
1 "Sitting" 0.91165931
1 "Sitting" 0.9269698
1 "Sitting" 0.92628592
1 "Sitting" 0.92485665
1 "Sitting" 0.92429226
1 "Sitting" 0.92319593
1 "Sitting" 0.92255001
1 "Sitting" 0.92288852
1 "Sitting" 0.92317108
1 "Sitting" 0.92334149
1 "Sitting" 0.92387765
1 "Sitting" 0.92454971
1 "Standing" 0.87409866
1 "Standing" 0.83566368
1 "Standing" 0.83695957
1 "Standing" 0.83878762
1 "Standing" 0.81080506
1 "Standing" 0.70308608
1 "Standing" 0.6182581
1 "Standing" 0.6220655
1 "Standing" 0.62745102
1 "Standing" 0.62532313
1 "Standing" 0.62577398
1 "Standing" 0.89093772
1 "Standing" 0.87653997
1 "Standing" 0.87482213
1 "Standing" 0.8764618
1 "Standing" 0.87645385
1 "Standing" 0.87538094
1 "Standing" 0.87579788
1 "Standing" 0.87599536
