"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.0431808
1 "Lying" -0.044117436
1 "Lying" 0.3886186
1 "Lying" 0.40126057
1 "Lying" 0.39275565
1 "Lying" 0.48905225
1 "Lying" 0.4951948
1 "Lying" 0.27196509
1 "Lying" 0.31201233
1 "Lying" 0.54815043
1 "Lying" 0.58899182
1 "Lying" 0.36497568
1 "Lying" 0.28592694
1 "Lying" 0.027187625
1 "Lying" 0.13265404
1 "Lying" 0.12019455
1 "Lying" 0.13750163
1 "Lying" 0.16542558
1 "Lying" 0.24950147
1 "Lying" -0.034750647
1 "Lying" -0.12728402
1 "Lying" -0.021215416
1 "Lying" -0.33837592
1 "Lying" -0.23769754
1 "Lying" 0.11818704
1 "Lying" -0.025653212
1 "Lying" 0.25190598
1 "Lying" -0.10573978
1 "Lying" 0.020759321
1 "Lying" 0.1805615
1 "Lying" 0.094070677
1 "Lying" 0.068198736
1 "Lying" 0.24083947
1 "Lying" 0.20305406
1 "Lying" 0.39640129
1 "Lying" 0.47308917
1 "Lying" 0.45150944
1 "Lying" 0.19639557
1 "Lying" 0.15765515
1 "Lying" 0.040127102
1 "Lying" 0.40541914
1 "Lying" -0.072663715
1 "Lying" 0.16523386
1 "Lying" -0.15151609
1 "Lying" -0.2986381
1 "Lying" -0.26684007
1 "Lying" -0.27467739
1 "Lying" -0.02421579
1 "Lying" 0.070520893
1 "Lying" 0.40316808
1 "Sitting" -0.058526382
1 "Sitting" 0.28459454
1 "Sitting" -0.1647387
1 "Sitting" -0.26430733
1 "Sitting" 0.086903625
1 "Sitting" 0.18731256
1 "Sitting" 0.069525313
1 "Sitting" -0.063693617
1 "Sitting" -0.12425026
1 "Sitting" 0.19054017
1 "Sitting" 0.16944389
1 "Sitting" -0.10756761
1 "Sitting" 0.0049067399
1 "Sitting" 0.067705297
1 "Sitting" -0.32183034
1 "Sitting" 0.067883442
1 "Sitting" -0.046524407
1 "Sitting" -0.047574216
1 "Sitting" 0.36422547
1 "Sitting" 0.53600328
1 "Sitting" 0.25502192
1 "Sitting" -0.1142313
1 "Sitting" 0.089860259
1 "Sitting" 0.2387717
1 "Sitting" 0.20573145
1 "Sitting" -0.089848413
1 "Sitting" -0.098672529
1 "Sitting" -0.27212896
1 "Sitting" 0.25001108
1 "Sitting" 0.27453837
1 "Sitting" 0.10238921
1 "Sitting" 0.39470209
1 "Sitting" -0.0072498524
1 "Sitting" -0.32084374
1 "Sitting" -0.018101945
1 "Sitting" 0.34162376
1 "Sitting" 0.38837972
1 "Sitting" 0.10951289
1 "Sitting" 0.087189232
1 "Sitting" 0.10056258
1 "Sitting" 0.011020633
1 "Sitting" -0.078545944
1 "Sitting" -0.2423178
1 "Sitting" 0.16342991
1 "Sitting" 0.23900324
1 "Sitting" 0.13088354
1 "Sitting" 0.08462852
1 "Sitting" 0.26457505
1 "Sitting" 0.29924657
1 "Sitting" 0.18911892
1 "Sitting" 0.21316225
1 "Sitting" 0.12145578
1 "Sitting" 0.13426962
1 "Standing" -0.31871724
1 "Standing" -0.16365159
1 "Standing" -0.14810933
1 "Standing" -0.033376283
1 "Standing" -0.17207432
1 "Standing" -0.35970395
1 "Standing" 0.097401421
1 "Standing" -0.13805605
1 "Standing" 0.033457894
1 "Standing" -0.36076142
1 "Standing" -0.26583897
1 "Standing" -0.29375504
1 "Standing" -0.31053402
1 "Standing" 0.21816751
1 "Standing" 0.41735588
1 "Standing" 0.37266579
1 "Standing" 0.31176988
1 "Standing" 0.16393432
1 "Standing" 0.097918287
1 "Standing" 0.26568863
1 "Standing" 0.1026748
1 "Standing" -0.29252178
1 "Standing" -0.1268257
1 "Standing" 0.013412649
1 "Standing" -0.077641819
1 "Standing" -0.31665286
1 "Standing" -0.081872494
1 "Standing" 0.27692442
1 "Standing" 0.11851672
1 "Standing" -0.2603522
1 "Standing" -0.25985466
1 "Standing" -0.058489583
1 "Standing" -0.012538846
1 "Standing" 0.25385509
1 "Standing" 0.26281827
1 "Standing" -0.058895851
1 "Standing" -0.077834958
1 "Standing" -0.084802698
1 "Standing" -0.13491107
1 "Standing" 0.24413217
1 "Standing" 0.28916158
1 "Standing" 0.035378169
1 "Standing" -0.13660162
1 "Standing" 0.18532804
1 "Standing" 0.26070607
1 "Standing" 0.17167272
1 "Standing" 0.15776612
1 "Walking" 0.3486887
1 "Walking" 0.1710447
1 "Walking" 0.23687304
1 "Walking" 0.39175095
1 "Walking" 0.53687278
