"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.031770773
1 "Lying" -0.069616836
1 "Lying" -0.19078605
1 "Lying" -0.35709965
1 "Lying" -0.10185384
1 "Lying" -0.069368791
1 "Lying" -0.26441331
1 "Lying" -0.27090506
1 "Lying" -0.14937095
1 "Lying" -0.26275049
1 "Lying" -0.23979013
1 "Lying" -0.17129855
1 "Lying" -0.11682159
1 "Lying" -0.19955466
1 "Lying" -0.14423409
1 "Lying" 0.34539625
1 "Lying" 0.32613786
1 "Lying" 0.042110684
1 "Lying" 0.13850186
1 "Lying" -0.5449354
1 "Lying" -0.56418562
1 "Lying" -0.1697146
1 "Lying" -0.1089153
1 "Lying" -0.14194427
1 "Lying" -0.068945039
1 "Lying" -0.21071599
1 "Lying" -0.24383628
1 "Lying" -0.050799825
1 "Lying" -0.075619599
1 "Lying" -0.08386094
1 "Lying" 0.010425434
1 "Lying" 0.077995163
1 "Lying" -0.056120669
1 "Lying" 0.010290095
1 "Lying" -0.022298353
1 "Lying" -0.16356772
1 "Lying" -0.15672556
1 "Lying" -0.18911616
1 "Lying" -0.17602155
1 "Lying" -0.13743486
1 "Lying" -0.31746064
1 "Lying" -0.20607456
1 "Lying" -0.012606642
1 "Lying" -0.24185672
1 "Lying" -0.40611236
1 "Lying" -0.23570891
1 "Lying" -0.1268904
1 "Lying" 0.0095557314
1 "Lying" 0.073575423
1 "Lying" 0.22170745
1 "Sitting" -0.46508457
1 "Sitting" -0.022152694
1 "Sitting" -0.13620359
1 "Sitting" -0.30608099
1 "Sitting" -0.26906895
1 "Sitting" -0.21834364
1 "Sitting" -0.11457728
1 "Sitting" -0.09228985
1 "Sitting" -0.19441947
1 "Sitting" 0.035995078
1 "Sitting" -0.076444539
1 "Sitting" -0.20844565
1 "Sitting" 0.034357912
1 "Sitting" 0.050365858
1 "Sitting" 0.02734429
1 "Sitting" -0.26116712
1 "Sitting" -0.229932
1 "Sitting" -0.0072708945
1 "Sitting" -0.24245035
1 "Sitting" -0.3334753
1 "Sitting" -0.090444859
1 "Sitting" -0.074143456
1 "Sitting" -0.20440761
1 "Sitting" -0.16057288
1 "Sitting" -0.13733979
1 "Sitting" -0.082530588
1 "Sitting" -0.11459019
1 "Sitting" -0.39611973
1 "Sitting" 0.034429089
1 "Sitting" 0.086648457
1 "Sitting" 0.041798844
1 "Sitting" -0.077327623
1 "Sitting" -0.17130273
1 "Sitting" -0.20140028
1 "Sitting" -0.15236406
1 "Sitting" -0.053336572
1 "Sitting" 0.0032671539
1 "Sitting" 0.18482455
1 "Sitting" 0.45174984
1 "Sitting" -0.085552509
1 "Sitting" -0.14912762
1 "Sitting" 0.25795594
1 "Sitting" 0.050035285
1 "Sitting" -0.17670433
1 "Sitting" -0.13325588
1 "Sitting" -0.20148162
1 "Sitting" -0.44818118
1 "Sitting" -0.39853312
1 "Sitting" -0.22109756
1 "Sitting" -0.41682861
1 "Sitting" -0.35363546
1 "Sitting" -0.22853459
1 "Sitting" -0.13001903
1 "Standing" -0.098337991
1 "Standing" -0.31096581
1 "Standing" -0.22491103
1 "Standing" 0.27798762
1 "Standing" 0.33565592
1 "Standing" 0.37771233
1 "Standing" -0.036224714
1 "Standing" -0.21374959
1 "Standing" -0.08094339
1 "Standing" 0.041722402
1 "Standing" 0.020914501
1 "Standing" -0.17661655
1 "Standing" -0.20125073
1 "Standing" -0.365912
1 "Standing" -0.19369411
1 "Standing" -0.16405733
1 "Standing" -0.27479428
1 "Standing" -0.20548615
1 "Standing" -0.21282442
1 "Standing" -0.27526089
1 "Standing" -0.18530893
1 "Standing" -0.0076323155
1 "Standing" 0.0019993688
1 "Standing" -0.36251814
1 "Standing" 0.014245601
1 "Standing" 0.00019505901
1 "Standing" 0.081013709
1 "Standing" 0.024402805
1 "Standing" -0.16391224
1 "Standing" -0.17601687
1 "Standing" 0.046745657
1 "Standing" -0.070820015
1 "Standing" -0.093275944
1 "Standing" -0.15644978
1 "Standing" -0.11162692
1 "Standing" -0.081881629
1 "Standing" -0.099871325
1 "Standing" -0.26696784
1 "Standing" -0.070140403
1 "Standing" -0.10777062
1 "Standing" -0.16987953
1 "Standing" -0.077607203
1 "Standing" -0.24963178
1 "Standing" -0.41346107
1 "Standing" -0.44952459
1 "Standing" -0.24079218
1 "Standing" -0.13848009
1 "Walking" 0.29699
1 "Walking" 0.32029962
1 "Walking" 0.14235763
1 "Walking" 0.2795879
1 "Walking" 0.3113916
1 "Walking" 0.17054429
1 "Walking" 0.33765041
1 "Walking" 0.095725845
1 "Walking" 0.28878928
1 "Walking" 0.38169761
1 "Walking" 0.036320236
1 "Walking" 0.004901778
1 "Walking" 0.41586942
1 "Walking" 0.52632491
1 "Walking" 0.088134638
1 "Walking" -0.16321299
1 "Walking" -0.00093322694
1 "Walking" 0.066701553
1 "Walking" 0.11875529
1 "Walking" 0.33760854
1 "Walking" 0.066097483
1 "Walking" -0.15043597
1 "Walking" 0.0019719244
1 "Walking" 0.2243709
1 "Walking" 0.33616912
1 "Walking" 0.44734421
1 "Walking" 0.27756088
1 "Walking" 0.069901608
1 "Walking" 0.33664322
1 "Walking" 0.23886847
1 "Walking" 0.085717265
1 "Walking" 0.0025366473
1 "Walking" -0.028542106
1 "Walking" 0.024936891
1 "Walking" -0.29836036
1 "Walking" 0.049669939
1 "Walking" 0.015895771
1 "Walking" 0.11207523
1 "Walking" 0.56540042
1 "Walking" 0.45247691
1 "Walking" 0.39268307
1 "Walking" 0.69351145
1 "Walking" 0.61762351
1 "Walking" 0.39788687
1 "Walking" 0.45255027
1 "Walking" 0.41285868
1 "Walking" 0.16695331
1 "Walking" 0.24547648
1 "Walking" 0.37887524
1 "Walking" 0.56292602
1 "Walking" 0.12034208
1 "Walking" -0.041012017
1 "Walking" -0.0093954947
1 "Walking" 0.15072912
1 "Walking" 0.22328342
1 "Walking" 0.19380075
1 "Walking" 0.39156893
1 "Walking" 0.35863542
1 "Walking" 0.10908223
1 "Walking" 0.0034263566
1 "Walking" 0.083606314
1 "Walking" 0.14767496
1 "Walking" 0.21461907
1 "Walking" 0.154732
1 "Walking" 0.20179533
1 "Walking" 0.038204099
1 "Walking" 0.045529791
1 "Walking" 0.16020801
1 "Walking" 0.020570977
1 "Walking" -0.086850108
1 "Walking" 0.075385046
1 "Walking" 0.44122755
1 "Walking" 0.096787125
1 "Walking" -0.10490642
1 "Walking" 0.09566615
1 "Walking" 0.39757628
1 "Walking" 0.088324971
1 "Walking" 0.018409586
1 "Walking" 0.10361605
1 "Walking" 0.40697036
1 "Walking" 0.27281062
1 "Walking" 0.18412097
1 "Walking" 0.078838818
1 "Walking" 0.017139765
1 "Walking" 0.090656927
1 "Walking" -0.019330289
1 "Walking" -0.18780457
1 "Walking" -0.20001348
1 "Walking" -0.14598509
1 "Walking" -0.025706382
1 "Walking" 0.18978596
1 "Walking" 0.0065458133
1 "Walking" -0.041072208
1 "Walking" 0.13085663
1 "Walking" 0.23245512
1 "Walking Down Stairs" 0.2134513
1 "Walking Down Stairs" 0.12585338
1 "Walking Down Stairs" 0.13206816
1 "Walking Down Stairs" 0.13741566
1 "Walking Down Stairs" 0.19594185
1 "Walking Down Stairs" 0.37911939
1 "Walking Down Stairs" 0.28484505
1 "Walking Down Stairs" -0.097205289
1 "Walking Down Stairs" -0.17163865
1 "Walking Down Stairs" -0.11437041
