"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.61831977
1 "Lying" -0.47637782
1 "Lying" -0.23330795
1 "Lying" -0.42817909
1 "Lying" -0.27661157
1 "Lying" -0.075398299
1 "Lying" -0.25132829
1 "Lying" -0.28327469
1 "Lying" -0.096512059
1 "Lying" -0.20623014
1 "Lying" -0.26066414
1 "Lying" -0.2474798
1 "Lying" -0.1772815
1 "Lying" 0.69172976
1 "Lying" -0.041688365
1 "Lying" -0.46166534
1 "Lying" -0.53259468
1 "Lying" -0.91446291
1 "Lying" 0.09494146
1 "Lying" -0.26042397
1 "Lying" 0.31443086
1 "Lying" -0.82546912
1 "Lying" 0.33253621
1 "Lying" -0.25913766
1 "Lying" 0.078549045
1 "Lying" 0.15706224
1 "Lying" -0.16216288
1 "Lying" -0.71080647
1 "Lying" -0.7438991
1 "Lying" -0.21041755
1 "Lying" -0.14276527
1 "Lying" -0.091761822
1 "Lying" -0.0018833957
1 "Lying" 0.0036581718
1 "Lying" 0.28749823
1 "Lying" 0.28078628
1 "Lying" 0.035625035
1 "Lying" -0.075635728
1 "Lying" -0.2520985
1 "Lying" -0.45025366
1 "Lying" -0.49802643
1 "Lying" 0.51347698
1 "Lying" 0.94484513
1 "Lying" 0.93402777
1 "Lying" 0.73490658
1 "Lying" 0.12759882
1 "Lying" 0.66303945
1 "Lying" 0.96545505
1 "Lying" 0.9607578
1 "Lying" 0.97689584
1 "Sitting" 0.66079033
1 "Sitting" 0.57938169
1 "Sitting" 0.60890014
1 "Sitting" 0.50745887
1 "Sitting" 0.59921296
1 "Sitting" 0.18042444
1 "Sitting" 0.61084543
1 "Sitting" 0.56142107
1 "Sitting" 0.72423433
1 "Sitting" 0.39186658
1 "Sitting" 0.22730862
1 "Sitting" 0.1655597
1 "Sitting" 0.11396453
1 "Sitting" 0.097965304
1 "Sitting" 0.94534472
1 "Sitting" 0.53873094
1 "Sitting" 0.53834512
1 "Sitting" 0.1283793
1 "Sitting" 0.030811416
1 "Sitting" 0.25549758
1 "Sitting" 0.20571749
1 "Sitting" 0.11959726
1 "Sitting" 0.10756232
1 "Sitting" 0.43650203
1 "Sitting" 0.26522187
1 "Sitting" 0.28104887
1 "Sitting" 0.25680704
1 "Sitting" -0.39331078
1 "Sitting" 0.2379977
1 "Sitting" -0.058461811
1 "Sitting" 0.37478657
1 "Sitting" 0.016807182
1 "Sitting" -0.30751948
1 "Sitting" 0.15913655
1 "Sitting" 0.25907358
1 "Sitting" 0.3561219
1 "Sitting" 0.37510928
1 "Sitting" 0.2588453
1 "Sitting" -0.01317191
1 "Sitting" 0.14458767
1 "Sitting" -0.065872183
1 "Sitting" 0.72801816
1 "Sitting" 0.7722097
1 "Sitting" 0.58392255
1 "Sitting" -0.21501123
1 "Sitting" 0.47186411
1 "Sitting" 0.44130463
1 "Sitting" 0.34390053
1 "Sitting" 0.21232988
1 "Sitting" -0.029897786
1 "Sitting" 0.22937571
1 "Sitting" 0.21952432
1 "Sitting" 0.039885123
1 "Standing" 0.98594537
1 "Standing" 0.4389848
1 "Standing" 0.73545553
1 "Standing" -0.36271177
1 "Standing" 0.32502966
1 "Standing" 0.88738932
1 "Standing" 0.37301588
1 "Standing" 0.81463189
1 "Standing" 0.30846812
1 "Standing" 0.26757742
1 "Standing" 0.12085188
1 "Standing" 0.049251575
1 "Standing" 0.14751037
1 "Standing" -0.10108775
1 "Standing" 0.10309262
1 "Standing" 0.088823542
1 "Standing" 0.2066975
1 "Standing" 0.35977494
1 "Standing" 0.0079644085
1 "Standing" -0.052470967
1 "Standing" 0.2049001
1 "Standing" -0.17358214
1 "Standing" 0.078122989
1 "Standing" 0.63379014
1 "Standing" 0.30725544
1 "Standing" 0.85526722
1 "Standing" 0.15757681
1 "Standing" -0.032281268
1 "Standing" -0.067830665
1 "Standing" -0.037836129
1 "Standing" 0.16218254
1 "Standing" -0.0084987664
1 "Standing" -0.035452667
1 "Standing" 0.17552255
1 "Standing" -0.028236718
1 "Standing" -0.68596256
1 "Standing" -0.79576603
1 "Standing" -0.6084682
1 "Standing" 0.29463352
1 "Standing" -0.43756296
1 "Standing" -0.18183242
1 "Standing" -0.20324547
1 "Standing" 0.018145257
1 "Standing" 0.27868597
1 "Standing" 0.15574892
1 "Standing" 0.0642886
