"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.31607703
1 "Lying" -0.94487044
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.94487044
1 "Lying" -0.94487044
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.20296933
1 "Lying" -0.76135307
1 "Lying" 0.24152176
1 "Lying" 0.22494435
1 "Lying" -0.24101254
1 "Lying" 0.075439892
1 "Lying" 0.5682634
1 "Lying" 0.4906483
1 "Lying" -0.1578496
1 "Lying" -0.12122083
1 "Lying" -0.6347423
1 "Lying" -0.90474776
1 "Lying" -0.90474776
1 "Lying" -0.94487044
1 "Lying" -0.61656192
1 "Lying" -0.84996072
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.14037296
1 "Lying" -0.28213423
1 "Lying" -0.79534914
1 "Lying" -0.88991077
1 "Lying" -0.76135307
1 "Lying" -0.87039785
1 "Lying" -1
1 "Lying" -0.94487044
1 "Lying" -0.70388601
1 "Lying" -0.94487044
1 "Lying" -0.70388601
1 "Sitting" -0.90474776
1 "Sitting" -0.90474776
1 "Sitting" -0.81578627
1 "Sitting" -0.87039785
1 "Sitting" -0.87039785
1 "Sitting" -0.94487044
1 "Sitting" -0.75795326
1 "Sitting" -0.81578627
1 "Sitting" -0.84996072
1 "Sitting" -0.7868864
1 "Sitting" -0.81220504
1 "Sitting" -0.90474776
1 "Sitting" -0.94487044
1 "Sitting" -0.94487044
1 "Sitting" -0.53546236
1 "Sitting" -0.87039785
1 "Sitting" -0.90474776
1 "Sitting" -0.90474776
1 "Sitting" -1
1 "Sitting" -0.94487044
1 "Sitting" -1
1 "Sitting" -0.94487044
1 "Sitting" -1
1 "Sitting" -0.90474776
1 "Sitting" -0.94487044
1 "Sitting" -0.94487044
1 "Sitting" -1
1 "Sitting" -0.75795326
1 "Sitting" -0.74192439
1 "Sitting" -0.81220504
1 "Sitting" -0.68570446
1 "Sitting" -0.65597659
1 "Sitting" -0.75795326
1 "Sitting" -0.94487044
1 "Sitting" -1
1 "Sitting" -0.87039785
1 "Sitting" -0.76354441
1 "Sitting" -0.90474776
1 "Sitting" -0.87039785
1 "Sitting" -0.83986013
1 "Sitting" -0.94487044
1 "Sitting" -0.52390322
1 "Sitting" -0.84996072
1 "Sitting" -0.94487044
1 "Sitting" -0.87039785
1 "Sitting" -0.90474776
1 "Sitting" -0.87039785
1 "Sitting" -0.90474776
1 "Sitting" -0.90474776
1 "Sitting" -0.94487044
1 "Sitting" -0.90474776
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" -0.21696556
1 "Standing" -0.67893968
1 "Standing" -0.78542693
1 "Standing" -0.15162405
1 "Standing" -0.063287034
1 "Standing" -0.27015008
1 "Standing" -0.43919865
1 "Standing" -0.88991077
1 "Standing" -0.94487044
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.50601776
1 "Standing" -0.75795326
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.88991077
1 "Standing" -0.94487044
1 "Standing" -0.90474776
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.88991077
1 "Standing" -0.058839682
1 "Standing" -0.73117515
1 "Standing" -0.90474776
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -1
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94487044
1 "Standing" -0.60248285
1 "Standing" -0.88991077
1 "Standing" -0.81578627
1 "Standing" -0.87039785
1 "Standing" -0.94487044
1 "Standing" -0.87039785
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.94487044
1 "Standing" -0.88991077
1 "Standing" -0.94487044
