"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99735554
1 "Lying" -0.99985372
1 "Lying" -0.99992393
1 "Lying" -0.99998884
1 "Lying" -0.99999987
1 "Lying" -0.99999993
1 "Lying" -0.99999929
1 "Lying" -0.99999088
1 "Lying" -0.99999225
1 "Lying" -0.99997742
1 "Lying" -0.99999324
1 "Lying" -0.99999019
1 "Lying" -0.99999564
1 "Lying" -0.91033444
1 "Lying" -0.9999963
1 "Lying" -0.97894852
1 "Lying" -0.99833285
1 "Lying" -0.97326054
1 "Lying" -0.98616815
1 "Lying" -0.99582943
1 "Lying" -0.99270902
1 "Lying" -0.99864965
1 "Lying" -0.99994983
1 "Lying" -0.99996967
1 "Lying" -0.99997687
1 "Lying" -0.99992759
1 "Lying" -0.99998178
1 "Lying" -0.99996979
1 "Lying" -0.9995631
1 "Lying" -0.99999886
1 "Lying" -0.99999942
1 "Lying" -0.99995034
1 "Lying" -0.99999551
1 "Lying" -0.99999941
1 "Lying" -0.99999625
1 "Lying" -0.99999073
1 "Lying" -0.99999708
1 "Lying" -0.99998859
1 "Lying" -0.99998319
1 "Lying" -0.99703931
1 "Lying" -0.9988971
1 "Lying" -0.99991364
1 "Lying" -0.99931029
1 "Lying" -0.9999914
1 "Lying" -0.99997833
1 "Lying" -0.99999237
1 "Lying" -0.99993569
1 "Lying" -0.99899605
1 "Lying" -0.99999556
1 "Lying" -0.99867889
1 "Sitting" -0.99998582
1 "Sitting" -0.99999945
1 "Sitting" -0.99999664
1 "Sitting" -0.99999581
1 "Sitting" -0.99998622
1 "Sitting" -0.99999743
1 "Sitting" -0.99990413
1 "Sitting" -0.99999107
1 "Sitting" -0.99999957
1 "Sitting" -0.99999959
1 "Sitting" -0.99995441
1 "Sitting" -0.99999872
1 "Sitting" -0.99999576
1 "Sitting" -0.99998984
1 "Sitting" -0.9999655
1 "Sitting" -0.99999404
1 "Sitting" -0.99999919
1 "Sitting" -0.99999975
1 "Sitting" -0.99999986
1 "Sitting" -0.99999993
1 "Sitting" -0.99999912
1 "Sitting" -0.99999378
1 "Sitting" -0.99999969
1 "Sitting" -0.99999229
1 "Sitting" -0.99999601
1 "Sitting" -0.9999974
1 "Sitting" -0.99998386
1 "Sitting" -0.99972671
1 "Sitting" -0.99999371
1 "Sitting" -0.99999401
1 "Sitting" -0.99996115
1 "Sitting" -0.99999902
1 "Sitting" -0.99992416
1 "Sitting" -0.99999753
