"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99998442
1 "Lying" -0.99995161
1 "Lying" -0.99999424
1 "Lying" -0.99998199
1 "Lying" -0.99999682
1 "Lying" -0.99999963
1 "Lying" -0.99998857
1 "Lying" -0.99999899
1 "Lying" -0.9999998
1 "Lying" -0.9999921
1 "Lying" -0.99998682
1 "Lying" -0.99994176
1 "Lying" -0.99998328
1 "Lying" -0.99481449
1 "Lying" -0.99931266
1 "Lying" -0.99426919
1 "Lying" -0.99459696
1 "Lying" -0.98892204
1 "Lying" -0.95444901
1 "Lying" -0.90924075
1 "Lying" -0.70772608
1 "Lying" -0.88882797
1 "Lying" -0.92757508
1 "Lying" -0.99687905
1 "Lying" -0.99989503
1 "Lying" -0.99995538
1 "Lying" -0.99993937
1 "Lying" -0.99966838
1 "Lying" -0.99978164
1 "Lying" -0.9999383
1 "Lying" -0.99999378
1 "Lying" -0.99991704
1 "Lying" -0.9999646
1 "Lying" -0.99999596
1 "Lying" -0.99998986
1 "Lying" -0.99993985
1 "Lying" -0.99994725
1 "Lying" -0.99998673
1 "Lying" -0.99999867
1 "Lying" -0.87840255
1 "Lying" -0.99482471
1 "Lying" -0.999867
1 "Lying" -0.99999536
1 "Lying" -0.99951487
1 "Lying" -0.99994181
1 "Lying" -0.99999032
1 "Lying" -0.99994868
1 "Lying" -0.9984089
1 "Lying" -0.99999729
1 "Lying" -0.99739886
1 "Sitting" -0.99981364
1 "Sitting" -0.99990532
1 "Sitting" -0.99987958
1 "Sitting" -0.99986563
1 "Sitting" -0.99991077
1 "Sitting" -0.99990733
1 "Sitting" -0.99904467
1 "Sitting" -0.99999879
1 "Sitting" -0.99952001
1 "Sitting" -0.99999902
1 "Sitting" -0.9999223
1 "Sitting" -0.99969341
1 "Sitting" -0.99997947
1 "Sitting" -0.99979724
1 "Sitting" -0.98949024
1 "Sitting" -0.99980851
1 "Sitting" -0.99999224
1 "Sitting" -0.99996643
1 "Sitting" -0.99994571
1 "Sitting" -0.99989296
1 "Sitting" -0.99993717
1 "Sitting" -0.99989961
1 "Sitting" -0.99998498
1 "Sitting" -0.99994889
1 "Sitting" -0.9999729
1 "Sitting" -0.99989406
1 "Sitting" -0.99993276
1 "Sitting" -0.99924177
1 "Sitting" -0.9998301
1 "Sitting" -0.99999836
1 "Sitting" -0.99880353
1 "Sitting" -0.99973032
1 "Sitting" -0.99920943
1 "Sitting" -0.99961774
1 "Sitting" -0.9998949
1 "Sitting" -0.9999989
1 "Sitting" -0.99999259
1 "Sitting" -0.99997248
1 "Sitting" -0.9999612
