"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99601704
1 "Lying" -0.99982052
1 "Lying" -0.99995798
1 "Lying" -0.99997577
1 "Lying" -0.99998081
1 "Lying" -0.99996515
1 "Lying" -0.9999603
1 "Lying" -0.99997849
1 "Lying" -0.999977
1 "Lying" -0.99996382
1 "Lying" -0.99997045
1 "Lying" -0.99997583
1 "Lying" -0.999968
1 "Lying" -0.94141167
1 "Lying" -0.99896675
1 "Lying" -0.93140916
1 "Lying" -0.93295149
1 "Lying" -0.98000322
1 "Lying" -0.96930143
1 "Lying" -0.91837414
1 "Lying" -0.91716733
1 "Lying" -0.99643832
1 "Lying" -0.99964739
1 "Lying" -0.99983593
1 "Lying" -0.99997031
1 "Lying" -0.99996181
1 "Lying" -0.99994659
1 "Lying" -0.99912827
1 "Lying" -0.99931567
1 "Lying" -0.9999671
1 "Lying" -0.99996051
1 "Lying" -0.99996601
1 "Lying" -0.99997343
1 "Lying" -0.99996518
1 "Lying" -0.99997814
1 "Lying" -0.99997182
1 "Lying" -0.99996556
1 "Lying" -0.99996262
1 "Lying" -0.99996801
1 "Lying" -0.94885119
1 "Lying" -0.96474579
1 "Lying" -0.99889591
1 "Lying" -0.99903058
1 "Lying" -0.99976938
1 "Lying" -0.99975922
1 "Lying" -0.99984906
1 "Lying" -0.99992077
1 "Lying" -0.99931811
1 "Lying" -0.99888106
1 "Lying" -0.99873887
1 "Sitting" -0.99996838
1 "Sitting" -0.99999084
1 "Sitting" -0.99996929
1 "Sitting" -0.99997541
1 "Sitting" -0.99999018
1 "Sitting" -0.99998488
1 "Sitting" -0.99998189
1 "Sitting" -0.99997915
1 "Sitting" -0.99998484
1 "Sitting" -0.99996397
1 "Sitting" -0.99996408
1 "Sitting" -0.99999085
1 "Sitting" -0.99999587
1 "Sitting" -0.99999614
1 "Sitting" -0.9998864
1 "Sitting" -0.99998129
1 "Sitting" -0.99998205
1 "Sitting" -0.99998734
1 "Sitting" -0.99998596
1 "Sitting" -0.9999881
1 "Sitting" -0.99998871
1 "Sitting" -0.99998779
1 "Sitting" -0.99998843
1 "Sitting" -0.99999171
1 "Sitting" -0.99999256
1 "Sitting" -0.99998969
1 "Sitting" -0.99999648
1 "Sitting" -0.99954207
1 "Sitting" -0.9999621
1 "Sitting" -0.99996051
