"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99351437
1 "Lying" -0.99987173
1 "Lying" -0.99995704
1 "Lying" -0.99994924
1 "Lying" -0.99996872
1 "Lying" -0.99998219
1 "Lying" -0.99993548
1 "Lying" -0.99992301
1 "Lying" -0.99989142
1 "Lying" -0.99987009
1 "Lying" -0.99994547
1 "Lying" -0.99995145
1 "Lying" -0.99994922
1 "Lying" -0.95644875
1 "Lying" -0.99489181
1 "Lying" -0.66692461
1 "Lying" -0.61459754
1 "Lying" -0.96438997
1 "Lying" -0.93316485
1 "Lying" 0.17790189
1 "Lying" -0.4699397
1 "Lying" -0.41689395
1 "Lying" -0.91166133
1 "Lying" -0.9935903
1 "Lying" -0.99959592
1 "Lying" -0.99978031
1 "Lying" -0.99985006
1 "Lying" -0.99794245
1 "Lying" -0.99939467
1 "Lying" -0.99993456
1 "Lying" -0.99992251
1 "Lying" -0.99994243
1 "Lying" -0.99996889
1 "Lying" -0.99995974
1 "Lying" -0.99989523
1 "Lying" -0.99988561
1 "Lying" -0.99991922
1 "Lying" -0.99994386
1 "Lying" -0.99996002
1 "Lying" -0.88992657
1 "Lying" -0.99142061
1 "Lying" -0.99825434
1 "Lying" -0.99639475
1 "Lying" -0.99805882
1 "Lying" -0.99968271
1 "Lying" -0.99990114
1 "Lying" -0.99974534
1 "Lying" -0.99767769
1 "Lying" -0.99758162
1 "Lying" -0.99697483
1 "Sitting" -0.99968911
1 "Sitting" -0.99944988
1 "Sitting" -0.99913741
1 "Sitting" -0.99969689
1 "Sitting" -0.99962514
1 "Sitting" -0.99985962
1 "Sitting" -0.99913721
1 "Sitting" -0.99911782
1 "Sitting" -0.99886717
1 "Sitting" -0.99935901
1 "Sitting" -0.99937074
1 "Sitting" -0.99979058
1 "Sitting" -0.99972992
1 "Sitting" -0.99986037
1 "Sitting" -0.98152572
1 "Sitting" -0.99943416
1 "Sitting" -0.99965505
1 "Sitting" -0.99979743
1 "Sitting" -0.99990916
1 "Sitting" -0.99986031
1 "Sitting" -0.99992683
1 "Sitting" -0.99984918
1 "Sitting" -0.99985185
1 "Sitting" -0.99979275
1 "Sitting" -0.99981878
1 "Sitting" -0.99976399
1 "Sitting" -0.99991655
1 "Sitting" -0.99680346
1 "Sitting" -0.99942005
1 "Sitting" -0.99957439
1 "Sitting" -0.99864814
1 "Sitting" -0.9956957
1 "Sitting" -0.99832206
1 "Sitting" -0.99978591
1 "Sitting" -0.99993023
1 "Sitting" -0.99955697
1 "Sitting" -0.99950794
1 "Sitting" -0.99983242
1 "Sitting" -0.99971101
1 "Sitting" -0.99950536
1 "Sitting" -0.99973022
1 "Sitting" -0.97817447
1 "Sitting" -0.9989913
1 "Sitting" -0.99952199
1 "Sitting" -0.99978631
1 "Sitting" -0.99982499
1 "Sitting" -0.99959499
1 "Sitting" -0.99975739
1 "Sitting" -0.99987931
1 "Sitting" -0.99989944
1 "Sitting" -0.99984267
1 "Sitting" -0.99987654
1 "Sitting" -0.99992318
1 "Standing" -0.66049158
1 "Standing" -0.99309471
1 "Standing" -0.9976393
1 "Standing" -0.96639907
1 "Standing" -0.91122742
1 "Standing" -0.90534709
1 "Standing" -0.9854944
1 "Standing" -0.99898939
