"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95165454
1 "Lying" -0.99030052
1 "Lying" -0.99568393
1 "Lying" -0.99648552
1 "Lying" -0.99309456
1 "Lying" -0.99165908
1 "Lying" -0.99153408
1 "Lying" -0.99382317
1 "Lying" -0.9921954
1 "Lying" -0.99124858
1 "Lying" -0.99298526
1 "Lying" -0.99301884
1 "Lying" -0.99214279
1 "Lying" -0.82122456
1 "Lying" -0.97798204
1 "Lying" -0.85616032
1 "Lying" -0.84443915
1 "Lying" -0.89450571
1 "Lying" -0.84432633
1 "Lying" -0.56019649
1 "Lying" -0.53770265
1 "Lying" -0.87751663
1 "Lying" -0.96881693
1 "Lying" -0.97869719
1 "Lying" -0.98947449
1 "Lying" -0.99042721
1 "Lying" -0.98937799
1 "Lying" -0.97149411
1 "Lying" -0.98204375
1 "Lying" -0.99272832
1 "Lying" -0.98999524
1 "Lying" -0.98949561
1 "Lying" -0.99601479
1 "Lying" -0.99445933
1 "Lying" -0.9939071
1 "Lying" -0.99019221
1 "Lying" -0.99321726
1 "Lying" -0.99022059
1 "Lying" -0.99048455
1 "Lying" -0.80398462
1 "Lying" -0.91283433
1 "Lying" -0.95247206
1 "Lying" -0.97668012
1 "Lying" -0.9836638
1 "Lying" -0.97860427
1 "Lying" -0.98816958
1 "Lying" -0.98957028
1 "Lying" -0.98316474
1 "Lying" -0.98307667
1 "Lying" -0.99400384
1 "Sitting" -0.99592602
1 "Sitting" -0.99486488
1 "Sitting" -0.98856924
1 "Sitting" -0.9904425
1 "Sitting" -0.9937604
1 "Sitting" -0.99482379
1 "Sitting" -0.99735825
1 "Sitting" -0.99136933
1 "Sitting" -0.9951689
1 "Sitting" -0.98830326
1 "Sitting" -0.99355519
1 "Sitting" -0.99617738
1 "Sitting" -0.99791557
1 "Sitting" -0.99582363
1 "Sitting" -0.98871418
1 "Sitting" -0.99222298
1 "Sitting" -0.9947171
1 "Sitting" -0.99375678
1 "Sitting" -0.99557394
1 "Sitting" -0.99476768
1 "Sitting" -0.99544587
1 "Sitting" -0.99227792
1 "Sitting" -0.99538789
1 "Sitting" -0.9963097
1 "Sitting" -0.99765495
1 "Sitting" -0.99193554
1 "Sitting" -0.99766732
1 "Sitting" -0.98825257
1 "Sitting" -0.98912392
1 "Sitting" -0.98715564
1 "Sitting" -0.99058638
1 "Sitting" -0.98878919
1 "Sitting" -0.98494926
1 "Sitting" -0.98884488
1 "Sitting" -0.99511057
1 "Sitting" -0.99300216
1 "Sitting" -0.98992397
1 "Sitting" -0.99528121
1 "Sitting" -0.99576442
1 "Sitting" -0.99671103
1 "Sitting" -0.991922
1 "Sitting" -0.98180167
1 "Sitting" -0.99118597
1 "Sitting" -0.99627568
1 "Sitting" -0.99384748
1 "Sitting" -0.9928007
1 "Sitting" -0.99780522
1 "Sitting" -0.9927974
1 "Sitting" -0.9949721
1 "Sitting" -0.99607325
1 "Sitting" -0.99639432
1 "Sitting" -0.99896984
1 "Sitting" -0.99636352
1 "Standing" -0.95787625
1 "Standing" -0.99205791
1 "Standing" -0.9929493
1 "Standing" -0.85980396
1 "Standing" -0.85140876
1 "Standing" -0.93197301
1 "Standing" -0.98902656
1 "Standing" -0.98732885
1 "Standing" -0.99555647
1 "Standing" -0.99433558
1 "Standing" -0.99147577
1 "Standing" -0.98309479
1 "Standing" -0.98770714
1 "Standing" -0.99484189
1 "Standing" -0.9872035
1 "Standing" -0.99183889
1 "Standing" -0.99505573
1 "Standing" -0.99211193
1 "Standing" -0.99202147
1 "Standing" -0.99154424
1 "Standing" -0.99153528
1 "Standing" -0.99072643
1 "Standing" -0.99298916
1 "Standing" -0.99206379
1 "Standing" -0.98356072
1 "Standing" -0.99415942
1 "Standing" -0.99320167
1 "Standing" -0.99658085
1 "Standing" -0.99159875
1 "Standing" -0.99317582
1 "Standing" -0.99302286
1 "Standing" -0.99448916
1 "Standing" -0.99253536
1 "Standing" -0.99339174
1 "Standing" -0.98999978
1 "Standing" -0.95859518
1 "Standing" -0.98988318
1 "Standing" -0.99280931
1 "Standing" -0.99458479
1 "Standing" -0.99381213
1 "Standing" -0.99153943
