"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.083785912
1 "Lying" 0.17736902
1 "Lying" -0.22280368
1 "Lying" 0.039902861
1 "Lying" 0.11390449
1 "Lying" 0.074877048
1 "Lying" 0.010370197
1 "Lying" 0.058908228
1 "Lying" 0.00068504447
1 "Lying" -0.23192616
1 "Lying" -0.1385761
1 "Lying" 0.17708019
1 "Lying" 0.19476166
1 "Lying" 0.28984074
1 "Lying" -0.13937914
1 "Lying" -0.20661421
1 "Lying" -0.16755414
1 "Lying" 0.10680045
1 "Lying" -0.00038021282
1 "Lying" 0.10727771
1 "Lying" 0.15359668
1 "Lying" 0.21694627
1 "Lying" 0.44986097
1 "Lying" 0.37414231
1 "Lying" 0.094513668
1 "Lying" 0.225905
1 "Lying" 0.14499307
1 "Lying" 0.040153859
1 "Lying" 0.027873253
1 "Lying" 0.092471686
1 "Lying" 0.18876527
1 "Lying" 0.33481586
1 "Lying" 0.052866469
1 "Lying" 0.1123192
1 "Lying" 0.17534957
1 "Lying" -0.025545965
1 "Lying" 0.021432136
1 "Lying" 0.12001342
1 "Lying" 0.13695376
1 "Lying" -0.14869827
1 "Lying" -0.13389809
1 "Lying" 0.15222991
1 "Lying" 0.00076406867
1 "Lying" 0.20795591
1 "Lying" 0.35006533
1 "Lying" 0.34210113
1 "Lying" 0.4116871
1 "Lying" 0.10876315
1 "Lying" 0.06843122
1 "Lying" -0.24792881
1 "Sitting" 0.63683075
1 "Sitting" 0.3627145
1 "Sitting" 0.46458346
1 "Sitting" 0.45744504
1 "Sitting" 0.29690292
1 "Sitting" 0.25974051
1 "Sitting" 0.30755375
1 "Sitting" 0.38684157
1 "Sitting" 0.377899
1 "Sitting" 0.28747112
1 "Sitting" 0.3553933
1 "Sitting" 0.45366237
1 "Sitting" 0.19252047
1 "Sitting" 0.41310119
1 "Sitting" 0.41918427
1 "Sitting" 0.26249114
1 "Sitting" 0.37092594
1 "Sitting" 0.44892326
1 "Sitting" 0.076057445
1 "Sitting" -0.085184699
1 "Sitting" 0.25249178
1 "Sitting" 0.50688195
1 "Sitting" 0.28834797
1 "Sitting" 0.13181314
1 "Sitting" 0.12264787
1 "Sitting" 0.42670079
1 "Sitting" 0.5154723
1 "Sitting" 0.51264638
1 "Sitting" -0.15892923
1 "Sitting" 0.013174318
1 "Sitting" 0.16433956
1 "Sitting" -0.23516306
1 "Sitting" 0.22600856
1 "Sitting" 0.52484941
1 "Sitting" 0.33417968
1 "Sitting" 0.072389053
1 "Sitting" 0.18791879
1 "Sitting" 0.3729054
1 "Sitting" 0.27307574
1 "Sitting" 0.10319807
1 "Sitting" 0.13577086
1 "Sitting" 0.2121089
1 "Sitting" 0.48484299
1 "Sitting" 0.33268011
1 "Sitting" 0.20765833
1 "Sitting" 0.2848951
1 "Sitting" 0.32145754
1 "Sitting" 0.032466134
1 "Sitting" 0.080396156
1 "Sitting" 0.20833316
1 "Sitting" 0.06008797
1 "Sitting" 0.08779952
1 "Sitting" 0.12459954
1 "Standing" 0.33887705
1 "Standing" 0.30864404
1 "Standing" 0.37340403
1 "Standing" -0.17427426
1 "Standing" -0.01181707
1 "Standing" 0.53203105
1 "Standing" 0.043690051
1 "Standing" 0.25349657
1 "Standing" 0.045490199
1 "Standing" 0.59112478
1 "Standing" 0.48141314
1 "Standing" 0.27521842
1 "Standing" 0.41784607
1 "Standing" -0.049054765
1 "Standing" -0.15707083
1 "Standing" -0.054079365
1 "Standing" -0.032481633
1 "Standing" 0.11005515
1 "Standing" 0.28346238
1 "Standing" 0.20429784
1 "Standing" 0.24880279
1 "Standing" 0.51599534
1 "Standing" 0.38324111
1 "Standing" 0.38768452
1 "Standing" 0.27218271
1 "Standing" 0.39446738
1 "Standing" 0.25829946
1 "Standing" 0.02816409
1 "Standing" 0.19329664
1 "Standing" 0.5677418
1 "Standing" 0.49079367
1 "Standing" 0.27228099
1 "Standing" 0.25175643
1 "Standing" 0.11921848
1 "Standing" 0.21604206
1 "Standing" 0.11005427
1 "Standing" 0.32890566
1 "Standing" 0.35549638
1 "Standing" 0.48020681
1 "Standing" 0.24521609
1 "Standing" 0.11062061
1 "Standing" 0.33972515
1 "Standing" 0.4268794
1 "Standing" 0.060486825
1 "Standing" 0.11366161
1 "Standing" 0.20292078
1 "Standing" 0.13965996
1 "Walking" -0.27013452
1 "Walking" -0.013409271
1 "Walking" 0.0092629302
1 "Walking" -0.17292279
1 "Walking" -0.31757136
1 "Walking" -0.1399797
1 "Walking" -0.02675259
1 "Walking" -0.12560465
1 "Walking" 0.30701579
1 "Walking" 0.15772051
1 "Walking" -0.11518955
1 "Walking" -0.40048664
1 "Walking" -0.49537091
1 "Walking" -0.03430589
1 "Walking" 0.30974849
1 "Walking" 0.45830684
1 "Walking" 0.20649571
1 "Walking" 0.09398908
1 "Walking" 0.4353635
1 "Walking" 0.34337428
1 "Walking" 0.33137074
1 "Walking" 0.38350984
1 "Walking" 0.26065112
1 "Walking" 0.29842169
1 "Walking" 0.34090663
1 "Walking" -0.076371316
1 "Walking" -0.054763845
1 "Walking" -0.15745751
1 "Walking" 0.052914199
1 "Walking" 0.31574712
1 "Walking" 0.31279018
1 "Walking" 0.25169665
1 "Walking" 0.26122507
1 "Walking" -0.12115935
1 "Walking" 0.033651727
1 "Walking" -0.068624793
1 "Walking" -0.28924249
1 "Walking" -0.022740648
1 "Walking" -0.015241486
1 "Walking" -0.19269281
1 "Walking" 0.046771071
1 "Walking" 0.0019213023
1 "Walking" 0.068644547
1 "Walking" 0.25794895
1 "Walking" 0.12042156
1 "Walking" 0.071756837
1 "Walking" 0.067375355
1 "Walking" 0.19071887
1 "Walking" 0.4178706
1 "Walking" 0.36650436
1 "Walking" 0.21924653
1 "Walking" 0.31577329
1 "Walking" 0.22341085
1 "Walking" 0.18557956
1 "Walking" 0.37378911
1 "Walking" -0.05663623
1 "Walking" -0.52513002
1 "Walking" 0.16485875
1 "Walking" 0.21420662
1 "Walking" 0.07746724
1 "Walking" 0.13405806
1 "Walking" 0.12825737
1 "Walking" 0.27123778
1 "Walking" 0.22089984
1 "Walking" 0.063614076
1 "Walking" 0.043628777
1 "Walking" 0.3797717
1 "Walking" 0.28753054
1 "Walking" 0.26936684
1 "Walking" 0.26389019
1 "Walking" 0.12269515
1 "Walking" 0.010941223
1 "Walking" -0.24919089
1 "Walking" 0.20709028
1 "Walking" 0.28998355
1 "Walking" 0.41958931
1 "Walking" 0.44403356
1 "Walking" 0.56720836
1 "Walking" 0.52051669
1 "Walking" -0.076522063
1 "Walking" 0.33332325
1 "Walking" -0.016651785
1 "Walking" 0.43173873
1 "Walking" 0.60303054
1 "Walking" 0.072155201
1 "Walking" -0.055126744
1 "Walking" -0.38980304
1 "Walking" -0.24095212
1 "Walking" 0.071280762
1 "Walking" 0.10556038
1 "Walking" 0.1300895
1 "Walking" 0.33441566
1 "Walking" 0.39140188
1 "Walking" 0.087929492
1 "Walking" 0.26729506
1 "Walking Down Stairs" 0.1376407
1 "Walking Down Stairs" 0.045078544
1 "Walking Down Stairs" -0.061789245
1 "Walking Down Stairs" -0.068853676
1 "Walking Down Stairs" -0.020992524
1 "Walking Down Stairs" -0.13391529
1 "Walking Down Stairs" -0.56263327
1 "Walking Down Stairs" -0.49837854
1 "Walking Down Stairs" -0.27963439
1 "Walking Down Stairs" 0.054695983
1 "Walking Down Stairs" -0.032808096
1 "Walking Down Stairs" 0.17716915
1 "Walking Down Stairs" 0.050590668
1 "Walking Down Stairs" -0.16090013
1 "Walking Down Stairs" -0.31330169
1 "Walking Down Stairs" 0.00061195608
1 "Walking Down Stairs" 0.0059548178
1 "Walking Down Stairs" 0.30131967
1 "Walking Down Stairs" 0.0031007289
1 "Walking Down Stairs" 0.042400987
1 "Walking Down Stairs" -0.12557585
1 "Walking Down Stairs" -0.15806259
1 "Walking Down Stairs" 0.32819833
1 "Walking Down Stairs" 0.15983837
1 "Walking Down Stairs" -0.13261984
1 "Walking Down Stairs" -0.20130141
1 "Walking Down Stairs" -0.45228951
1 "Walking Down Stairs" -0.012304286
1 "Walking Down Stairs" 0.048445534
1 "Walking Down Stairs" 0.31104774
1 "Walking Down Stairs" 0.11516493
1 "Walking Down Stairs" 0.19179704
1 "Walking Down Stairs" -0.049085713
1 "Walking Down Stairs" 0.17234026
1 "Walking Down Stairs" 0.1016624
1 "Walking Down Stairs" 0.20458688
1 "Walking Down Stairs" 0.30565666
1 "Walking Down Stairs" 0.31585041
1 "Walking Down Stairs" 0.061480604
1 "Walking Down Stairs" 0.029372248
1 "Walking Down Stairs" 0.14282747
1 "Walking Down Stairs" -0.065646533
1 "Walking Down Stairs" 0.2130891
1 "Walking Down Stairs" 0.14448111
1 "Walking Down Stairs" 0.072639314
1 "Walking Down Stairs" 0.082520775
1 "Walking Down Stairs" 0.037043527
1 "Walking Down Stairs" -0.08486398
1 "Walking Down Stairs" -0.22206646
1 "Walking Up Stairs" 0.26689995
1 "Walking Up Stairs" 0.18010077
1 "Walking Up Stairs" 0.096723848
1 "Walking Up Stairs" 0.064099621
1 "Walking Up Stairs" 0.10854832
1 "Walking Up Stairs" -0.12781787
1 "Walking Up Stairs" 0.20258497
1 "Walking Up Stairs" 0.37538785
1 "Walking Up Stairs" 0.35882873
1 "Walking Up Stairs" -0.025517154
1 "Walking Up Stairs" -0.045679452
1 "Walking Up Stairs" -0.095223213
1 "Walking Up Stairs" 0.072707394
1 "Walking Up Stairs" 0.092757472
1 "Walking Up Stairs" 0.0569734
1 "Walking Up Stairs" 0.1300933
1 "Walking Up Stairs" -0.025777088
1 "Walking Up Stairs" 0.15522347
1 "Walking Up Stairs" -0.23991169
1 "Walking Up Stairs" -0.47428738
1 "Walking Up Stairs" 0.058959394
1 "Walking Up Stairs" 0.24203503
1 "Walking Up Stairs" -0.080418217
1 "Walking Up Stairs" -0.39103887
1 "Walking Up Stairs" 0.055358513
1 "Walking Up Stairs" 0.41882778
1 "Walking Up Stairs" -0.033973948
1 "Walking Up Stairs" 0.09695096
1 "Walking Up Stairs" -0.070145672
1 "Walking Up Stairs" -0.22110101
1 "Walking Up Stairs" -0.15723106
1 "Walking Up Stairs" -0.0940041
1 "Walking Up Stairs" 0.19316083
1 "Walking Up Stairs" 0.26084472
1 "Walking Up Stairs" 0.089474248
1 "Walking Up Stairs" 0.086188122
1 "Walking Up Stairs" 0.40279531
1 "Walking Up Stairs" 0.31677104
1 "Walking Up Stairs" 0.050340959
1 "Walking Up Stairs" 0.16791932
1 "Walking Up Stairs" 0.050435398
1 "Walking Up Stairs" -0.14397843
1 "Walking Up Stairs" -0.30004969
1 "Walking Up Stairs" 0.10843483
1 "Walking Up Stairs" 0.1952301
1 "Walking Up Stairs" 0.25844561
1 "Walking Up Stairs" 0.28028027
1 "Walking Up Stairs" 0.26994742
1 "Walking Up Stairs" -0.010720591
1 "Walking Up Stairs" 0.1380529
1 "Walking Up Stairs" 0.068486538
1 "Walking Up Stairs" 0.23556696
1 "Walking Up Stairs" 0.32456606
2 "Lying" -0.34827637
2 "Lying" -0.21232081
2 "Lying" -0.0097699173
2 "Lying" 0.27562517
2 "Lying" 0.24884737
2 "Lying" 0.1063775
2 "Lying" 0.15096373
2 "Lying" 0.081780161
2 "Lying" -0.087418975
2 "Lying" -0.070141812
2 "Lying" 0.18174704
2 "Lying" 0.0021347237
2 "Lying" 0.048658524
2 "Lying" 0.25933324
2 "Lying" 0.065713169
2 "Lying" -0.049377473
2 "Lying" 0.053752666
