"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.010499295
1 "Lying" 0.16611117
1 "Lying" 0.2307906
1 "Lying" 0.56096093
1 "Lying" 0.26449912
1 "Lying" 0.22948024
1 "Lying" 0.42672331
1 "Lying" 0.34628118
1 "Lying" 0.26640704
1 "Lying" 0.43074857
1 "Lying" 0.3931636
1 "Lying" 0.33236875
1 "Lying" 0.32528509
1 "Lying" 0.19387351
1 "Lying" 0.20216013
1 "Lying" -0.56729225
1 "Lying" -0.54587533
1 "Lying" -0.25649361
1 "Lying" -0.23991041
1 "Lying" 0.14912021
1 "Lying" 0.16636839
1 "Lying" 0.10909527
1 "Lying" 0.15564404
1 "Lying" 0.23651947
1 "Lying" 0.14458565
1 "Lying" 0.37649192
1 "Lying" 0.40470436
1 "Lying" 0.059222818
1 "Lying" 0.081080497
1 "Lying" 0.17531701
1 "Lying" 0.17614806
1 "Lying" 0.03664377
1 "Lying" 0.1876393
1 "Lying" 0.10968621
1 "Lying" 0.25066681
1 "Lying" 0.42967372
1 "Lying" 0.27131644
1 "Lying" 0.36025672
1 "Lying" 0.23270989
1 "Lying" -0.16696438
1 "Lying" 0.12564975
1 "Lying" -0.018479389
1 "Lying" -0.18926481
1 "Lying" 0.029075281
1 "Lying" 0.32805188
1 "Lying" 0.33419438
1 "Lying" 0.32509667
1 "Lying" -0.078209223
1 "Lying" -0.15530199
1 "Lying" -0.24757206
1 "Sitting" 0.34177752
1 "Sitting" 0.12221568
1 "Sitting" 0.25789087
1 "Sitting" 0.35765714
1 "Sitting" 0.38953712
1 "Sitting" 0.36868895
1 "Sitting" 0.29292979
1 "Sitting" 0.29099743
1 "Sitting" 0.27928552
1 "Sitting" -0.027805781
1 "Sitting" 0.108127
1 "Sitting" 0.37970091
1 "Sitting" 0.12024525
1 "Sitting" 0.053632484
1 "Sitting" -0.063728765
1 "Sitting" 0.35883887
1 "Sitting" 0.2211463
1 "Sitting" 0.071740053
1 "Sitting" 0.31623435
1 "Sitting" 0.34548411
1 "Sitting" 0.22393587
1 "Sitting" 0.33735397
1 "Sitting" 0.43824647
1 "Sitting" 0.25864843
1 "Sitting" 0.38240514
1 "Sitting" 0.31516805
1 "Sitting" 0.3766219
1 "Sitting" 0.34275731
1 "Sitting" 0.0096962053
1 "Sitting" 0.090090819
1 "Sitting" -0.1087482
1 "Sitting" -0.11333126
1 "Sitting" 0.20136572
1 "Sitting" 0.24159145
1 "Sitting" 0.12523062
1 "Sitting" 0.083942453
1 "Sitting" 0.051848707
1 "Sitting" -0.13229508
1 "Sitting" -0.40032243
1 "Sitting" 0.28530876
1 "Sitting" 0.34282887
1 "Sitting" -0.28473459
1 "Sitting" 0.078168617
1 "Sitting" 0.43563178
1 "Sitting" 0.29438233
1 "Sitting" 0.44269908
1 "Sitting" 0.65469473
