"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99660003
1 "Lying" -0.99976475
1 "Lying" -0.99977135
1 "Lying" -0.99970447
1 "Lying" -0.99978033
1 "Lying" -0.99984421
1 "Lying" -0.99986942
1 "Lying" -0.99986101
1 "Lying" -0.99960211
1 "Lying" -0.99950987
1 "Lying" -0.99978873
1 "Lying" -0.99985324
1 "Lying" -0.9998355
1 "Lying" -0.9917992
1 "Lying" -0.99970135
1 "Lying" -0.97388459
1 "Lying" -0.9731179
1 "Lying" -0.99901664
1 "Lying" -0.9871997
1 "Lying" -0.51656248
1 "Lying" -0.53869676
1 "Lying" -0.99455497
1 "Lying" -0.99943144
1 "Lying" -0.99946454
1 "Lying" -0.99980222
1 "Lying" -0.99986145
1 "Lying" -0.99985338
1 "Lying" -0.99952105
1 "Lying" -0.99984274
1 "Lying" -0.99984342
1 "Lying" -0.99975614
1 "Lying" -0.99985863
1 "Lying" -0.99996019
1 "Lying" -0.99990211
1 "Lying" -0.99985295
1 "Lying" -0.99988565
1 "Lying" -0.99987485
1 "Lying" -0.99988571
1 "Lying" -0.99992896
1 "Lying" -0.91759556
1 "Lying" -0.97788674
1 "Lying" -0.99960383
1 "Lying" -0.99990735
1 "Lying" -0.99974546
1 "Lying" -0.99972529
1 "Lying" -0.9997074
1 "Lying" -0.99978344
1 "Lying" -0.99981267
1 "Lying" -0.99982363
1 "Lying" -0.99988512
1 "Sitting" -0.99972751
1 "Sitting" -0.99960932
1 "Sitting" -0.99966728
1 "Sitting" -0.99968118
1 "Sitting" -0.99972845
1 "Sitting" -0.99987347
1 "Sitting" -0.99974852
1 "Sitting" -0.99947891
1 "Sitting" -0.99964199
1 "Sitting" -0.9993564
1 "Sitting" -0.99908236
1 "Sitting" -0.99962527
1 "Sitting" -0.99967235
1 "Sitting" -0.99984375
1 "Sitting" -0.9996046
1 "Sitting" -0.99990645
1 "Sitting" -0.99987688
1 "Sitting" -0.99981354
1 "Sitting" -0.99987478
1 "Sitting" -0.99989979
1 "Sitting" -0.99985849
1 "Sitting" -0.99932747
1 "Sitting" -0.99925653
1 "Sitting" -0.99963899
1 "Sitting" -0.99953036
1 "Sitting" -0.99963212
1 "Sitting" -0.9998091
1 "Sitting" -0.9998161
1 "Sitting" -0.99967674
1 "Sitting" -0.99959566
1 "Sitting" -0.99938349
1 "Sitting" -0.99900087
1 "Sitting" -0.99893473
1 "Sitting" -0.99946494
1 "Sitting" -0.99973941
1 "Sitting" -0.99876927
1 "Sitting" -0.99870655
1 "Sitting" -0.99982319
1 "Sitting" -0.99993063
1 "Sitting" -0.99984625
1 "Sitting" -0.9997297
1 "Sitting" -0.99978847
1 "Sitting" -0.99972769
1 "Sitting" -0.99974219
1 "Sitting" -0.99981915
1 "Sitting" -0.99961973
1 "Sitting" -0.99972824
1 "Sitting" -0.9998675
1 "Sitting" -0.99986833
1 "Sitting" -0.9998158
1 "Sitting" -0.99968404
1 "Sitting" -0.99963669
1 "Sitting" -0.99982252
1 "Standing" -0.99976596
1 "Standing" -0.99989146
1 "Standing" -0.99991642
1 "Standing" -0.99299793
1 "Standing" -0.9923449
1 "Standing" -0.99858855
1 "Standing" -0.99978198
1 "Standing" -0.99961839
1 "Standing" -0.99970485
1 "Standing" -0.99980067
1 "Standing" -0.99979001
1 "Standing" -0.99923953
1 "Standing" -0.99973411
1 "Standing" -0.99969785
1 "Standing" -0.99971982
1 "Standing" -0.9998073
1 "Standing" -0.99981904
1 "Standing" -0.99983949
1 "Standing" -0.99981285
