"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99930725
1 "Lying" -0.99993847
1 "Lying" -0.99986932
1 "Lying" -0.99990694
1 "Lying" -0.9999413
1 "Lying" -0.99989978
1 "Lying" -0.99988519
1 "Lying" -0.99991538
1 "Lying" -0.99989733
1 "Lying" -0.99984487
1 "Lying" -0.99982368
1 "Lying" -0.99988888
1 "Lying" -0.99983679
1 "Lying" -0.99631577
1 "Lying" -0.99967302
1 "Lying" -0.99368379
1 "Lying" -0.99307493
1 "Lying" -0.99930997
1 "Lying" -0.98935428
1 "Lying" -0.95992577
1 "Lying" -0.96419552
1 "Lying" -0.99780764
1 "Lying" -0.99955644
1 "Lying" -0.99956972
1 "Lying" -0.99984765
1 "Lying" -0.99988238
1 "Lying" -0.99974752
1 "Lying" -0.99929261
1 "Lying" -0.99984316
1 "Lying" -0.99982733
1 "Lying" -0.99977081
1 "Lying" -0.99980926
1 "Lying" -0.99992185
1 "Lying" -0.99988244
1 "Lying" -0.99984276
1 "Lying" -0.99983431
1 "Lying" -0.9998192
1 "Lying" -0.99990154
1 "Lying" -0.99990352
1 "Lying" -0.9797715
1 "Lying" -0.98058358
1 "Lying" -0.99891703
1 "Lying" -0.99902311
1 "Lying" -0.9998661
1 "Lying" -0.99984604
1 "Lying" -0.99979919
1 "Lying" -0.99991249
1 "Lying" -0.99983215
1 "Lying" -0.99987214
1 "Lying" -0.99987845
1 "Sitting" -0.99981098
1 "Sitting" -0.99987671
1 "Sitting" -0.99992275
1 "Sitting" -0.99998239
1 "Sitting" -0.99995872
1 "Sitting" -0.99990576
1 "Sitting" -0.99992529
1 "Sitting" -0.99990472
1 "Sitting" -0.99994903
1 "Sitting" -0.99990018
1 "Sitting" -0.99989088
1 "Sitting" -0.99998948
1 "Sitting" -0.99998132
1 "Sitting" -0.99995091
1 "Sitting" -0.99984765
1 "Sitting" -0.99992545
1 "Sitting" -0.99995581
1 "Sitting" -0.99994129
1 "Sitting" -0.9999158
1 "Sitting" -0.99992837
1 "Sitting" -0.99993848
1 "Sitting" -0.99993656
1 "Sitting" -0.99994823
1 "Sitting" -0.9999532
1 "Sitting" -0.99995866
1 "Sitting" -0.99995278
1 "Sitting" -0.99995161
1 "Sitting" -0.99991643
1 "Sitting" -0.99984799
1 "Sitting" -0.99980096
1 "Sitting" -0.99986047
1 "Sitting" -0.99991124
1 "Sitting" -0.99991809
1 "Sitting" -0.99991266
1 "Sitting" -0.99993654
1 "Sitting" -0.9998421
1 "Sitting" -0.99982736
1 "Sitting" -0.99995651
1 "Sitting" -0.99993453
1 "Sitting" -0.99993031
1 "Sitting" -0.99991984
1 "Sitting" -0.99977958
1 "Sitting" -0.9998809
1 "Sitting" -0.99990925
1 "Sitting" -0.99991545
1 "Sitting" -0.99983243
1 "Sitting" -0.99985483
1 "Sitting" -0.99990301
1 "Sitting" -0.99990339
1 "Sitting" -0.99993694
1 "Sitting" -0.99991321
1 "Sitting" -0.9999633
1 "Sitting" -0.99996841
1 "Standing" -0.99971411
1 "Standing" -0.99989426
1 "Standing" -0.99988455
1 "Standing" -0.99207087
1 "Standing" -0.99108074
1 "Standing" -0.9974996
1 "Standing" -0.9998174
1 "Standing" -0.99985173
1 "Standing" -0.99991989
1 "Standing" -0.99996014
1 "Standing" -0.99995952
1 "Standing" -0.99969981
1 "Standing" -0.99989079
1 "Standing" -0.99992724
1 "Standing" -0.99986092
1 "Standing" -0.99986949
1 "Standing" -0.99985775
1 "Standing" -0.99985749
1 "Standing" -0.99991834
1 "Standing" -0.99992366
1 "Standing" -0.99988344
1 "Standing" -0.9999208
1 "Standing" -0.99990588
1 "Standing" -0.99986869
1 "Standing" -0.99977844
1 "Standing" -0.99997809
1 "Standing" -0.99998472
1 "Standing" -0.99996195
1 "Standing" -0.99994735
1 "Standing" -0.99997974
1 "Standing" -0.99996872
1 "Standing" -0.99995844
1 "Standing" -0.9999463
1 "Standing" -0.99991178
1 "Standing" -0.99988449
1 "Standing" -0.99962855
1 "Standing" -0.99989623
1 "Standing" -0.99996568
1 "Standing" -0.99993415
1 "Standing" -0.99990352
1 "Standing" -0.99983519
1 "Standing" -0.99985602
1 "Standing" -0.99992895
1 "Standing" -0.99993071
1 "Standing" -0.9998706
1 "Standing" -0.999849
1 "Standing" -0.99991253
1 "Walking" -0.83672799
1 "Walking" -0.88392556
1 "Walking" -0.82511679
1 "Walking" -0.85906483
1 "Walking" -0.90034518
1 "Walking" -0.88809498
1 "Walking" -0.92467735
1 "Walking" -0.90303201
1 "Walking" -0.89470092
1 "Walking" -0.83099936
1 "Walking" -0.79090148
1 "Walking" -0.78473476
1 "Walking" -0.84080665
1 "Walking" -0.8393284
1 "Walking" -0.86076897
1 "Walking" -0.84971684
1 "Walking" -0.84250535
1 "Walking" -0.88963741
1 "Walking" -0.88619763
1 "Walking" -0.85648376
1 "Walking" -0.83384155
1 "Walking" -0.76407283
1 "Walking" -0.78188589
1 "Walking" -0.66865431
1 "Walking" -0.79850017
1 "Walking" -0.86055048
1 "Walking" -0.80029699
1 "Walking" -0.79693084
1 "Walking" -0.75872094
1 "Walking" -0.70579603
1 "Walking" -0.77583815
1 "Walking" -0.7602621
1 "Walking" -0.83011912
1 "Walking" -0.73302688
1 "Walking" -0.71637044
1 "Walking" -0.75720342
1 "Walking" -0.85174442
1 "Walking" -0.85121304
1 "Walking" -0.8360189
1 "Walking" -0.84908835
1 "Walking" -0.84815331
1 "Walking" -0.85672702
1 "Walking" -0.81789562
1 "Walking" -0.84389937
1 "Walking" -0.85754684
1 "Walking" -0.86827413
1 "Walking" -0.87957393
1 "Walking" -0.86204465
1 "Walking" -0.81841214
1 "Walking" -0.76398806
1 "Walking" -0.77950624
1 "Walking" -0.82540378
1 "Walking" -0.7624912
1 "Walking" -0.79740622
1 "Walking" -0.89082327
1 "Walking" -0.85003197
1 "Walking" -0.86984776
1 "Walking" -0.86687021
1 "Walking" -0.82691443
1 "Walking" -0.75782157
1 "Walking" -0.77573609
1 "Walking" -0.82649395
1 "Walking" -0.73033508
1 "Walking" -0.77643247
1 "Walking" -0.92315956
1 "Walking" -0.92323876
1 "Walking" -0.86953186
1 "Walking" -0.75340985
1 "Walking" -0.7112469
1 "Walking" -0.73322869
1 "Walking" -0.82630932
1 "Walking" -0.79247647
1 "Walking" -0.78126102
1 "Walking" -0.55533616
1 "Walking" -0.64794357
1 "Walking" -0.8900403
1 "Walking" -0.8027799
1 "Walking" -0.79911769
1 "Walking" -0.90635806
1 "Walking" -0.91828381
1 "Walking" -0.89968587
1 "Walking" -0.73842739
1 "Walking" -0.77167049
1 "Walking" -0.88322202
1 "Walking" -0.81842823
1 "Walking" -0.8191679
1 "Walking" -0.81593675
1 "Walking" -0.8504324
1 "Walking" -0.6626467
1 "Walking" -0.6491321
1 "Walking" -0.84943643
1 "Walking" -0.64032351
1 "Walking" -0.70376273
1 "Walking" -0.83384154
1 "Walking" -0.85864579
1 "Walking Down Stairs" -0.78679841
1 "Walking Down Stairs" -0.82540888
1 "Walking Down Stairs" -0.80967328
1 "Walking Down Stairs" -0.87413862
1 "Walking Down Stairs" -0.73401468
1 "Walking Down Stairs" -0.689069
1 "Walking Down Stairs" -0.58705146
1 "Walking Down Stairs" -0.62794278
1 "Walking Down Stairs" -0.8369987
1 "Walking Down Stairs" -0.34515106
1 "Walking Down Stairs" -0.70203787
1 "Walking Down Stairs" -0.64720801
1 "Walking Down Stairs" -0.45650906
1 "Walking Down Stairs" -0.55065932
1 "Walking Down Stairs" -0.83216778
1 "Walking Down Stairs" -0.67506956
1 "Walking Down Stairs" -0.62884463
1 "Walking Down Stairs" -0.79946556
1 "Walking Down Stairs" -0.76608858
