"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.069470802
1 "Lying" 0.31068266
1 "Lying" 0.46236651
1 "Lying" 0.11979624
1 "Lying" 0.21794171
1 "Lying" 0.15066382
1 "Lying" -0.0081040479
1 "Lying" 0.45758737
1 "Lying" 0.64265366
1 "Lying" 0.1882208
1 "Lying" 0.057762299
1 "Lying" 0.22134781
1 "Lying" 0.25684811
1 "Lying" 0.50711433
1 "Lying" 0.048666761
1 "Lying" -0.32564105
1 "Lying" -0.30509265
1 "Lying" 0.020529256
1 "Lying" 0.15435492
1 "Lying" 0.47543607
1 "Lying" 0.58676777
1 "Lying" 0.16573502
1 "Lying" 0.33269251
1 "Lying" 0.53863621
1 "Lying" 0.38676745
1 "Lying" 0.31697906
1 "Lying" 0.20840431
1 "Lying" 0.36242335
1 "Lying" 0.14964045
1 "Lying" 0.20755532
1 "Lying" 0.17614873
1 "Lying" 0.31256832
1 "Lying" 0.45305367
1 "Lying" 0.21280404
1 "Lying" 0.16636972
1 "Lying" 0.089157394
1 "Lying" 0.27092176
1 "Lying" 0.29349219
1 "Lying" 0.30717318
1 "Lying" 0.10407621
1 "Lying" 0.31365563
1 "Lying" 0.14686199
1 "Lying" -0.16217727
1 "Lying" 0.1115806
1 "Lying" 0.30781339
1 "Lying" 0.51578888
1 "Lying" 0.54647723
1 "Lying" 0.22158972
1 "Lying" 0.11437139
1 "Lying" 0.23110086
1 "Sitting" 0.28308522
1 "Sitting" 0.45881205
1 "Sitting" 0.6497038
1 "Sitting" 0.6616034
1 "Sitting" 0.3116039
1 "Sitting" 0.072707273
1 "Sitting" 0.17811599
1 "Sitting" 0.26135793
1 "Sitting" 0.16069705
1 "Sitting" 0.2321323
1 "Sitting" 0.49639445
1 "Sitting" 0.71292661
1 "Sitting" 0.43286812
1 "Sitting" 0.3598566
1 "Sitting" 0.18203178
1 "Sitting" 0.34824128
1 "Sitting" 0.41188038
1 "Sitting" 0.42610024
1 "Sitting" 0.41934266
1 "Sitting" 0.30777429
1 "Sitting" 0.27954626
1 "Sitting" 0.22396781
1 "Sitting" 0.31944621
1 "Sitting" 0.35113687
1 "Sitting" 0.29639599
1 "Sitting" 0.25955333
1 "Sitting" 0.36734612
1 "Sitting" 0.44474115
1 "Sitting" 0.40246764
1 "Sitting" 0.08470506
1 "Sitting" 0.20497515
1 "Sitting" 0.32643109
1 "Sitting" 0.39565243
1 "Sitting" 0.33962014
1 "Sitting" 0.35280621
1 "Sitting" 0.068650028
1 "Sitting" 0.1350658
1 "Sitting" 0.26454745
1 "Sitting" 0.1732945
1 "Sitting" 0.36569593
1 "Sitting" 0.16004351
1 "Sitting" 0.27421887
1 "Sitting" 0.31895796
1 "Sitting" 0.37309079
1 "Sitting" 0.37443072
1 "Sitting" 0.41120343
1 "Sitting" 0.33528017
1 "Sitting" 0.30057694
1 "Sitting" 0.23118119
1 "Sitting" 0.64204741
1 "Sitting" 0.62141218
1 "Sitting" 0.3656849
1 "Sitting" 0.27697106
1 "Standing" -0.16543358
1 "Standing" 0.22321143
1 "Standing" 0.12264134
1 "Standing" 0.2879706
1 "Standing" 0.25162296
