"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.42474467
1 "Lying" -0.8165016
1 "Lying" -0.82953202
1 "Lying" -0.86079994
1 "Lying" -0.87196728
1 "Lying" -0.82314991
1 "Lying" -0.81590899
1 "Lying" -0.84693873
1 "Lying" -0.87901129
1 "Lying" -0.91620825
1 "Lying" -0.89942197
1 "Lying" -0.90834436
1 "Lying" -0.85953915
1 "Lying" -0.098010302
1 "Lying" -0.69490363
1 "Lying" -0.024993608
1 "Lying" 0.13827868
1 "Lying" -0.32750005
1 "Lying" 0.12353851
1 "Lying" 0.50716138
1 "Lying" 0.478213
1 "Lying" -0.13556151
1 "Lying" -0.63284063
1 "Lying" -0.69314424
1 "Lying" -0.89472336
1 "Lying" -0.92031804
1 "Lying" -0.87375972
1 "Lying" -0.57294917
1 "Lying" -0.89472336
1 "Lying" -0.89679392
1 "Lying" -0.88207258
1 "Lying" -0.90522666
1 "Lying" -0.95388955
1 "Lying" -0.87311482
1 "Lying" -0.79264229
1 "Lying" -0.85953915
1 "Lying" -0.91493797
1 "Lying" -0.88461876
1 "Lying" -0.8786864
1 "Lying" 0.37779879
1 "Lying" -0.016722437
1 "Lying" -0.54172715
1 "Lying" -0.5686451
1 "Lying" -0.70566243
1 "Lying" -0.79779843
1 "Lying" -0.83491001
1 "Lying" -0.83624353
1 "Lying" -0.79853314
1 "Lying" -0.82507916
1 "Lying" -0.80498043
1 "Sitting" -0.86341476
1 "Sitting" -0.8199283
1 "Sitting" -0.79488418
1 "Sitting" -0.79232145
1 "Sitting" -0.85002565
1 "Sitting" -0.87130303
1 "Sitting" -0.79510756
1 "Sitting" -0.83086271
1 "Sitting" -0.8505403
1 "Sitting" -0.70457476
1 "Sitting" -0.72053655
1 "Sitting" -0.87366019
1 "Sitting" -0.91003285
1 "Sitting" -0.85091994
1 "Sitting" -0.79068728
1 "Sitting" -0.91222498
1 "Sitting" -0.98949309
1 "Sitting" -0.94296457
1 "Sitting" -0.95929863
1 "Sitting" -0.9962925
1 "Sitting" -0.92646561
1 "Sitting" -0.87490707
1 "Sitting" -0.83438212
1 "Sitting" -0.84549161
1 "Sitting" -0.8832464
1 "Sitting" -0.87366019
1 "Sitting" -0.83461996
1 "Sitting" -0.73629398
1 "Sitting" -0.82917868
1 "Sitting" -0.83458537
1 "Sitting" -0.6710273
1 "Sitting" -0.6612676
1 "Sitting" -0.72898935
