"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89807806
1 "Lying" -0.99184811
1 "Lying" -0.99442355
1 "Lying" -0.9947444
1 "Lying" -0.99481471
1 "Lying" -0.99169295
1 "Lying" -0.99169295
1 "Lying" -0.9928146
1 "Lying" -0.9928146
1 "Lying" -0.99708436
1 "Lying" -0.99719509
1 "Lying" -0.9969072
1 "Lying" -0.99363933
1 "Lying" -0.87666021
1 "Lying" -0.98046353
1 "Lying" -0.64570763
1 "Lying" -0.64570763
1 "Lying" -0.95207479
1 "Lying" -0.85992928
1 "Lying" -0.38144273
1 "Lying" -0.38144273
1 "Lying" -0.84450458
1 "Lying" -0.97414465
1 "Lying" -0.97414465
1 "Lying" -0.99682587
1 "Lying" -0.99190384
1 "Lying" -0.99190384
1 "Lying" -0.96997409
1 "Lying" -0.99799806
1 "Lying" -0.99348657
1 "Lying" -0.99348657
1 "Lying" -0.9930894
1 "Lying" -0.9930894
1 "Lying" -0.99258624
1 "Lying" -0.99206913
1 "Lying" -0.99206913
1 "Lying" -0.99901474
1 "Lying" -0.99284471
1 "Lying" -0.99284471
1 "Lying" -0.74157896
1 "Lying" -0.74157896
1 "Lying" -0.96382881
1 "Lying" -0.96382881
1 "Lying" -0.98504344
1 "Lying" -0.99192093
1 "Lying" -0.99456115
1 "Lying" -0.99335437
1 "Lying" -0.9884675
1 "Lying" -0.9884675
1 "Lying" -0.99302163
1 "Sitting" -0.99278399
1 "Sitting" -0.98866062
1 "Sitting" -0.98866062
1 "Sitting" -0.99340172
1 "Sitting" -0.9932829
1 "Sitting" -0.9932829
1 "Sitting" -0.9856775
1 "Sitting" -0.9856775
1 "Sitting" -0.98965923
1 "Sitting" -0.97867202
1 "Sitting" -0.97867202
1 "Sitting" -0.99578821
1 "Sitting" -0.99675634
1 "Sitting" -0.99418254
1 "Sitting" -0.98849177
1 "Sitting" -0.99480759
1 "Sitting" -0.99723994
1 "Sitting" -0.99455144
1 "Sitting" -0.99455144
1 "Sitting" -0.99971152
1 "Sitting" -0.99674768
1 "Sitting" -0.99559974
1 "Sitting" -0.99457242
1 "Sitting" -0.99457242
1 "Sitting" -0.99506619
1 "Sitting" -0.99506619
1 "Sitting" -0.99435046
1 "Sitting" -0.98746475
1 "Sitting" -0.98983137
1 "Sitting" -0.98983137
1 "Sitting" -0.98239749
1 "Sitting" -0.98239749
1 "Sitting" -0.98358874
1 "Sitting" -0.98358874
1 "Sitting" -0.99768876
1 "Sitting" -0.98357195
1 "Sitting" -0.98357195
1 "Sitting" -0.985018
1 "Sitting" -0.985018
1 "Sitting" -0.99467003
1 "Sitting" -0.98504402
1 "Sitting" -0.99127564
1 "Sitting" -0.99192482
1 "Sitting" -0.99717355
1 "Sitting" -0.99580197
1 "Sitting" -0.99580197
1 "Sitting" -0.99785388
1 "Sitting" -0.99785388
1 "Sitting" -0.99861308
1 "Sitting" -0.99810592
1 "Sitting" -0.99791185
1 "Sitting" -0.99768119
1 "Sitting" -0.99626534
1 "Standing" -0.97312196
1 "Standing" -0.99273459
1 "Standing" -0.99273459
1 "Standing" -0.85778903
1 "Standing" -0.85778903
1 "Standing" -0.90968797
1 "Standing" -0.99185081
1 "Standing" -0.99586013
1 "Standing" -0.99902168
1 "Standing" -0.99888056
1 "Standing" -0.99848136
1 "Standing" -0.98146741
1 "Standing" -0.99231158
1 "Standing" -0.99655849
1 "Standing" -0.99149703
1 "Standing" -0.99149703
1 "Standing" -0.99336283
1 "Standing" -0.99336283
1 "Standing" -0.99779134
1 "Standing" -0.99906386
1 "Standing" -0.99524516
1 "Standing" -0.99255176
1 "Standing" -0.99255176
1 "Standing" -0.99590775
1 "Standing" -0.97441277
1 "Standing" -0.9892559
1 "Standing" -0.98851844
1 "Standing" -0.98593944
1 "Standing" -0.98593944
1 "Standing" -0.99232569
1 "Standing" -0.99632885
1 "Standing" -0.99706662
1 "Standing" -0.99649623
1 "Standing" -0.9954716
1 "Standing" -0.9954716
1 "Standing" -0.95628052
1 "Standing" -0.99141305
1 "Standing" -0.99319451
1 "Standing" -0.99268514
1 "Standing" -0.98694635
1 "Standing" -0.98694635
1 "Standing" -0.99285061
1 "Standing" -0.99791158
1 "Standing" -0.99835494
1 "Standing" -1
1 "Standing" -0.99668391
1 "Standing" -0.98802177
1 "Walking" -0.25401727
1 "Walking" -0.25401727
1 "Walking" -0.1777156
1 "Walking" -0.1777156
1 "Walking" -0.25127856
1 "Walking" -0.25127856
1 "Walking" -0.27378824
1 "Walking" -0.22899524
1 "Walking" -0.27509806
1 "Walking" -0.27509806
1 "Walking" -0.25187294
1 "Walking" -0.17771083
1 "Walking" -0.17771083
