"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.44
1 "Lying" 0.16
1 "Lying" -0.56
1 "Lying" -0.24
1 "Lying" -0.2
1 "Lying" -0.24
1 "Lying" 0.08
1 "Lying" 0.12
1 "Lying" 0.04
1 "Lying" 0.2
1 "Lying" -0.16
1 "Lying" 0.16
1 "Lying" 0.16
1 "Lying" -0.04
1 "Lying" -0.16
1 "Lying" -0.72
1 "Lying" -0.72
1 "Lying" -0.88
1 "Lying" -0.36
1 "Lying" -0.72
1 "Lying" -0.68
1 "Lying" -0.52
1 "Lying" -0.08
1 "Lying" -0.48
1 "Lying" -0.04
1 "Lying" 0.04
1 "Lying" -0.2
1 "Lying" -0.12
1 "Lying" -0.36
1 "Lying" 0.2
1 "Lying" -0.44
1 "Lying" -0.44
1 "Lying" 0.2
1 "Lying" -0.6
1 "Lying" 0
1 "Lying" 0.04
1 "Lying" -0.24
1 "Lying" -0.2
1 "Lying" -0.36
1 "Lying" -0.48
1 "Lying" -0.6
1 "Lying" -1
1 "Lying" -0.96
1 "Lying" -0.96
1 "Lying" -0.44
1 "Lying" -0.24
1 "Lying" 0.12
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.2
1 "Sitting" -1
1 "Sitting" -0.32
1 "Sitting" -0.28
1 "Sitting" -0.28
1 "Sitting" 0.04
1 "Sitting" 0.52
1 "Sitting" 0
1 "Sitting" -0.04
1 "Sitting" -0.04
1 "Sitting" -0.08
1 "Sitting" -0.68
1 "Sitting" 0.04
1 "Sitting" -0.28
1 "Sitting" -0.16
1 "Sitting" -0.48
1 "Sitting" 0.04
1 "Sitting" -0.52
1 "Sitting" -0.24
1 "Sitting" -0.44
1 "Sitting" 0
1 "Sitting" -0.28
1 "Sitting" 0.04
1 "Sitting" -0.04
1 "Sitting" -0.4
1 "Sitting" 0.28
1 "Sitting" 0.32
1 "Sitting" 0
1 "Sitting" -0.56
1 "Sitting" -0.2
1 "Sitting" -0.24
1 "Sitting" 0.44
1 "Sitting" -0.6
1 "Sitting" -0.24
1 "Sitting" -0.24
1 "Sitting" -0.56
1 "Sitting" 0.36
1 "Sitting" -0.24
1 "Sitting" -0.36
1 "Sitting" 0.12
1 "Sitting" -0.04
1 "Sitting" -0.04
1 "Sitting" -0.32
1 "Sitting" -0.32
1 "Sitting" 0.12
1 "Sitting" -0.08
1 "Sitting" -0.12
1 "Sitting" 0.16
1 "Sitting" 0.24
1 "Sitting" -0.52
1 "Sitting" 0.76
1 "Sitting" 0.48
1 "Sitting" -0.12
1 "Sitting" 0
1 "Standing" -1
1 "Standing" 0.04
1 "Standing" 0.04
1 "Standing" -0.96
1 "Standing" -0.92
1 "Standing" -0.88
1 "Standing" -0.48
1 "Standing" -0.44
1 "Standing" -0.32
1 "Standing" -0.28
1 "Standing" 0.32
1 "Standing" -0.12
1 "Standing" -0.4
1 "Standing" -0.4
1 "Standing" -0.36
1 "Standing" -0.16
1 "Standing" -0.28
1 "Standing" -0.24
1 "Standing" -0.2
1 "Standing" -0.2
1 "Standing" -0.2
1 "Standing" -0.4
1 "Standing" -0.4
1 "Standing" 0.04
1 "Standing" -0.24
1 "Standing" 0.36
1 "Standing" 0.4
1 "Standing" 0.12
1 "Standing" 0.12
1 "Standing" -0.32
1 "Standing" 0.12
1 "Standing" 0.04
1 "Standing" -0.04
1 "Standing" 0.04
1 "Standing" 0.2
1 "Standing" -0.64
1 "Standing" -0.24
1 "Standing" -0.24
1 "Standing" -0.36
1 "Standing" -0.36
1 "Standing" -0.36
1 "Standing" -0.28
1 "Standing" -0.44
1 "Standing" 0.8
1 "Standing" -0.8
1 "Standing" 0.2
1 "Standing" -0.28
1 "Walking" -0.32
1 "Walking" -0.2
1 "Walking" -0.2
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.12
1 "Walking" -0.44
1 "Walking" -0.32
1 "Walking" -0.2
1 "Walking" -0.2
1 "Walking" -0.08
1 "Walking" -0.08
1 "Walking" -0.28
1 "Walking" -0.2
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.52
1 "Walking" 0.08
1 "Walking" -0.2
1 "Walking" -0.28
1 "Walking" -0.36
1 "Walking" -0.16
1 "Walking" -0.08
1 "Walking" -0.12
1 "Walking" -0.24
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.48
1 "Walking" -0.2
1 "Walking" -0.2
1 "Walking" -0.24
1 "Walking" 0
1 "Walking" -0.28
1 "Walking" -0.08
1 "Walking" -0.48
1 "Walking" -0.12
1 "Walking" -0.12
1 "Walking" -0.48
1 "Walking" -0.2
1 "Walking" -0.52
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.52
1 "Walking" -0.48
1 "Walking" -0.52
1 "Walking" -0.32
1 "Walking" -0.28
1 "Walking" -0.28
1 "Walking" 0.08
1 "Walking" -0.28
1 "Walking" -0.36
1 "Walking" -0.2
1 "Walking" -0.28
1 "Walking" -0.32
1 "Walking" -0.32
1 "Walking" -0.32
1 "Walking" -0.32
1 "Walking" -0.16
1 "Walking" -0.08
1 "Walking" -0.08
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.24
1 "Walking" -0.24
1 "Walking" -0.24
1 "Walking" -0.28
1 "Walking" -0.28
1 "Walking" -0.24
1 "Walking" -0.08
1 "Walking" -0.24
1 "Walking" -0.24
1 "Walking" -0.16
1 "Walking" -0.08
1 "Walking" 0.08
1 "Walking" -0.28
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.2
1 "Walking" -0.24
1 "Walking" -0.2
1 "Walking" -0.28
1 "Walking" -0.24
1 "Walking" -0.2
1 "Walking" -0.16
1 "Walking" -0.24
1 "Walking" -0.24
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.16
1 "Walking" -0.2
1 "Walking" -0.2
1 "Walking Down Stairs" -0.28
1 "Walking Down Stairs" -0.28
1 "Walking Down Stairs" 0
1 "Walking Down Stairs" 0.08
1 "Walking Down Stairs" 0.08
1 "Walking Down Stairs" -0.36
1 "Walking Down Stairs" -0.08
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.44
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.32
1 "Walking Down Stairs" -0.04
1 "Walking Down Stairs" -0.04
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.16
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.08
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.16
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.16
1 "Walking Down Stairs" -0.04
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.4
1 "Walking Down Stairs" -0.44
1 "Walking Down Stairs" 0.04
1 "Walking Down Stairs" -0.08
1 "Walking Down Stairs" -0.36
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.04
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.4
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.08
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" -0.2
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.16
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.24
1 "Walking Down Stairs" -0.08
1 "Walking Down Stairs" -0.12
1 "Walking Down Stairs" 0.08
1 "Walking Down Stairs" -0.04
1 "Walking Up Stairs" -0.2
1 "Walking Up Stairs" -0.64
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.04
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.48
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.88
1 "Walking Up Stairs" -0.2
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.36
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.32
1 "Walking Up Stairs" -0.36
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.24
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.44
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.44
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.36
1 "Walking Up Stairs" -0.2
1 "Walking Up Stairs" -0.96
1 "Walking Up Stairs" -0.96
