"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98397618
1 "Lying" -0.99255597
1 "Lying" -0.99289744
1 "Lying" -0.99704903
1 "Lying" -0.99588745
1 "Lying" -0.99054918
1 "Lying" -0.99236249
1 "Lying" -0.99297268
1 "Lying" -0.99336809
1 "Lying" -0.99130376
1 "Lying" -0.99475847
1 "Lying" -0.99322974
1 "Lying" -0.99101487
1 "Lying" -0.93856505
1 "Lying" -0.9860576
1 "Lying" -0.89799904
1 "Lying" -0.89244432
1 "Lying" -0.96447756
1 "Lying" -0.91987203
1 "Lying" -0.67409731
1 "Lying" -0.71147777
1 "Lying" -0.94454221
1 "Lying" -0.98919786
1 "Lying" -0.99404483
1 "Lying" -0.99757189
1 "Lying" -0.99428653
1 "Lying" -0.99510393
1 "Lying" -0.98305174
1 "Lying" -0.99366123
1 "Lying" -0.99527829
1 "Lying" -0.99298991
1 "Lying" -0.99443314
1 "Lying" -0.99242151
1 "Lying" -0.99059404
1 "Lying" -0.9850113
1 "Lying" -0.99194649
1 "Lying" -0.99468158
1 "Lying" -0.99074629
1 "Lying" -0.9939674
1 "Lying" -0.84369177
1 "Lying" -0.8988344
1 "Lying" -0.97811535
1 "Lying" -0.96077937
1 "Lying" -0.97646897
1 "Lying" -0.99571128
1 "Lying" -0.99505504
1 "Lying" -0.98836079
1 "Lying" -0.9858125
1 "Lying" -0.97348514
1 "Lying" -0.98630009
1 "Sitting" -0.99324167
1 "Sitting" -0.99318704
1 "Sitting" -0.99391162
1 "Sitting" -0.99420121
1 "Sitting" -0.99514209
1 "Sitting" -0.99421658
1 "Sitting" -0.98910173
1 "Sitting" -0.98799354
1 "Sitting" -0.99088033
1 "Sitting" -0.989567
1 "Sitting" -0.9892088
1 "Sitting" -0.98979627
1 "Sitting" -0.99042741
1 "Sitting" -0.98876784
1 "Sitting" -0.9904648
1 "Sitting" -0.99563437
1 "Sitting" -0.99367377
1 "Sitting" -0.99310332
1 "Sitting" -0.99390751
1 "Sitting" -0.99642722
1 "Sitting" -0.99652515
1 "Sitting" -0.99282556
1 "Sitting" -0.99134102
1 "Sitting" -0.9924523
1 "Sitting" -0.99220378
1 "Sitting" -0.98835844
1 "Sitting" -0.99533814
1 "Sitting" -0.99084408
1 "Sitting" -0.99127814
1 "Sitting" -0.98925824
1 "Sitting" -0.98880826
1 "Sitting" -0.98955926
1 "Sitting" -0.9893463
1 "Sitting" -0.98803545
1 "Sitting" -0.99403132
1 "Sitting" -0.99434145
1 "Sitting" -0.99128734
1 "Sitting" -0.9921585
1 "Sitting" -0.9871487
1 "Sitting" -0.99071784
1 "Sitting" -0.98965837
1 "Sitting" -0.98943796
1 "Sitting" -0.99547517
1 "Sitting" -0.99293369
1 "Sitting" -0.9953678
1 "Sitting" -0.99319988
1 "Sitting" -0.99685895
1 "Sitting" -0.99658339
1 "Sitting" -0.9967249
1 "Sitting" -0.99243829
1 "Sitting" -0.99412235
1 "Sitting" -0.99290033
1 "Sitting" -0.99371047
1 "Standing" -0.97399859
1 "Standing" -0.99606682
