"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.16635343
1 "Lying" 0.087052284
1 "Lying" 0.10215185
1 "Lying" 0.17879182
1 "Lying" 0.30364311
1 "Lying" 0.27588406
1 "Lying" 0.14285166
1 "Lying" 0.047782148
1 "Lying" 0.27663332
1 "Lying" 0.17428776
1 "Lying" 0.18216216
1 "Lying" 0.062977287
1 "Lying" 0.15103354
1 "Lying" 0.39199364
1 "Lying" -0.0031908549
1 "Lying" -0.86852506
1 "Lying" -0.87995111
1 "Lying" -0.47769962
1 "Lying" -0.19254211
1 "Lying" -0.2454903
1 "Lying" -0.24344676
1 "Lying" -0.35302118
1 "Lying" -0.55321676
1 "Lying" 0.0011729757
1 "Lying" 0.23852467
1 "Lying" 0.11175725
1 "Lying" 0.089327877
1 "Lying" -0.43748979
1 "Lying" -0.027567613
1 "Lying" 0.08901669
1 "Lying" 0.18885518
1 "Lying" 0.24203804
1 "Lying" 0.1596161
1 "Lying" 0.14011576
1 "Lying" 0.1359525
1 "Lying" 0.22007338
1 "Lying" -0.091544288
1 "Lying" 0.19211809
1 "Lying" 0.19027172
1 "Lying" -0.045976528
1 "Lying" 0.92583858
1 "Lying" -0.11017066
1 "Lying" -0.099926655
1 "Lying" -0.033895617
1 "Lying" 0.10822427
1 "Lying" 0.040123272
1 "Lying" 0.14632192
1 "Lying" 0.10578662
1 "Lying" 0.11800538
1 "Lying" 0.23530437
1 "Sitting" 0.210697
1 "Sitting" -0.053675613
1 "Sitting" -0.19343634
1 "Sitting" -0.093035847
1 "Sitting" 0.079135382
1 "Sitting" 0.054771404
1 "Sitting" 0.050785859
1 "Sitting" 0.022930174
1 "Sitting" 0.15220008
1 "Sitting" -0.041894735
1 "Sitting" -0.11664159
1 "Sitting" 0.085267402
1 "Sitting" 0.19726357
1 "Sitting" 0.17085397
1 "Sitting" -0.3119645
1 "Sitting" -0.038750943
1 "Sitting" 0.042417242
1 "Sitting" -0.067847456
1 "Sitting" -0.052247515
1 "Sitting" -0.0085673308
1 "Sitting" 0.14594653
1 "Sitting" 0.30897727
1 "Sitting" 0.15183527
1 "Sitting" 0.087754562
1 "Sitting" 0.16954035
1 "Sitting" 0.23600015
1 "Sitting" 0.20163927
1 "Sitting" 0.035155548
1 "Sitting" -0.18520578
1 "Sitting" 0.067962946
1 "Sitting" -0.42661262
1 "Sitting" -0.33410854
1 "Sitting" 0.017668605
1 "Sitting" 0.22280757
1 "Sitting" 0.26605461
1 "Sitting" -0.040019767
1 "Sitting" 0.055138546
1 "Sitting" 0.25948213
1 "Sitting" -0.10671334
1 "Sitting" 0.019278971
1 "Sitting" 0.047867247
1 "Sitting" -0.23086837
1 "Sitting" -0.069912206
1 "Sitting" 0.2991149
1 "Sitting" 0.095316905
1 "Sitting" 0.11118317
1 "Sitting" 0.019255661
1 "Sitting" 0.035689207
1 "Sitting" 0.18414108
1 "Sitting" 0.042236224
1 "Sitting" 0.017661907
1 "Sitting" 0.065072022
1 "Sitting" 0.21798022
1 "Standing" -0.59850344
1 "Standing" -0.19884526
1 "Standing" 0.0314105
1 "Standing" -0.6040985
1 "Standing" -0.60192507
1 "Standing" -0.54949189
1 "Standing" -0.22633621
1 "Standing" 0.20907625
1 "Standing" 0.30383385
1 "Standing" 0.23065029
1 "Standing" 0.055799457
1 "Standing" -0.29717515
1 "Standing" 0.16135456
1 "Standing" 0.10934847
1 "Standing" 0.22432089
1 "Standing" 0.029142162
1 "Standing" 0.14941906
1 "Standing" 0.29165115
1 "Standing" 0.015661251
1 "Standing" 0.12660334
1 "Standing" -0.048640788
1 "Standing" 0.0063601471
1 "Standing" 0.10453059
1 "Standing" 0.15477456
1 "Standing" -0.70029555
1 "Standing" 0.026516868
1 "Standing" 0.22036627
1 "Standing" 0.29142957
1 "Standing" 0.46501469
1 "Standing" 0.44357536
1 "Standing" 0.57912495
1 "Standing" 0.32272453
1 "Standing" 0.11500848
1 "Standing" -0.058711203
1 "Standing" -0.024892163
1 "Standing" -0.1399549
1 "Standing" 0.1025471
1 "Standing" 0.22346062
1 "Standing" 0.27880935
1 "Standing" 0.24272598
1 "Standing" 0.090551296
1 "Standing" 0.13531927
1 "Standing" 0.44068215
1 "Standing" 0.34434371
1 "Standing" -0.078878306
1 "Standing" 0.014846235
1 "Standing" -0.17867668
1 "Walking" -0.52037105
1 "Walking" -0.31683068
1 "Walking" -0.48198596
1 "Walking" -0.46512323
1 "Walking" -0.37556471
1 "Walking" -0.13849441
1 "Walking" -0.49202307
1 "Walking" -0.48990239
1 "Walking" -0.40132381
1 "Walking" -0.45231664
1 "Walking" -0.44968906
1 "Walking" -0.48538218
1 "Walking" -0.27476984
1 "Walking" -0.22848678
1 "Walking" -0.47008484
1 "Walking" -0.41274897
1 "Walking" -0.55903394
1 "Walking" -0.34464851
1 "Walking" -0.37864994
1 "Walking" -0.17804985
1 "Walking" -0.44685609
1 "Walking" -0.41333835
1 "Walking" -0.22518561
1 "Walking" -0.18490937
1 "Walking" -0.17853176
1 "Walking" -0.46636957
1 "Walking" -0.41097297
1 "Walking" -0.4740162
1 "Walking" -0.54093719
1 "Walking" -0.39827627
1 "Walking" -0.30339066
1 "Walking" -0.31108202
1 "Walking" -0.37484726
1 "Walking" -0.1672271
1 "Walking" -0.42619091
1 "Walking" -0.38189591
1 "Walking" -0.55076399
1 "Walking" -0.66458578
1 "Walking" -0.6203766
1 "Walking" -0.33453956
1 "Walking" -0.29163314
1 "Walking" -0.28733526
1 "Walking" -0.44651684
1 "Walking" -0.17566388
1 "Walking" -0.27406556
1 "Walking" -0.61055341
1 "Walking" -0.52338506
1 "Walking" -0.41256919
1 "Walking" -0.38056765
1 "Walking" -0.3779177
1 "Walking" -0.42266276
1 "Walking" -0.36960137
1 "Walking" -0.21444839
1 "Walking" -0.30468957
1 "Walking" -0.35776687
1 "Walking" -0.63393454
1 "Walking" -0.44595566
1 "Walking" -0.45052678
1 "Walking" -0.3762735
1 "Walking" -0.31377014
1 "Walking" -0.37324038
1 "Walking" -0.41640804
1 "Walking" -0.18134481
1 "Walking" -0.31722924
1 "Walking" -0.44842018
1 "Walking" -0.40091507
1 "Walking" -0.36547489
1 "Walking" -0.25136598
1 "Walking" -0.38947795
1 "Walking" -0.3201446
1 "Walking" -0.47614787
1 "Walking" -0.50192578
1 "Walking" -0.44408507
1 "Walking" -0.17249501
1 "Walking" -0.43603792
1 "Walking" -0.43170962
1 "Walking" -0.5131105
1 "Walking" -0.50079808
1 "Walking" -0.58189878
1 "Walking" -0.37924001
1 "Walking" -0.42514319
1 "Walking" -0.3787806
1 "Walking" -0.28545985
1 "Walking" -0.48762334
1 "Walking" -0.54868222
1 "Walking" -0.46887848
1 "Walking" -0.1990567
1 "Walking" -0.13730935
1 "Walking" -0.11496989
1 "Walking" -0.041861595
1 "Walking" -0.42445681
1 "Walking" -0.45909839
1 "Walking" -0.50550366
1 "Walking" -0.44942918
1 "Walking" -0.40519527
1 "Walking Down Stairs" -0.22624745
1 "Walking Down Stairs" -0.19669835
1 "Walking Down Stairs" -0.48352149
1 "Walking Down Stairs" -0.45292246
1 "Walking Down Stairs" -0.41399356
1 "Walking Down Stairs" -0.48729288
1 "Walking Down Stairs" -0.33450146
1 "Walking Down Stairs" -0.2220033
1 "Walking Down Stairs" -0.4668253
1 "Walking Down Stairs" -0.2223067
1 "Walking Down Stairs" -0.34031977
1 "Walking Down Stairs" -0.42018798
1 "Walking Down Stairs" -0.57630581
1 "Walking Down Stairs" -0.52850517
1 "Walking Down Stairs" -0.54005104
1 "Walking Down Stairs" -0.087172286
1 "Walking Down Stairs" -0.12703579
1 "Walking Down Stairs" -0.35699308
1 "Walking Down Stairs" -0.21069103
1 "Walking Down Stairs" -0.450206
1 "Walking Down Stairs" -0.39269693
1 "Walking Down Stairs" -0.32561588
1 "Walking Down Stairs" -0.3905279
1 "Walking Down Stairs" -0.31194082
1 "Walking Down Stairs" -0.21908905
1 "Walking Down Stairs" -0.32038787
1 "Walking Down Stairs" -0.37279314
1 "Walking Down Stairs" -0.46550804
1 "Walking Down Stairs" -0.36347649
1 "Walking Down Stairs" -0.29614894
1 "Walking Down Stairs" -0.42063163
1 "Walking Down Stairs" -0.30317269
1 "Walking Down Stairs" -0.50126486
1 "Walking Down Stairs" -0.32679958
1 "Walking Down Stairs" -0.24662825
1 "Walking Down Stairs" -0.39717831
1 "Walking Down Stairs" -0.22789205
1 "Walking Down Stairs" -0.11368883
1 "Walking Down Stairs" -0.29717186
1 "Walking Down Stairs" 0.066690736
1 "Walking Down Stairs" -0.10892154
1 "Walking Down Stairs" -0.41328514
1 "Walking Down Stairs" -0.34995216
1 "Walking Down Stairs" -0.4172585
1 "Walking Down Stairs" -0.44614541
1 "Walking Down Stairs" -0.46130999
1 "Walking Down Stairs" -0.45178417
1 "Walking Down Stairs" -0.20309648
1 "Walking Down Stairs" -0.32043868
1 "Walking Up Stairs" -0.48109577
1 "Walking Up Stairs" -0.25432184
1 "Walking Up Stairs" -0.59072885
1 "Walking Up Stairs" -0.38678843
1 "Walking Up Stairs" -0.50235397
1 "Walking Up Stairs" -0.68011499
1 "Walking Up Stairs" -0.70832966
1 "Walking Up Stairs" -0.47495678
1 "Walking Up Stairs" -0.56109795
1 "Walking Up Stairs" -0.52239698
1 "Walking Up Stairs" -0.54318395
1 "Walking Up Stairs" -0.44670124
1 "Walking Up Stairs" -0.58323793
1 "Walking Up Stairs" -0.44921803
1 "Walking Up Stairs" -0.31950603
1 "Walking Up Stairs" -0.58232172
1 "Walking Up Stairs" -0.46947007
1 "Walking Up Stairs" -0.48005477
1 "Walking Up Stairs" -0.48603746
1 "Walking Up Stairs" -0.56095241
1 "Walking Up Stairs" -0.7841857
1 "Walking Up Stairs" -0.64059622
1 "Walking Up Stairs" -0.57326979
1 "Walking Up Stairs" -0.61978593
1 "Walking Up Stairs" -0.63826767
1 "Walking Up Stairs" -0.36888222
1 "Walking Up Stairs" -0.36788532
1 "Walking Up Stairs" -0.58793036
1 "Walking Up Stairs" -0.37051908
1 "Walking Up Stairs" -0.37479574
1 "Walking Up Stairs" -0.58995995
1 "Walking Up Stairs" -0.51602685
1 "Walking Up Stairs" -0.60928954
1 "Walking Up Stairs" -0.68396301
1 "Walking Up Stairs" -0.49130389
1 "Walking Up Stairs" -0.4192729
1 "Walking Up Stairs" -0.61333426
1 "Walking Up Stairs" -0.51417134
1 "Walking Up Stairs" -0.36629171
1 "Walking Up Stairs" -0.41120745
1 "Walking Up Stairs" -0.46103371
1 "Walking Up Stairs" -0.52815727
1 "Walking Up Stairs" -0.41383226
1 "Walking Up Stairs" -0.44130796
1 "Walking Up Stairs" -0.53464361
1 "Walking Up Stairs" -0.39483893
1 "Walking Up Stairs" -0.48289398
1 "Walking Up Stairs" -0.3538195
