"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93489195
1 "Lying" -0.99136016
1 "Lying" -0.99431625
1 "Lying" -0.99340329
1 "Lying" -0.99204569
1 "Lying" -0.98918926
1 "Lying" -0.98935774
1 "Lying" -0.9925253
1 "Lying" -0.99202207
1 "Lying" -0.9914929
1 "Lying" -0.9898494
1 "Lying" -0.99205998
1 "Lying" -0.98991948
1 "Lying" -0.91363078
1 "Lying" -0.97983078
1 "Lying" -0.86306645
1 "Lying" -0.86039473
1 "Lying" -0.96245903
1 "Lying" -0.82821648
1 "Lying" -0.58095268
1 "Lying" -0.62629541
1 "Lying" -0.89096824
1 "Lying" -0.97075377
1 "Lying" -0.97167179
1 "Lying" -0.99180887
1 "Lying" -0.99054889
1 "Lying" -0.98478263
1 "Lying" -0.97279925
1 "Lying" -0.99009572
1 "Lying" -0.98920728
1 "Lying" -0.98695504
1 "Lying" -0.9885462
1 "Lying" -0.9947165
1 "Lying" -0.99092295
1 "Lying" -0.99009091
1 "Lying" -0.98920091
1 "Lying" -0.99084252
1 "Lying" -0.99280056
1 "Lying" -0.99253144
1 "Lying" -0.79983871
1 "Lying" -0.89527146
1 "Lying" -0.96338548
1 "Lying" -0.97205216
1 "Lying" -0.98640329
1 "Lying" -0.98092952
1 "Lying" -0.98555524
1 "Lying" -0.99088371
1 "Lying" -0.98956144
1 "Lying" -0.99087299
1 "Lying" -0.99068746
1 "Sitting" -0.99380547
1 "Sitting" -0.9949767
1 "Sitting" -0.98775101
1 "Sitting" -0.98943086
1 "Sitting" -0.9960914
1 "Sitting" -0.99312672
1 "Sitting" -0.99541087
1 "Sitting" -0.99473684
1 "Sitting" -0.99541777
1 "Sitting" -0.9889913
1 "Sitting" -0.99062637
1 "Sitting" -0.99752752
1 "Sitting" -0.99829814
1 "Sitting" -0.99563339
1 "Sitting" -0.98953507
1 "Sitting" -0.99388086
1 "Sitting" -0.99456672
1 "Sitting" -0.9933514
1 "Sitting" -0.99449558
1 "Sitting" -0.99535691
1 "Sitting" -0.99492966
1 "Sitting" -0.99363135
1 "Sitting" -0.99378809
1 "Sitting" -0.99660282
1 "Sitting" -0.9963673
1 "Sitting" -0.99429002
1 "Sitting" -0.99656923
1 "Sitting" -0.99545228
1 "Sitting" -0.9903687
1 "Sitting" -0.98996257
1 "Sitting" -0.99026603
1 "Sitting" -0.99020841
1 "Sitting" -0.98631056
1 "Sitting" -0.98650715
1 "Sitting" -0.99359396
1 "Sitting" -0.9883492
1 "Sitting" -0.98795402
1 "Sitting" -0.99579908
1 "Sitting" -0.99645025
1 "Sitting" -0.99640635
1 "Sitting" -0.99425034
1 "Sitting" -0.98675989
1 "Sitting" -0.99229371
1 "Sitting" -0.99468317
1 "Sitting" -0.99501653
1 "Sitting" -0.99209637
1 "Sitting" -0.99322611
1 "Sitting" -0.99337527
1 "Sitting" -0.9950241
1 "Sitting" -0.99601688
1 "Sitting" -0.99436051
1 "Sitting" -0.99856119
1 "Sitting" -0.99757824
1 "Standing" -0.97858414
1 "Standing" -0.99106596
1 "Standing" -0.99375066
1 "Standing" -0.88731073
1 "Standing" -0.8383181
1 "Standing" -0.92850768
1 "Standing" -0.98955829
1 "Standing" -0.99236519
1 "Standing" -0.99675794
1 "Standing" -0.99542406
1 "Standing" -0.99334162
1 "Standing" -0.98363481
1 "Standing" -0.98966086
1 "Standing" -0.99312212
1 "Standing" -0.99007878
1 "Standing" -0.99248688
1 "Standing" -0.99436441
1 "Standing" -0.99233617
1 "Standing" -0.99026396
1 "Standing" -0.99242973
1 "Standing" -0.99070829
1 "Standing" -0.99091906
1 "Standing" -0.99289943
1 "Standing" -0.99182435
1 "Standing" -0.99108785
1 "Standing" -0.99723205
1 "Standing" -0.99583286
1 "Standing" -0.99548088
1 "Standing" -0.99384522
1 "Standing" -0.99336322
1 "Standing" -0.99520575
1 "Standing" -0.99496218
1 "Standing" -0.994592
1 "Standing" -0.99384089
1 "Standing" -0.99293415
1 "Standing" -0.96756831
1 "Standing" -0.99130636
1 "Standing" -0.99457183
1 "Standing" -0.99185697
1 "Standing" -0.99327659
1 "Standing" -0.99156434
1 "Standing" -0.99168795
1 "Standing" -0.99522303
1 "Standing" -0.99721376
1 "Standing" -0.9934881
1 "Standing" -0.9946149
1 "Standing" -0.99014215
1 "Walking" -0.011102599
1 "Walking" 0.048560897
1 "Walking" -0.073238443
1 "Walking" 0.019740242
1 "Walking" -0.0042773666
1 "Walking" -0.12414081
1 "Walking" 0.098477157
1 "Walking" 0.18354181
1 "Walking" -0.18434277
1 "Walking" -0.092755169
1 "Walking" -0.033502272
1 "Walking" 0.016344663
1 "Walking" -0.0056140192
1 "Walking" 0.030096844
1 "Walking" 0.022081806
1 "Walking" 0.17463545
1 "Walking" 0.19689772
1 "Walking" 0.1074009
1 "Walking" 0.084966694
1 "Walking" -0.093435665
1 "Walking" 0.048451323
1 "Walking" 0.14527879
1 "Walking" 0.074346256
1 "Walking" 0.090797436
1 "Walking" 0.0039731354
1 "Walking" 0.01742969
1 "Walking" -0.021397462
1 "Walking" -0.017991932
1 "Walking" 0.066989506
1 "Walking" 0.066139912
1 "Walking" -0.068717944
1 "Walking" -0.0030635847
1 "Walking" 0.0034508322
1 "Walking" 0.12229314
1 "Walking" 0.057394681
1 "Walking" -0.023456907
1 "Walking" -0.021689378
1 "Walking" -0.0017334331
1 "Walking" 0.10098441
1 "Walking" 0.077741229
1 "Walking" -0.23175467
1 "Walking" -0.098447527
1 "Walking" -0.042750399
1 "Walking" -0.23389792
1 "Walking" -0.0015916093
1 "Walking" -0.013882768
1 "Walking" -0.10292563
1 "Walking" -0.22854674
