"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96396593
1 "Lying" -0.99360469
1 "Lying" -0.99415299
1 "Lying" -0.99565909
1 "Lying" -0.99601998
1 "Lying" -0.99719745
1 "Lying" -0.99411541
1 "Lying" -0.99768742
1 "Lying" -0.99719699
1 "Lying" -0.99423501
1 "Lying" -0.99525032
1 "Lying" -0.99604301
1 "Lying" -0.99166121
1 "Lying" -0.98210297
1 "Lying" -0.98977111
1 "Lying" -0.94636766
1 "Lying" -0.9895984
1 "Lying" -0.97620791
1 "Lying" -0.90020934
1 "Lying" -0.99000727
1 "Lying" -0.86184636
1 "Lying" -0.97609862
1 "Lying" -0.98334714
1 "Lying" -0.9794774
1 "Lying" -0.99427109
1 "Lying" -0.99087738
1 "Lying" -0.9987645
1 "Lying" -0.98994654
1 "Lying" -0.99070907
1 "Lying" -0.99814667
1 "Lying" -0.9994375
1 "Lying" -0.99756312
1 "Lying" -0.99479774
1 "Lying" -0.99835186
1 "Lying" -0.99885121
1 "Lying" -0.9943218
1 "Lying" -0.98539307
1 "Lying" -0.99363822
1 "Lying" -0.99429598
1 "Lying" -0.91629992
1 "Lying" -0.98666104
1 "Lying" -0.97091304
1 "Lying" -0.98789609
1 "Lying" -0.99662017
1 "Lying" -0.99476408
1 "Lying" -0.98282798
1 "Lying" -0.99897492
1 "Lying" -0.99774288
1 "Lying" -0.99024851
1 "Lying" -0.99927223
1 "Sitting" -0.99834907
1 "Sitting" -0.99791682
1 "Sitting" -0.99748233
1 "Sitting" -0.99790302
1 "Sitting" -0.99579648
1 "Sitting" -0.99609825
1 "Sitting" -0.9852681
1 "Sitting" -0.9936301
1 "Sitting" -0.99987673
1 "Sitting" -0.99456364
1 "Sitting" -0.98982126
1 "Sitting" -0.99203916
1 "Sitting" -0.99635282
1 "Sitting" -0.9958077
1 "Sitting" -0.99421867
1 "Sitting" -0.99364275
1 "Sitting" -0.99597042
1 "Sitting" -0.99890049
1 "Sitting" -0.99762694
1 "Sitting" -0.99974105
1 "Sitting" -0.99822133
1 "Sitting" -0.99832736
1 "Sitting" -0.99856186
1 "Sitting" -0.99764365
1 "Sitting" -0.99538285
1 "Sitting" -0.997976
1 "Sitting" -0.99788613
1 "Sitting" -0.99317218
1 "Sitting" -0.99101144
1 "Sitting" -0.99758399
1 "Sitting" -0.99868436
1 "Sitting" -0.99766903
1 "Sitting" -0.99119457
1 "Sitting" -0.9967287
1 "Sitting" -0.99489161
1 "Sitting" -0.9990821
1 "Sitting" -0.99307635
1 "Sitting" -0.99633766
1 "Sitting" -0.99754985
1 "Sitting" -0.99753901
1 "Sitting" -0.99112421
1 "Sitting" -0.99807012
1 "Sitting" -0.99853913
1 "Sitting" -0.99600566
1 "Sitting" -0.98905918
1 "Sitting" -0.99805182
1 "Sitting" -0.99416733
1 "Sitting" -0.99976565
1 "Sitting" -0.99753101
1 "Sitting" -0.99572147
1 "Sitting" -0.99310627
1 "Sitting" -0.9927938
1 "Sitting" -0.99594992
1 "Standing" -0.98704278
1 "Standing" -0.99481754
1 "Standing" -0.99635729
1 "Standing" -0.90770736
1 "Standing" -0.99532067
1 "Standing" -0.89547022
1 "Standing" -0.97568254
1 "Standing" -0.99545997
1 "Standing" -0.99959383
1 "Standing" -0.99701718
1 "Standing" -0.99991814
1 "Standing" -0.98413992
1 "Standing" -0.99161887
1 "Standing" -0.99678692
1 "Standing" -0.99850615
1 "Standing" -0.99120486
1 "Standing" -0.99634071
