"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93458934
1 "Lying" -0.99600061
1 "Lying" -0.99444771
1 "Lying" -0.99635177
1 "Lying" -0.99270357
1 "Lying" -0.99072946
1 "Lying" -0.97896766
1 "Lying" -0.99472833
1 "Lying" -0.97160329
1 "Lying" -0.99845247
1 "Lying" -0.99823605
1 "Lying" -0.9968527
1 "Lying" -0.98763544
1 "Lying" -0.94214064
1 "Lying" -0.98320547
1 "Lying" -0.96888759
1 "Lying" -0.95569579
1 "Lying" -0.94299498
1 "Lying" -0.85617148
1 "Lying" -0.67958524
1 "Lying" -0.77518901
1 "Lying" -0.9658774
1 "Lying" -0.99094198
1 "Lying" -0.98024603
1 "Lying" -0.97734481
1 "Lying" -0.98021908
1 "Lying" -0.98966454
1 "Lying" -0.99709765
1 "Lying" -0.98712329
1 "Lying" -0.99816354
1 "Lying" -0.99551015
1 "Lying" -0.99571696
1 "Lying" -0.99521051
1 "Lying" -0.98505294
1 "Lying" -0.98625436
1 "Lying" -0.99494964
1 "Lying" -0.99951513
1 "Lying" -0.98089852
1 "Lying" -0.98802341
1 "Lying" -0.80458028
1 "Lying" -0.95172915
1 "Lying" -0.9927895
1 "Lying" -0.98850272
1 "Lying" -0.99879435
1 "Lying" -0.98243664
1 "Lying" -0.98956956
1 "Lying" -0.98363785
1 "Lying" -0.98641032
1 "Lying" -0.97459139
1 "Lying" -0.98771955
1 "Sitting" -0.99110842
1 "Sitting" -0.9825186
1 "Sitting" -0.99857122
1 "Sitting" -0.99976709
1 "Sitting" -0.99611276
1 "Sitting" -0.99906433
1 "Sitting" -0.9928935
1 "Sitting" -0.99054751
1 "Sitting" -0.98340186
1 "Sitting" -0.99243426
1 "Sitting" -0.99402341
1 "Sitting" -0.99670732
1 "Sitting" -0.9824265
1 "Sitting" -0.98069003
1 "Sitting" -0.98869813
1 "Sitting" -0.99077215
1 "Sitting" -0.99421047
1 "Sitting" -0.99855336
1 "Sitting" -0.99523059
1 "Sitting" -0.99567025
1 "Sitting" -0.99462274
1 "Sitting" -0.99046448
1 "Sitting" -0.98234836
1 "Sitting" -0.99962842
1 "Sitting" -0.98186121
1 "Sitting" -0.99533958
1 "Sitting" -0.99753978
1 "Sitting" -0.99951788
1 "Sitting" -0.99405067
1 "Sitting" -0.97931269
1 "Sitting" -0.9997802
1 "Sitting" -0.99345425
1 "Sitting" -0.99376818
1 "Sitting" -0.99466061
1 "Sitting" -0.98404442
1 "Sitting" -0.99252707
1 "Sitting" -0.97104196
1 "Sitting" -0.98687819
1 "Sitting" -0.9992293
1 "Sitting" -0.99458033
1 "Sitting" -0.99394287
1 "Sitting" -0.97822201
1 "Sitting" -0.97804716
1 "Sitting" -0.98268522
1 "Sitting" -0.99453687
1 "Sitting" -0.99916413
1 "Sitting" -0.99748267
1 "Sitting" -0.98344425
1 "Sitting" -0.98952159
1 "Sitting" -0.98705583
1 "Sitting" -0.98819452
1 "Sitting" -0.99545419
1 "Sitting" -0.99215181
1 "Standing" -0.98547051
1 "Standing" -0.99176525
1 "Standing" -0.99205489
1 "Standing" -0.99116451
1 "Standing" -0.98682374
1 "Standing" -0.98499832
1 "Standing" -0.98888171
1 "Standing" -0.99024846
1 "Standing" -0.99785386
1 "Standing" -0.99300978
1 "Standing" -0.99857342
1 "Standing" -0.9922654
1 "Standing" -0.98764581
1 "Standing" -0.99146768
1 "Standing" -0.99623463
1 "Standing" -0.99002713
1 "Standing" -0.97962549
1 "Standing" -0.99116443
1 "Standing" -0.99302983
1 "Standing" -0.98810833
1 "Standing" -0.99649385
1 "Standing" -0.98933524
1 "Standing" -0.99296162
1 "Standing" -0.99948975
1 "Standing" -0.98966291
1 "Standing" -0.99873364
1 "Standing" -0.98318569
1 "Standing" -0.98650942
1 "Standing" -0.97143334
1 "Standing" -0.99031908
1 "Standing" -0.98454518
1 "Standing" -0.99054574
1 "Standing" -0.99670688
1 "Standing" -0.99766475
1 "Standing" -0.99304961
1 "Standing" -0.95379658
1 "Standing" -0.98071449
1 "Standing" -0.97960316
1 "Standing" -0.98862265
1 "Standing" -0.99067068
1 "Standing" -0.99342816
1 "Standing" -0.99822368
1 "Standing" -0.99140455
1 "Standing" -0.98659926
1 "Standing" -0.9986882
1 "Standing" -0.99942788
1 "Standing" -0.98148178
1 "Walking" -0.7141968
1 "Walking" -0.72097239
1 "Walking" -0.99111653
1 "Walking" -0.042332083
1 "Walking" -0.64406337
1 "Walking" -0.43981595
1 "Walking" -0.38401815
1 "Walking" -0.60041257
1 "Walking" -0.77265762
1 "Walking" -0.83934035
1 "Walking" -0.58599371
1 "Walking" -0.92847008
1 "Walking" -0.71447033
1 "Walking" -0.79883101
1 "Walking" -0.893409
1 "Walking" -0.45478936
1 "Walking" -0.86980078
1 "Walking" -0.47596386
1 "Walking" -0.13913717
1 "Walking" -0.46242161
1 "Walking" -0.53350387
1 "Walking" -0.82699986
1 "Walking" -0.43873911
1 "Walking" -0.78061758
1 "Walking" -0.46634038
1 "Walking" -0.80814802
1 "Walking" -0.85209223
1 "Walking" -0.42935873
1 "Walking" -0.28801488
1 "Walking" -0.71768071
1 "Walking" -0.56366369
1 "Walking" -0.5983334
1 "Walking" -0.43655205
1 "Walking" -0.1943057
1 "Walking" -0.83632223
1 "Walking" -0.49673705
1 "Walking" -0.99740332
1 "Walking" -0.81798426
1 "Walking" -0.88918337
1 "Walking" -0.67227812
1 "Walking" -0.56273698
1 "Walking" -0.87099189
1 "Walking" -0.80980891
1 "Walking" -0.7210303
1 "Walking" -0.81814221
1 "Walking" -0.80688725
1 "Walking" -0.91923282
1 "Walking" -0.81904627
1 "Walking" -0.68347916
1 "Walking" -0.6395854
1 "Walking" -0.89191801
1 "Walking" -0.9320078
1 "Walking" -0.70463334
1 "Walking" -0.92171634
1 "Walking" -0.84542645
1 "Walking" -0.74474242
1 "Walking" -0.87649387
1 "Walking" -0.33212446
1 "Walking" -0.010240457
1 "Walking" -0.28549198
1 "Walking" -0.48464368
1 "Walking" -0.52665808
1 "Walking" -0.39920275
1 "Walking" -0.91095641
1 "Walking" -0.20639352
1 "Walking" -0.68644578
1 "Walking" -0.98918099
1 "Walking" -0.20625096
1 "Walking" -0.68699693
1 "Walking" -0.6124705
1 "Walking" -0.68278459
1 "Walking" -0.69566195
1 "Walking" -0.4703998
1 "Walking" -0.43385007
1 "Walking" -0.657238
1 "Walking" -0.79635577
1 "Walking" -0.95368662
1 "Walking" -0.99224246
1 "Walking" -0.7727751
1 "Walking" -0.57116071
1 "Walking" -0.97036908
1 "Walking" -0.86515759
1 "Walking" -0.54674192
1 "Walking" -0.99055568
1 "Walking" -0.79270802
1 "Walking" -0.85749745
1 "Walking" -0.3821333
1 "Walking" -0.45206858
1 "Walking" -0.20484472
1 "Walking" -0.42135039
1 "Walking" -0.60072633
1 "Walking" -0.66912132
