"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97607697
1 "Lying" -0.99510805
1 "Lying" -0.99717058
1 "Lying" -0.97665858
1 "Lying" -0.9768757
1 "Lying" -0.98594551
1 "Lying" -0.98328142
1 "Lying" -0.99625615
1 "Lying" -0.9973426
1 "Lying" -0.99322069
1 "Lying" -0.97436358
1 "Lying" -0.97684297
1 "Lying" -0.99339416
1 "Lying" -0.93915916
1 "Lying" -0.98458774
1 "Lying" -0.90252084
1 "Lying" -0.97781703
1 "Lying" -0.91178314
1 "Lying" -0.94081869
1 "Lying" -0.90413862
1 "Lying" -0.87012781
1 "Lying" -0.99443057
1 "Lying" -0.96480953
1 "Lying" -0.98895725
1 "Lying" -0.9824089
1 "Lying" -0.98635491
1 "Lying" -0.99424822
1 "Lying" -0.97662432
1 "Lying" -0.98605708
1 "Lying" -0.98418866
1 "Lying" -0.99648793
1 "Lying" -0.99720249
1 "Lying" -0.99548712
1 "Lying" -0.98058902
1 "Lying" -0.98612484
1 "Lying" -0.98315606
1 "Lying" -0.98546816
1 "Lying" -0.99955222
1 "Lying" -0.98250533
1 "Lying" -0.96123636
1 "Lying" -0.63810522
1 "Lying" -0.98766943
1 "Lying" -0.99126466
1 "Lying" -0.97867143
1 "Lying" -0.99004877
1 "Lying" -0.99684582
1 "Lying" -0.9970092
1 "Lying" -0.99956677
1 "Lying" -0.9747364
1 "Lying" -0.99397834
1 "Sitting" -0.95988537
1 "Sitting" -0.98683843
1 "Sitting" -0.99755395
1 "Sitting" -0.96538079
1 "Sitting" -0.99597877
1 "Sitting" -0.9848585
1 "Sitting" -0.96706542
1 "Sitting" -0.99399579
1 "Sitting" -0.98231835
1 "Sitting" -0.99263097
1 "Sitting" -0.99522336
1 "Sitting" -0.9840792
1 "Sitting" -0.99931785
1 "Sitting" -0.9919583
1 "Sitting" -0.98388551
1 "Sitting" -0.98650564
1 "Sitting" -0.97037856
1 "Sitting" -0.98467331
1 "Sitting" -0.994155
1 "Sitting" -0.9696659
1 "Sitting" -0.99748161
1 "Sitting" -0.99707563
1 "Sitting" -0.99959579
1 "Sitting" -0.96698098
1 "Sitting" -0.98405075
1 "Sitting" -0.98434638
1 "Sitting" -0.98545016
1 "Sitting" -0.96055283
1 "Sitting" -0.98357512
1 "Sitting" -0.98791403
1 "Sitting" -0.99101339
1 "Sitting" -0.98928508
1 "Sitting" -0.98242455
1 "Sitting" -0.9957692
1 "Sitting" -0.98616514
1 "Sitting" -0.98806463
1 "Sitting" -0.99810148
1 "Sitting" -0.99043704
1 "Sitting" -0.98071437
1 "Sitting" -0.98834882
1 "Sitting" -0.96068184
1 "Sitting" -0.99471176
1 "Sitting" -0.9909031
1 "Sitting" -0.9842927
1 "Sitting" -0.99096943
1 "Sitting" -0.98469466
1 "Sitting" -0.99716042
1 "Sitting" -0.98258367
1 "Sitting" -0.99237552
1 "Sitting" -0.98663809
1 "Sitting" -0.99669529
1 "Sitting" -0.96495637
1 "Sitting" -0.99993416
1 "Standing" -0.98540337
1 "Standing" -0.97444144
1 "Standing" -0.99072478
1 "Standing" -0.9942501
1 "Standing" -0.99081831
1 "Standing" -0.97020517
1 "Standing" -0.99051186
1 "Standing" -0.99624668
1 "Standing" -0.98005539
1 "Standing" -0.99186142
1 "Standing" -0.99003642
1 "Standing" -0.99616894
1 "Standing" -0.99300224
1 "Standing" -0.99297892
1 "Standing" -0.99558772
1 "Standing" -0.99910097
1 "Standing" -0.9756476
1 "Standing" -0.99195988
1 "Standing" -0.99756692
1 "Standing" -0.99375525
1 "Standing" -0.98832012
1 "Standing" -0.99144238
1 "Standing" -0.98861378
1 "Standing" -0.98095747
1 "Standing" -0.97839899
1 "Standing" -0.98280939
1 "Standing" -0.98938226
1 "Standing" -0.96778522
1 "Standing" -0.99270337
1 "Standing" -0.97817865
1 "Standing" -0.97914495
1 "Standing" -0.95764893
1 "Standing" -0.99406692
1 "Standing" -0.95900798
1 "Standing" -0.97245209
1 "Standing" -0.94969392
1 "Standing" -0.9870761
1 "Standing" -0.98778668
1 "Standing" -0.99391786
1 "Standing" -0.98924177
1 "Standing" -0.99911437
1 "Standing" -0.99252256
1 "Standing" -0.9793776
1 "Standing" -0.98214723
1 "Standing" -0.98909855
1 "Standing" -0.99394938
1 "Standing" -0.96017297
1 "Walking" -0.83202257
1 "Walking" -0.55030505
1 "Walking" -0.34035475
1 "Walking" -0.80731694
1 "Walking" -0.73421117
1 "Walking" -0.56285801
1 "Walking" -0.57523738
1 "Walking" -0.62649551
1 "Walking" -0.88328737
1 "Walking" -0.79873054
1 "Walking" -0.88123702
1 "Walking" -0.85697392
1 "Walking" -0.8106672
1 "Walking" -0.63954337
1 "Walking" -0.6063109
1 "Walking" -0.48927913
1 "Walking" -0.742953
1 "Walking" -0.68895069
1 "Walking" -0.89505917
1 "Walking" -0.58362913
1 "Walking" -0.68276057
1 "Walking" -0.64624731
1 "Walking" -0.39762711
1 "Walking" -0.69919979
1 "Walking" -0.87980702
1 "Walking" -0.9752095
1 "Walking" -0.88212052
1 "Walking" -0.45859925
1 "Walking" -0.93892787
1 "Walking" -0.51133871
1 "Walking" -0.9026547
1 "Walking" -0.87933949
1 "Walking" -0.97461501
1 "Walking" -0.99325138
1 "Walking" -0.65211646
1 "Walking" -0.55575286
1 "Walking" -0.9776842
1 "Walking" -0.67729744
1 "Walking" -0.99354047
1 "Walking" -0.98061958
1 "Walking" -0.99830587
1 "Walking" -0.95024389
1 "Walking" -0.8701763
1 "Walking" -0.98610012
1 "Walking" -0.84869683
1 "Walking" -0.76912293
1 "Walking" -0.93490078
1 "Walking" -0.94510062
1 "Walking" -0.71779433
1 "Walking" -0.89962265
1 "Walking" -0.13223731
1 "Walking" -0.8785655
1 "Walking" -0.71060214
1 "Walking" -0.93662806
1 "Walking" -0.87843452
1 "Walking" -0.8542696
1 "Walking" -0.8735
1 "Walking" -0.78102478
1 "Walking" -0.98052891
1 "Walking" -0.79560067
1 "Walking" -0.84531713
1 "Walking" -0.85025753
1 "Walking" -0.91065011
1 "Walking" -0.87791607
1 "Walking" -0.63513449
1 "Walking" -0.86475201
1 "Walking" -0.69138276
1 "Walking" -0.68720893
1 "Walking" -0.9722009
1 "Walking" -0.60166735
1 "Walking" -0.73658373
1 "Walking" -0.9436663
1 "Walking" -0.9677835
1 "Walking" -0.93465907
1 "Walking" -0.81373683
1 "Walking" -0.99708874
1 "Walking" -0.96103389
1 "Walking" -0.84455194
1 "Walking" -0.86860462
1 "Walking" -0.91476595
1 "Walking" -0.72065867
1 "Walking" -0.65476657
1 "Walking" -0.55237258
1 "Walking" -0.67501536
1 "Walking" -0.48694438
1 "Walking" -0.78077803
1 "Walking" -0.67528884
1 "Walking" -0.92091084
1 "Walking" -0.47481161
1 "Walking" -0.9117522
1 "Walking" -0.89443933
1 "Walking" -0.85212953
1 "Walking" -0.75396345
1 "Walking" -0.90022483
1 "Walking" -0.93832647
1 "Walking Down Stairs" -0.74869261
1 "Walking Down Stairs" -0.85896507
1 "Walking Down Stairs" -0.45406534
1 "Walking Down Stairs" -0.53240057
1 "Walking Down Stairs" -0.33608929
1 "Walking Down Stairs" -0.85817858
1 "Walking Down Stairs" -0.79550045
1 "Walking Down Stairs" -0.3777908
1 "Walking Down Stairs" -0.25274999
1 "Walking Down Stairs" 0.6298199
1 "Walking Down Stairs" -0.95680512
1 "Walking Down Stairs" -0.42658243
1 "Walking Down Stairs" -0.47042508
1 "Walking Down Stairs" -0.67641584
1 "Walking Down Stairs" -0.73230992
1 "Walking Down Stairs" -0.13919378
1 "Walking Down Stairs" -0.79879196
1 "Walking Down Stairs" -0.71918983
1 "Walking Down Stairs" -0.84869407
1 "Walking Down Stairs" -0.99306709
1 "Walking Down Stairs" -0.9995579
1 "Walking Down Stairs" -0.87229383
1 "Walking Down Stairs" -0.88679649
1 "Walking Down Stairs" -0.96848316
1 "Walking Down Stairs" -0.72674288
1 "Walking Down Stairs" -0.93301298
1 "Walking Down Stairs" -0.73257863
1 "Walking Down Stairs" -0.95825199
1 "Walking Down Stairs" -0.71669537
1 "Walking Down Stairs" -0.74643198
1 "Walking Down Stairs" -0.75498313
1 "Walking Down Stairs" -0.6214085
1 "Walking Down Stairs" -0.53454592
1 "Walking Down Stairs" -0.79464121
1 "Walking Down Stairs" -0.59607464
1 "Walking Down Stairs" -0.59388699
1 "Walking Down Stairs" -0.86561888
1 "Walking Down Stairs" -0.36572196
1 "Walking Down Stairs" -0.77144188
1 "Walking Down Stairs" -0.78059812
1 "Walking Down Stairs" -0.89563181
