"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.40899236
1 "Lying" -0.47600867
1 "Lying" -0.62948867
1 "Lying" -0.32302979
1 "Lying" -0.59714133
1 "Lying" -0.47465395
1 "Lying" -0.31540948
1 "Lying" -0.52814424
1 "Lying" -0.62725061
1 "Lying" -0.51440943
1 "Lying" -0.41215736
1 "Lying" -0.67826788
1 "Lying" -0.58947537
1 "Lying" -0.55661617
1 "Lying" -0.53393391
1 "Lying" -0.65714056
1 "Lying" -0.63530047
1 "Lying" -0.30923852
1 "Lying" -0.14849805
1 "Lying" -0.66977208
1 "Lying" -0.61117845
1 "Lying" -0.32034199
1 "Lying" -0.38966386
1 "Lying" -0.3912109
1 "Lying" -0.43235286
1 "Lying" -0.46231871
1 "Lying" -0.48630081
1 "Lying" -0.56798734
1 "Lying" -0.4986299
1 "Lying" -0.6003398
1 "Lying" -0.35437131
1 "Lying" -0.46234977
1 "Lying" -0.30708111
1 "Lying" -0.52641373
1 "Lying" -0.54181024
1 "Lying" -0.64361614
1 "Lying" -0.489062
1 "Lying" -0.55022541
1 "Lying" -0.41702114
1 "Lying" -0.54135249
1 "Lying" -0.9911018
1 "Lying" -0.6924731
1 "Lying" -0.86245198
1 "Lying" -0.46053535
1 "Lying" -0.26558203
1 "Lying" -0.33741744
1 "Lying" -0.50560259
1 "Lying" -0.42232087
1 "Lying" -0.64724813
1 "Lying" -0.46799759
1 "Sitting" -0.70368577
1 "Sitting" -0.63030495
1 "Sitting" -0.59475883
1 "Sitting" -0.2638514
1 "Sitting" -0.52215711
1 "Sitting" -0.59462871
1 "Sitting" -0.29814224
1 "Sitting" -0.60637832
1 "Sitting" -0.47710731
1 "Sitting" -0.48876108
1 "Sitting" -0.42755723
1 "Sitting" -0.47423164
1 "Sitting" -0.37449432
1 "Sitting" -0.40172088
1 "Sitting" -0.53621858
1 "Sitting" -0.62714932
1 "Sitting" -0.24676153
1 "Sitting" -0.51027453
1 "Sitting" -0.57566385
1 "Sitting" -0.7695011
1 "Sitting" -0.61700745
1 "Sitting" -0.55006099
1 "Sitting" -0.43812731
1 "Sitting" -0.59443955
1 "Sitting" -0.29668211
1 "Sitting" -0.49728725
1 "Sitting" 0.18409363
1 "Sitting" -0.46693288
1 "Sitting" -0.66119287
1 "Sitting" -0.63458477
1 "Sitting" -0.72842051
1 "Sitting" -0.43574313
1 "Sitting" -0.29231458
1 "Sitting" -0.22549266
1 "Sitting" -0.44032925
1 "Sitting" -0.61219353
1 "Sitting" -0.51876875
1 "Sitting" -0.42589347
1 "Sitting" -0.60888482
1 "Sitting" -0.57846504
1 "Sitting" -0.58089838
1 "Sitting" -0.73036417
1 "Sitting" -0.51136575
1 "Sitting" -0.51780683
1 "Sitting" -0.65645051
