"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.53893798
1 "Lying" -0.48732863
1 "Lying" -0.40600538
1 "Lying" -0.59528902
1 "Lying" -0.39118872
1 "Lying" -0.67053958
1 "Lying" -0.50105244
1 "Lying" -0.41581537
1 "Lying" -0.62265109
1 "Lying" -0.55918679
1 "Lying" -0.56453744
1 "Lying" -0.69757048
1 "Lying" -0.57008222
1 "Lying" -0.43704814
1 "Lying" -0.67654623
1 "Lying" -0.36972051
1 "Lying" -0.38460164
1 "Lying" -0.52041057
1 "Lying" -0.6516964
1 "Lying" -0.63757674
1 "Lying" -0.62835087
1 "Lying" -0.46316394
1 "Lying" -0.020890211
1 "Lying" -0.71388029
1 "Lying" -0.45119778
1 "Lying" -0.4974605
1 "Lying" -0.53749804
1 "Lying" -0.36711814
1 "Lying" -0.27921708
1 "Lying" -0.6648461
1 "Lying" -0.54748726
1 "Lying" -0.51234722
1 "Lying" -0.57338833
1 "Lying" -0.56527652
1 "Lying" -0.40210615
1 "Lying" -0.30841689
1 "Lying" -0.47804193
1 "Lying" -0.33075862
1 "Lying" -0.57416298
1 "Lying" -0.32750264
1 "Lying" -0.7339632
1 "Lying" -0.55474617
1 "Lying" -0.59497195
1 "Lying" -0.57764749
1 "Lying" -0.29175459
1 "Lying" -0.5294378
1 "Lying" -0.52039039
1 "Lying" -0.288881
1 "Lying" -0.41593474
1 "Lying" -0.57966231
1 "Sitting" -0.58257362
1 "Sitting" -0.41442354
1 "Sitting" -0.52893421
1 "Sitting" -0.39603926
1 "Sitting" -0.49655996
1 "Sitting" -0.66497225
1 "Sitting" -0.64300852
1 "Sitting" -0.63587472
1 "Sitting" -0.49046115
1 "Sitting" -0.44914803
1 "Sitting" -0.49096959
1 "Sitting" -0.62058367
1 "Sitting" -0.50092985
1 "Sitting" -0.44338365
1 "Sitting" -0.72421223
1 "Sitting" -0.72663232
1 "Sitting" -0.64259088
1 "Sitting" -0.65262202
1 "Sitting" -0.57640453
1 "Sitting" -0.37499492
1 "Sitting" -0.47798279
1 "Sitting" -0.60432049
1 "Sitting" -0.57053201
1 "Sitting" -0.53263409
1 "Sitting" -0.64441828
1 "Sitting" -0.52715025
1 "Sitting" -0.6065225
1 "Sitting" -0.55869597
1 "Sitting" -0.62873158
1 "Sitting" -0.48909219
1 "Sitting" -0.54388069
1 "Sitting" -0.54760959
1 "Sitting" -0.63767394
1 "Sitting" -0.63738963
1 "Sitting" -0.62390004
1 "Sitting" -0.53727016
1 "Sitting" -0.5287221
1 "Sitting" -0.45083342
1 "Sitting" -0.56217727
1 "Sitting" -0.68276262
1 "Sitting" -0.6328433
1 "Sitting" -0.39418039
1 "Sitting" -0.57373213
1 "Sitting" -0.5323002
1 "Sitting" -0.50866965
1 "Sitting" -0.60205755
1 "Sitting" -0.71942115
1 "Sitting" -0.60673543
1 "Sitting" -0.60421036
1 "Sitting" -0.51413123
1 "Sitting" -0.40257407
1 "Sitting" -0.58176388
1 "Sitting" -0.4014007
1 "Standing" -0.14436705
1 "Standing" -0.19772604
1 "Standing" -0.54216172
1 "Standing" -0.54448011
1 "Standing" -0.46713845
1 "Standing" -0.50471497
1 "Standing" -0.52627604
1 "Standing" -0.5134051
1 "Standing" -0.6481946
1 "Standing" -0.50298744
1 "Standing" -0.67994862
1 "Standing" -0.7544104
1 "Standing" -0.40301003
1 "Standing" -0.44244949
1 "Standing" -0.43984448
1 "Standing" -0.24300385
1 "Standing" -0.36271905
1 "Standing" -0.24643194
1 "Standing" -0.52645922
1 "Standing" -0.51471298
1 "Standing" -0.42020631
1 "Standing" -0.58747824
1 "Standing" -0.44323222
1 "Standing" -0.40915797
1 "Standing" 0.42100221
1 "Standing" -0.69053808
1 "Standing" -0.52009227
1 "Standing" -0.37733084
1 "Standing" -0.49772651
1 "Standing" -0.49347517
1 "Standing" -0.45473782
1 "Standing" -0.5689783
1 "Standing" -0.57595482
1 "Standing" -0.42187378
1 "Standing" -0.39671582
1 "Standing" -0.57726343
1 "Standing" -0.56829502
1 "Standing" -0.5571776
1 "Standing" -0.54704944
1 "Standing" -0.38122841
1 "Standing" -0.52375697
1 "Standing" -0.64400685
1 "Standing" -0.65602472
1 "Standing" -0.5564957
1 "Standing" -0.80213284
1 "Standing" -0.688918
1 "Standing" -0.58953541
1 "Walking" -0.22016407
1 "Walking" -0.016548002
1 "Walking" -0.30751404
1 "Walking" -0.21310894
1 "Walking" -0.21230852
1 "Walking" -0.16233144
1 "Walking" -0.19199767
1 "Walking" 0.054612688
1 "Walking" -0.089528226
1 "Walking" -0.18015791
1 "Walking" -0.28496666
1 "Walking" 0.024486371
1 "Walking" 0.40280692
1 "Walking" -0.0042200086
1 "Walking" -0.18908742
1 "Walking" -0.30021399
1 "Walking" -0.21938739
1 "Walking" 0.021967599
1 "Walking" -0.19187404
1 "Walking" 0.076338631
1 "Walking" -0.25108256
1 "Walking" 0.057949125
1 "Walking" 0.12836453
1 "Walking" -0.12360046
1 "Walking" -0.33059015
1 "Walking" -0.22344998
1 "Walking" -0.067666778
1 "Walking" -0.21562635
1 "Walking" -0.22330676
1 "Walking" -0.10617381
1 "Walking" -0.27427795
1 "Walking" -0.050532866
1 "Walking" -0.049883569
1 "Walking" -0.089315803
1 "Walking" -0.060800706
1 "Walking" -0.07232459
1 "Walking" -0.089918434
1 "Walking" -0.054085557
1 "Walking" 0.008341515
1 "Walking" 0.17249935
1 "Walking" 0.10758885
1 "Walking" -0.10515993
1 "Walking" -0.23793635
1 "Walking" -0.25934884
1 "Walking" -0.30091536
1 "Walking" -0.22519308
1 "Walking" -0.16420117
1 "Walking" 0.043463637
1 "Walking" -0.28047925
1 "Walking" 0.12523567
1 "Walking" 0.052911443
1 "Walking" -0.066768429
1 "Walking" -0.12575198
1 "Walking" 0.069066104
1 "Walking" 0.12034
1 "Walking" -0.27168147
1 "Walking" -0.14811789
1 "Walking" -0.22465566
1 "Walking" -0.11303975
1 "Walking" -0.15834481
1 "Walking" -0.25014449
1 "Walking" -0.052665464
1 "Walking" -0.32092632
1 "Walking" -0.28601984
1 "Walking" 0.031375504
1 "Walking" -0.11663308
1 "Walking" -0.078063407
1 "Walking" -0.13857057
1 "Walking" -0.10766591
1 "Walking" 0.016859544
1 "Walking" 0.049101899
1 "Walking" 0.021199765
1 "Walking" -0.19188205
1 "Walking" -0.31365896
1 "Walking" -0.25885695
1 "Walking" -0.1384415
1 "Walking" -0.068504052
1 "Walking" 0.13459355
1 "Walking" -0.036257666
1 "Walking" -0.055259752
1 "Walking" 0.027959063
1 "Walking" -0.20266246
1 "Walking" 0.13403138
1 "Walking" -0.10534925
1 "Walking" -0.20790232
1 "Walking" -0.094100576
1 "Walking" -0.074870131
1 "Walking" -0.037849718
1 "Walking" -0.27993724
1 "Walking" -0.38729955
1 "Walking" -0.15365246
1 "Walking" -0.22262855
1 "Walking" -0.082522231
1 "Walking" -0.086566875
1 "Walking" -0.051407032
1 "Walking Down Stairs" -0.49118107
1 "Walking Down Stairs" -0.26644426
1 "Walking Down Stairs" -0.47060153
1 "Walking Down Stairs" -0.35280685
1 "Walking Down Stairs" -0.44706437
1 "Walking Down Stairs" -0.46450716
1 "Walking Down Stairs" -0.42598022
1 "Walking Down Stairs" -0.076429116
1 "Walking Down Stairs" -0.3256427
1 "Walking Down Stairs" -0.38634052
1 "Walking Down Stairs" -0.49889908
1 "Walking Down Stairs" -0.36993974
1 "Walking Down Stairs" -0.49941764
1 "Walking Down Stairs" -0.52420383
1 "Walking Down Stairs" -0.44698889
1 "Walking Down Stairs" -0.39518136
1 "Walking Down Stairs" -0.65396003
1 "Walking Down Stairs" -0.37447711
1 "Walking Down Stairs" -0.14648137
1 "Walking Down Stairs" -0.3015065
1 "Walking Down Stairs" -0.4494874
1 "Walking Down Stairs" -0.39482801
1 "Walking Down Stairs" -0.43634337
1 "Walking Down Stairs" -0.52716611
1 "Walking Down Stairs" -0.42446357
1 "Walking Down Stairs" -0.44826039
1 "Walking Down Stairs" -0.26131183
1 "Walking Down Stairs" -0.44808049
1 "Walking Down Stairs" -0.34349811
1 "Walking Down Stairs" -0.47379846
1 "Walking Down Stairs" -0.38741899
1 "Walking Down Stairs" -0.35715731
1 "Walking Down Stairs" -0.25658559
1 "Walking Down Stairs" -0.46763272
1 "Walking Down Stairs" -0.22686526
1 "Walking Down Stairs" -0.3273662
1 "Walking Down Stairs" -0.33816054
1 "Walking Down Stairs" -0.38867154
1 "Walking Down Stairs" -0.44452703
1 "Walking Down Stairs" -0.59346822
1 "Walking Down Stairs" -0.4100457
1 "Walking Down Stairs" -0.3377025
1 "Walking Down Stairs" -0.49644055
1 "Walking Down Stairs" -0.51284932
1 "Walking Down Stairs" -0.40617325
1 "Walking Down Stairs" -0.48073392
1 "Walking Down Stairs" -0.43618884
1 "Walking Down Stairs" -0.45572156
1 "Walking Down Stairs" -0.43683867
1 "Walking Up Stairs" -0.26267023
1 "Walking Up Stairs" -0.12630807
1 "Walking Up Stairs" -0.44380883
1 "Walking Up Stairs" -0.12369321
1 "Walking Up Stairs" -0.29848436
1 "Walking Up Stairs" -0.34570178
1 "Walking Up Stairs" -0.34951422
1 "Walking Up Stairs" -0.42855622
1 "Walking Up Stairs" -0.18351631
1 "Walking Up Stairs" -0.2363744
1 "Walking Up Stairs" -0.38145363
1 "Walking Up Stairs" -0.26691155
1 "Walking Up Stairs" -0.41525514
1 "Walking Up Stairs" -0.4474035
1 "Walking Up Stairs" -0.24717843
1 "Walking Up Stairs" -0.17601662
1 "Walking Up Stairs" -0.23664667
1 "Walking Up Stairs" -0.24121722
1 "Walking Up Stairs" -0.40326624
1 "Walking Up Stairs" -0.51413435
1 "Walking Up Stairs" -0.23477684
1 "Walking Up Stairs" -0.35921891
1 "Walking Up Stairs" -0.4337056
1 "Walking Up Stairs" -0.31935773
1 "Walking Up Stairs" -0.27984448
1 "Walking Up Stairs" -0.30025968
1 "Walking Up Stairs" -0.1430361
1 "Walking Up Stairs" -0.25560475
1 "Walking Up Stairs" -0.18833752
1 "Walking Up Stairs" -0.43653357
1 "Walking Up Stairs" -0.30410924
1 "Walking Up Stairs" -0.20339643
1 "Walking Up Stairs" -0.30345995
1 "Walking Up Stairs" -0.18867959
1 "Walking Up Stairs" -0.26365461
1 "Walking Up Stairs" -0.11575264
1 "Walking Up Stairs" -0.1226999
1 "Walking Up Stairs" -0.18002771
1 "Walking Up Stairs" -0.26907419
1 "Walking Up Stairs" -0.41702224
1 "Walking Up Stairs" -0.36159439
1 "Walking Up Stairs" -0.3119698
1 "Walking Up Stairs" -0.17535954
1 "Walking Up Stairs" -0.2692264
1 "Walking Up Stairs" 0.069632109
1 "Walking Up Stairs" -0.12478785
1 "Walking Up Stairs" -0.53783623
1 "Walking Up Stairs" -0.35267968
1 "Walking Up Stairs" -0.24901941
1 "Walking Up Stairs" -0.25809633
1 "Walking Up Stairs" -0.38567064
1 "Walking Up Stairs" -0.5472802
1 "Walking Up Stairs" -0.47674733
2 "Lying" -0.49220617
2 "Lying" -0.60116551
2 "Lying" -0.65387934
2 "Lying" -0.70869503
2 "Lying" -0.55637192
2 "Lying" -0.63289978
2 "Lying" -0.60573448
2 "Lying" -0.35308855
2 "Lying" -0.46719228
2 "Lying" -0.462491
2 "Lying" -0.48139231
2 "Lying" -0.50688021
2 "Lying" -0.52078528
2 "Lying" -0.53623206
2 "Lying" -0.56890302
2 "Lying" -0.64920924
2 "Lying" -0.62172378
2 "Lying" -0.59456158
