"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.36928054
1 "Lying" -0.8734817
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.01808333
1 "Lying" -0.79053264
1 "Lying" 0.17207902
1 "Lying" 0.1313183
1 "Lying" -0.15238405
1 "Lying" 0.059523282
1 "Lying" 0.3649981
1 "Lying" 0.44020127
1 "Lying" 0.037778826
1 "Lying" -0.13604918
1 "Lying" -0.64343351
1 "Lying" -0.90701426
1 "Lying" -0.90701426
1 "Lying" -1
1 "Lying" -0.56919636
1 "Lying" -0.71093196
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.090630686
1 "Lying" 0.1814249
1 "Lying" -0.5685438
1 "Lying" -0.54440407
1 "Lying" -0.60592369
1 "Lying" -0.75205571
1 "Lying" -0.8734817
1 "Lying" -0.8734817
1 "Lying" -0.32225616
1 "Lying" -0.73757176
1 "Lying" -0.30317921
1 "Sitting" -0.64637645
1 "Sitting" -0.81667357
1 "Sitting" -0.90701426
1 "Sitting" -0.90701426
1 "Sitting" -0.90701426
1 "Sitting" -1
1 "Sitting" -0.84367061
1 "Sitting" -0.85353087
1 "Sitting" -0.90701426
1 "Sitting" -0.90701426
1 "Sitting" -0.90701426
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.53829907
1 "Sitting" -0.8734817
1 "Sitting" -0.94618223
1 "Sitting" -0.94618223
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.5685438
1 "Sitting" -0.75205571
1 "Sitting" -0.94618223
1 "Sitting" -0.85353087
1 "Sitting" -0.72845565
1 "Sitting" -0.7691708
1 "Sitting" -0.84367061
1 "Sitting" -1
1 "Sitting" -0.94618223
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.94618223
1 "Sitting" -0.53772276
1 "Sitting" -0.84367061
1 "Sitting" -0.90701426
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.94618223
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" -0.10336335
1 "Standing" -0.69565438
1 "Standing" -0.81667357
1 "Standing" -0.062458527
1 "Standing" -0.06323488
1 "Standing" -0.30537751
1 "Standing" -0.43649868
1 "Standing" -0.75205571
1 "Standing" -0.94618223
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.57273386
1 "Standing" -0.79053264
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94618223
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.94618223
1 "Standing" -1
1 "Standing" -0.095718284
1 "Standing" -0.68657922
1 "Standing" -0.94618223
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.45254276
1 "Standing" -0.94618223
1 "Standing" -0.90701426
