"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98426486
1 "Lying" -0.99955096
1 "Lying" -0.99995265
1 "Lying" -0.99998593
1 "Lying" -0.9999809
1 "Lying" -0.99994911
1 "Lying" -0.99995596
1 "Lying" -0.99993243
1 "Lying" -0.99991921
1 "Lying" -0.99994797
1 "Lying" -0.99996508
1 "Lying" -0.99998544
1 "Lying" -0.99998656
1 "Lying" -0.8259663
1 "Lying" -0.99618379
1 "Lying" -0.42883075
1 "Lying" -0.61367067
1 "Lying" -0.9733478
1 "Lying" -0.95241914
1 "Lying" -0.14018729
1 "Lying" -0.53500982
1 "Lying" -0.54693476
1 "Lying" -0.96650477
1 "Lying" -0.99541345
1 "Lying" -0.9998513
1 "Lying" -0.99988873
1 "Lying" -0.99993947
1 "Lying" -0.99652058
1 "Lying" -0.99793498
1 "Lying" -0.99995044
1 "Lying" -0.99994018
1 "Lying" -0.99996294
1 "Lying" -0.99998334
1 "Lying" -0.9999589
1 "Lying" -0.99994883
1 "Lying" -0.99997926
1 "Lying" -0.99998936
1 "Lying" -0.99996909
1 "Lying" -0.99997108
1 "Lying" -0.60581493
1 "Lying" -0.47243193
1 "Lying" -0.99567849
1 "Lying" -0.97439876
1 "Lying" -0.9686023
1 "Lying" -0.9988342
1 "Lying" -0.9997732
1 "Lying" -0.99975061
1 "Lying" -0.97480487
1 "Lying" -0.96916532
1 "Lying" -0.97891954
1 "Sitting" -0.9982852
1 "Sitting" -0.99947194
1 "Sitting" -0.99980673
1 "Sitting" -0.99977021
1 "Sitting" -0.9998731
1 "Sitting" -0.99993904
1 "Sitting" -0.99967648
1 "Sitting" -0.99946993
1 "Sitting" -0.99952032
1 "Sitting" -0.99977682
1 "Sitting" -0.99975779
1 "Sitting" -0.99995274
1 "Sitting" -0.99995908
1 "Sitting" -0.99998225
1 "Sitting" -0.98568034
1 "Sitting" -0.99979625
1 "Sitting" -0.99986681
1 "Sitting" -0.9998989
1 "Sitting" -0.99997018
1 "Sitting" -0.99998686
1 "Sitting" -0.9999773
1 "Sitting" -0.99997137
1 "Sitting" -0.99996866
1 "Sitting" -0.99995831
1 "Sitting" -0.99993562
1 "Sitting" -0.99992749
1 "Sitting" -0.99997427
1 "Sitting" -0.9966149
1 "Sitting" -0.99878543
1 "Sitting" -0.99973665
1 "Sitting" -0.99934858
1 "Sitting" -0.99923395
1 "Sitting" -0.99927391
1 "Sitting" -0.99972697
1 "Sitting" -0.99989261
1 "Sitting" -0.99985122
1 "Sitting" -0.99982921
1 "Sitting" -0.99988072
1 "Sitting" -0.99991407
1 "Sitting" -0.99992338
1 "Sitting" -0.99987326
1 "Sitting" -0.98450622
1 "Sitting" -0.99941054
1 "Sitting" -0.99972785
1 "Sitting" -0.99995457
1 "Sitting" -0.99992275
1 "Sitting" -0.99991548
1 "Sitting" -0.99995956
1 "Sitting" -0.99997351
1 "Sitting" -0.9999911
1 "Sitting" -0.99996968
1 "Sitting" -0.99995929
1 "Sitting" -0.99996211
1 "Standing" -0.66472232
1 "Standing" -0.9970138
1 "Standing" -0.99929022
1 "Standing" -0.87523456
1 "Standing" -0.86636946
1 "Standing" -0.8632297
1 "Standing" -0.99331243
1 "Standing" -0.99862551
1 "Standing" -0.99994398
1 "Standing" -0.99998966
1 "Standing" -0.99994542
1 "Standing" -0.99800238
1 "Standing" -0.9981116
1 "Standing" -0.99994806
1 "Standing" -0.99991896
1 "Standing" -0.99990101
1 "Standing" -0.99990846
1 "Standing" -0.99992142
1 "Standing" -0.99997345
1 "Standing" -0.99998071
1 "Standing" -0.9999587
1 "Standing" -0.99993519
1 "Standing" -0.99993461
1 "Standing" -0.99994205
1 "Standing" -0.96459839
1 "Standing" -0.99670304
1 "Standing" -0.99986444
1 "Standing" -0.99992082
1 "Standing" -0.99994147
1 "Standing" -0.99996484
1 "Standing" -0.99998184
1 "Standing" -0.99999003
1 "Standing" -0.99998205
1 "Standing" -0.99997949
1 "Standing" -0.99997741
1 "Standing" -0.97106138
1 "Standing" -0.99938798
1 "Standing" -0.99976522
1 "Standing" -0.99986215
1 "Standing" -0.9999053
1 "Standing" -0.9999036
1 "Standing" -0.99992017
1 "Standing" -0.9999781
1 "Standing" -0.99995364
1 "Standing" -0.99996641
1 "Standing" -0.99994053
1 "Standing" -0.99989505
1 "Walking" -0.70487363
1 "Walking" -0.68575276
1 "Walking" -0.71965984
1 "Walking" -0.6711534
1 "Walking" -0.68391406
1 "Walking" -0.70471339
1 "Walking" -0.70196345
1 "Walking" -0.69939964
1 "Walking" -0.76474809
1 "Walking" -0.70808264
1 "Walking" -0.7207266
1 "Walking" -0.71598817
1 "Walking" -0.68530391
1 "Walking" -0.62777832
1 "Walking" -0.63844308
1 "Walking" -0.69474693
1 "Walking" -0.68137446
1 "Walking" -0.68155932
1 "Walking" -0.70642842
1 "Walking" -0.726107
1 "Walking" -0.67778585
1 "Walking" -0.66147976
1 "Walking" -0.7069806
1 "Walking" -0.64516819
1 "Walking" -0.62133749
1 "Walking" -0.60859074
1 "Walking" -0.64007068
1 "Walking" -0.69501738
1 "Walking" -0.64191068
1 "Walking" -0.66410442
1 "Walking" -0.7211983
1 "Walking" -0.71330306
1 "Walking" -0.71628968
1 "Walking" -0.56968929
1 "Walking" -0.70653986
1 "Walking" -0.73587081
1 "Walking" -0.69701576
1 "Walking" -0.67635055
1 "Walking" -0.71280128
1 "Walking" -0.74020041
1 "Walking" -0.76152562
1 "Walking" -0.75549291
1 "Walking" -0.74930212
1 "Walking" -0.75892546
1 "Walking" -0.72445374
1 "Walking" -0.71635937
1 "Walking" -0.75339
1 "Walking" -0.77651652
1 "Walking" -0.72405027
1 "Walking" -0.73766353
1 "Walking" -0.7261098
1 "Walking" -0.71892165
1 "Walking" -0.73863233
1 "Walking" -0.69336454
1 "Walking" -0.71401117
1 "Walking" -0.7501404
1 "Walking" -0.67050731
1 "Walking" -0.70197876
1 "Walking" -0.76973962
1 "Walking" -0.72952696
1 "Walking" -0.70148122
1 "Walking" -0.70693123
1 "Walking" -0.70474083
1 "Walking" -0.68194978
1 "Walking" -0.66088229
1 "Walking" -0.6964747
1 "Walking" -0.67486341
1 "Walking" -0.6586237
1 "Walking" -0.60658196
1 "Walking" -0.70950821
1 "Walking" -0.65273955
1 "Walking" -0.58849893
1 "Walking" -0.63264397
1 "Walking" -0.65184887
1 "Walking" -0.64634584
1 "Walking" -0.69165582
1 "Walking" -0.67411455
1 "Walking" -0.63804712
1 "Walking" -0.70352794
1 "Walking" -0.71777191
1 "Walking" -0.74358266
1 "Walking" -0.66713275
1 "Walking" -0.65078191
1 "Walking" -0.64611512
1 "Walking" -0.69570567
1 "Walking" -0.70286141
1 "Walking" -0.65894539
1 "Walking" -0.61156645
1 "Walking" -0.59137731
1 "Walking" -0.63195338
1 "Walking" -0.67755142
1 "Walking" -0.60292
1 "Walking" -0.63007963
1 "Walking" -0.72854608
1 "Walking" -0.68408087
1 "Walking Down Stairs" -0.66556768
1 "Walking Down Stairs" -0.6052251
1 "Walking Down Stairs" -0.54102063
1 "Walking Down Stairs" -0.48146192
1 "Walking Down Stairs" -0.2942153
1 "Walking Down Stairs" -0.28062805
1 "Walking Down Stairs" -0.44825317
1 "Walking Down Stairs" -0.58878307
1 "Walking Down Stairs" -0.62410362
1 "Walking Down Stairs" -0.22232323
1 "Walking Down Stairs" -0.3335313
1 "Walking Down Stairs" -0.36259302
1 "Walking Down Stairs" -0.38258213
1 "Walking Down Stairs" -0.48212032
1 "Walking Down Stairs" -0.53667531
1 "Walking Down Stairs" -0.41949258
1 "Walking Down Stairs" -0.34940613
1 "Walking Down Stairs" -0.52074525
1 "Walking Down Stairs" -0.55470986
1 "Walking Down Stairs" -0.60362661
1 "Walking Down Stairs" -0.44213717
1 "Walking Down Stairs" -0.32770335
1 "Walking Down Stairs" -0.55188727
1 "Walking Down Stairs" -0.654471
1 "Walking Down Stairs" -0.57094481
1 "Walking Down Stairs" -0.51955407
1 "Walking Down Stairs" -0.51252336
1 "Walking Down Stairs" -0.42233338
1 "Walking Down Stairs" -0.34066682
1 "Walking Down Stairs" -0.40669232
1 "Walking Down Stairs" -0.50341007
1 "Walking Down Stairs" -0.4784142
1 "Walking Down Stairs" -0.29359854
1 "Walking Down Stairs" -0.31314882
1 "Walking Down Stairs" -0.44357102
1 "Walking Down Stairs" -0.53112573
1 "Walking Down Stairs" -0.469023
1 "Walking Down Stairs" -0.56164869
1 "Walking Down Stairs" -0.47165744
1 "Walking Down Stairs" -0.4455345
1 "Walking Down Stairs" -0.4461938
1 "Walking Down Stairs" -0.45891976
1 "Walking Down Stairs" -0.48993963
1 "Walking Down Stairs" -0.55872036
1 "Walking Down Stairs" -0.50048854
