"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92999357
1 "Lying" -0.98898619
1 "Lying" -0.99691819
1 "Lying" -0.99961783
1 "Lying" -0.99828104
1 "Lying" -0.9949194
1 "Lying" -0.99609635
1 "Lying" -0.98935076
1 "Lying" -0.99113198
1 "Lying" -0.99342351
1 "Lying" -0.99611271
1 "Lying" -0.99709687
1 "Lying" -0.99822091
1 "Lying" -0.789168
1 "Lying" -0.98407543
1 "Lying" -0.75509446
1 "Lying" -0.62110584
1 "Lying" -0.90959631
1 "Lying" -0.77097119
1 "Lying" -0.5730063
1 "Lying" -0.56440966
1 "Lying" -0.81377965
1 "Lying" -0.9174594
1 "Lying" -0.97019898
1 "Lying" -0.99292636
1 "Lying" -0.99668441
1 "Lying" -0.99540201
1 "Lying" -0.95504294
1 "Lying" -0.98658395
1 "Lying" -0.9961043
1 "Lying" -0.99475374
1 "Lying" -0.99549743
1 "Lying" -0.99628186
1 "Lying" -0.99519765
1 "Lying" -0.99648195
1 "Lying" -0.99694332
1 "Lying" -0.99544072
1 "Lying" -0.99451727
1 "Lying" -0.99792618
1 "Lying" -0.73877058
1 "Lying" -0.77519888
1 "Lying" -0.97835537
1 "Lying" -0.97256298
1 "Lying" -0.97648209
1 "Lying" -0.98651487
1 "Lying" -0.99136463
1 "Lying" -0.99008364
1 "Lying" -0.95132906
1 "Lying" -0.97462842
1 "Lying" -0.96066095
1 "Sitting" -0.9732732
1 "Sitting" -0.98447923
1 "Sitting" -0.98923709
1 "Sitting" -0.98321531
1 "Sitting" -0.9973433
1 "Sitting" -0.99216668
1 "Sitting" -0.98956356
1 "Sitting" -0.98676714
1 "Sitting" -0.98876537
1 "Sitting" -0.99274406
1 "Sitting" -0.99158183
1 "Sitting" -0.99277243
1 "Sitting" -0.99598175
1 "Sitting" -0.99656495
1 "Sitting" -0.9705581
1 "Sitting" -0.99209322
1 "Sitting" -0.99110205
1 "Sitting" -0.99324286
1 "Sitting" -0.9952772
1 "Sitting" -0.99860496
1 "Sitting" -0.99818826
1 "Sitting" -0.99411708
1 "Sitting" -0.99446943
1 "Sitting" -0.99489082
1 "Sitting" -0.99479742
1 "Sitting" -0.99146693
1 "Sitting" -0.99717918
1 "Sitting" -0.96802677
1 "Sitting" -0.98264956
1 "Sitting" -0.99236866
1 "Sitting" -0.98460025
1 "Sitting" -0.97275437
1 "Sitting" -0.98369241
1 "Sitting" -0.99308043
1 "Sitting" -0.99099687
1 "Sitting" -0.98852873
1 "Sitting" -0.98660567
1 "Sitting" -0.9911762
1 "Sitting" -0.99402867
1 "Sitting" -0.99382825
1 "Sitting" -0.99136445
1 "Sitting" -0.96693157
1 "Sitting" -0.97677153
1 "Sitting" -0.99283574
1 "Sitting" -0.99195172
1 "Sitting" -0.99276809
1 "Sitting" -0.99680123
1 "Sitting" -0.99726371
1 "Sitting" -0.99744019
1 "Sitting" -0.9967894
1 "Sitting" -0.99456972
1 "Sitting" -0.995335
1 "Sitting" -0.9940312
1 "Standing" -0.86361006
1 "Standing" -0.97881218
1 "Standing" -0.98715496
1 "Standing" -0.83466503
1 "Standing" -0.85946451
1 "Standing" -0.88540448
1 "Standing" -0.95980706
1 "Standing" -0.98689358
1 "Standing" -0.99537342
1 "Standing" -0.99856571
1 "Standing" -0.99771865
1 "Standing" -0.95876592
1 "Standing" -0.98234642
1 "Standing" -0.99386779
1 "Standing" -0.99326839
1 "Standing" -0.9959846
1 "Standing" -0.99302873
1 "Standing" -0.99389088
1 "Standing" -0.99576901
1 "Standing" -0.99818734
1 "Standing" -0.99423739
1 "Standing" -0.99421481
1 "Standing" -0.99342558
1 "Standing" -0.99519546
1 "Standing" -0.92474827
1 "Standing" -0.97788217
1 "Standing" -0.99146701
1 "Standing" -0.99362583
1 "Standing" -0.99589769
1 "Standing" -0.99442286
1 "Standing" -0.99621427
1 "Standing" -0.99788201
1 "Standing" -0.99700211
1 "Standing" -0.99579825
1 "Standing" -0.99638921
1 "Standing" -0.96700621
