"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.84980062
1 "Lying" -0.9816605
1 "Lying" -0.99617555
1 "Lying" -0.99798188
1 "Lying" -0.99883147
1 "Lying" -0.9977662
1 "Lying" -0.99758733
1 "Lying" -0.9971104
1 "Lying" -0.99691633
1 "Lying" -0.99917919
1 "Lying" -0.99727577
1 "Lying" -0.99894613
1 "Lying" -0.99935941
1 "Lying" -0.57542402
1 "Lying" -0.91043131
1 "Lying" 0.075332673
1 "Lying" -0.13676288
1 "Lying" -0.85336242
1 "Lying" -0.79700769
1 "Lying" 0.21520352
1 "Lying" -0.27849902
1 "Lying" -0.035636919
1 "Lying" -0.82613308
1 "Lying" -0.91080905
1 "Lying" -0.99295051
1 "Lying" -0.99282692
1 "Lying" -0.99665622
1 "Lying" -0.94210763
1 "Lying" -0.94431221
1 "Lying" -0.99654596
1 "Lying" -0.99774932
1 "Lying" -0.99843984
1 "Lying" -0.99859871
1 "Lying" -0.99749385
1 "Lying" -0.99802225
1 "Lying" -0.99766435
1 "Lying" -0.99951028
1 "Lying" -0.99759164
1 "Lying" -0.99775089
1 "Lying" -0.19617365
1 "Lying" 0.0068592083
1 "Lying" -0.94723434
1 "Lying" -0.81838374
1 "Lying" -0.78028494
1 "Lying" -0.97358685
1 "Lying" -0.99169893
1 "Lying" -0.98637611
1 "Lying" -0.82097848
1 "Lying" -0.72554414
1 "Lying" -0.83406524
1 "Sitting" -0.97432057
1 "Sitting" -0.97822635
1 "Sitting" -0.99306187
1 "Sitting" -0.99022991
1 "Sitting" -0.99050589
1 "Sitting" -0.99536504
1 "Sitting" -0.98862486
1 "Sitting" -0.97516477
1 "Sitting" -0.97792751
1 "Sitting" -0.99091377
1 "Sitting" -0.98862772
1 "Sitting" -0.99737079
1 "Sitting" -0.99675935
1 "Sitting" -0.9990776
1 "Sitting" -0.83321168
1 "Sitting" -0.99026567
1 "Sitting" -0.9941568
1 "Sitting" -0.99402032
1 "Sitting" -0.99797123
1 "Sitting" -0.99809984
1 "Sitting" -0.99911997
1 "Sitting" -0.99825313
1 "Sitting" -0.99896053
1 "Sitting" -0.99798807
1 "Sitting" -0.99529685
1 "Sitting" -0.99603375
1 "Sitting" -0.99883873
1 "Sitting" -0.95565743
1 "Sitting" -0.9709958
1 "Sitting" -0.98367921
1 "Sitting" -0.97571102
1 "Sitting" -0.97936013
1 "Sitting" -0.97996484
1 "Sitting" -0.98995125
1 "Sitting" -0.99555731
1 "Sitting" -0.99319073
1 "Sitting" -0.99485232
1 "Sitting" -0.99513501
1 "Sitting" -0.99548026
1 "Sitting" -0.9948792
1 "Sitting" -0.99408179
1 "Sitting" -0.8169417
1 "Sitting" -0.98263287
1 "Sitting" -0.9822868
1 "Sitting" -0.99796983
1 "Sitting" -0.99633846
1 "Sitting" -0.99367172
1 "Sitting" -0.99483596
1 "Sitting" -0.99805969
1 "Sitting" -0.99843709
1 "Sitting" -0.99831989
1 "Sitting" -0.99724828
1 "Sitting" -0.99759812
1 "Standing" -0.22448761
1 "Standing" -0.92572474
1 "Standing" -0.97763989
1 "Standing" -0.5798896
1 "Standing" -0.53689258
1 "Standing" -0.45642666
1 "Standing" -0.93386759
1 "Standing" -0.96183827
1 "Standing" -0.99373926
1 "Standing" -0.99916311
1 "Standing" -0.99741915
1 "Standing" -0.97106976
1 "Standing" -0.94482835
