"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.24178745
1 "Lying" 0.042903894
1 "Lying" 0.62369619
1 "Lying" 0.67738736
1 "Lying" 0.63957723
1 "Lying" 0.62589709
1 "Lying" 0.60636694
1 "Lying" 0.43802823
1 "Lying" 0.43934678
1 "Lying" 0.63632658
1 "Lying" 0.67084064
1 "Lying" 0.7652607
1 "Lying" 0.80376417
1 "Lying" -0.18196765
1 "Lying" -0.59342129
1 "Lying" -0.55561013
1 "Lying" -0.69377653
1 "Lying" 0.013747097
1 "Lying" -0.10590565
1 "Lying" -0.45908559
1 "Lying" -0.44328399
1 "Lying" -0.65511382
1 "Lying" -0.17072521
1 "Lying" -0.28774651
1 "Lying" 0.10835916
1 "Lying" 0.22413213
1 "Lying" 0.5367612
1 "Lying" -0.16407628
1 "Lying" -0.35878542
1 "Lying" 0.60984785
1 "Lying" 0.6627613
1 "Lying" 0.62091405
1 "Lying" 0.56598877
1 "Lying" 0.42703362
1 "Lying" 0.60876526
1 "Lying" 0.69809094
1 "Lying" 0.6399188
1 "Lying" 0.554057
1 "Lying" 0.49468163
1 "Lying" -0.32296312
1 "Lying" -0.5879413
1 "Lying" -0.39803891
1 "Lying" -0.75876835
1 "Lying" -0.75593712
1 "Lying" -0.25777515
1 "Lying" 0.035465992
1 "Lying" 0.040314364
1 "Lying" -0.31082056
1 "Lying" -0.92491884
1 "Lying" -0.26135795
1 "Sitting" -0.08843612
1 "Sitting" -0.044149887
1 "Sitting" 0.25789914
1 "Sitting" 0.073581496
1 "Sitting" 0.39431033
1 "Sitting" 0.43796212
1 "Sitting" 0.21996177
1 "Sitting" -0.10976272
1 "Sitting" 0.083767043
1 "Sitting" 0.42582119
1 "Sitting" 0.38084257
1 "Sitting" 0.51963263
1 "Sitting" 0.49124359
1 "Sitting" 0.64707833
1 "Sitting" -0.32224521
1 "Sitting" -0.076785005
1 "Sitting" 0.015215303
1 "Sitting" 0.19494092
1 "Sitting" 0.53206601
1 "Sitting" 0.66003688
1 "Sitting" 0.66457149
1 "Sitting" 0.68400956
1 "Sitting" 0.63675107
1 "Sitting" 0.60871588
1 "Sitting" 0.48284287
1 "Sitting" 0.49427509
1 "Sitting" 0.82097848
1 "Sitting" -0.12771712
1 "Sitting" -0.41965844
1 "Sitting" 0.18302889
1 "Sitting" 0.15060758
1 "Sitting" -0.033113696
1 "Sitting" 0.01772777
1 "Sitting" 0.1869037
1 "Sitting" 0.038122925
1 "Sitting" 0.43297511
1 "Sitting" 0.44584888
1 "Sitting" 0.31257339
1 "Sitting" 0.32290318
1 "Sitting" 0.29097935
1 "Sitting" 0.29886765
1 "Sitting" -0.28609142
1 "Sitting" 0.22591958
1 "Sitting" 0.041762782
1 "Sitting" 0.36572456
1 "Sitting" 0.44326419
1 "Sitting" 0.32788396
1 "Sitting" 0.45617856
1 "Sitting" 0.32130318
1 "Sitting" 0.48724299
1 "Sitting" 0.49906676
1 "Sitting" 0.53997097
1 "Sitting" 0.47403031
1 "Standing" -0.33811215
1 "Standing" -0.087781605
1 "Standing" -0.10127908
1 "Standing" -0.24293782
1 "Standing" -0.59724662
1 "Standing" -0.26523161
1 "Standing" -0.1171333
1 "Standing" -0.21394221
1 "Standing" 0.38033394
1 "Standing" 0.66066759
1 "Standing" 0.3803319
1 "Standing" -0.028536046
1 "Standing" -0.33615197
1 "Standing" 0.32707443
1 "Standing" 0.27378135
1 "Standing" 0.24510134
1 "Standing" 0.18659809
1 "Standing" 0.19939188
1 "Standing" 0.3538745
1 "Standing" 0.529142
