"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.13623738
1 "Lying" -0.49813681
1 "Lying" -0.78440328
1 "Lying" -0.8319664
1 "Lying" -0.93704919
1 "Lying" -0.92785309
1 "Lying" -0.91978597
1 "Lying" -0.9537616
1 "Lying" -0.95455156
1 "Lying" -1
1 "Lying" -0.87492482
1 "Lying" -0.95307737
1 "Lying" -0.95927869
1 "Lying" -0.46889333
1 "Lying" 0.61775949
1 "Lying" 0.40207181
1 "Lying" 0.28819371
1 "Lying" -0.51175831
1 "Lying" -0.61157207
1 "Lying" 0.079770692
1 "Lying" -0.49771999
1 "Lying" 0.4085617
1 "Lying" -0.53642674
1 "Lying" 0.24983558
1 "Lying" -0.80862484
1 "Lying" -0.63948034
1 "Lying" -0.86674384
1 "Lying" -0.46335354
1 "Lying" 0.0071116947
1 "Lying" -0.83689105
1 "Lying" -0.92587381
1 "Lying" -0.95615186
1 "Lying" -0.91654484
1 "Lying" -0.91406112
1 "Lying" -0.94172021
1 "Lying" -0.83294194
1 "Lying" -0.98577072
1 "Lying" -0.88121672
1 "Lying" -0.89104742
1 "Lying" 0.013712642
1 "Lying" 0.28216185
1 "Lying" -0.64273943
1 "Lying" -0.31005213
1 "Lying" -0.076465549
1 "Lying" -0.66266381
1 "Lying" -0.80107658
1 "Lying" -0.53568711
1 "Lying" -0.221847
1 "Lying" 0.92931443
1 "Lying" -0.22659548
1 "Sitting" -0.79684048
1 "Sitting" -0.44952188
1 "Sitting" -0.87968464
1 "Sitting" -0.75649363
1 "Sitting" -0.4818052
1 "Sitting" -0.80918636
1 "Sitting" -0.78376997
1 "Sitting" -0.18372772
1 "Sitting" -0.2947921
1 "Sitting" -0.76929939
1 "Sitting" -0.65022749
1 "Sitting" -0.93057052
1 "Sitting" -0.82255146
1 "Sitting" -0.95306546
1 "Sitting" 0.43153537
1 "Sitting" -0.7067294
1 "Sitting" -0.84788016
1 "Sitting" -0.83731008
1 "Sitting" -0.94461524
1 "Sitting" -0.86062861
1 "Sitting" -0.96462618
1 "Sitting" -0.94714017
1 "Sitting" -0.9775483
1 "Sitting" -0.94007582
1 "Sitting" -0.77936756
1 "Sitting" -0.8495369
1 "Sitting" -0.94072021
1 "Sitting" -0.70517293
1 "Sitting" -0.64047349
1 "Sitting" -0.21388769
1 "Sitting" -0.34503629
1 "Sitting" -0.77499406
1 "Sitting" -0.72568392
1 "Sitting" -0.81058474
1 "Sitting" -0.91436844
1 "Sitting" -0.82610139
1 "Sitting" -0.94066572
1 "Sitting" -0.89180624
1 "Sitting" -0.85373535
1 "Sitting" -0.79410001
1 "Sitting" -0.87075558
1 "Sitting" 0.71475736
1 "Sitting" -0.70249285
1 "Sitting" -0.17344867
1 "Sitting" -0.95636726
1 "Sitting" -0.92738583
1 "Sitting" -0.70322531
1 "Sitting" -0.54889805
1 "Sitting" -0.87453095
1 "Sitting" -0.90127683
1 "Sitting" -0.95281633
1 "Sitting" -0.88384377
1 "Sitting" -0.89380244
1 "Standing" 0.19482511
1 "Standing" 0.54392943
1 "Standing" -0.5308796
1 "Standing" -0.16925951
1 "Standing" -0.07411487
1 "Standing" 0.66127785
1 "Standing" -0.61168847
1 "Standing" -0.38416172
1 "Standing" -0.57325269
1 "Standing" -0.94149513
1 "Standing" -0.93188083
1 "Standing" -0.78507994
1 "Standing" 0.14053468
1 "Standing" -0.88829053
1 "Standing" -0.87871209
1 "Standing" -0.73202916
1 "Standing" -0.9148493
1 "Standing" -0.89832106
1 "Standing" -0.88928745
1 "Standing" -0.88314744
1 "Standing" -0.95864923
1 "Standing" -0.81016026
1 "Standing" -0.46745805
1 "Standing" -0.86536477
1 "Standing" -0.6769555
1 "Standing" -0.048677078
1 "Standing" -0.60894946
1 "Standing" -0.94433127
1 "Standing" -0.87318668
1 "Standing" -0.9372297
1 "Standing" -0.95461068
1 "Standing" -0.92969073
1 "Standing" -0.93744589
1 "Standing" -0.94857728
1 "Standing" -0.94937513
1 "Standing" 0.42036595
1 "Standing" 0.24346039
1 "Standing" -0.80734477
1 "Standing" -0.83698911
1 "Standing" -0.97040613
1 "Standing" -0.84543228
1 "Standing" -0.62953004
1 "Standing" -0.57660498
1 "Standing" -0.79500607
1 "Standing" -0.80608076
1 "Standing" -0.77683888
1 "Standing" -0.74500407
1 "Walking" -0.84768117
1 "Walking" -0.9062524
1 "Walking" -0.86823403
1 "Walking" -0.89663944
1 "Walking" -0.82382515
1 "Walking" -0.79506852
1 "Walking" -0.85897786
