"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9512361
1 "Lying" -0.99343673
1 "Lying" -0.99657375
1 "Lying" -0.99695367
1 "Lying" -0.99869165
1 "Lying" -1
1 "Lying" -0.99701761
1 "Lying" -0.99645015
1 "Lying" -0.99273319
1 "Lying" -0.99082441
1 "Lying" -0.99597196
1 "Lying" -0.99708417
1 "Lying" -0.99757513
1 "Lying" -0.69005647
1 "Lying" -0.88943263
1 "Lying" -0.37114543
1 "Lying" -0.18888282
1 "Lying" -0.76483723
1 "Lying" -0.72798187
1 "Lying" 0.29824313
1 "Lying" -0.32979465
1 "Lying" 0.19128272
1 "Lying" -0.58661312
1 "Lying" -0.87812345
1 "Lying" -0.97673435
1 "Lying" -0.98745569
1 "Lying" -0.9932199
1 "Lying" -0.94598231
1 "Lying" -0.96730807
1 "Lying" -0.99716286
1 "Lying" -0.99547419
1 "Lying" -0.99602874
1 "Lying" -0.99677912
1 "Lying" -0.99783731
1 "Lying" -0.99418256
1 "Lying" -0.99578864
1 "Lying" -0.99717702
1 "Lying" -0.99668872
1 "Lying" -0.99579445
1 "Lying" -0.72096723
1 "Lying" -0.94659208
1 "Lying" -0.94547071
1 "Lying" -0.90318043
1 "Lying" -0.94276739
1 "Lying" -0.98568412
1 "Lying" -0.99647062
1 "Lying" -0.98077089
1 "Lying" -0.93280205
1 "Lying" -0.91700431
1 "Lying" -0.92436639
1 "Sitting" -0.98316285
1 "Sitting" -0.97377026
1 "Sitting" -0.96307185
1 "Sitting" -0.98727492
1 "Sitting" -0.9808482
1 "Sitting" -0.99341435
1 "Sitting" -0.9687288
1 "Sitting" -0.96242605
1 "Sitting" -0.95385927
1 "Sitting" -0.98439542
1 "Sitting" -0.9791701
1 "Sitting" -0.98935129
1 "Sitting" -0.97925769
1 "Sitting" -0.99039023
1 "Sitting" -0.78435735
1 "Sitting" -0.97698873
1 "Sitting" -0.982284
1 "Sitting" -0.98787961
1 "Sitting" -0.99643361
1 "Sitting" -0.98855611
1 "Sitting" -0.99484229
1 "Sitting" -0.99096362
1 "Sitting" -0.99442693
1 "Sitting" -0.99063155
1 "Sitting" -0.98711606
1 "Sitting" -0.98399245
1 "Sitting" -0.9980052
1 "Sitting" -0.91544045
1 "Sitting" -0.98701141
1 "Sitting" -0.98520872
1 "Sitting" -0.97678756
1 "Sitting" -0.90872504
1 "Sitting" -0.94926492
1 "Sitting" -0.98983258
1 "Sitting" -0.99723257
1 "Sitting" -0.99034289
1 "Sitting" -0.9894887
1 "Sitting" -0.99126179
1 "Sitting" -0.98495197
1 "Sitting" -0.98194339
1 "Sitting" -0.98828003
1 "Sitting" -0.77061092
1 "Sitting" -0.95999035
1 "Sitting" -0.96800756
1 "Sitting" -0.98940628
1 "Sitting" -0.99133989
1 "Sitting" -0.97909021
1 "Sitting" -0.98351159
1 "Sitting" -0.99116661
1 "Sitting" -0.99156224
1 "Sitting" -0.99118746
1 "Sitting" -0.99413021
1 "Sitting" -0.9965986
1 "Standing" -0.12515136
1 "Standing" -0.87363518
1 "Standing" -0.93018288
1 "Standing" -0.80723327
1 "Standing" -0.58689278
1 "Standing" -0.50002458
1 "Standing" -0.83128299
1 "Standing" -0.9555195
1 "Standing" -0.98997958
1 "Standing" -0.99819237
1 "Standing" -0.99715036
1 "Standing" -0.85881092
1 "Standing" -0.92939493
1 "Standing" -0.98057222
1 "Standing" -0.97983964
1 "Standing" -0.97438528
1 "Standing" -0.95957001
1 "Standing" -0.97228747
1 "Standing" -0.98924101
1 "Standing" -0.97652234
1 "Standing" -0.97930411
1 "Standing" -0.98194527
1 "Standing" -0.97160134
1 "Standing" -0.97201158
1 "Standing" -0.62492999
1 "Standing" -0.89700673
1 "Standing" -0.9813808
1 "Standing" -0.99223967
1 "Standing" -0.99295871
1 "Standing" -0.99621658
1 "Standing" -0.98530242
1 "Standing" -0.98946925
1 "Standing" -0.99388745
1 "Standing" -0.99484122
1 "Standing" -0.98905267
1 "Standing" -0.81563472
1 "Standing" -0.93451967
1 "Standing" -0.95931683
1 "Standing" -0.98581713
1 "Standing" -0.98178392
1 "Standing" -0.97489514
1 "Standing" -0.9763038
1 "Standing" -0.97949067
1 "Standing" -0.97807956
1 "Standing" -0.97258599
1 "Standing" -0.96944466
1 "Standing" -0.97040875
1 "Walking" -0.56324508
1 "Walking" -0.39615915
1 "Walking" -0.3798027
1 "Walking" -0.28573706
1 "Walking" -0.19419543
1 "Walking" -0.32677421
1 "Walking" -0.37828114
1 "Walking" -0.37736432
1 "Walking" -0.35368948
1 "Walking" -0.37651742
