"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.0079412303
1 "Lying" 0.28215937
1 "Lying" 0.48354504
1 "Lying" 0.32407339
1 "Lying" 0.35377568
1 "Lying" 0.51763917
1 "Lying" 0.31136343
1 "Lying" 0.20768029
1 "Lying" 0.43782343
1 "Lying" 0.43069519
1 "Lying" 0.38764359
1 "Lying" 0.34334786
1 "Lying" 0.27468621
1 "Lying" -0.08192021
1 "Lying" -0.41931778
1 "Lying" -0.60129805
1 "Lying" -0.62478591
1 "Lying" -0.32891804
1 "Lying" 0.027422686
1 "Lying" -0.35022485
1 "Lying" 0.055190131
1 "Lying" -0.5206587
1 "Lying" -0.10549693
1 "Lying" -0.14573292
1 "Lying" 0.035107332
1 "Lying" -0.016730184
1 "Lying" 0.26947844
1 "Lying" -0.012803955
1 "Lying" -0.03832494
1 "Lying" 0.48450798
1 "Lying" 0.50662513
1 "Lying" 0.58781913
1 "Lying" 0.48439687
1 "Lying" 0.29632704
1 "Lying" 0.33113555
1 "Lying" 0.45628809
1 "Lying" 0.3507259
1 "Lying" 0.26323767
1 "Lying" 0.24134491
1 "Lying" 0.25407023
1 "Lying" 0.65102098
1 "Lying" -0.28965085
1 "Lying" -0.68790455
1 "Lying" -0.30408045
1 "Lying" -0.031277856
1 "Lying" 0.28820668
1 "Lying" 0.13988526
1 "Lying" -0.094138379
1 "Lying" -0.48543757
1 "Lying" -0.069719686
1 "Sitting" 0.13183575
1 "Sitting" 0.042863639
1 "Sitting" -0.064610562
1 "Sitting" 0.080302267
1 "Sitting" 0.057987891
1 "Sitting" 0.31883523
1 "Sitting" 0.11041077
1 "Sitting" -0.12296974
1 "Sitting" 0.15413523
1 "Sitting" 0.16076246
1 "Sitting" 0.14580566
1 "Sitting" 0.28590026
1 "Sitting" 0.047539322
1 "Sitting" 0.30563147
1 "Sitting" -0.10885964
1 "Sitting" -0.17695413
1 "Sitting" -0.17377908
1 "Sitting" 0.072583636
1 "Sitting" 0.26334564
1 "Sitting" 0.21234796
1 "Sitting" 0.35771894
1 "Sitting" 0.44121188
1 "Sitting" 0.43327102
1 "Sitting" 0.29565478
1 "Sitting" 0.30385235
