"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.13607767
1 "Lying" 0.22979633
1 "Lying" 0.50752503
1 "Lying" 0.51854492
1 "Lying" 0.46072288
1 "Lying" 0.33551455
1 "Lying" 0.54315572
1 "Lying" 0.20249602
1 "Lying" 0.16315056
1 "Lying" 0.47759772
1 "Lying" 0.47210407
1 "Lying" 0.58464903
1 "Lying" 0.49133615
1 "Lying" 0.064381548
1 "Lying" 0.83538083
1 "Lying" -0.47612452
1 "Lying" -0.68602377
1 "Lying" -0.094863916
1 "Lying" -0.21558053
1 "Lying" -0.33530726
1 "Lying" -0.44797549
1 "Lying" -0.037411443
1 "Lying" -0.092662135
1 "Lying" 0.1342224
1 "Lying" 0.48451086
1 "Lying" 0.60904899
1 "Lying" 0.54253605
1 "Lying" -0.043084566
1 "Lying" -0.16446954
1 "Lying" 0.2527667
1 "Lying" 0.35177266
1 "Lying" 0.39309596
1 "Lying" 0.22609106
1 "Lying" 0.44931889
1 "Lying" 0.43148594
1 "Lying" 0.44992174
1 "Lying" 0.41994743
1 "Lying" 0.42356846
1 "Lying" 0.22871953
1 "Lying" -0.31942832
1 "Lying" -0.42073118
1 "Lying" -0.47629694
1 "Lying" -0.98451497
1 "Lying" -0.55247097
1 "Lying" -0.036179181
1 "Lying" 0.056157776
1 "Lying" -0.034531802
1 "Lying" -0.21125018
1 "Lying" -0.91491442
1 "Lying" -0.18773824
1 "Sitting" -0.052050251
1 "Sitting" -0.014309755
1 "Sitting" 0.082676921
1 "Sitting" 0.18569468
1 "Sitting" 0.55978632
1 "Sitting" 0.60559943
1 "Sitting" 0.37958626
1 "Sitting" 0.15723362
1 "Sitting" 0.16483929
1 "Sitting" 0.25978658
1 "Sitting" 0.35600115
1 "Sitting" 0.59280773
1 "Sitting" 0.49317233
1 "Sitting" 0.47807012
1 "Sitting" -0.32172944
1 "Sitting" 0.37284782
1 "Sitting" 0.077119723
1 "Sitting" 0.43064735
1 "Sitting" 0.3271787
1 "Sitting" 0.46552508
1 "Sitting" 0.40806341
1 "Sitting" 0.55619075
1 "Sitting" 0.41249506
1 "Sitting" 0.19559695
1 "Sitting" 0.36094598
1 "Sitting" 0.55616005
1 "Sitting" 0.47771081
1 "Sitting" -0.2091824
1 "Sitting" -0.42672352
1 "Sitting" 0.025706387
1 "Sitting" 0.26667991
1 "Sitting" -0.065939772
1 "Sitting" -0.036704552
1 "Sitting" 0.021445961
1 "Sitting" -0.21001101
1 "Sitting" 0.14274536
1 "Sitting" 0.11494131
1 "Sitting" 0.044561126
1 "Sitting" 0.32986467
1 "Sitting" 0.313488
1 "Sitting" 0.63566304
1 "Sitting" -0.72140212
1 "Sitting" 0.071570276
1 "Sitting" -0.013138977
1 "Sitting" 0.55161582
1 "Sitting" 0.13204885
1 "Sitting" 0.50619017
1 "Sitting" 0.43499135
1 "Sitting" 0.2697877
1 "Sitting" 0.8074511
1 "Sitting" 0.31514802
1 "Sitting" 0.62198972
1 "Sitting" 0.48707196
1 "Standing" -0.12436529
1 "Standing" -0.34313523
1 "Standing" 0.32346304
1 "Standing" -0.27067181
1 "Standing" -0.98554246
1 "Standing" 0.054190525
1 "Standing" -0.49906435
1 "Standing" 0.038592924
1 "Standing" 0.2858224
1 "Standing" 0.3177813
1 "Standing" 0.2462047
1 "Standing" 0.074115336
1 "Standing" 0.34798247
1 "Standing" 0.22731502
1 "Standing" 0.32761295
1 "Standing" 0.30457906
1 "Standing" 0.20158134
1 "Standing" 0.28049725
1 "Standing" 0.044666053
1 "Standing" 0.27015851
1 "Standing" 0.3407989
1 "Standing" 0.088955209
1 "Standing" 0.18179601
1 "Standing" 0.3817381
1 "Standing" -0.52210267
1 "Standing" 0.16581645
1 "Standing" 0.38275904
1 "Standing" 0.43452956
1 "Standing" 0.69070047
1 "Standing" 0.47183626
1 "Standing" 0.61414931
1 "Standing" 0.76147447
1 "Standing" 0.5619439
1 "Standing" 0.52183143
1 "Standing" 0.36254899
1 "Standing" -0.24715691
1 "Standing" 0.17707697
1 "Standing" 0.30570056
1 "Standing" 0.21032277
