"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92879208
1 "Lying" -0.98337917
1 "Lying" -0.99519692
1 "Lying" -0.99726751
1 "Lying" -0.99473614
1 "Lying" -0.99156425
1 "Lying" -0.99333595
1 "Lying" -0.99203037
1 "Lying" -0.99107413
1 "Lying" -0.99237312
1 "Lying" -0.99248491
1 "Lying" -0.99360666
1 "Lying" -0.99425916
1 "Lying" -0.73499812
1 "Lying" -0.97750397
1 "Lying" -0.54169783
1 "Lying" -0.58238308
1 "Lying" -0.71690557
1 "Lying" -0.74389472
1 "Lying" -0.25634415
1 "Lying" -0.31756454
1 "Lying" -0.72773664
1 "Lying" -0.9819809
1 "Lying" -0.98938688
1 "Lying" -0.99346289
1 "Lying" -0.9939374
1 "Lying" -0.9933639
1 "Lying" -0.93709518
1 "Lying" -0.9850221
1 "Lying" -0.99478596
1 "Lying" -0.99431981
1 "Lying" -0.99203923
1 "Lying" -0.99313097
1 "Lying" -0.99374694
1 "Lying" -0.99193986
1 "Lying" -0.99613404
1 "Lying" -0.99753879
1 "Lying" -0.99559052
1 "Lying" -0.99526322
1 "Lying" -0.39640328
1 "Lying" -0.31242653
1 "Lying" -0.90532403
1 "Lying" -0.87213674
1 "Lying" -0.86356942
1 "Lying" -0.95904091
1 "Lying" -0.98792164
1 "Lying" -0.97397442
1 "Lying" -0.85266551
1 "Lying" -0.9269642
1 "Lying" -0.82504955
1 "Sitting" -0.93926865
1 "Sitting" -0.97352267
1 "Sitting" -0.98330396
1 "Sitting" -0.99107978
1 "Sitting" -0.98836944
1 "Sitting" -0.9927386
1 "Sitting" -0.98412325
1 "Sitting" -0.98865193
1 "Sitting" -0.99063224
1 "Sitting" -0.98609566
1 "Sitting" -0.98367242
1 "Sitting" -0.9916394
1 "Sitting" -0.99581923
1 "Sitting" -0.99182892
1 "Sitting" -0.95494861
1 "Sitting" -0.98412856
1 "Sitting" -0.98768709
1 "Sitting" -0.98993731
1 "Sitting" -0.99596151
1 "Sitting" -0.99669495
1 "Sitting" -0.99417669
1 "Sitting" -0.99542528
1 "Sitting" -0.99403597
1 "Sitting" -0.98999238
1 "Sitting" -0.99260252
1 "Sitting" -0.99227953
1 "Sitting" -0.99251428
1 "Sitting" -0.91879231
1 "Sitting" -0.95493361
1 "Sitting" -0.98324196
1 "Sitting" -0.97673228
1 "Sitting" -0.9800546
1 "Sitting" -0.98338882
1 "Sitting" -0.98579519
1 "Sitting" -0.9902715
1 "Sitting" -0.99256892
1 "Sitting" -0.98779074
1 "Sitting" -0.98768212
1 "Sitting" -0.99049767
1 "Sitting" -0.99150522
1 "Sitting" -0.98326275
1 "Sitting" -0.96556079
1 "Sitting" -0.96835636
1 "Sitting" -0.9906297
1 "Sitting" -0.99547373
1 "Sitting" -0.98978292
1 "Sitting" -0.99523425
1 "Sitting" -0.99754843
1 "Sitting" -0.99966797
1 "Sitting" -0.9977359
1 "Sitting" -0.99211228
1 "Sitting" -0.99025398
1 "Sitting" -0.9907414
1 "Standing" -0.61401743
1 "Standing" -0.97975316
1 "Standing" -0.98337133
1 "Standing" -0.67628885
1 "Standing" -0.70433301
1 "Standing" -0.72770498
1 "Standing" -0.98069583
1 "Standing" -0.97488987
1 "Standing" -0.99489744
1 "Standing" -0.99818451
1 "Standing" -0.99619448
1 "Standing" -0.97708524
1 "Standing" -0.99134764
1 "Standing" -0.99008845
1 "Standing" -0.99157404
1 "Standing" -0.99277646
1 "Standing" -0.9906193
1 "Standing" -0.99060927
1 "Standing" -0.99548767
1 "Standing" -0.99486711
1 "Standing" -0.99196132
1 "Standing" -0.99126636
1 "Standing" -0.99509609
1 "Standing" -0.99532656
1 "Standing" -0.95800824
1 "Standing" -0.95779628
1 "Standing" -0.98269966
1 "Standing" -0.98650057
1 "Standing" -0.98718008
1 "Standing" -0.9917396
1 "Standing" -0.99281489
1 "Standing" -0.99633454
1 "Standing" -0.99645446
1 "Standing" -0.99596074
1 "Standing" -0.99472019
1 "Standing" -0.82819619
