"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98520994
1 "Lying" -0.99423281
1 "Lying" -0.99860021
1 "Lying" -0.9986216
1 "Lying" -0.99497151
1 "Lying" -0.99955902
1 "Lying" -0.98998061
1 "Lying" -0.99854838
1 "Lying" -0.9995521
1 "Lying" -0.99018115
1 "Lying" -0.98728167
1 "Lying" -0.99820554
1 "Lying" -0.99124082
1 "Lying" -0.94235831
1 "Lying" -0.96683999
1 "Lying" -0.91743593
1 "Lying" -0.98081257
1 "Lying" -0.61992875
1 "Lying" -0.86849909
1 "Lying" -0.58620794
1 "Lying" -0.91418471
1 "Lying" -0.79805884
1 "Lying" -0.9895971
1 "Lying" -0.99376794
1 "Lying" -0.98240923
1 "Lying" -0.98906439
1 "Lying" -0.99147478
1 "Lying" -0.93750015
1 "Lying" -0.9886397
1 "Lying" -0.99790104
1 "Lying" -0.99501208
1 "Lying" -0.99787824
1 "Lying" -0.99942058
1 "Lying" -0.99256275
1 "Lying" -0.99678858
1 "Lying" -0.98976892
1 "Lying" -0.99681656
1 "Lying" -0.99688827
1 "Lying" -0.99667578
1 "Lying" -0.78603584
1 "Lying" -0.68428073
1 "Lying" -0.96625561
1 "Lying" -0.98286303
1 "Lying" -0.9371483
1 "Lying" -0.97704689
1 "Lying" -0.99214113
1 "Lying" -0.96491706
1 "Lying" -0.84005412
1 "Lying" -0.98333596
1 "Lying" -0.88403339
1 "Sitting" -0.92342772
1 "Sitting" -0.98951355
1 "Sitting" -0.99088566
1 "Sitting" -0.99657785
1 "Sitting" -0.9744938
1 "Sitting" -0.98632815
1 "Sitting" -0.99628422
1 "Sitting" -0.99373529
1 "Sitting" -0.9858658
1 "Sitting" -0.99578494
1 "Sitting" -0.99957469
1 "Sitting" -0.99281213
1 "Sitting" -0.99982327
1 "Sitting" -0.98129348
1 "Sitting" -0.984784
1 "Sitting" -0.98345799
1 "Sitting" -0.99037415
1 "Sitting" -0.98968509
1 "Sitting" -0.99144766
1 "Sitting" -0.99134945
1 "Sitting" -0.99655088
1 "Sitting" -0.99951737
1 "Sitting" -0.99597939
1 "Sitting" -0.9922232
1 "Sitting" -0.99746946
1 "Sitting" -0.99056278
1 "Sitting" -0.99970108
1 "Sitting" -0.96808472
1 "Sitting" -0.99402558
1 "Sitting" -0.98171625
1 "Sitting" -0.97422227
1 "Sitting" -0.9969231
1 "Sitting" -0.99285448
1 "Sitting" -0.99760041
1 "Sitting" -0.99864583
1 "Sitting" -0.99868073
1 "Sitting" -0.99855002
1 "Sitting" -0.99899282
1 "Sitting" -0.99675324
1 "Sitting" -0.99840891
1 "Sitting" -0.95685565
