"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90562736
1 "Lying" -0.99184611
1 "Lying" -0.9968263
1 "Lying" -0.99647204
1 "Lying" -0.9977321
1 "Lying" -0.99919054
1 "Lying" -0.99567657
1 "Lying" -0.99420858
1 "Lying" -0.99309365
1 "Lying" -0.99184777
1 "Lying" -0.99578506
1 "Lying" -0.99642248
1 "Lying" -0.99608554
1 "Lying" -0.6965821
1 "Lying" -0.89501868
1 "Lying" -0.15788015
1 "Lying" -0.082021234
1 "Lying" -0.72866336
1 "Lying" -0.65709837
1 "Lying" 0.56288903
1 "Lying" -0.042426101
1 "Lying" 0.18885085
1 "Lying" -0.56873374
1 "Lying" -0.8858831
1 "Lying" -0.97827607
1 "Lying" -0.9857358
1 "Lying" -0.99042758
1 "Lying" -0.94545041
1 "Lying" -0.97015856
1 "Lying" -0.9958868
1 "Lying" -0.99495324
1 "Lying" -0.9965735
1 "Lying" -0.99725344
1 "Lying" -0.99687965
1 "Lying" -0.99311463
1 "Lying" -0.99313358
1 "Lying" -0.99477771
1 "Lying" -0.99571294
1 "Lying" -0.99617594
1 "Lying" -0.58588575
1 "Lying" -0.91077832
1 "Lying" -0.94461158
1 "Lying" -0.91145421
1 "Lying" -0.94069582
1 "Lying" -0.98218516
1 "Lying" -0.9936444
1 "Lying" -0.98398823
1 "Lying" -0.935683
1 "Lying" -0.92844349
1 "Lying" -0.92601694
1 "Sitting" -0.98313297
1 "Sitting" -0.97492981
1 "Sitting" -0.96550593
1 "Sitting" -0.98324437
1 "Sitting" -0.98012947
1 "Sitting" -0.99226365
1 "Sitting" -0.96792578
1 "Sitting" -0.96410195
1 "Sitting" -0.95918148
1 "Sitting" -0.97479378
1 "Sitting" -0.97510993
1 "Sitting" -0.98828445
1 "Sitting" -0.98325916
1 "Sitting" -0.9910295
1 "Sitting" -0.79942945
1 "Sitting" -0.97150398
1 "Sitting" -0.97932377
1 "Sitting" -0.98689854
1 "Sitting" -0.99394956
1 "Sitting" -0.99012472
1 "Sitting" -0.99458578
1 "Sitting" -0.99134414
1 "Sitting" -0.99198378
1 "Sitting" -0.98839141
1 "Sitting" -0.98914555
1 "Sitting" -0.98628632
1 "Sitting" -0.99547014
1 "Sitting" -0.92113792
1 "Sitting" -0.97522713
1 "Sitting" -0.97938849
1 "Sitting" -0.96054798
1 "Sitting" -0.91035717
