"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94046473
1 "Lying" -0.88974149
1 "Lying" -0.87100639
1 "Lying" -0.91141791
1 "Lying" -0.96230908
1 "Lying" -1
1 "Lying" -0.93123225
1 "Lying" -0.94551662
1 "Lying" -0.78736493
1 "Lying" -0.65651279
1 "Lying" -0.8517479
1 "Lying" -0.90651271
1 "Lying" -0.91723838
1 "Lying" 0.23821832
1 "Lying" 0.38449274
1 "Lying" -0.62811573
1 "Lying" -0.32951016
1 "Lying" -0.29885526
1 "Lying" -0.58458833
1 "Lying" -0.49843212
1 "Lying" -0.76792148
1 "Lying" 0.29131461
1 "Lying" -0.032326835
1 "Lying" 0.39152751
1 "Lying" -0.25973756
1 "Lying" -0.59389868
1 "Lying" -0.87609777
1 "Lying" -0.27024754
1 "Lying" 0.023312749
1 "Lying" -0.9396293
1 "Lying" -0.89613468
1 "Lying" -0.88089653
1 "Lying" -0.87538697
1 "Lying" -0.92862971
1 "Lying" -0.85934068
1 "Lying" -0.95828663
1 "Lying" -0.96363743
1 "Lying" -0.91119626
1 "Lying" -0.76066724
1 "Lying" -0.8144757
1 "Lying" -0.92272305
1 "Lying" -0.089209638
1 "Lying" 0.60335424
1 "Lying" -0.092793003
1 "Lying" -0.69622203
1 "Lying" -0.9430744
1 "Lying" -0.11013537
1 "Lying" 0.11078138
1 "Lying" 0.94796473
1 "Lying" 0.058204512
1 "Sitting" -0.55873853
1 "Sitting" -0.33197386
1 "Sitting" -0.092152785
1 "Sitting" -0.81305675
1 "Sitting" -0.53372625
1 "Sitting" -0.89938137
1 "Sitting" -0.42819007
1 "Sitting" -0.11835713
1 "Sitting" 0.2275645
1 "Sitting" -0.87606294
1 "Sitting" -0.73795648
1 "Sitting" -0.7421103
1 "Sitting" 0.042725934
1 "Sitting" -0.69159612
1 "Sitting" 0.54832309
1 "Sitting" -0.43212544
1 "Sitting" -0.42153817
1 "Sitting" -0.56946191
1 "Sitting" -0.93033474
1 "Sitting" -0.51324632
1 "Sitting" -0.82076085
1 "Sitting" -0.71953223
1 "Sitting" -0.93166404
1 "Sitting" -0.81110797
1 "Sitting" -0.47410292
1 "Sitting" -0.35584129
1 "Sitting" -0.98427254
1 "Sitting" 0.33034987
1 "Sitting" -0.89087441
1 "Sitting" -0.79353025
1 "Sitting" -0.87902868
1 "Sitting" 0.052791811
1 "Sitting" -0.1832921
1 "Sitting" -0.76537902
1 "Sitting" -0.92578641
1 "Sitting" -0.94875731
1 "Sitting" -0.95847954
1 "Sitting" -0.76057439
1 "Sitting" -0.64407297
1 "Sitting" -0.64953287
1 "Sitting" -0.81256312
1 "Sitting" 0.38511391
1 "Sitting" -0.064657667
1 "Sitting" 0.51102877
1 "Sitting" -0.76926133
1 "Sitting" -0.81777569
1 "Sitting" -0.46607078
1 "Sitting" -0.37497154
1 "Sitting" -0.59162909
1 "Sitting" -0.68763687
1 "Sitting" -0.7633085
1 "Sitting" -0.88878129
1 "Sitting" -0.90703465
1 "Standing" 0.207668
1 "Standing" 0.36666746
1 "Standing" 0.25242489
1 "Standing" -0.60237284
1 "Standing" -0.10598219
1 "Standing" 0.55202099
1 "Standing" 0.038570052
1 "Standing" 0.23203258
1 "Standing" -0.38915251
1 "Standing" -0.95713516
1 "Standing" -0.96231153
1 "Standing" 0.046965427
1 "Standing" -0.046075422
1 "Standing" -0.11425025
1 "Standing" -0.0044612225
1 "Standing" 0.23862609
1 "Standing" 0.56640621
1 "Standing" 0.21026044
1 "Standing" -0.51433404
1 "Standing" 0.17676861
1 "Standing" 0.013406547
1 "Standing" 0.090976585
1 "Standing" 0.46002388
1 "Standing" 0.2102721
1 "Standing" -0.10300025
1 "Standing" 0.18184573
1 "Standing" -0.25176933
1 "Standing" -0.82338322
1 "Standing" -0.73086237
1 "Standing" -0.9178199
