"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.25030617
1 "Lying" -0.57442316
1 "Lying" -0.83858835
1 "Lying" -0.95354638
1 "Lying" -0.82088311
1 "Lying" -0.91896716
1 "Lying" -0.9035476
1 "Lying" -0.88041627
1 "Lying" -0.82151796
1 "Lying" -0.85077167
1 "Lying" -0.85989886
1 "Lying" -0.8380256
1 "Lying" -0.76936535
1 "Lying" -0.63232709
1 "Lying" -0.90100098
1 "Lying" -0.27125488
1 "Lying" 0.24232107
1 "Lying" -0.17649206
1 "Lying" -0.67765866
1 "Lying" -0.30957992
1 "Lying" -0.74905969
1 "Lying" 0.14863928
1 "Lying" -0.051464893
1 "Lying" -0.77479882
1 "Lying" -0.96118973
1 "Lying" -0.97164254
1 "Lying" -0.97830336
1 "Lying" 0.318382
1 "Lying" -0.18104891
1 "Lying" -0.95479476
1 "Lying" -0.90623202
1 "Lying" -0.86716657
1 "Lying" -0.93913437
1 "Lying" -0.7623081
1 "Lying" -0.92164204
1 "Lying" -0.65652456
1 "Lying" -0.93771114
1 "Lying" -0.92867516
1 "Lying" -0.89998495
1 "Lying" 0.038410202
1 "Lying" 0.13697594
1 "Lying" 0.19828673
1 "Lying" 0.25357481
1 "Lying" -0.17194156
1 "Lying" -0.13387933
1 "Lying" -0.45269821
1 "Lying" 0.32127503
1 "Lying" 0.24174018
1 "Lying" 0.97998881
1 "Lying" 0.30081933
1 "Sitting" -0.0074155206
1 "Sitting" -0.28900144
1 "Sitting" -0.2883659
1 "Sitting" -0.77124606
1 "Sitting" -0.79043255
1 "Sitting" -0.96363111
1 "Sitting" -0.50601336
1 "Sitting" 0.055736207
1 "Sitting" 0.16247891
1 "Sitting" -0.80690211
1 "Sitting" -0.80078227
1 "Sitting" -0.87703276
1 "Sitting" -0.93555065
1 "Sitting" -0.91157666
1 "Sitting" 0.58558937
1 "Sitting" -0.66635072
1 "Sitting" -0.20454332
1 "Sitting" -0.74426543
1 "Sitting" -0.94294511
1 "Sitting" -0.94847279
1 "Sitting" -0.9634964
1 "Sitting" -0.93135999
1 "Sitting" -0.92303931
1 "Sitting" -0.91943493
1 "Sitting" -0.81434697
1 "Sitting" -0.64693378
1 "Sitting" -0.84998499
1 "Sitting" 0.18188721
1 "Sitting" 0.22067202
1 "Sitting" -0.16886566
1 "Sitting" -0.70932273
1 "Sitting" -0.82499995
1 "Sitting" -0.2598499
1 "Sitting" -0.61508303
1 "Sitting" -0.43301255
1 "Sitting" -0.83855916
1 "Sitting" -0.75772826
1 "Sitting" -0.73421571
1 "Sitting" -0.95986068
1 "Sitting" -0.94840447
1 "Sitting" -0.77007586
1 "Sitting" 0.882683
1 "Sitting" -0.24791478
1 "Sitting" 0.24199567
1 "Sitting" -0.6318403
1 "Sitting" 0.36097622
1 "Sitting" -0.46646013
1 "Sitting" -0.93820346
1 "Sitting" -0.91649106
1 "Sitting" -0.88990256
1 "Sitting" -0.82434741
1 "Sitting" -0.85258195
1 "Sitting" -0.85828374
1 "Standing" 0.1661283
1 "Standing" 0.74589497
1 "Standing" -0.52556163
1 "Standing" -0.65013386
1 "Standing" -0.23128664
1 "Standing" 0.37347687
1 "Standing" 0.69431904
1 "Standing" -0.040950183
1 "Standing" -0.6937673
1 "Standing" -0.84856546
1 "Standing" -0.558766
1 "Standing" -0.16803836
1 "Standing" -0.80170361
1 "Standing" -0.94233388
1 "Standing" -0.86921182
1 "Standing" -0.89134239
1 "Standing" -0.80261974
1 "Standing" -0.32868182
1 "Standing" -0.70684079
1 "Standing" -0.80260472
1 "Standing" -0.4487396
1 "Standing" -0.72078173
1 "Standing" -0.71618161
1 "Standing" 0.065478177
1 "Standing" 0.70002682
1 "Standing" -0.15135697
1 "Standing" -0.51647
1 "Standing" -0.98217654
1 "Standing" -0.92327754
1 "Standing" -0.9078816
1 "Standing" -0.94607115
1 "Standing" -0.89145248
1 "Standing" -0.80611132
