"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.3780346
1 "Lying" 0.22838347
1 "Lying" -0.2223158
1 "Lying" -0.26076
1 "Lying" -0.53193657
1 "Lying" -0.21477725
1 "Lying" -0.11046507
1 "Lying" -0.52804469
1 "Lying" -0.58794909
1 "Lying" -0.63652163
1 "Lying" -0.27900404
1 "Lying" -0.50143745
1 "Lying" -0.55482645
1 "Lying" 0.20050529
1 "Lying" 0.73705482
1 "Lying" 0.48552709
1 "Lying" 0.77550491
1 "Lying" 0.29707581
1 "Lying" -0.016035036
1 "Lying" 0.42994173
1 "Lying" 0.2199727
1 "Lying" -0.44378511
1 "Lying" -0.10561668
1 "Lying" -0.40963145
1 "Lying" -0.68756732
1 "Lying" -0.52670478
1 "Lying" -0.50322399
1 "Lying" 0.55034
1 "Lying" 0.29504771
1 "Lying" -0.52056007
1 "Lying" -0.63705484
1 "Lying" -0.64179804
1 "Lying" -0.36501081
1 "Lying" -0.27836609
1 "Lying" -0.45954119
1 "Lying" -0.62702305
1 "Lying" -0.54515575
1 "Lying" -0.53022876
1 "Lying" -0.37949596
1 "Lying" 0.63459505
1 "Lying" 0.6507289
1 "Lying" 0.36477536
1 "Lying" 0.60738646
1 "Lying" 0.19250181
1 "Lying" 0.41877331
1 "Lying" 0.38378661
1 "Lying" -0.2728613
1 "Lying" -0.017964911
1 "Lying" 0.79437948
1 "Lying" 0.46130316
1 "Sitting" 0.14205056
1 "Sitting" -0.6925409
1 "Sitting" -0.72722732
1 "Sitting" -0.59911799
1 "Sitting" -0.6769965
1 "Sitting" -0.631053
1 "Sitting" -0.32132967
1 "Sitting" -0.66391451
1 "Sitting" -0.35986597
1 "Sitting" -0.6074526
1 "Sitting" -0.44876813
1 "Sitting" -0.48118727
1 "Sitting" -0.39855198
1 "Sitting" -0.71874362
1 "Sitting" 0.2336733
1 "Sitting" -0.68830851
1 "Sitting" -0.6053061
1 "Sitting" -0.70132095
1 "Sitting" -0.57344999
1 "Sitting" -0.68622187
1 "Sitting" -0.59864167
1 "Sitting" -0.78004745
1 "Sitting" -0.56776111
1 "Sitting" -0.61321111
1 "Sitting" -0.44809971
1 "Sitting" -0.71078981
1 "Sitting" -0.45483525
1 "Sitting" 0.43309823
1 "Sitting" -0.62226319
1 "Sitting" -0.61167648
1 "Sitting" -0.29441246
1 "Sitting" 0.02189801
1 "Sitting" -0.59071183
1 "Sitting" -0.66562098
1 "Sitting" -0.52925871
1 "Sitting" -0.64151314
1 "Sitting" -0.60143834
1 "Sitting" -0.51732009
1 "Sitting" -0.49330975
1 "Sitting" -0.46139454
1 "Sitting" -0.62471781
1 "Sitting" 0.5073735
1 "Sitting" -0.37702676
1 "Sitting" -0.65343149
1 "Sitting" -0.66482502
1 "Sitting" -0.73136892
1 "Sitting" -0.4527453
1 "Sitting" -0.72130639
1 "Sitting" -0.6547519
1 "Sitting" -0.61884411
1 "Sitting" -0.59372502
1 "Sitting" -0.25431564
1 "Sitting" -0.51339451
1 "Standing" 0.50707305
1 "Standing" 0.39577704
1 "Standing" 0.052091594
1 "Standing" -0.20577371
1 "Standing" 0.23364916
1 "Standing" 0.71961524
1 "Standing" 0.52869909
1 "Standing" 0.49537839
1 "Standing" 0.3361776
1 "Standing" -0.039570262
1 "Standing" -0.20060664
1 "Standing" 0.43801732
1 "Standing" -0.40455142
1 "Standing" -0.54796249
1 "Standing" -0.68215275
1 "Standing" -0.44276723
1 "Standing" -0.1942375
1 "Standing" -0.058266881
1 "Standing" -0.63128824
1 "Standing" -0.66454709
1 "Standing" -0.66056946
1 "Standing" -0.65296165
1 "Standing" -0.31427646
1 "Standing" -0.68077055
1 "Standing" 0.38151301
1 "Standing" 0.27419946
1 "Standing" -0.55184502
1 "Standing" -0.48013889
1 "Standing" -0.7091085
1 "Standing" -0.70590439
1 "Standing" -0.62768742
1 "Standing" -0.61249847
1 "Standing" -0.6719149
1 "Standing" -0.36814712
1 "Standing" -0.59573635
1 "Standing" 0.091468924
1 "Standing" -0.49232083
1 "Standing" -0.64476085
1 "Standing" -0.61858322
1 "Standing" -0.63439311
1 "Standing" -0.59277557
1 "Standing" -0.55193201
1 "Standing" -0.030448891
1 "Standing" -0.33672136
1 "Standing" -0.41598571
1 "Standing" -0.52034636
1 "Standing" -0.64134083
1 "Walking" -0.44107528
1 "Walking" -0.34549418
1 "Walking" -0.20806326
1 "Walking" -0.24028644
1 "Walking" -0.075238516
1 "Walking" 0.010349316
1 "Walking" -0.31147507
1 "Walking" -0.44288533
1 "Walking" -0.33774508
1 "Walking" -0.24465468
1 "Walking" -0.20285384
1 "Walking" -0.018076328
1 "Walking" -0.019487972
1 "Walking" 0.047533705
1 "Walking" -0.16415037
1 "Walking" -0.3030627
1 "Walking" -0.23464513
1 "Walking" -0.37955847
1 "Walking" -0.48096417
1 "Walking" -0.45529467
1 "Walking" -0.22533246
1 "Walking" -0.12444108
1 "Walking" -0.18096377
1 "Walking" 0.0082917731
1 "Walking" 0.037425166
1 "Walking" -0.2766585
1 "Walking" -0.2960351
1 "Walking" -0.18045364
1 "Walking" -0.23756204
1 "Walking" -0.20060835
1 "Walking" -0.14929787
1 "Walking" -0.45392363
1 "Walking" -0.43767454
1 "Walking" -0.20167952
1 "Walking" -0.1332002
1 "Walking" -0.029338901
1 "Walking" -0.12637204
1 "Walking" -0.26164791
1 "Walking" -0.36730178
1 "Walking" -0.42215363
1 "Walking" -0.43567513
1 "Walking" -0.48668919
1 "Walking" -0.52244244
1 "Walking" -0.50116792
1 "Walking" -0.57912051
1 "Walking" -0.47230281
1 "Walking" -0.45251213
1 "Walking" -0.14618109
1 "Walking" -0.29102117
1 "Walking" -0.19960825
1 "Walking" -0.36803211
1 "Walking" -0.3986192
1 "Walking" -0.39458887
1 "Walking" -0.40947347
1 "Walking" -0.40168541
1 "Walking" -0.45138496
1 "Walking" -0.44054627
1 "Walking" -0.44842945
1 "Walking" -0.37103318
1 "Walking" -0.42988019
1 "Walking" -0.37466936
1 "Walking" -0.380734
1 "Walking" -0.46297334
1 "Walking" -0.48306296
1 "Walking" -0.52270341
1 "Walking" -0.46633111
1 "Walking" -0.53494627
1 "Walking" -0.55730972
1 "Walking" -0.42775164
1 "Walking" -0.31685016
1 "Walking" -0.30270952
1 "Walking" -0.42218782
1 "Walking" -0.48205825
1 "Walking" -0.42430838
1 "Walking" -0.37435681
1 "Walking" -0.39324109
1 "Walking" -0.46739779
1 "Walking" -0.46941313
1 "Walking" -0.43392895
1 "Walking" -0.34521252
1 "Walking" -0.37149712
1 "Walking" -0.39464918
1 "Walking" -0.41480839
1 "Walking" -0.42517517
1 "Walking" -0.43266412
1 "Walking" -0.42708944
1 "Walking" -0.48729977
1 "Walking" -0.5664546
1 "Walking" -0.49692222
1 "Walking" -0.44743825
1 "Walking" -0.4729539
1 "Walking" -0.45671814
1 "Walking" -0.48554667
1 "Walking" -0.5213619
1 "Walking" -0.51225038
1 "Walking Down Stairs" 0.33070129
1 "Walking Down Stairs" 0.32683269
1 "Walking Down Stairs" 0.20586358
1 "Walking Down Stairs" 0.097212596
1 "Walking Down Stairs" 0.043280035
1 "Walking Down Stairs" 0.090102863
1 "Walking Down Stairs" 0.17896958
1 "Walking Down Stairs" 0.14212333
1 "Walking Down Stairs" -0.0043580989
1 "Walking Down Stairs" -0.09698212
1 "Walking Down Stairs" -0.1095529
1 "Walking Down Stairs" 0.17040476
1 "Walking Down Stairs" -0.16648189
1 "Walking Down Stairs" -0.090193869
1 "Walking Down Stairs" 0.091493483
1 "Walking Down Stairs" -0.015915636
1 "Walking Down Stairs" 0.5826847
1 "Walking Down Stairs" 0.090267146
1 "Walking Down Stairs" 0.3794488
1 "Walking Down Stairs" -0.20297847
1 "Walking Down Stairs" -0.10411085
1 "Walking Down Stairs" -0.2023449
1 "Walking Down Stairs" 0.35168512
1 "Walking Down Stairs" 0.1116905
1 "Walking Down Stairs" -0.064810182
1 "Walking Down Stairs" 0.035973848
1 "Walking Down Stairs" -0.038012999
1 "Walking Down Stairs" -0.29174614
1 "Walking Down Stairs" -0.24364047
1 "Walking Down Stairs" -0.30931498
1 "Walking Down Stairs" 0.11739141
1 "Walking Down Stairs" 0.026817779
1 "Walking Down Stairs" 0.18205045
1 "Walking Down Stairs" 0.018512058
1 "Walking Down Stairs" -0.17772647
1 "Walking Down Stairs" -0.41706957
1 "Walking Down Stairs" -0.16996586
1 "Walking Down Stairs" -0.29585569
1 "Walking Down Stairs" -0.11051859
1 "Walking Down Stairs" 0.40231629
