"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.66963995
1 "Lying" -0.61646601
1 "Lying" -0.6138374
1 "Lying" -0.67369694
1 "Lying" -0.76112353
1 "Lying" -0.89290872
1 "Lying" -0.70398351
1 "Lying" -0.69221655
1 "Lying" -0.53397214
1 "Lying" -0.36606451
1 "Lying" -0.5479411
1 "Lying" -0.64482108
1 "Lying" -0.63930122
1 "Lying" 0.46211571
1 "Lying" 0.59113482
1 "Lying" -0.23430109
1 "Lying" -0.0082662999
1 "Lying" 0.089888119
1 "Lying" -0.19507076
1 "Lying" -0.13650576
1 "Lying" -0.39996689
1 "Lying" 0.52042083
1 "Lying" 0.2836894
1 "Lying" 0.5720766
1 "Lying" 0.063231951
1 "Lying" -0.20628095
1 "Lying" -0.55665743
1 "Lying" -0.0030686993
1 "Lying" 0.3024649
1 "Lying" -0.68528276
1 "Lying" -0.64930663
1 "Lying" -0.64898827
1 "Lying" -0.59527287
1 "Lying" -0.68424475
1 "Lying" -0.59085886
1 "Lying" -0.7376724
1 "Lying" -0.74809515
1 "Lying" -0.6380947
1 "Lying" -0.42878107
1 "Lying" -0.46007105
1 "Lying" -0.65270101
1 "Lying" 0.25341984
1 "Lying" 0.73825399
1 "Lying" 0.27017408
1 "Lying" -0.32067283
1 "Lying" -0.70333189
1 "Lying" 0.14284205
1 "Lying" 0.37526867
1 "Lying" 0.96182505
1 "Lying" 0.34802807
1 "Sitting" -0.22054694
1 "Sitting" -0.049709103
1 "Sitting" 0.16306289
1 "Sitting" -0.46091454
1 "Sitting" -0.18038282
1 "Sitting" -0.66078211
1 "Sitting" -0.099405696
1 "Sitting" 0.16699264
1 "Sitting" 0.41377703
1 "Sitting" -0.5788184
1 "Sitting" -0.42561037
1 "Sitting" -0.4081767
1 "Sitting" 0.25919034
1 "Sitting" -0.38232159
1 "Sitting" 0.69104554
1 "Sitting" 0.014086344
1 "Sitting" -0.011284113
1 "Sitting" -0.19244496
1 "Sitting" -0.65394703
1 "Sitting" -0.19049442
1 "Sitting" -0.49041305
1 "Sitting" -0.40496021
1 "Sitting" -0.72188159
1 "Sitting" -0.47970314
1 "Sitting" -0.21005061
1 "Sitting" -0.078008715
1 "Sitting" -0.79917509
1 "Sitting" 0.52582715
1 "Sitting" -0.54335128
1 "Sitting" -0.42368683
1 "Sitting" -0.54205144
1 "Sitting" 0.30930525
1 "Sitting" 0.125801
1 "Sitting" -0.48666454
1 "Sitting" -0.67025111
1 "Sitting" -0.73265294
1 "Sitting" -0.74373597
1 "Sitting" -0.43504146
1 "Sitting" -0.27212874
1 "Sitting" -0.22284072
1 "Sitting" -0.49216611
1 "Sitting" 0.58149316
1 "Sitting" 0.21553529
1 "Sitting" 0.63614979
1 "Sitting" -0.39689569
1 "Sitting" -0.47998181
1 "Sitting" -0.061651932
1 "Sitting" -0.0061421268
1 "Sitting" -0.21443461
1 "Sitting" -0.371044
1 "Sitting" -0.39967279
1 "Sitting" -0.62706415
1 "Sitting" -0.62655915
1 "Standing" 0.45712351
1 "Standing" 0.5726061
1 "Standing" 0.46843533
1 "Standing" -0.24341613
1 "Standing" 0.20999715
1 "Standing" 0.69962181
1 "Standing" 0.33283594
1 "Standing" 0.46659465
1 "Standing" -0.071049483
1 "Standing" -0.73027883
1 "Standing" -0.77179466
1 "Standing" 0.33696176
1 "Standing" 0.25746119
1 "Standing" 0.17239666
1 "Standing" 0.22472807
1 "Standing" 0.43758675
1 "Standing" 0.68381167
1 "Standing" 0.41907853
1 "Standing" -0.12010445
1 "Standing" 0.37919289
1 "Standing" 0.24160177
1 "Standing" 0.3166944
1 "Standing" 0.59836324
1 "Standing" 0.42329739
1 "Standing" 0.22386697
1 "Standing" 0.45158798
1 "Standing" 0.024839208
1 "Standing" -0.53878086
1 "Standing" -0.40124545
1 "Standing" -0.70058944
1 "Standing" 0.22688961
1 "Standing" -0.18213616
1 "Standing" -0.53173533
1 "Standing" -0.63804073
1 "Standing" -0.27653029
1 "Standing" 0.65377752
1 "Standing" 0.76957831
1 "Standing" 0.38281942
1 "Standing" -0.26394704
1 "Standing" 0.17318938
1 "Standing" 0.2045931
1 "Standing" 0.44424535
1 "Standing" 0.53536343
1 "Standing" 0.45634155
1 "Standing" 0.66594972
1 "Standing" 0.48583475
1 "Standing" 0.33874292
1 "Walking" -0.56981727
1 "Walking" -0.41395311
1 "Walking" -0.46995729
1 "Walking" -0.44964241
1 "Walking" -0.33175742
1 "Walking" -0.35285926
1 "Walking" -0.47370302
1 "Walking" -0.45533956
1 "Walking" -0.35502774
1 "Walking" -0.52475855
1 "Walking" -0.40846908
1 "Walking" -0.22809952
1 "Walking" -0.020740218
1 "Walking" -0.29910939
1 "Walking" -0.42819348
1 "Walking" -0.51793426
1 "Walking" -0.46234165
1 "Walking" -0.46130751
1 "Walking" -0.47779911
1 "Walking" -0.35875056
1 "Walking" -0.44208892
1 "Walking" -0.10688264
1 "Walking" -0.034732226
1 "Walking" -0.20736061
1 "Walking" -0.48575778
1 "Walking" -0.53012345
1 "Walking" -0.50137336
1 "Walking" -0.36107458
1 "Walking" -0.51765588
1 "Walking" -0.30703623
1 "Walking" -0.53020429
1 "Walking" -0.40597869
1 "Walking" -0.49764704
1 "Walking" -0.37372147
1 "Walking" -0.30023012
1 "Walking" -0.19679677
1 "Walking" -0.29960325
1 "Walking" -0.44038267
1 "Walking" -0.45593745
1 "Walking" -0.43738446
1 "Walking" -0.42891815
1 "Walking" -0.40566209
1 "Walking" -0.53912127
1 "Walking" -0.4526524
1 "Walking" -0.60325965
1 "Walking" -0.50417249
1 "Walking" -0.44584904
1 "Walking" -0.16505734
1 "Walking" -0.35429925
1 "Walking" -0.25892517
1 "Walking" -0.37893625
1 "Walking" -0.33257128
1 "Walking" -0.44336527
1 "Walking" -0.38369136
1 "Walking" -0.38819405
1 "Walking" -0.48133423
1 "Walking" -0.47461512
1 "Walking" -0.49762476
1 "Walking" -0.45107663
1 "Walking" -0.33921567
1 "Walking" -0.44244014
1 "Walking" -0.45687373
1 "Walking" -0.51033291
1 "Walking" -0.38390981
1 "Walking" -0.38606558
1 "Walking" -0.42842764
1 "Walking" -0.42799563
1 "Walking" -0.45060876
1 "Walking" -0.42159625
1 "Walking" -0.43948551
1 "Walking" -0.30906111
1 "Walking" -0.41653851
1 "Walking" -0.44551843
1 "Walking" -0.53760429
1 "Walking" -0.45841327
1 "Walking" -0.4116497
1 "Walking" -0.36462615
1 "Walking" -0.29942196
1 "Walking" -0.42592835
1 "Walking" -0.37482102
1 "Walking" -0.30783598
1 "Walking" -0.42256476
1 "Walking" -0.37075864
1 "Walking" -0.38226917
1 "Walking" -0.3056239
1 "Walking" -0.28915098
1 "Walking" -0.34715692
1 "Walking" -0.35554579
1 "Walking" -0.49469221
1 "Walking" -0.44334376
1 "Walking" -0.35869559
1 "Walking" -0.49532238
1 "Walking" -0.50911941
1 "Walking" -0.41279249
1 "Walking" -0.37632328
1 "Walking Down Stairs" -0.34530817
1 "Walking Down Stairs" -0.28737731
1 "Walking Down Stairs" -0.48689642
1 "Walking Down Stairs" -0.54560144
1 "Walking Down Stairs" -0.60005801
1 "Walking Down Stairs" -0.62623071
1 "Walking Down Stairs" -0.58584256
1 "Walking Down Stairs" -0.63708325
1 "Walking Down Stairs" -0.70316995
1 "Walking Down Stairs" -0.59202646
1 "Walking Down Stairs" -0.60727461
1 "Walking Down Stairs" -0.51971165
1 "Walking Down Stairs" -0.65780124
1 "Walking Down Stairs" -0.52780037
1 "Walking Down Stairs" -0.56123893
1 "Walking Down Stairs" -0.55701962
1 "Walking Down Stairs" -0.15712991
1 "Walking Down Stairs" -0.50742183
1 "Walking Down Stairs" -0.12632559
1 "Walking Down Stairs" -0.60275975
1 "Walking Down Stairs" -0.59122642
1 "Walking Down Stairs" -0.45040735
1 "Walking Down Stairs" -0.30703443
1 "Walking Down Stairs" -0.49692428
1 "Walking Down Stairs" -0.61092728
1 "Walking Down Stairs" -0.30768997
1 "Walking Down Stairs" -0.56251465
1 "Walking Down Stairs" -0.60106157
1 "Walking Down Stairs" -0.73176186
1 "Walking Down Stairs" -0.61794841
1 "Walking Down Stairs" -0.39696307
1 "Walking Down Stairs" -0.47267007
1 "Walking Down Stairs" -0.26660886
1 "Walking Down Stairs" -0.42685117
1 "Walking Down Stairs" -0.52907538
1 "Walking Down Stairs" -0.63581865
1 "Walking Down Stairs" -0.55786537
1 "Walking Down Stairs" -0.57711309
1 "Walking Down Stairs" -0.44939962
1 "Walking Down Stairs" -0.50099193
1 "Walking Down Stairs" -0.52280434
1 "Walking Down Stairs" -0.47674561
1 "Walking Down Stairs" -0.40980988
1 "Walking Down Stairs" -0.30010916
1 "Walking Down Stairs" -0.41423192
1 "Walking Down Stairs" -0.57737134
1 "Walking Down Stairs" -0.63245238
1 "Walking Down Stairs" -0.23007754
1 "Walking Down Stairs" -0.51271758
1 "Walking Up Stairs" 0.17780614
1 "Walking Up Stairs" 0.21321669
1 "Walking Up Stairs" -0.058672171
1 "Walking Up Stairs" 0.050138564
1 "Walking Up Stairs" -0.22066078
1 "Walking Up Stairs" -0.19268054
1 "Walking Up Stairs" -0.22786395
1 "Walking Up Stairs" 0.033374967
1 "Walking Up Stairs" 0.26761529
1 "Walking Up Stairs" 0.42100703
1 "Walking Up Stairs" 0.13909536
1 "Walking Up Stairs" 0.22085561
1 "Walking Up Stairs" -0.0069954759
1 "Walking Up Stairs" 0.13224168
1 "Walking Up Stairs" 0.45369977
1 "Walking Up Stairs" 0.39921977
1 "Walking Up Stairs" 0.35680947
1 "Walking Up Stairs" 0.43296929
1 "Walking Up Stairs" 0.25474817
1 "Walking Up Stairs" -0.20055019
1 "Walking Up Stairs" 0.18235008
1 "Walking Up Stairs" -0.098106221
1 "Walking Up Stairs" -0.16981236
1 "Walking Up Stairs" -0.37655083
1 "Walking Up Stairs" 0.076720965
1 "Walking Up Stairs" -0.39457648
1 "Walking Up Stairs" 0.2164242
1 "Walking Up Stairs" 0.27890027
1 "Walking Up Stairs" 0.44901533
1 "Walking Up Stairs" -0.060883785
1 "Walking Up Stairs" 0.24713008
1 "Walking Up Stairs" 0.39450579
1 "Walking Up Stairs" 0.32751471
1 "Walking Up Stairs" 0.087220256
1 "Walking Up Stairs" 0.295641
1 "Walking Up Stairs" 0.53085183
1 "Walking Up Stairs" 0.62816965
1 "Walking Up Stairs" 0.075123836
1 "Walking Up Stairs" 0.097138922
1 "Walking Up Stairs" 0.11343378
1 "Walking Up Stairs" -0.16721734
1 "Walking Up Stairs" 0.37384394
1 "Walking Up Stairs" 0.25542843
1 "Walking Up Stairs" 0.35275103
1 "Walking Up Stairs" 0.39296963
1 "Walking Up Stairs" 0.5182238
1 "Walking Up Stairs" 0.073554873
1 "Walking Up Stairs" 0.22461218
1 "Walking Up Stairs" 0.23452019
1 "Walking Up Stairs" 0.050167719
1 "Walking Up Stairs" 0.12917281
1 "Walking Up Stairs" 0.22989312
1 "Walking Up Stairs" 0.10029587
2 "Lying" -0.563643
2 "Lying" -0.48395228
2 "Lying" -0.54741124
2 "Lying" -0.29611558
2 "Lying" -0.40562049
2 "Lying" -0.78142403
2 "Lying" -0.74392522
2 "Lying" -0.043937087
2 "Lying" -0.15262429
2 "Lying" 0.25200352
2 "Lying" 0.40829925
2 "Lying" 0.37503868
2 "Lying" 0.17311205
2 "Lying" -0.47126247
2 "Lying" -0.43918617
2 "Lying" -0.3778315
2 "Lying" -0.50284338
2 "Lying" -0.54104866
2 "Lying" -0.49791656
2 "Lying" -0.47843644
2 "Lying" -0.55410889
2 "Lying" -0.67785793
2 "Lying" -0.37290065
2 "Lying" -0.097279662
2 "Lying" 0.11099241
2 "Lying" -0.28493699
2 "Lying" -0.76621168
2 "Lying" -0.38628644
2 "Lying" -0.51742709
2 "Lying" -0.54683873
2 "Lying" -0.67248333
2 "Lying" -0.69967191
2 "Lying" -0.64018478
2 "Lying" -0.61965663
2 "Lying" -0.6213409
2 "Lying" -0.70031588
2 "Lying" -0.74524621
2 "Lying" -0.73408434
2 "Lying" -0.52529934
2 "Lying" -0.51110062
2 "Lying" -0.41231375
2 "Lying" -0.22851181
2 "Lying" -0.34838092
2 "Lying" 0.17008059
2 "Lying" -0.48427013
2 "Lying" -0.27295977
2 "Lying" -0.33754179
2 "Lying" -0.62188001
2 "Sitting" -0.33826592
2 "Sitting" -0.32635354
2 "Sitting" -0.6636137
2 "Sitting" -0.70659203
2 "Sitting" -0.24141769
2 "Sitting" -0.47070761
2 "Sitting" -0.48625167
2 "Sitting" -0.20544695
2 "Sitting" 0.04056611
2 "Sitting" -0.21345144
2 "Sitting" 0.34249895
2 "Sitting" -0.76056181
2 "Sitting" -0.64277118
2 "Sitting" -0.52644335
2 "Sitting" 0.38272221
2 "Sitting" -0.58729156
2 "Sitting" 0.5443114
2 "Sitting" 0.44981448
2 "Sitting" -0.04011784
2 "Sitting" -0.48057462
2 "Sitting" -0.38541915
2 "Sitting" -0.50938353
2 "Sitting" -0.27486678
2 "Sitting" -0.21595639
2 "Sitting" -0.61144262
2 "Sitting" -0.099655594
2 "Sitting" 0.1424936
2 "Sitting" 0.31708205
2 "Sitting" 0.21681259
2 "Sitting" 0.57495886
2 "Sitting" 0.53472502
2 "Sitting" -0.43558962
2 "Sitting" -0.62579011
2 "Sitting" 0.073148258
2 "Sitting" 0.11371607
2 "Sitting" -0.65633321
2 "Sitting" 0.00082201908
2 "Sitting" -0.33243338
2 "Sitting" -0.49598622
2 "Sitting" -0.44974639
2 "Sitting" -0.50661953
2 "Sitting" -0.44665927
2 "Sitting" 0.54004795
2 "Sitting" -0.026051578
2 "Sitting" -0.67927569
2 "Sitting" -0.38076696
2 "Sitting" -0.35917983
2 "Sitting" -0.49078219
2 "Sitting" -0.53627714
2 "Sitting" -0.45486347
2 "Sitting" -0.43099942
2 "Sitting" -0.21151922
2 "Sitting" 0.15568479
2 "Sitting" -0.20059445
2 "Standing" 0.22942092
2 "Standing" 0.5373344
2 "Standing" -0.26684064
2 "Standing" 0.19230242
2 "Standing" -0.14978399
2 "Standing" -0.0065096507
2 "Standing" -0.010672421
2 "Standing" -0.49446693
2 "Standing" -0.55781783
2 "Standing" -0.26762956
2 "Standing" -0.48236616
2 "Standing" -0.37048288
2 "Standing" 0.42632821
2 "Standing" 0.064265305
2 "Standing" 0.77083651
2 "Standing" 0.24420384
2 "Standing" -0.57919949
2 "Standing" -0.53558544
2 "Standing" -0.23442609
2 "Standing" 0.69316209
2 "Standing" 0.52319539
2 "Standing" -0.040059813
2 "Standing" -0.58778577
2 "Standing" -0.583257
2 "Standing" -0.079615595
2 "Standing" 0.52502431
2 "Standing" 0.14973788
2 "Standing" -0.63502553
2 "Standing" -0.88076598
2 "Standing" -0.87309948
2 "Standing" -0.58020449
2 "Standing" -0.73712924
2 "Standing" -0.73809508
2 "Standing" -0.70327537
2 "Standing" -0.58820903
2 "Standing" 0.38740551
2 "Standing" -0.094993055
2 "Standing" -0.60366505
2 "Standing" -0.50393672
2 "Standing" -0.37781808
2 "Standing" -0.58834585
2 "Standing" -0.29769507
2 "Standing" 0.22471801
2 "Standing" -0.48623627
2 "Standing" -0.50236804
2 "Standing" -0.44462407
2 "Walking" -0.58647819
2 "Walking" -0.47773694
2 "Walking" -0.53021557
2 "Walking" -0.56958449
2 "Walking" -0.45089638
2 "Walking" -0.45298496
2 "Walking" -0.65610403
2 "Walking" -0.53876117
2 "Walking" -0.3683115
2 "Walking" -0.51872692
2 "Walking" -0.64115392
2 "Walking" -0.5821052
2 "Walking" -0.56236129
2 "Walking" -0.50917776
2 "Walking" -0.46202418
2 "Walking" -0.4820477
2 "Walking" -0.60532152
2 "Walking" -0.45993325
2 "Walking" -0.45766316
2 "Walking" -0.61661871
2 "Walking" -0.63750593
2 "Walking" -0.63875637
2 "Walking" -0.57797751
2 "Walking" -0.56244308
2 "Walking" -0.58172838
2 "Walking" -0.47909062
2 "Walking" -0.46229419
2 "Walking" -0.63425028
2 "Walking" -0.51725622
2 "Walking" -0.47597267
2 "Walking" -0.64654472
2 "Walking" -0.19374436
2 "Walking" -0.28848427
2 "Walking" -0.18141374
2 "Walking" -0.55258327
2 "Walking" -0.60033735
2 "Walking" -0.65467316
2 "Walking" -0.59539214
2 "Walking" -0.5153503
2 "Walking" -0.64682913
2 "Walking" -0.63696934
2 "Walking" -0.50815704
2 "Walking" -0.54492984
2 "Walking" -0.60003225
2 "Walking" -0.4185018
2 "Walking" -0.33695688
2 "Walking" -0.42328917
2 "Walking" -0.46130941
2 "Walking" -0.38819899
2 "Walking" -0.46312268
2 "Walking" -0.22153139
2 "Walking" -0.21922334
2 "Walking" -0.33890599
2 "Walking" -0.64759485
2 "Walking" -0.41553527
2 "Walking" -0.54909941
2 "Walking" -0.40851357
2 "Walking" -0.58825377
2 "Walking" -0.62731826
2 "Walking Down Stairs" -0.29623361
2 "Walking Down Stairs" -0.18142434
2 "Walking Down Stairs" -0.57144816
2 "Walking Down Stairs" -0.52470701
2 "Walking Down Stairs" -0.4475454
2 "Walking Down Stairs" -0.45622043
2 "Walking Down Stairs" -0.4325188
2 "Walking Down Stairs" -0.46099996
2 "Walking Down Stairs" -0.38057835
2 "Walking Down Stairs" -0.51479326
2 "Walking Down Stairs" -0.4921285
2 "Walking Down Stairs" -0.59267207
2 "Walking Down Stairs" -0.63850393
2 "Walking Down Stairs" -0.70202755
2 "Walking Down Stairs" -0.54727483
2 "Walking Down Stairs" -0.16767732
2 "Walking Down Stairs" -0.45632501
2 "Walking Down Stairs" -0.44388221
2 "Walking Down Stairs" -0.52651161
2 "Walking Down Stairs" -0.63877403
2 "Walking Down Stairs" -0.52205929
2 "Walking Down Stairs" -0.53995515
2 "Walking Down Stairs" -0.49037057
2 "Walking Down Stairs" -0.58266902
2 "Walking Down Stairs" -0.48009423
2 "Walking Down Stairs" -0.5148284
2 "Walking Down Stairs" -0.42371364
2 "Walking Down Stairs" -0.51942812
2 "Walking Down Stairs" -0.60562179
2 "Walking Down Stairs" -0.54929855
2 "Walking Down Stairs" -0.62320266
2 "Walking Down Stairs" -0.40406638
2 "Walking Down Stairs" -0.038674158
2 "Walking Down Stairs" -0.35189039
2 "Walking Down Stairs" -0.52897915
2 "Walking Down Stairs" -0.4492432
2 "Walking Down Stairs" -0.63440171
2 "Walking Down Stairs" -0.45820779
2 "Walking Down Stairs" -0.47085847
2 "Walking Down Stairs" -0.42097663
2 "Walking Down Stairs" -0.22010962
2 "Walking Down Stairs" -0.64620119
2 "Walking Down Stairs" -0.53785462
2 "Walking Down Stairs" -0.60728196
2 "Walking Down Stairs" -0.65807688
2 "Walking Down Stairs" -0.41882677
2 "Walking Down Stairs" -0.43857885
2 "Walking Up Stairs" -0.12569998
2 "Walking Up Stairs" 0.047431615
2 "Walking Up Stairs" 0.01958297
2 "Walking Up Stairs" -0.27784977
2 "Walking Up Stairs" -0.0033660905
2 "Walking Up Stairs" -0.17127687
2 "Walking Up Stairs" 0.061227675
2 "Walking Up Stairs" -0.060359343
2 "Walking Up Stairs" 0.087800736
2 "Walking Up Stairs" -0.19594474
2 "Walking Up Stairs" -0.27293451
2 "Walking Up Stairs" -0.1550974
2 "Walking Up Stairs" 0.027050302
2 "Walking Up Stairs" -0.32620462
2 "Walking Up Stairs" -0.0047477559
2 "Walking Up Stairs" 0.269017
2 "Walking Up Stairs" -0.043927736
2 "Walking Up Stairs" 0.00011017495
2 "Walking Up Stairs" -0.22690139
